name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
TotalRevenue,"274,976,000","68,275,000","66,707,000","70,327,000","69,666,000","61,786,000","55,751,000","55,890,000","47,722,000","52,824,000","49,504,000","58,790,000","56,882,000","56,800,000","54,053,000","52,705,000","50,569,000","60,097,000","61,143,000","61,365,000","65,520,000","72,335,000","70,796,000","78,513,000","85,188,000","86,878,000","65,875,000","79,293,000","89,746,000","102,943,000","125,143,000","118,419,000","126,965,000","128,329,000","121,948,000","129,128,000","124,199,000","130,324,000","122,205,000","122,275,000","121,273,000","125,724,000","106,031,000","70,707,000","86,058,000","92,103,000","78,511,000","72,945,000","72,751,000","75,782,000","65,313,000","62,920,000","58,045,000","59,676,000","55,642,000","70,362,000","71,473,000","62,839,000","59,266,000","51,668,000","52,505,000","49,281,000","45,167,000","39,755,000","38,750,000","37,101,000","32,207,000"
	OperatingRevenue,"274,976,000","68,275,000","66,707,000","70,327,000","69,666,000","61,786,000","55,751,000","55,890,000","47,722,000","52,824,000","49,504,000","58,790,000","56,882,000","56,800,000","54,053,000","52,705,000","50,569,000","60,097,000","61,143,000","61,365,000","65,520,000","72,335,000","70,796,000","78,513,000","85,188,000","86,878,000","65,875,000","79,293,000","89,746,000","102,943,000","125,143,000","118,419,000","126,965,000","128,329,000","121,948,000","129,128,000","124,199,000","130,324,000","122,205,000","122,275,000","121,273,000","125,724,000","106,031,000","70,707,000","86,058,000","92,103,000","78,511,000","72,945,000","72,751,000","75,782,000","65,313,000","62,920,000","58,045,000","59,676,000","55,642,000","70,362,000","71,473,000","62,839,000","59,266,000","51,668,000","52,505,000","49,281,000","45,167,000","39,755,000","38,750,000","37,101,000","32,207,000"
CostOfRevenue,"115,450,000","28,968,000","27,762,000","30,177,000","28,543,000","26,385,000","22,573,000","22,727,000","22,494,000","26,619,000","24,176,000","27,314,000","25,337,000","24,807,000","24,956,000","24,240,000","19,489,000","28,727,000","27,631,000","28,979,000","30,413,000","34,564,000","32,271,000","37,025,000","39,292,000","39,927,000","26,883,000","33,195,000","35,838,000","42,661,000","54,315,000","55,139,000","54,537,000","54,273,000","47,710,000","52,449,000","49,977,000","49,946,000","47,122,000","50,626,000","49,187,000","55,024,000","43,285,000","18,167,000","34,572,000","40,717,000","32,939,000","28,464,000","30,378,000","33,358,000","26,950,000","24,611,000","20,688,000","22,703,000","18,589,000","20,186,000","19,552,000","16,162,000","15,403,000","13,442,000","13,441,000","11,698,000","8,462,000","3,755,000","3,442,000","2,595,000","2,367,000"
GrossProfit,"159,526,000","39,307,000","38,945,000","40,150,000","41,123,000","35,401,000","33,178,000","33,163,000","25,228,000","26,205,000","25,328,000","31,476,000","31,545,000","31,993,000","29,097,000","28,465,000","31,080,000","31,370,000","33,512,000","32,386,000","35,107,000","37,771,000","38,525,000","41,488,000","45,896,000","46,951,000","38,992,000","46,098,000","53,908,000","60,282,000","70,828,000","63,280,000","72,428,000","74,056,000","74,238,000","76,679,000","74,222,000","80,378,000","75,083,000","71,649,000","72,086,000","70,700,000","62,746,000","52,540,000","51,486,000","51,386,000","45,572,000","44,481,000","42,373,000","42,424,000","38,363,000","38,309,000","37,357,000","36,973,000","37,053,000","50,176,000","51,921,000","46,677,000","43,863,000","38,226,000","39,064,000","37,583,000","36,705,000","36,000,000","35,308,000","34,506,000","29,840,000"
OperatingExpense,"132,193,000","34,824,000","34,462,000","30,376,000","32,529,000","29,763,000","28,552,000","27,811,000","25,030,000","30,657,000","30,318,000","36,761,000","36,106,000","36,478,000","34,172,000","34,219,000","34,220,000","36,950,000","39,964,000","45,957,000","43,869,000","46,167,000","46,785,000","47,757,000","45,829,000","48,458,000","46,364,000","49,983,000","53,914,000","56,471,000","59,586,000","62,757,000","62,404,000","64,508,000","62,300,000","59,378,000","55,114,000","58,548,000","59,450,000","55,627,000","45,688,000","45,836,000","46,168,000","37,425,000","40,204,000","41,234,000","38,090,000","39,451,000","34,868,000","35,883,000","32,778,000","34,188,000","31,094,000","33,961,000","37,285,000","45,203,000","45,694,000","42,790,000","40,346,000","33,561,000","34,352,000","33,914,000","33,448,000","32,680,000","31,991,000","31,108,000","27,030,000"
	SellingGeneralAndAdministration,"124,073,000","32,198,000","32,192,000","30,037,000","29,644,000","27,887,000","26,677,000","26,164,000","23,144,000","29,092,000","28,553,000","33,782,000","32,869,000","33,963,000","32,763,000","33,825,000","32,748,000","35,495,000","37,294,000","41,782,000","41,852,000","43,414,000","46,284,000","46,203,000","44,213,000","46,798,000","44,692,000","47,989,000","51,870,000","54,477,000","56,383,000","59,094,000","58,128,000","60,263,000","57,889,000","54,979,000","50,723,000","54,161,000","55,253,000","32,003,000","26,248,000","26,509,000","26,839,000","25,351,000","25,041,000","25,316,000","23,373,000","25,254,000","21,625,000","22,554,000","19,578,000","21,553,000","18,650,000","21,402,000","24,516,000","10,060,000","10,296,000","31,822,000","29,778,000","8,170,000","8,260,000","25,005,000","25,129,000","85,708,000","5,754,000","25,996,000","22,619,000"
		GeneralAndAdministrativeExpense,"83,139,000","20,925,000","22,148,000","20,081,000","19,983,000","18,977,000","17,569,000","17,661,000","15,732,000","18,983,000","18,948,000","21,528,000","21,104,000","22,053,000","21,158,000","21,435,000","20,426,000","23,411,000","25,672,000","29,380,000","28,390,000","29,305,000","31,749,000","37,208,000","34,246,000","37,650,000","35,232,000","37,962,000","41,615,000","43,679,000","45,998,000","48,094,000","47,467,000","49,804,000","48,058,000","45,237,000","40,596,000","44,188,000","44,925,000","21,560,000","18,884,000","19,600,000","20,304,000","20,056,000","19,252,000","19,136,000","17,358,000","18,883,000","16,404,000","17,543,000","14,931,000","16,603,000","14,252,000","16,928,000",,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,"3,688,000","2,663,000","2,506,000","2,357,000","4,588,000","6,355,000","7,558,000","9,592,000","8,372,000","8,254,000","8,299,000","10,130,000","8,942,000","8,649,000","9,942,000","8,410,000",,"10,245,000",,"12,487,000",,"12,340,000","11,988,000",,"12,561,000","10,256,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"83,139,000","20,925,000","22,148,000","20,081,000","19,983,000","18,977,000","17,569,000","17,661,000","15,732,000","18,983,000","18,948,000","21,528,000","21,104,000","22,053,000","21,158,000","21,435,000","20,426,000","23,411,000","25,672,000","29,380,000","28,390,000","29,305,000","31,749,000","33,520,000","31,583,000","35,144,000","32,875,000","33,374,000","35,260,000","36,121,000","36,406,000","39,722,000","39,213,000","41,505,000","37,928,000","36,295,000","31,947,000","34,246,000","36,515,000","-21,682,000","18,884,000","19,600,000","7,817,000","-29,262,000","19,252,000","19,136,000","17,358,000","6,322,000","6,148,000","17,543,000","14,931,000","-28,730,000","14,252,000","16,928,000",,,,,,,,,,,,,
		SellingAndMarketingExpense,"40,934,000","11,273,000","10,044,000","9,956,000","9,661,000","8,910,000","9,108,000","8,503,000","7,412,000","10,109,000","9,605,000","12,254,000","11,765,000","11,910,000","11,605,000","12,390,000","12,322,000","12,084,000","11,622,000","12,402,000","13,462,000","14,109,000","14,535,000","8,995,000","9,967,000","9,148,000","9,460,000","10,027,000","10,255,000","10,798,000","10,385,000","11,000,000","10,661,000","10,459,000","9,831,000","9,742,000","10,127,000","9,973,000","10,328,000","10,443,000","7,364,000","6,909,000","6,535,000","5,295,000","5,789,000","6,180,000","6,015,000","6,371,000","5,221,000","5,011,000","4,647,000","4,950,000","4,398,000","4,474,000",,,,,,,,,,,,,
