name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"583,761,029","731,366,968","967,637,113","1,191,011,193"
EnterpriseValue,"297,063,029","414,441,968","634,342,113","1,150,920,193"
PsRatio,"518.899","210.583","736.967","494.558"
PbRatio,"1.978","2.337","2.954",
EnterprisesValueRevenueRatio,"264.056"
EnterprisesValueEBITDARatio,"-5.1","-23.009","-39.698","-67.191"
