name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002
TotalRevenue,"1,191,200,000","328,700,000","280,800,000","283,100,000","298,600,000","279,300,000","276,000,000","268,300,000","247,000,000","282,700,000","85,400,000","373,000,000","387,000,000","360,300,000","381,400,000","388,200,000","393,600,000","368,800,000","362,500,000","343,700,000","307,600,000","295,800,000","286,900,000","292,700,000","313,200,000","294,900,000","321,900,000","306,600,000","298,400,000","277,500,000","316,400,000","302,600,000","313,100,000","287,200,000","275,500,000","276,000,000","305,800,000","286,900,000","279,300,000","291,700,000","301,700,000","311,500,000","271,400,000","300,800,000","263,700,000","269,600,000","191,500,000","194,500,000","250,800,000","228,200,000","131,600,000","219,700,000","235,300,000","216,400,000","289,300,000","278,600,000","316,800,000","283,100,000","275,600,000","252,700,000","254,400,000","247,300,000","244,800,000","228,600,000","226,700,000","228,300,000","207,100,000","199,600,000","219,400,000","212,500,000","204,100,000","192,100,000","216,300,000","213,800,000","179,000,000","168,800,000","198,300,000","184,000,000","177,200,000","174,200,000","191,200,000"
	OperatingRevenue,"1,191,200,000","328,700,000","280,800,000","283,100,000","298,600,000","279,300,000","276,000,000","268,300,000","247,000,000","282,700,000","85,400,000","373,000,000","387,000,000","360,300,000","381,400,000","388,200,000","393,600,000","368,800,000","362,500,000","343,700,000","307,600,000","295,800,000","286,900,000","292,700,000","313,200,000","294,900,000","321,900,000","306,600,000","298,400,000","277,500,000","316,400,000","302,600,000","313,100,000","287,200,000","275,500,000","276,000,000","305,800,000","286,900,000","279,300,000","291,700,000","301,700,000","311,500,000","271,400,000","300,800,000","263,700,000","269,600,000","191,500,000","194,500,000","250,800,000","228,200,000","131,600,000","219,700,000","235,300,000","216,400,000","289,300,000","278,600,000","316,800,000","283,100,000","275,600,000","252,700,000","254,400,000","247,300,000","244,800,000","228,600,000","226,700,000","228,300,000","207,100,000","199,600,000","219,400,000","212,500,000","204,100,000","192,100,000","216,300,000","213,800,000","179,000,000","168,800,000","198,300,000","184,000,000","177,200,000","174,200,000","191,200,000"
CostOfRevenue,"749,400,000","214,100,000","180,100,000","173,600,000","181,600,000","169,900,000","172,500,000","173,800,000","164,500,000","187,400,000","34,800,000","258,000,000","261,900,000","247,200,000","267,400,000","264,100,000","277,800,000","243,700,000","239,400,000","228,500,000","203,100,000","194,200,000","196,300,000","194,100,000","205,300,000","197,300,000","218,900,000","205,200,000","197,100,000","187,700,000","210,500,000","196,400,000","205,000,000","190,700,000","189,700,000","183,900,000","196,600,000","192,700,000","188,200,000","192,900,000","198,700,000","204,300,000","182,500,000","204,000,000","164,400,000","175,600,000","121,000,000","121,300,000","159,100,000","139,600,000","72,900,000","146,600,000","160,800,000","143,500,000","199,400,000","179,700,000","201,800,000","179,600,000","185,000,000","163,200,000","163,000,000","158,800,000","165,200,000","156,700,000","149,300,000","149,900,000","143,000,000","133,700,000","145,600,000","143,400,000","141,300,000","138,900,000","147,000,000","144,900,000","122,600,000","113,300,000","137,900,000","127,300,000","115,800,000","124,400,000","135,900,000"
GrossProfit,"441,800,000","114,600,000","100,700,000","109,500,000","117,000,000","109,400,000","103,500,000","94,500,000","82,500,000","95,300,000","50,600,000","115,000,000","125,100,000","113,100,000","114,000,000","124,100,000","115,800,000","125,100,000","123,100,000","115,200,000","104,500,000","101,600,000","90,600,000","98,600,000","107,900,000","97,600,000","103,000,000","101,400,000","101,300,000","89,800,000","105,900,000","106,200,000","108,100,000","96,500,000","85,800,000","92,100,000","109,200,000","94,200,000","91,100,000","98,800,000","103,000,000","107,200,000","88,900,000","96,800,000","99,300,000","94,000,000","70,500,000","73,200,000","91,700,000","88,600,000","58,700,000","73,100,000","74,500,000","72,900,000","89,900,000","98,900,000","115,000,000","103,500,000","90,600,000","89,500,000","91,400,000","88,500,000","79,600,000","71,900,000","77,400,000","78,400,000","64,100,000","65,900,000","73,800,000","69,100,000","62,800,000","53,200,000","69,300,000","68,900,000","56,400,000","55,500,000","60,400,000","56,700,000","61,400,000","49,800,000","55,300,000"
OperatingExpense,"347,300,000","87,200,000","94,100,000","80,900,000","85,100,000","82,200,000","92,400,000","102,000,000","80,700,000","74,800,000","86,800,000","86,400,000","84,800,000","89,200,000","95,000,000","79,900,000","93,700,000","93,100,000","85,000,000","96,700,000","77,200,000","74,200,000","77,300,000","73,300,000","78,800,000","90,000,000","81,400,000","76,500,000","74,600,000","78,400,000","81,600,000","78,600,000","84,000,000","79,100,000","69,200,000","73,800,000","78,400,000","73,500,000","71,000,000","70,000,000","76,600,000","75,000,000","76,100,000","67,200,000","71,400,000","62,600,000","64,400,000","56,700,000","71,000,000","77,500,000","141,800,000","71,400,000","79,100,000","78,400,000","77,500,000","78,900,000","80,700,000","77,600,000","88,200,000","70,100,000","69,600,000","68,900,000","354,000,000","77,700,000","70,400,000","54,200,000","35,300,000","50,900,000","51,300,000","52,200,000","49,900,000","47,400,000","51,400,000","48,700,000","43,800,000","43,700,000","42,100,000","44,000,000","59,100,000","36,400,000","40,000,000"
	SellingGeneralAndAdministration,"341,700,000","85,700,000","93,300,000","80,000,000","82,700,000","80,300,000","85,200,000","73,200,000","68,200,000","73,200,000","59,200,000","84,100,000","83,800,000","87,800,000","80,000,000","78,900,000","89,400,000","92,100,000","93,600,000","85,700,000","74,100,000","72,900,000","72,100,000","70,900,000","75,200,000","85,600,000","76,600,000","74,800,000","74,100,000","77,300,000","79,700,000","77,400,000","83,500,000","78,900,000","66,200,000","71,400,000","75,600,000","72,600,000","68,000,000","68,800,000","75,800,000","73,500,000","74,700,000","66,800,000","71,200,000","62,300,000","63,400,000","55,800,000","70,000,000","77,000,000","139,000,000","70,700,000","74,000,000","76,500,000","115,100,000","65,900,000","72,400,000","77,600,000","60,400,000","57,800,000","55,200,000","67,900,000","50,400,000","47,700,000","49,300,000","53,800,000","42,700,000","44,400,000","48,700,000","52,200,000","49,900,000","47,400,000","47,000,000","50,200,000","42,300,000","40,800,000","39,600,000","41,100,000","41,100,000","36,400,000","40,000,000"
	OtherOperatingExpenses,"5,600,000","1,500,000","800,000","900,000","2,400,000","1,900,000","7,200,000","28,800,000","12,500,000","1,600,000","27,600,000","2,300,000","1,000,000","1,400,000","15,000,000","1,000,000","4,300,000","1,000,000","-8,600,000","11,000,000","3,100,000","1,300,000","5,200,000","2,400,000","3,600,000","4,400,000","4,800,000","1,700,000","500,000","1,100,000","1,900,000","1,200,000","500,000","200,000","3,000,000","2,400,000","2,800,000","900,000","3,000,000","1,200,000","800,000","1,500,000","1,400,000","400,000","200,000","300,000","1,000,000","900,000","1,000,000","500,000","2,800,000","700,000","5,100,000","1,900,000","-37,600,000","13,000,000","8,300,000",,"27,800,000","12,300,000","14,400,000","1,000,000","303,600,000","30,000,000","21,100,000","400,000","-7,400,000","6,500,000","2,600,000",,"0",,"4,400,000","-1,500,000","1,500,000","2,900,000","2,500,000","2,900,000",,,
OperatingIncome,"94,500,000","27,400,000","6,600,000","28,600,000","31,900,000","27,200,000","11,100,000","-7,500,000","1,800,000","20,500,000","-36,200,000","28,600,000","40,300,000","23,900,000","19,000,000","44,200,000","22,100,000","32,000,000","38,100,000","18,500,000","27,300,000","27,400,000","13,300,000","25,300,000","29,100,000","7,600,000","21,600,000","24,900,000","26,700,000","11,400,000","24,300,000","27,600,000","24,100,000","17,400,000","16,600,000","18,300,000","30,800,000","20,700,000","20,100,000","28,800,000","26,400,000","32,200,000","12,800,000","29,600,000","27,900,000","31,400,000","6,100,000","16,500,000","20,700,000","11,100,000","-83,100,000","1,700,000","-4,600,000","-5,500,000","12,400,000","20,000,000","34,300,000","25,900,000","2,400,000","19,400,000","21,800,000","19,600,000","-274,400,000","-5,800,000","7,000,000","24,200,000","28,800,000","15,000,000","22,500,000","16,900,000","12,900,000","5,800,000","17,900,000","20,200,000","12,600,000","11,800,000","18,300,000","12,700,000","2,300,000","13,400,000","15,300,000"
NetNonOperatingInterestIncomeExpense,"-16,800,000","-6,900,000","-3,500,000","-2,600,000","-3,800,000","-3,800,000","-3,500,000","-3,900,000","-3,500,000","-4,000,000","-5,700,000","-3,800,000","-4,200,000","-4,500,000","-6,500,000","-5,900,000","-7,100,000","-7,800,000","-8,200,000","-10,300,000","-16,100,000","-14,800,000","-14,100,000","-14,000,000","-13,900,000","-13,100,000","-13,500,000","-12,800,000","-12,900,000","-12,900,000","-12,600,000","-10,500,000","-10,100,000","-10,900,000","-11,200,000","-11,100,000","-11,000,000","-11,000,000","-10,500,000","-10,900,000","-10,800,000","-10,600,000","-10,600,000","-9,900,000","-9,600,000","-9,500,000","-9,300,000","-9,200,000","-4,600,000","-2,800,000","-2,700,000","-2,700,000","-3,000,000","-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,600,000","200,000","800,000","1,400,000","200,000","200,000","400,000","100,000","400,000","700,000","100,000","300,000","300,000","700,000","400,000","200,000","200,000","400,000","500,000","900,000","0","100,000","100,000","300,000","200,000","200,000","300,000","100,000","200,000","100,000","200,000","300,000","300,000","200,000","200,000","200,000","300,000","100,000","200,000","0","100,000","100,000","100,000","300,000","400,000","400,000","400,000","400,000","500,000","300,000","300,000","400,000","100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
