name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,05/31/2015,03/31/2015
TotalRevenue,"384,445,000","97,910,000","99,279,000","95,642,000","91,614,000","87,895,000","87,828,000","82,518,000","78,402,000","78,032,000","77,884,000","68,952,000","67,956,000","66,260,000","67,707,000","62,629,000","62,649,000","59,805,000","212,633,000","0","0","0","0","0","0","0","118,163,000","0","0",,"0"
	OperatingRevenue,"384,445,000","97,910,000","99,279,000","95,642,000","91,614,000","87,895,000","87,828,000","82,518,000","78,402,000","78,032,000","77,884,000","68,952,000","67,956,000","66,260,000","67,707,000","62,629,000","62,649,000","59,805,000","212,633,000","0","0","0","0","0","0","0","118,163,000","0","0",,"0"
CostOfRevenue,"139,835,000","37,207,000","34,657,000","33,376,000","34,595,000","33,836,000","33,584,000","31,991,000","30,437,000","30,199,000","30,320,000","25,915,000","25,034,000","23,837,000","24,136,000","22,220,000","26,084,000","23,541,000","24,896,000","20,109,000",,,,,,,"52,766,000","0","0",,"0"
GrossProfit,"244,610,000","60,703,000","64,622,000","62,266,000","57,019,000","54,059,000","54,244,000","50,527,000","47,965,000","47,833,000","47,564,000","43,037,000","42,922,000","42,423,000","43,571,000","40,409,000","36,565,000","36,264,000","33,008,000","33,502,000",,,,,,,"65,397,000","0","0",,"0"
OperatingExpense,"197,333,000","51,651,000","47,873,000","48,158,000","49,651,000","46,986,000","44,361,000","42,220,000","39,969,000","41,334,000","44,045,000","37,188,000","37,611,000","35,800,000","34,867,000","30,897,000","33,421,000","31,012,000","102,071,167","348,224","304,223","179,386","1,043,479","402,948","821,564","1,066,912","85,747,236","81,162","33,251",,"9,351"
	SellingGeneralAndAdministration,"197,333,000","51,651,000","47,873,000","48,158,000","49,651,000","46,986,000","44,361,000","42,220,000","39,969,000","41,334,000","44,045,000","37,188,000","37,611,000","35,800,000","34,867,000","30,897,000","33,421,000","31,012,000","28,434,000","348,224","304,223","179,386","1,043,479","402,948","821,564","1,066,912","85,747,236","81,162","33,251",,"9,351"
		GeneralAndAdministrativeExpense,"67,520,000","19,951,000","15,444,000","15,631,000","16,494,000","16,603,000","14,063,000","13,025,000","13,133,000","12,922,000","13,202,000","10,472,000","11,266,000","12,424,000","7,268,000","8,585,000","10,324,000","10,805,000","9,360,000","5,618,000",,,,,"821,564","1,066,912","18,277,236","81,162","33,251",,"9,351"
			InsuranceAndClaims,,,,"0","0","0",,,,"921,000",,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"67,520,000","19,951,000","15,444,000","15,631,000","16,494,000","16,603,000","14,063,000","13,025,000","13,133,000","12,001,000","13,202,000","10,472,000","11,266,000","12,424,000","7,268,000","8,585,000","10,324,000","10,805,000","9,360,000","8,580,000",,,,,,,,,,,
		SellingAndMarketingExpense,"129,813,000","31,700,000","32,429,000","32,527,000","33,157,000","30,383,000","30,298,000","29,195,000","26,836,000","28,412,000","30,843,000","26,716,000","26,345,000","23,376,000","27,599,000","22,312,000","23,097,000","20,207,000","19,074,000","17,188,000",,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,"348,224","304,223","179,386","1,043,479","402,948","821,564","1,066,912",,"81,162","33,251",,"9,351"
OperatingIncome,"47,277,000","9,052,000","16,749,000","14,108,000","7,368,000","7,073,000","9,883,000","8,307,000","7,996,000","6,499,000","3,519,000","5,849,000","5,311,000","6,623,000","8,704,000","9,512,000","3,144,000","5,252,000","27,663,833","-348,224","-304,223","-179,386","-1,043,479","-402,948","-821,564","-1,066,912","-20,350,236","-81,162","-33,251",,"-9,351"
NetNonOperatingInterestIncomeExpense,"-2,256,000","-808,000","-757,000","-653,000","-38,000","-47,000","-18,000","-10,000","-12,000","-13,000","234,000","-27,000","-116,000","-232,000","-46,000","-57,874,000","-10,662,000","-22,026,000","-62,284,801","313,290","251,336","200,175","91,783","55,234","177,112","161,227",,"29,335","35,231",,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,"-566,801","313,290","251,336","200,175","91,783","55,234","177,112","161,227",,"29,335","35,231",,
