name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000",,"301,000","333,000",,,,,,,,,"15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,,
TotalCapitalization,"1,907,054,000","1,756,872,000","1,718,024,000","1,397,955,000","1,373,418,000","1,362,612,000","1,365,777,000","1,352,776,000","1,242,629,000","1,265,135,000","1,485,414,000","1,393,190,000","1,158,969,000","793,960,000","1,267,776,000","1,220,965,000","1,064,346,000","1,093,095,000","1,132,401,000","1,085,005,000","1,042,155,000","492,638,000","756,927,000","706,798,000","740,479,000","517,636,000","670,054,000","650,783,000","575,780,000","756,931,000","672,683,000","684,214,000","668,574,000","606,617,000","638,986,000","711,068,000","614,164,000","645,896,000","625,701,000","563,948,000","523,985,000","581,191,000","534,273,000","511,839,000","481,294,000","495,062,000","451,157,000","441,734,000","448,853,000","416,431,000","655,862,000","446,299,000","478,071,000","468,986,000","503,824,000","515,637,000","442,957,000","399,537,000","368,409,000","315,661,000","303,682,000","208,800,000","215,112,000","223,590,000","208,725,000","158,941,000","90,472,000","118,234,000","168,526,000","100,239,279","92,095,028","88,300,775","83,607,461","90,499,006","66,315,370","65,479,385","62,612,208","61,168,703","59,493,222",,"54,437,966","53,263,270","72,762,849","74,610,964","66,123,160","63,449,682","61,106,763","59,317,014","40,513,398"
PreferredStockEquity,"71,988,000","71,988,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,914,000","33,703,000","33,496,000","33,293,000","33,094,000","32,900,000","32,707,000","32,519,000","32,335,000","32,154,000","31,976,000","31,802,000","31,631,000","31,463,000","31,216,000","31,116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"1,401,189,000","1,457,128,000","1,439,635,000","1,118,301,000","1,092,497,000","1,078,975,000","882,267,000","867,963,000","846,436,000","867,185,000","846,095,000","825,501,000","797,835,000","603,804,000","586,837,000","574,084,000","555,015,000","548,573,000","546,336,000","548,753,000","537,921,000","387,098,000","381,098,000","371,629,000","359,384,000","350,829,000","343,563,000","332,430,000","326,109,000","316,241,000","308,754,000","301,564,000","291,449,000","279,705,000","277,740,000","247,675,000","243,704,000","235,745,000","233,602,000","222,185,000","212,520,000","206,272,000","213,369,000","204,084,000","158,308,000","150,829,000","148,245,000","144,718,000","143,258,000","132,110,000","135,040,000","134,761,000","135,668,000","186,672,000","184,959,000","182,901,000","178,237,000","173,149,000","169,243,000","163,069,000","158,702,000","132,994,000","128,165,000","99,197,000","95,506,000","92,605,000","83,497,000","80,440,000","76,724,000","72,725,650","71,045,837","67,385,267","67,156,093","65,387,704","64,428,239","63,120,835","60,153,537","58,809,950","57,134,151","55,164,696","52,571,299","51,896,603","57,861,827","56,686,485","55,168,247","53,483,783","51,127,896","49,300,337","33,603,370"
CapitalLeaseObligations,,,,,,,,,,,,"14,815,000","15,462,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"1,087,158,000","1,141,666,000","1,050,443,000","837,376,000","810,260,000","795,324,000","650,103,000","634,423,000","611,507,000","630,765,000","607,218,000","585,049,000","559,155,000","477,906,000","460,344,000","446,971,000","427,271,000","420,172,000","417,246,000","420,109,000","412,277,000","354,613,000","348,407,000","338,706,000","326,218,000","317,420,000","309,906,000","298,501,000","291,895,000","281,743,000","273,967,000","266,463,000","256,023,000","243,953,000","241,270,000","210,595,000","206,397,000","198,005,000","229,336,000","217,244,000","206,887,000","199,946,000","189,440,000","231,314,000","185,215,000","180,061,000","177,194,000","173,475,000","171,729,000","161,316,000","160,846,000","160,135,000","160,523,000","165,772,000","129,301,000","119,961,000","114,507,000","109,919,000","107,119,000","101,355,000","96,125,000","97,222,000","92,236,000","83,101,000","79,182,000","76,015,000","81,559,000","78,502,000","74,786,000","70,788,113","69,108,300","65,447,730","65,218,556","63,450,167","62,490,702","61,183,298","58,066,000","56,722,413","55,046,614","53,077,159","50,483,762","49,809,066","55,726,648","54,503,664","52,937,785","51,205,679","48,802,150","46,926,949","33,603,370"
InvestedCapital,"1,835,066,000","1,684,884,000","1,718,024,000","1,397,955,000","1,373,418,000","1,362,612,000","1,365,777,000","1,352,776,000","1,242,629,000","1,265,135,000","1,485,414,000","1,393,190,000","1,158,969,000","793,960,000","1,267,776,000","1,220,965,000","1,064,346,000","1,093,095,000","1,132,401,000","1,085,005,000","1,042,155,000","492,638,000","756,927,000","706,798,000","740,479,000","517,636,000","670,054,000","650,783,000","575,780,000","756,931,000","672,683,000","684,214,000","668,574,000","606,617,000","638,986,000","711,068,000","614,164,000","645,896,000","591,787,000","530,245,000","490,489,000","547,898,000","501,179,000","478,939,000","448,587,000","462,543,000","418,822,000","409,580,000","416,877,000","384,629,000","624,231,000","414,836,000","446,855,000","437,870,000","503,824,000","515,637,000","442,957,000","399,537,000","368,409,000","315,661,000","303,682,000","208,800,000","215,112,000","223,590,000","208,725,000","160,466,000","111,092,000","138,854,000","168,526,000","107,176,427","103,508,098","139,733,083","98,075,567","104,999,062","83,991,990","94,587,187","92,045,816","90,632,747","59,493,222",,"54,437,966","53,263,270","74,262,849","74,610,964","66,123,160","63,449,682","61,106,763","59,317,014","40,513,398"
TangibleBookValue,"1,015,170,000","1,069,678,000","1,050,443,000","837,376,000","810,260,000","795,324,000","650,103,000","634,423,000","611,507,000","630,765,000","607,218,000","585,049,000","559,155,000","477,906,000","460,344,000","446,971,000","427,271,000","420,172,000","417,246,000","420,109,000","412,277,000","354,613,000","348,407,000","338,706,000","326,218,000","317,420,000","309,906,000","298,501,000","291,895,000","281,743,000","273,967,000","266,463,000","256,023,000","243,953,000","241,270,000","210,595,000","206,397,000","198,005,000","195,422,000","183,541,000","173,391,000","166,653,000","156,346,000","198,414,000","152,508,000","147,542,000","144,859,000","141,321,000","139,753,000","129,514,000","129,215,000","128,672,000","129,307,000","134,656,000","129,301,000","119,961,000","114,507,000","109,919,000","107,119,000","101,355,000","96,125,000","97,222,000","92,236,000","83,101,000","79,182,000","76,015,000","81,559,000","78,502,000","74,786,000","70,788,113","69,108,300","65,447,730","65,218,556","63,450,167","62,490,702","61,183,298","58,066,000","56,722,413","55,046,614","53,077,159","50,483,762","49,809,066","55,726,648","54,503,664","52,937,785","51,205,679","48,802,150","46,926,949","33,603,370"
TotalDebt,"433,877,000","227,756,000","278,389,000","279,654,000","280,921,000","283,637,000","483,510,000","484,813,000","396,193,000","397,950,000","639,319,000","582,504,000","376,596,000","190,156,000","680,939,000","646,881,000","509,331,000","544,522,000","586,065,000","536,252,000","504,234,000","105,540,000","375,829,000","335,169,000","381,095,000","166,807,000","326,491,000","318,353,000","249,671,000","440,690,000","363,929,000","382,650,000","377,125,000","326,912,000","361,246,000","463,393,000","370,460,000","410,151,000","358,185,000","308,060,000","277,969,000","341,626,000","287,810,000","274,855,000","290,279,000","311,714,000","270,577,000","264,862,000","273,619,000","252,519,000","489,191,000","280,075,000","311,187,000","251,198,000","318,865,000","332,736,000","264,720,000","226,388,000","199,166,000","152,592,000","144,980,000","75,806,000","86,947,000","124,393,000","113,219,000","67,861,000","27,595,000","58,414,000","91,802,000","34,450,777","32,462,261","72,347,816","30,919,474","39,611,358","19,563,751","31,466,352","31,892,279","31,822,797","2,359,071",,"1,866,667","1,366,667","16,401,022","17,924,479","10,954,913","9,965,899","9,978,867","10,016,677","6,910,028"
NetDebt,,,,,,"9,389,000","84,125,000","131,560,000","211,848,000","230,024,000","381,671,000","378,283,000","138,101,000","211,869,000","523,040,000","468,889,000","364,929,000","389,777,000","401,467,000","417,930,000","293,650,000","182,738,000","255,838,000","224,190,000","274,055,000","71,741,000","198,646,000","217,602,000","149,386,000","334,729,000","234,853,000","254,965,000","234,230,000","111,119,000","254,817,000","359,798,000","243,741,000","292,832,000","272,540,000","232,141,000","101,374,000","152,124,000","21,307,000","76,373,000","84,181,000","19,448,000","213,864,000","184,804,000","134,249,000","153,025,000","394,021,000","235,692,000","263,460,000","211,188,000","278,046,000","264,726,000","194,177,000","148,404,000","150,473,000","106,490,000","101,990,000","32,579,000","31,220,000","73,723,000","70,518,000","13,659,000",,"23,164,000","59,576,000","5,970,677","3,003,489","40,468,665","4,659,578","13,123,181",,,,,,,,,,,,,,,
ShareIssued,"39,496,569","39,799,615","40,352,097","33,165,056","33,239,276","33,190,306","28,189,670","28,176,087","28,140,602","28,067,087","28,042,628","28,033,246","28,004,905","23,938,994","23,919,261","23,900,669","23,867,710","23,781,112","23,754,814","23,746,748","23,699,453","20,306,353","20,249,711","20,234,235","20,229,129","20,093,119","20,035,165","20,023,019","20,011,455","19,913,519","19,861,022","19,840,568","19,781,608","19,399,709","19,352,365","18,299,466","18,182,148","18,088,152","18,039,710","17,933,051","17,871,511","17,849,862","17,819,113","17,814,718","15,016,977","14,965,401","14,929,912","14,929,912","14,928,275","12,958,820","12,909,777","12,909,777","12,909,777","12,909,777","12,769,996","12,730,421","12,486,995","12,406,357","12,427,583","12,548,372","12,533,947","11,539,539","11,451,940","10,508,415","10,465,529","10,458,852","10,111,302","10,056,002","10,032,252","9,778,357","9,731,990","9,684,025","9,676,675","9,618,482","9,592,296","9,565,123","9,563,523","9,497,794","9,448,151","9,437,551","9,315,451","9,270,667","9,254,496","9,233,196","9,147,139","9,072,521","9,063,052","8,970,800","7,152,024"
OrdinarySharesNumber,"37,516,476","37,819,522","38,372,004","31,184,963","31,259,183","31,210,213","26,209,577","26,195,994","26,160,509","26,543,245","26,612,767","26,906,141","26,877,800","22,811,889","23,091,666","23,144,081","23,111,122","23,089,439","23,063,141","23,485,030","23,437,735","20,044,635","19,987,993","19,979,217","19,993,029","20,017,119","19,959,165","19,947,019","19,935,455","19,837,519","19,785,022","19,764,568","19,705,608","19,323,709","19,276,365","18,223,466","18,106,148","18,012,152","17,963,710","17,857,051","17,795,511","17,773,862","17,743,113","17,738,718","14,940,977","14,889,401","14,853,912","14,853,912","14,852,275","12,882,820","12,833,777","12,833,777","12,833,777","12,833,777","12,693,996","12,654,421","12,486,995","12,406,357","12,427,583","12,548,372","12,533,947","11,539,539","11,451,940","10,508,415","10,465,529","10,458,852","10,111,302","10,056,002","10,032,252","9,778,357","9,731,990","9,684,025","9,676,675","9,618,482","9,592,296","9,565,123","9,563,523","9,497,794","9,448,151","9,437,551","9,315,451","9,270,667","9,254,496","9,233,196","9,147,139","9,072,521","9,063,052","8,970,800","7,152,024"
PreferredSharesNumber,"75,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasurySharesNumber,"1,980,093","1,980,093","1,980,093","1,980,093","1,980,093","1,980,093","1,980,093","1,980,093","1,980,093","1,523,842","1,429,861","1,127,105","1,127,105","1,127,105","827,595","756,588","756,588","691,673","691,673","261,718","261,718","261,718","261,718","255,018","236,100","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000","76,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
