name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
MarketCap,"2,786,724,755","5,016,297,345","3,961,857,042","3,689,880,829","3,074,346,717","2,785,881,394","3,597,763,449","2,446,203,060","2,860,437,266","2,130,680,489","3,944,884,426","3,460,665,923","4,016,866,469","4,445,632,420","3,724,814,254","6,096,083,851","3,749,722,208","4,082,662,064","3,180,601,284"
EnterpriseValue,"2,478,581,755","4,765,058,345","3,714,450,042","3,496,117,829","2,912,557,717","2,565,477,394","3,425,310,449","2,346,600,060","2,782,261,266","2,028,667,489","3,846,191,426","3,372,728,923","3,938,869,469","4,287,945,420","3,577,172,254","5,954,321,851","3,607,719,208","3,944,953,064","3,227,663,284"
PeRatio,,,"38.227","33.774","34.513","35.044","55.667","56.921","68.514","51.189","97.722","79.359","57.317","70.281","74.68","158.188","408.427","320.583",
ForwardPeRatio,"16.287","27.248","24.039","23.641","25","27.248","25.575","28.49","93.458","37.879","53.192","60.606","100","106.383","90.909","175.439","172.414","238.095",
PegRatio,"1.253","2.094","2.403","3.936","4.164","2.723","0.825","0.918","2.608","0.947","1.333","1.64","4.559","4.546","18.232","34.806","34.74",,
PsRatio,"2.286","5.228","5.191","5.297","5.328","4.92","6.464","4.384","4.705","3.648","7.164","6.682","8.342","10.001","8.859","15.921","10.578","7.362","10.999"
PbRatio,"5.995","9.706","6.723","6.719","6.044","7.457","10.636","8.268","10.291","8.295","16.638","15.562","19.072","22.923","21.856","39.157","28.191","32.141",
EnterprisesValueRevenueRatio,"2.047","11.066","10.946","15.684","13.376","14.971","22.601","15.912","29.368","12.865","24.319","22.416","27.159","31.699","28.386","50.019","32.701","39.969","35.627"
EnterprisesValueEBITDARatio,"12.9","125.913","67.642","68.913","59.877","74.454","95.084","51.014","230.587","135.163","243.538","285.293","721.141","473.179","231.472","1,204.597","1,354.249","764.674","1,845.434"
