name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalAssets,"6,866,476,000","6,975,517,000","6,536,244,000","6,714,453,000","6,613,380,000","4,890,347,000","4,608,594,000","4,548,114,000","4,331,227,000","4,388,926,000","4,031,093,000","3,935,196,000","5,167,456,000","5,136,049,000","5,436,527,000","5,366,062,000","5,137,477,000","5,820,176,000","5,499,396,000","5,430,909,000","5,360,566,000","6,390,227,000","5,922,503,000","5,714,214,000","5,518,689,000","5,481,438,000","5,405,483,000","5,501,975,000","5,454,636,000","5,512,007,000","5,231,477,000","5,249,216,000","5,269,473,000","5,212,249,000","5,123,989,000","4,996,011,000","4,848,339,000","4,796,402,000","4,489,153,000","4,329,016,000","4,151,118,000","4,099,541,000","3,882,864,000","3,869,689,000","3,752,565,000","3,703,600,000","3,496,987,000","3,318,590,000","3,238,460,000","3,091,147,000","2,913,974,000","2,816,268,000","2,712,024,000","2,694,306,000","2,562,905,000","2,569,846,000","2,547,543,000","2,534,693,000","2,312,876,000","2,282,922,000","2,187,380,000","2,024,473,000","1,956,847,000","1,991,933,000","1,776,859,000","1,681,656,000","1,612,937,000","1,383,735,000","1,290,225,000","1,286,084,000","1,173,830,000","1,158,103,000","1,151,549,000","1,344,939,000","1,243,816,000","1,230,414,000","1,153,773,000","1,161,531,000","1,108,858,000","1,201,469,000","1,177,488,000","1,208,230,000","1,211,934,000","1,185,430,000","1,159,892,000","1,112,573,000","1,119,585,000","1,221,342,000","1,205,809,000","1,037,900,000","924,100,000","847,400,000","805,200,000","431,400,000","338,400,000","353,800,000","293,600,000","282,700,000","264,900,000","268,800,000","163,000,000","149,600,000","137,900,000","129,800,000","51,300,000"
	CurrentAssets,"1,672,939,000","1,718,985,000","1,339,784,000","1,499,618,000","1,370,297,000","1,991,106,000","1,738,964,000","1,685,977,000","1,461,053,000","1,512,732,000","1,194,000,000","1,271,714,000","2,453,010,000","2,086,901,000","2,497,961,000","2,266,391,000","2,075,410,000","2,621,423,000","2,151,673,000","2,086,487,000","2,085,157,000","2,561,277,000","2,272,387,000","2,001,791,000","1,787,570,000","1,683,951,000","1,737,138,000","1,589,283,000","1,668,656,000","1,688,324,000","1,444,710,000","1,541,570,000","1,538,901,000","1,563,095,000","1,328,806,000","1,371,358,000","1,301,475,000","1,713,735,000","1,319,514,000","1,875,676,000","1,423,729,000","1,373,030,000","1,311,641,000","1,452,556,000","1,431,839,000","1,470,479,000","1,386,648,000","1,311,653,000","1,086,725,000","1,039,295,000","961,265,000","952,389,000","891,055,000","940,140,000","893,075,000","825,878,000","774,972,000","934,345,000","1,036,130,000","1,030,843,000","939,628,000","811,737,000","701,599,000","862,731,000","781,462,000","726,457,000","695,654,000","565,455,000","472,315,000","426,580,000","433,855,000","410,336,000","410,251,000","809,485,000","691,330,000","647,689,000","561,730,000","375,299,000","364,051,000","357,442,000","333,954,000","346,055,000","353,131,000","375,980,000","539,342,000","586,731,000","772,652,000","794,255,000","722,553,000","570,200,000","412,300,000","408,100,000","536,700,000","244,000,000","290,100,000","291,200,000","266,300,000","258,400,000","242,100,000","242,300,000","159,500,000","147,500,000","137,200,000","129,300,000","50,900,000"
		CashCashEquivalentsAndShortTermInvestments,"739,118,000","527,179,000","449,665,000","521,012,000","498,176,000","877,008,000","924,781,000","867,670,000","550,525,000","588,816,000","549,206,000","563,145,000","1,786,280,000","1,202,381,000","1,833,878,000","1,509,075,000","1,464,964,000","1,747,646,000","1,503,762,000","1,355,863,000","1,414,095,000","1,684,029,000","1,663,011,000","1,350,831,000","1,155,754,000","871,370,000","1,072,800,000","872,491,000","983,319,000","789,409,000","747,223,000","820,398,000","829,277,000","734,716,000","694,669,000","700,150,000","657,944,000","928,631,000","683,047,000","1,297,784,000","867,081,000","739,757,000","775,051,000","898,421,000","929,919,000","893,805,000","902,179,000","823,025,000","673,067,000","599,611,000","578,667,000","579,675,000","556,559,000","575,296,000","461,064,000","388,835,000","430,710,000","579,834,000","710,987,000","729,597,000","649,756,000","501,706,000","457,137,000","620,833,000","580,265,000","502,935,000","508,231,000","390,951,000","310,638,000","233,141,000","265,995,000","240,365,000","251,193,000","612,314,000","515,077,000","470,002,000","402,460,000","219,913,000","246,810,000","197,840,000","185,038,000","216,771,000","215,905,000","262,178,000","412,104,000","466,637,000","608,884,000","627,025,000","503,523,000","438,100,000","317,200,000","234,900,000","413,100,000","127,500,000","133,100,000","152,800,000","119,000,000","140,100,000","149,100,000","172,500,000","110,400,000","99,100,000","97,600,000","122,000,000","46,500,000"
			CashAndCashEquivalents,"726,690,000","513,993,000","428,569,000","501,112,000","477,743,000","752,895,000","568,824,000","555,072,000","524,881,000","545,761,000","493,834,000","504,720,000","1,612,679,000","618,766,000","1,205,182,000","1,021,708,000","954,697,000","1,115,130,000","940,869,000","844,771,000","907,977,000","956,956,000","1,308,683,000","666,232,000","513,306,000","368,518,000","527,594,000","362,313,000","402,933,000","260,149,000","242,787,000","279,402,000","298,519,000","280,740,000","246,473,000","263,153,000","251,465,000","643,609,000","324,127,000","961,840,000","390,881,000","333,296,000","312,130,000","430,816,000","515,340,000","396,162,000","398,988,000","344,704,000","281,847,000","261,443,000","300,368,000","294,210,000","269,823,000","326,121,000","218,078,000","147,381,000","192,133,000","223,749,000","363,457,000","495,446,000","449,571,000","349,054,000","216,539,000","344,589,000","423,192,000","484,035,000","508,231,000","207,673,000","120,947,000","73,485,000","197,655,000","183,958,000","201,102,000","359,343,000","264,469,000","248,222,000","151,819,000","142,700,000","117,560,000","93,301,000","84,570,000","139,693,000","162,225,000","215,261,000","328,123,000","375,025,000","322,408,000","350,960,000","265,142,000","216,100,000","179,900,000","234,900,000","413,100,000","127,500,000","133,100,000","152,800,000","119,000,000","140,100,000","149,100,000","172,500,000","110,400,000","99,100,000","97,600,000","122,000,000","46,500,000"
			OtherShortTermInvestments,"12,428,000","13,186,000","21,096,000","19,900,000","20,433,000","124,113,000","355,957,000","312,598,000","25,644,000","43,055,000","55,372,000","58,425,000","173,601,000","583,615,000","628,696,000","487,367,000","510,267,000","632,516,000","562,893,000","511,092,000","506,118,000","727,073,000","354,328,000","684,599,000","642,448,000","502,852,000","545,206,000","510,178,000","580,386,000","529,260,000","504,436,000","540,996,000","530,758,000","453,976,000","448,196,000","436,997,000","406,479,000","285,022,000","358,920,000","335,944,000","476,200,000","406,461,000","462,921,000","467,605,000","414,579,000","497,643,000","503,191,000","478,321,000","391,220,000","338,168,000","278,299,000","285,465,000","286,736,000","249,175,000","242,986,000","241,454,000","238,577,000","356,085,000","347,530,000","234,151,000","200,185,000","152,652,000","240,598,000","276,244,000","157,073,000","18,900,000",,"183,278,000","189,691,000","159,656,000","68,340,000","56,407,000","50,091,000","252,971,000","250,608,000","221,780,000","250,641,000","77,213,000","129,250,000","104,539,000","100,468,000","77,078,000","53,680,000","46,917,000","83,981,000","91,612,000","286,476,000","276,065,000","238,381,000","222,000,000","137,300,000",,,,,,,,,,,,,,
		Receivables,"602,540,000","885,311,000","532,002,000","665,519,000","570,534,000","858,009,000","564,782,000","614,150,000","700,026,000","720,359,000","426,842,000","530,102,000","482,647,000","688,420,000","413,509,000","528,386,000","427,890,000","712,535,000","464,801,000","541,315,000","485,769,000","725,940,000","475,085,000","504,420,000","450,000,000","669,276,000","467,815,000","500,976,000","438,177,000","674,401,000","465,558,000","506,409,000","510,862,000","654,821,000","450,395,000","493,671,000","450,939,000","630,956,000","456,545,000","404,212,000","389,807,000","484,431,000","339,494,000","338,734,000","297,190,000","378,395,000","273,286,000","319,378,000","242,607,000","304,912,000","237,897,000","224,184,000","198,173,000","231,296,000","220,772,000","225,277,000","186,600,000","225,861,000","190,536,000","177,418,000","168,047,000","204,974,000","149,343,000","136,175,000","116,418,000","142,015,000","111,130,000","98,861,000","85,459,000","108,399,000","90,115,000","86,479,000","67,646,000","87,464,000","85,563,000","84,246,000","68,733,000","69,471,000","51,895,000","69,665,000","79,504,000","65,032,000","79,203,000","55,596,000","43,057,000","37,299,000","53,111,000","57,282,000","82,974,000","55,300,000","47,400,000","44,000,000","43,800,000","32,800,000","33,100,000","36,200,000","20,700,000","12,600,000","8,600,000","7,300,000","6,700,000","5,500,000","5,900,000","3,100,000","3,400,000"
			AccountsReceivable,"602,540,000","885,311,000","532,002,000","665,519,000","570,534,000","858,009,000","564,782,000","614,150,000","700,026,000","720,359,000","426,842,000","530,102,000","482,647,000","688,420,000","413,509,000","528,386,000","427,890,000","712,535,000","464,801,000","541,315,000","485,769,000","725,940,000","475,085,000","504,420,000","450,000,000","669,276,000","467,815,000","500,976,000","438,177,000","674,401,000","465,558,000","506,409,000","510,862,000","654,821,000","450,395,000","493,671,000","450,939,000","630,956,000","456,545,000","404,212,000","389,807,000","484,431,000","339,494,000","338,734,000","297,190,000","378,395,000","273,286,000","319,378,000","242,607,000","304,912,000","237,897,000","224,184,000","198,173,000","231,296,000","220,772,000","225,277,000","186,600,000","225,861,000","190,536,000","177,418,000","168,047,000","204,974,000","149,343,000","136,175,000","116,418,000","142,015,000","111,130,000","98,861,000","85,459,000","108,399,000","90,115,000","86,479,000","67,646,000","87,464,000","85,563,000","84,246,000","68,733,000","69,471,000","51,895,000","69,665,000","79,504,000","65,032,000","79,203,000","55,596,000","43,057,000",,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"642,878,000","918,590,000","554,790,000","688,990,000","594,564,000","883,877,000","580,425,000","634,285,000","718,400,000","729,916,000","433,804,000","537,612,000","488,970,000","692,950,000","418,615,000","532,123,000","431,510,000","717,180,000","468,309,000","545,363,000","491,204,000","731,823,000","480,646,000","510,114,000","456,113,000","676,995,000",,"505,824,000","443,671,000","680,377,000","470,512,000","511,495,000","515,822,000","660,175,000","455,766,000","499,949,000","456,905,000",,"461,787,000","408,851,000","394,246,000","488,356,000","344,595,000","343,569,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-40,338,000","-33,279,000","-22,788,000","-23,471,000","-24,030,000","-25,868,000","-15,643,000","-20,135,000","-18,374,000","-9,557,000","-6,962,000","-7,510,000","-6,323,000","-4,530,000","-5,106,000","-3,737,000","-3,620,000","-4,645,000","-3,508,000","-4,048,000","-5,435,000","-5,883,000","-5,561,000","-5,694,000","-6,113,000","-7,719,000",,"-4,848,000","-5,494,000","-5,976,000","-4,954,000","-5,086,000","-4,960,000","-5,354,000","-5,371,000","-6,278,000","-5,966,000",,"-5,242,000","-4,639,000","-4,439,000","-3,925,000","-5,101,000","-4,835,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"26,993,000","23,158,000","24,442,000","21,699,000","21,210,000","20,089,000","15,887,000","17,767,000","17,323,000","15,898,000","18,518,000","22,888,000","23,145,000","21,905,000","21,386,000","20,282,000","13,569,000","13,912,000","14,892,000","13,229,000","15,210,000","12,522,000","14,809,000","11,509,000","12,194,000","10,521,000","10,863,000","12,708,000","12,024,000","12,617,000","16,483,000","14,206,000","12,537,000","14,107,000","11,979,000","13,697,000","11,229,000","10,723,000","10,961,000","6,659,000","9,430,000","8,507,000","7,024,000","7,332,000","7,513,000","6,980,000",,"7,374,000","7,337,000","8,664,000","8,793,000","9,864,000","10,038,000","11,226,000","12,654,000","12,821,000","13,805,000","9,629,000","6,809,000","6,791,000","9,709,000","6,619,000","5,415,000","4,817,000","3,954,000","3,933,000",,,,,,,,,,,,"1,774,000","2,538,000","2,438,000","3,014,000","3,568,000","3,733,000","4,136,000","4,593,000","4,622,000","5,107,000","8,840,000","10,489,000","7,700,000","8,500,000","7,500,000","4,800,000","4,100,000","4,300,000","3,400,000","2,300,000","2,300,000","1,400,000","800,000","800,000","700,000","600,000","500,000","300,000"
