name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
TotalAssets,"6,600,000,000","6,588,000,000","6,601,000,000","6,639,000,000","6,728,000,000","7,613,000,000","7,822,000,000","7,597,000,000","7,776,000,000","7,453,000,000","7,563,000,000","7,466,000,000","7,370,000,000","7,158,000,000","7,132,000,000","7,075,000,000","11,099,000,000","10,403,000,000","10,261,000,000","10,348,000,000","10,343,000,000","9,819,000,000","9,743,000,000","9,942,000,000","10,165,000,000","9,716,000,000","9,707,000,000","10,024,000,000","9,898,000,000","9,679,000,000","9,557,000,000","9,857,000,000","10,022,000,000","9,741,000,000","9,666,000,000","9,849,000,000","9,892,000,000","9,463,000,000","9,355,000,000","9,114,000,000","9,372,000,000","9,023,000,000","9,022,000,000","9,329,000,000","9,457,000,000","9,416,000,000","9,213,000,000","9,219,000,000","9,585,000,000","9,352,000,000","9,342,000,000","9,379,000,000","9,444,000,000","9,573,000,000","10,997,000,000","10,939,000,000","10,822,000,000","10,459,000,000","10,200,000,000","9,994,000,000","9,774,000,000","9,520,000,000","9,118,000,000","9,849,000,000","9,610,000,000","9,167,000,000"
	CurrentAssets,"4,311,000,000","4,488,000,000","4,357,000,000","4,418,000,000","4,493,000,000","5,617,000,000","5,574,000,000","5,425,000,000","5,539,000,000","5,362,000,000","5,274,000,000","5,280,000,000","5,218,000,000","5,229,000,000","4,676,000,000","4,665,000,000","3,682,000,000","2,882,000,000","2,039,000,000","2,258,000,000","2,302,000,000","1,726,000,000","1,843,000,000","2,127,000,000","2,349,000,000","1,780,000,000","1,843,000,000","2,164,000,000","2,107,000,000","1,778,000,000","1,842,000,000","2,054,000,000","2,239,000,000","1,893,000,000","1,864,000,000","2,095,000,000","2,141,000,000","1,830,000,000","1,829,000,000","1,935,000,000","2,115,000,000","1,730,000,000","1,674,000,000","1,903,000,000","1,993,000,000","1,752,000,000","1,602,000,000","1,728,000,000","1,876,000,000","1,740,000,000","1,699,000,000","1,802,000,000","1,924,000,000","1,914,000,000","1,990,000,000","2,310,000,000","2,281,000,000","2,056,000,000","2,010,000,000","2,166,000,000","2,074,000,000","2,052,000,000","1,942,000,000","2,922,000,000","2,920,000,000","2,568,000,000"
		CashCashEquivalentsAndShortTermInvestments,"381,000,000","396,000,000","346,000,000","328,000,000","322,000,000","1,231,000,000","1,276,000,000","1,052,000,000","1,018,000,000","400,000,000","250,000,000","257,000,000","217,000,000","243,000,000","164,000,000","155,000,000","291,000,000","116,000,000","289,000,000","415,000,000","222,000,000","199,000,000","332,000,000","478,000,000","318,000,000","171,000,000","259,000,000","410,000,000","180,000,000","183,000,000","252,000,000","247,000,000","203,000,000","194,000,000","269,000,000","342,000,000","217,000,000","195,000,000","232,000,000","286,000,000","239,000,000","142,000,000","175,000,000","296,000,000","174,000,000","156,000,000","170,000,000","239,000,000","163,000,000","155,000,000","170,000,000","174,000,000","135,000,000","136,000,000","228,000,000","240,000,000","229,000,000","210,000,000","231,000,000","251,000,000","174,000,000","269,000,000","160,000,000","148,000,000","115,000,000","99,000,000"
			CashAndCashEquivalents,"381,000,000","369,000,000","346,000,000","328,000,000","322,000,000","1,196,000,000","1,276,000,000","1,052,000,000","1,018,000,000","355,000,000","250,000,000","257,000,000","217,000,000","218,000,000","164,000,000","155,000,000","291,000,000","100,000,000","289,000,000","415,000,000","222,000,000","185,000,000","332,000,000","478,000,000","318,000,000","171,000,000","259,000,000","410,000,000","180,000,000","183,000,000","252,000,000","247,000,000","203,000,000","194,000,000","269,000,000","342,000,000","217,000,000","195,000,000","232,000,000","286,000,000","239,000,000","142,000,000","175,000,000","296,000,000","174,000,000","156,000,000","170,000,000","239,000,000","163,000,000","155,000,000","170,000,000","174,000,000","135,000,000","136,000,000","228,000,000","240,000,000","229,000,000","210,000,000","231,000,000","251,000,000","174,000,000","269,000,000","160,000,000","148,000,000","115,000,000","99,000,000"
			OtherShortTermInvestments,,"27,000,000",,,,"35,000,000",,,,"45,000,000",,,,"25,000,000",,,,"16,000,000",,,,"14,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,407,000,000","2,502,000,000","2,417,000,000","2,429,000,000","2,464,000,000","2,694,000,000","2,643,000,000","2,745,000,000","2,929,000,000","3,380,000,000","3,255,000,000","3,188,000,000","3,157,000,000","3,227,000,000","3,186,000,000","3,110,000,000","718,000,000","711,000,000","843,000,000","855,000,000","1,102,000,000","924,000,000","806,000,000","840,000,000","1,080,000,000","901,000,000","759,000,000","791,000,000","998,000,000","897,000,000","751,000,000","789,000,000","1,042,000,000","933,000,000","737,000,000","763,000,000","932,000,000","823,000,000","696,000,000","688,000,000","879,000,000","706,000,000","660,000,000","687,000,000","919,000,000","720,000,000","634,000,000","640,000,000","838,000,000","693,000,000","669,000,000","688,000,000","841,000,000","754,000,000","713,000,000","770,000,000","886,000,000","842,000,000","737,000,000","739,000,000","853,000,000","751,000,000","698,000,000","1,865,000,000","1,873,000,000","1,735,000,000"
			AccountsReceivable,"146,000,000","131,000,000","125,000,000","110,000,000","111,000,000","115,000,000","122,000,000","130,000,000","137,000,000","144,000,000","137,000,000","140,000,000","137,000,000","121,000,000","197,000,000","206,000,000","450,000,000","385,000,000","586,000,000","598,000,000","842,000,000","610,000,000","542,000,000","573,000,000","810,000,000","586,000,000","486,000,000","513,000,000","718,000,000","516,000,000","461,000,000","493,000,000","742,000,000","505,000,000","429,000,000","452,000,000","614,000,000","442,000,000","376,000,000","393,000,000","584,000,000","409,000,000","366,000,000","390,000,000","619,000,000","425,000,000","349,000,000","353,000,000","548,000,000","404,000,000","379,000,000","400,000,000","554,000,000","460,000,000","412,000,000","472,000,000","886,000,000","749,000,000","705,000,000","708,000,000","818,000,000","686,000,000","635,000,000","1,865,000,000","1,873,000,000","1,735,000,000"
				GrossAccountsReceivable,,"330,000,000",,,,"336,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-199,000,000",,,,"-221,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"5,000,000",,,,"20,000,000",,,,"34,000,000",,,,"6,000,000",,,,"27,000,000",,,,"12,000,000",,,,"11,000,000",,,,"38,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"2,261,000,000","2,366,000,000","2,292,000,000","2,319,000,000","2,353,000,000","2,559,000,000","2,521,000,000","2,615,000,000","2,792,000,000","3,202,000,000","3,118,000,000","3,048,000,000","3,020,000,000","3,100,000,000","2,989,000,000","2,904,000,000","268,000,000","299,000,000","257,000,000","257,000,000","260,000,000","302,000,000","264,000,000","267,000,000","270,000,000","304,000,000","273,000,000","278,000,000","280,000,000","343,000,000","290,000,000","296,000,000","300,000,000","428,000,000","308,000,000","311,000,000","318,000,000","381,000,000","320,000,000","295,000,000","295,000,000","297,000,000","294,000,000","297,000,000","300,000,000","295,000,000","285,000,000","287,000,000","290,000,000","289,000,000","290,000,000","288,000,000","287,000,000","294,000,000","301,000,000","298,000,000",,"93,000,000","32,000,000","31,000,000","35,000,000","65,000,000","63,000,000",,,"0"
			ReceivablesAdjustmentsAllowances,,,,,,,,"-846,000,000","-930,000,000","-747,000,000","-767,000,000","-735,000,000","-721,000,000","-734,000,000","-743,000,000","-705,000,000","-65,000,000","-63,000,000","-60,000,000","-58,000,000","-57,000,000","-57,000,000","-58,000,000","-56,000,000","-55,000,000","-57,000,000","-58,000,000","-57,000,000","-57,000,000","-59,000,000","-59,000,000","-59,000,000","-58,000,000","-57,000,000","-58,000,000","-54,000,000","-55,000,000","-52,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
