name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"1,874,164,000","482,123,000","480,171,000","471,422,000","440,448,000","413,121,000","350,370,000","309,459,000","288,669,000","280,717,000","301,157,000","323,674,000","322,006,000","302,293,000","314,446,000","320,946,000","304,085,000","274,512,000","268,430,000","285,247,000","264,224,000","236,303,000","232,085,000","250,694,000","236,645,000","222,738,000","214,382,000","208,888,000","219,453,000","206,182,000","223,671,000","233,777,000","223,217,000","209,986,000","210,993,000","224,510,000","214,379,000","176,964,000","163,287,000","166,617,000","159,239,000","144,663,000","143,313,000","160,577,000","169,806,000","161,555,000","163,766,000","163,120,000","149,153,000","136,847,000","130,287,000","122,122,000","103,898,000","78,050,000","87,140,000","134,047,000","116,018,000","95,580,000","107,592,000","105,264,000","96,283,000","92,020,000","94,432,000","92,575,000","82,712,000","73,589,000","61,367,000","54,200,000","50,598,000","48,600,000","47,908,000","49,353,000","47,012,000","41,430,000","39,120,000","34,941,000","33,391,000","29,453,000","28,664,000","30,287,000","29,946,000","26,924,000","25,786,000","22,698,000","21,001,000","25,814,000","26,093,000","32,332,000","32,600,000","27,437,000","23,300,000","21,800,000","18,000,000","15,600,000","14,500,000","14,600,000","14,300,000","16,800,000","16,700,000","16,900,000","15,500,000","16,500,000","14,900,000","14,400,000","13,500,000","13,200,000","14,100,000","15,400,000","14,500,000","14,200,000","10,200,000","9,900,000","9,400,000","8,800,000","7,600,000","7,200,000","6,400,000","5,200,000","5,000,000","4,700,000","4,600,000","4,100,000","3,800,000","3,700,000","3,600,000","3,500,000","4,000,000","3,700,000","3,400,000","3,100,000","3,100,000","3,200,000","3,100,000","3,100,000","3,900,000","3,700,000","3,500,000","3,500,000","4,100,000","4,100,000","3,500,000","2,900,000","3,100,000","2,800,000","2,800,000","2,800,000","2,800,000"
	OperatingRevenue,"1,874,164,000","482,123,000","480,171,000","471,422,000","440,448,000","413,121,000","350,370,000","309,459,000","288,669,000","280,717,000","301,157,000","323,674,000","322,006,000","302,293,000","314,446,000","320,946,000","304,085,000","274,512,000","268,430,000","285,247,000","264,224,000","236,303,000","232,085,000","250,694,000","236,645,000","222,738,000","214,382,000","208,888,000","219,453,000","206,182,000","223,671,000","233,777,000","223,217,000","209,986,000","210,993,000","224,510,000","214,379,000","176,964,000","163,287,000","166,617,000","159,239,000","144,663,000","143,313,000","160,577,000","169,806,000","161,555,000","163,766,000","163,120,000","149,153,000","136,847,000","130,287,000","122,122,000","103,898,000","78,050,000","87,140,000","134,047,000","116,018,000","95,580,000","107,592,000","105,264,000","96,283,000","92,020,000","94,432,000","92,575,000","82,712,000","73,589,000","61,367,000","54,200,000","50,598,000","48,600,000","47,908,000","49,353,000","47,012,000","41,430,000","39,120,000","34,941,000","33,391,000","29,453,000","28,664,000","30,287,000","29,946,000","26,924,000","25,786,000","22,698,000","21,001,000","25,748,000","26,093,000","32,332,000","32,600,000","27,437,000","23,300,000","21,800,000","18,000,000","15,600,000","14,500,000","14,600,000","14,300,000","16,800,000","16,700,000","16,900,000","15,500,000","16,500,000","14,900,000","14,400,000","13,500,000","13,200,000","14,100,000","15,400,000","14,500,000","14,200,000","10,200,000","9,900,000","9,400,000","8,800,000","7,600,000","7,200,000","6,400,000","5,200,000","5,000,000","4,700,000","4,600,000","4,100,000","3,800,000","3,700,000","3,600,000","3,500,000","4,000,000","3,700,000","3,400,000","3,100,000","3,100,000","3,200,000","3,100,000","3,100,000","3,900,000","3,700,000","3,500,000","3,500,000","4,100,000","4,100,000","3,500,000","2,900,000","3,100,000","2,800,000","2,800,000","2,800,000","2,800,000"
CostOfRevenue,"1,145,743,000","285,426,000","289,480,000","290,191,000","280,646,000","274,485,000","227,673,000","198,369,000","187,177,000","184,875,000","191,795,000","201,628,000","200,018,000","189,882,000","200,247,000","205,732,000","196,817,000","175,917,000","172,051,000","188,900,000","174,085,000","162,392,000","164,822,000","170,071,000","161,828,000","158,518,000","160,785,000","147,252,000","150,016,000","142,269,000","153,009,000","159,045,000","152,913,000","148,405,000","150,192,000","154,951,000","153,086,000","130,781,000","120,040,000","123,012,000","118,211,000","110,957,000","107,818,000","115,383,000","114,191,000","104,162,000","101,124,000","102,143,000","95,686,000","89,064,000","88,518,000","84,547,000","76,528,000","63,557,000","64,264,000","95,929,000","76,400,000","63,664,000","71,566,000","71,112,000","65,605,000","62,496,000","62,884,000","61,879,000","55,279,000","49,375,000","39,960,000","35,323,000","33,101,000","32,004,000","31,697,000","32,607,000","31,984,000","28,680,000","27,561,000","25,779,000","25,045,000","22,205,000","21,411,000","22,420,000","22,815,000","22,572,000","22,191,000","20,279,000","16,957,000","19,544,000","17,046,000","19,962,000","21,022,000","18,002,000","15,600,000","15,200,000","13,100,000","11,300,000","10,700,000","10,700,000","10,500,000","12,100,000","11,900,000","12,300,000","10,700,000","11,600,000","10,300,000","10,800,000","10,000,000","9,400,000","10,000,000","10,900,000","10,300,000","10,200,000","7,200,000","7,000,000","6,800,000","6,400,000","5,600,000","5,100,000","4,600,000","3,800,000","3,700,000","3,400,000",,,"2,600,000","2,600,000",,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"728,421,000","196,697,000","190,691,000","181,231,000","159,802,000","138,636,000","122,697,000","111,090,000","101,492,000","95,842,000","109,362,000","122,046,000","121,988,000","112,411,000","114,199,000","115,214,000","107,268,000","98,595,000","96,379,000","96,347,000","90,139,000","73,911,000","67,263,000","80,623,000","74,817,000","64,220,000","53,597,000","61,636,000","69,437,000","63,913,000","70,662,000","74,732,000","70,304,000","61,581,000","60,801,000","69,559,000","61,293,000","46,183,000","43,247,000","43,605,000","41,028,000","33,706,000","35,495,000","45,194,000","55,615,000","57,393,000","62,642,000","60,977,000","53,467,000","47,783,000","41,769,000","37,575,000","27,370,000","14,493,000","22,876,000","38,118,000","39,618,000","31,916,000","36,026,000","34,152,000","30,678,000","29,524,000","31,548,000","30,696,000","27,433,000","24,214,000","21,407,000","18,877,000","17,497,000","16,596,000","16,211,000","16,746,000","15,028,000","12,750,000","11,559,000","9,162,000","8,346,000","7,248,000","7,253,000","7,867,000","7,131,000","4,352,000","3,595,000","2,419,000","4,044,000","6,270,000","9,047,000","12,370,000","11,578,000","9,435,000","7,700,000","6,600,000","4,900,000","4,300,000","3,800,000","3,900,000","3,800,000","4,700,000","4,800,000","4,600,000","4,800,000","4,900,000","4,600,000","3,600,000","3,500,000","3,800,000","4,100,000","4,500,000","4,200,000","4,000,000","3,000,000","2,900,000","2,600,000","2,400,000","2,000,000","2,100,000","1,800,000","1,400,000","1,300,000","1,300,000",,,"1,200,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"406,522,000","103,639,000","104,454,000","103,984,000","94,445,000","91,246,000","82,835,000","73,235,000","70,623,000","69,990,000","72,538,000","73,331,000","73,472,000","70,288,000","69,949,000","69,376,000","68,898,000","71,975,000","68,674,000","68,598,000","64,473,000","62,323,000","61,892,000","60,670,000","63,540,000","62,765,000","60,312,000","50,242,000","47,439,000","47,010,000","49,624,000","49,728,000","47,161,000","47,238,000","45,727,000","49,297,000","51,055,000","42,407,000","43,233,000","36,083,000","32,724,000","28,206,000","30,556,000","31,828,000","30,261,000","29,063,000","30,408,000","31,147,000","29,315,000","28,923,000","28,019,000","26,634,000","21,743,000","22,422,000","23,633,000","29,857,000","22,121,000","18,350,000","18,640,000","18,161,000","16,553,000","15,623,000","15,453,000","13,798,000","13,793,000","13,370,000","9,844,000","8,519,000","8,046,000","7,487,000","6,341,000","7,112,000","7,224,000","6,262,000","6,973,000","6,001,000","5,196,000","4,409,000","4,093,000","4,770,000","4,830,000","4,078,000","105,719,000","3,845,000","3,453,000","5,267,000","5,760,000","6,299,000","6,359,000","5,540,000","4,500,000","4,300,000","4,000,000","3,700,000","2,900,000","3,100,000","3,100,000","3,100,000","2,900,000","2,800,000","3,300,000","3,200,000","3,500,000","2,500,000","2,600,000","2,600,000","2,200,000","2,500,000","2,500,000","2,500,000","2,300,000","1,900,000","1,800,000","1,700,000","1,600,000","1,600,000","1,500,000","1,500,000","1,300,000","1,300,000",,,"1,100,000","1,200,000",,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"270,477,000","71,443,000","70,951,000","67,803,000","60,280,000","58,676,000","52,829,000","44,651,000","45,372,000","42,215,000","44,200,000","46,123,000","47,333,000","43,688,000","44,419,000","42,475,000","42,153,000","47,150,000","44,727,000","43,525,000","39,697,000","39,690,000","39,091,000","38,321,000","41,390,000","39,454,000","40,963,000","34,669,000","31,882,000","31,731,000","34,183,000","33,897,000","33,291,000","32,330,000","32,840,000","33,810,000","35,080,000","30,376,000","28,661,000","25,796,000","24,760,000","22,146,000","22,585,000","23,404,000","22,575,000","21,410,000","23,106,000","22,837,000","21,422,000","21,419,000","20,021,000","19,079,000","15,240,000","16,056,000","15,718,000","20,914,000","17,127,000","14,659,000","14,779,000","14,607,000","13,397,000","12,679,000","13,121,000","11,825,000","11,716,000","11,284,000","8,816,000","7,581,000","7,196,000","6,692,000","5,424,000","6,171,000","6,417,000","5,491,000","5,489,000","5,089,000","4,796,000","4,149,000","3,852,000","4,311,000","4,370,000","3,765,000","3,229,000","3,845,000","3,453,000","3,184,000","4,093,000","5,050,000","5,270,000","4,542,000","3,600,000","3,600,000","3,400,000","3,100,000","2,500,000","2,800,000","2,900,000","2,800,000","2,500,000","2,600,000","3,100,000","3,000,000","3,000,000","2,400,000","2,600,000","2,500,000","2,100,000","2,500,000","2,400,000","2,400,000","2,200,000","1,800,000","1,800,000","1,700,000","1,600,000","1,500,000","1,400,000","1,400,000","1,200,000","1,200,000",,,"1,000,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"120,218,000","28,677,000","30,096,000","31,458,000","29,987,000","27,659,000","24,819,000","24,469,000","21,322,000","23,678,000","21,951,000","22,689,000","21,707,000","22,170,000","21,487,000","22,549,000","22,050,000","20,200,000","19,662,000","20,379,000","19,796,000","18,040,000","17,690,000","17,088,000","17,010,000","18,149,000","16,383,000","13,745,000","13,590,000","13,309,000","12,571,000","13,864,000","12,781,000","12,920,000","12,466,000","13,611,000","12,145,000","10,080,000","9,295,000","9,084,000","8,218,000","7,164,000","6,876,000","7,304,000","6,533,000","6,518,000","6,181,000","7,212,000","6,815,000","6,376,000","6,813,000","6,284,000","5,385,000","5,275,000","5,792,000","7,360,000","4,994,000","3,736,000","3,861,000","3,554,000","3,156,000","2,944,000","2,332,000","1,941,000","2,077,000","1,966,000","1,025,000","938,000","850,000","900,000","917,000","942,000","815,000","748,000","691,000","612,000","400,000","260,000","241,000","459,000","460,000","313,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"16,055,000","3,862,000","4,077,000","4,056,000","4,060,000","4,023,000","4,012,000","4,007,000","4,021,000","4,221,000","4,502,000","4,519,000","4,536,000","4,484,000","4,488,000","4,418,000","4,678,000","4,767,000","4,700,000","4,694,000","4,646,000","4,758,000","5,099,000","5,117,000","5,131,000","5,131,000","2,966,000","1,828,000",,,"1,954,000",,,"1,981,000","2,003,000",,"2,295,000",,"1,721,000",,,,,"1,120,000","1,153,000",,"1,121,000","1,098,000","1,078,000","1,128,000","1,185,000","1,271,000","1,118,000","1,091,000","2,123,000","1,583,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,083,000","1,667,000","1,249,000","1,089,000","998,000","900,000","700,000","600,000","600,000","400,000","300,000","200,000","300,000","400,000","200,000","200,000","200,000","500,000","100,000",,"100,000","100,000",,"100,000","100,000","100,000","100,000",,,"0","100,000","100,000","100,000","100,000","100,000",,,"100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"16,055,000","3,862,000","4,077,000","4,056,000","4,060,000","4,023,000","4,012,000","4,007,000","4,021,000","4,221,000","4,502,000","4,519,000","4,536,000","4,484,000","4,488,000","4,418,000","4,678,000","4,767,000","4,700,000","4,694,000","4,646,000","4,758,000","5,099,000","5,117,000","5,131,000","5,131,000","2,966,000","1,828,000",,,"1,954,000",,,"1,981,000","2,003,000",,"2,295,000",,"1,721,000",,,,,"1,120,000","1,153,000",,"1,121,000","1,098,000","1,078,000","1,128,000","1,185,000","1,271,000","1,118,000","1,091,000","2,123,000","1,583,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,083,000","1,667,000","1,249,000","1,089,000","998,000","900,000","700,000","600,000","600,000","400,000","300,000","200,000","300,000","400,000","200,000","200,000","200,000","500,000","100,000",,"100,000","100,000",,"100,000","100,000","100,000","100,000",,,"0","100,000","100,000","100,000","100,000","100,000",,,"100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"16,055,000","3,862,000","4,077,000","4,056,000","4,060,000","4,023,000","4,012,000","4,007,000","4,021,000","4,221,000","4,502,000","4,519,000","4,536,000","4,484,000","4,488,000","4,418,000","4,678,000","4,767,000","4,700,000","4,694,000","4,646,000","4,758,000","5,099,000","5,117,000","5,131,000","5,131,000","2,966,000","1,828,000",,,"1,954,000",,,"1,981,000","2,003,000",,"2,295,000",,"1,721,000",,,,,"1,120,000","1,153,000",,"1,121,000","1,098,000","1,078,000","1,128,000","1,185,000","1,271,000","1,118,000","1,091,000","2,123,000","1,583,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
