name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
			OtherIntangibleAssets,,"6,200,000",,,,,,,,"3,700,000",,,,"18,500,000",,,,"19,600,000",,,,"20,900,000",,,,"19,200,000",,,,"19,200,000",,,,"16,400,000",,,,,"14,907,000",,,,,,"14,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentProperties,"3,835,598,000","3,766,199,000","3,581,218,000","3,484,079,000","3,371,005,000","3,382,189,000","3,182,745,000","3,115,994,000","3,316,896,000","3,238,891,000","3,156,311,000","3,101,357,000","3,027,378,000","2,958,897,000","2,959,648,000","2,982,051,000","2,922,930,000","2,941,208,000","2,739,127,000","2,747,511,000","2,725,569,000","2,787,382,000","2,766,960,000","2,687,030,000","2,651,070,000","2,618,982,000","2,533,840,000","2,524,525,000","2,573,776,000","2,557,608,000","2,548,023,000","2,548,671,000","2,454,098,000","2,435,078,000","2,346,249,000","2,214,043,000","2,216,546,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"211,195,000","161,942,000","122,345,000","117,935,000","83,943,000","73,137,000",,"244,381,000",,"8,100,000",,,,"8,500,000",,,,"8,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"211,195,000","161,942,000","122,345,000","117,935,000","83,943,000","73,137,000",,,,"8,100,000",,,,"8,500,000",,,,"8,700,000",,,,,,,,,,,,,,,,,,,,,"1,266,000",,,,,,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"211,195,000","161,942,000","122,345,000","117,935,000","83,943,000","73,137,000",,,,"8,100,000",,,,"8,500,000",,,,"8,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,,,,,,,,"244,381,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,,,,,,,,"0",,,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,"3,500,000",,,,"4,900,000",,,,"8,700,000",,,,"9,900,000",,,,"11,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"199,186,000","36,000,000","186,328,000","182,123,000","182,043,000","176,120,000","182,436,000","183,616,000","189,708,000","42,300,000","181,975,000","176,537,000","175,864,000","38,600,000","222,582,000","216,437,000","220,576,000","38,400,000","200,824,000","191,036,000","192,174,000","29,000,000","197,380,000","185,298,000","187,665,000","28,900,000","192,969,000","191,524,000","188,198,000","30,500,000","178,238,000","173,299,000","160,267,000","17,900,000","155,961,000","151,194,000","132,102,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"2,197,603,000","2,073,803,000","1,953,866,000","1,868,425,000","1,855,996,000","1,863,884,000","1,811,076,000","1,802,592,000","1,888,221,000","1,663,846,000","1,685,997,000","1,659,103,000","1,556,744,000","1,474,605,000","1,460,831,000","1,446,634,000","1,418,872,000","1,403,702,000","1,281,442,000","1,312,221,000","1,385,945,000","1,387,233,000","1,357,127,000","1,531,616,000","1,548,616,000","1,573,979,000","1,512,988,000","1,512,143,000","1,559,270,000","1,536,456,000","1,521,817,000","1,530,760,000","1,499,330,000","1,484,376,000","1,386,534,000","1,419,222,000","1,518,634,000","1,419,028,000","1,319,709,000","1,506,129,000","1,517,927,000","1,516,216,000","1,464,995,000","1,369,353,000","1,394,265,000","1,514,569,000","1,246,854,000","1,105,423,000","1,140,011,000","1,145,616,000","1,099,753,000","1,053,231,000","1,051,213,000","1,069,960,000","779,194,000","874,124,000","872,901,000","863,497,000","854,636,000","855,554,000","1,052,838,000","908,967,000","884,308,000","886,927,000","829,689,000","835,184,000","809,517,000","776,643,000","772,402,000","770,194,000","776,984,000","807,220,000","752,998,000","623,432,000","611,660,000","586,655,000","581,689,000","581,347,000","568,038,000","529,277,000","550,105,000","543,823,000","571,559,000","618,697,000","584,822,000","579,039,000","567,301,000","587,180,000","594,053,000","590,100,000","615,900,000","597,700,000","610,700,000","597,700,000","169,800,000","100,400,000","98,800,000","112,000,000","119,200,000","115,700,000","100,800,000","181,500,000","137,300,000","119,400,000","107,200,000","102,400,000","99,900,000","73,500,000","62,400,000","46,900,000","35,000,000","21,900,000","25,900,000","25,900,000","10,600,000","4,800,000"
	CurrentLiabilities,"403,818,000","296,402,000","170,647,000","88,869,000","74,749,000","82,390,000","80,076,000","65,485,000","279,648,000","371,662,000","397,394,000","380,905,000","322,152,000","342,998,000","318,068,000","66,830,000","62,519,000","260,088,000","69,977,000","97,519,000","184,839,000","185,880,000","152,624,000","260,425,000","265,033,000","281,522,000","66,055,000","57,311,000","50,246,000","155,612,000","60,525,000","73,501,000","51,653,000","312,853,000","58,634,000","59,113,000","45,620,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PayablesAndAccruedExpenses,"69,131,000","86,108,000","79,381,000","74,927,000","66,407,000","81,174,000","79,528,000","65,485,000","64,574,000","78,517,000","75,094,000","60,394,000","61,519,000","80,411,000","72,927,000","66,490,000","62,318,000","70,995,000","69,918,000","62,121,000","62,746,000","78,266,000","71,052,000","70,408,000","66,013,000","75,489,000","65,839,000","57,143,000","50,144,000","70,240,000","60,017,000","72,460,000","50,682,000","73,741,000","57,610,000","58,833,000","45,534,000","65,678,000","51,264,000","57,785,000","47,036,000","72,217,000","65,202,000","66,768,000","55,822,000","62,652,000","61,400,000","53,879,000","58,815,000","55,043,000","61,404,000","44,421,000","50,644,000","45,937,000","50,877,000","34,014,000","39,320,000","37,376,000","31,373,000","26,514,000","264,586,000","32,448,000","41,634,000","27,971,000","37,536,000","30,774,000","44,951,000","25,329,000","35,933,000","28,279,000","36,389,000","20,231,000","20,342,000","15,649,000","22,264,000","16,005,000","19,683,000","24,960,000","19,966,000","13,887,000","19,988,000","18,894,000","25,314,000","19,982,000","16,265,000","22,714,000","20,599,000","19,536,000","14,750,000","17,700,000","19,300,000","22,100,000","21,000,000","25,800,000","9,100,000","6,800,000","5,400,000","6,900,000","9,200,000","11,700,000","10,100,000","12,400,000","7,400,000","8,800,000","7,200,000","8,800,000","6,300,000","6,300,000","6,300,000","6,400,000","8,400,000","5,500,000","4,400,000","4,400,000","2,400,000","2,100,000"
			Payables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,877,000","34,014,000","39,320,000","37,376,000","31,373,000","26,514,000","264,586,000","32,448,000",,"27,971,000","37,536,000","30,774,000","44,951,000","25,329,000","35,933,000","28,279,000","36,389,000","20,231,000","20,342,000","15,649,000","22,264,000","16,005,000","19,683,000","24,960,000","19,966,000","13,887,000","19,988,000","18,894,000","25,314,000","19,982,000","16,265,000","22,714,000","20,599,000","19,536,000","14,750,000","17,700,000","19,300,000","22,100,000","21,000,000","25,800,000","9,100,000","6,800,000","5,400,000","6,900,000","9,200,000","11,700,000","10,100,000","12,400,000","7,400,000","8,800,000","7,200,000","8,800,000","6,300,000","6,300,000","6,300,000","6,400,000","8,400,000","5,500,000","4,400,000","4,400,000","2,400,000","2,100,000"
		CurrentDebtAndCapitalLeaseObligation,"334,000,000","210,000,000","90,500,000","13,000,000","7,000,000",,,,"215,000,000","293,000,000","322,000,000","320,000,000","260,000,000","262,000,000","245,000,000",,,"189,000,000",,"35,000,000","122,000,000","107,000,000","81,000,000","190,000,000","199,000,000","206,000,000",,,,"85,000,000",,,,"238,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDebt,"334,000,000","210,000,000","90,500,000","13,000,000","7,000,000",,,,"215,000,000","293,000,000","322,000,000","320,000,000","260,000,000","262,000,000","245,000,000",,,"189,000,000",,"35,000,000","122,000,000","107,000,000","81,000,000","190,000,000","199,000,000","206,000,000",,,,"85,000,000",,,,"238,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LineOfCredit,"334,000,000","210,000,000","90,500,000","13,000,000","7,000,000","0","0","0","215,000,000","293,000,000","322,000,000","320,000,000","260,000,000","262,000,000","245,000,000",,,"189,000,000",,"35,000,000","122,000,000","107,000,000","81,000,000","190,000,000","199,000,000","206,000,000",,,,"85,000,000",,,,"238,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"687,000","294,000","766,000","942,000","1,342,000","1,216,000","548,000",,"74,000","145,000","300,000","511,000","633,000","587,000","141,000","340,000","201,000","93,000","59,000","398,000","93,000","614,000","572,000","17,000","20,000","33,000","216,000","168,000","102,000","372,000","508,000","1,041,000","971,000","1,112,000","1,024,000","280,000","86,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
