name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"475,469,000","501,415,000","521,948,000","210,383,000","224,628,000","124,825,000"
	CurrentAssets,"403,374,000","420,017,000","492,313,000","197,291,000","214,344,000","119,990,000"
		CashCashEquivalentsAndShortTermInvestments,"392,533,000","414,475,000","486,645,000","193,673,000","212,340,000","118,701,000"
			CashAndCashEquivalents,"333,347,000","360,487,000","445,811,000","156,396,000","169,989,000","65,376,000"
			OtherShortTermInvestments,"59,186,000","53,988,000","40,834,000","37,277,000","42,351,000","53,325,000"
		PrepaidAssets,"10,841,000","5,542,000","5,668,000","3,618,000","2,004,000","1,289,000"
	TotalNonCurrentAssets,"72,095,000","81,398,000","29,635,000","13,092,000","10,284,000","4,835,000"
		NetPPE,"37,337,000","33,310,000","27,562,000","4,134,000","3,799,000","4,072,000"
			GrossPPE,"39,467,000","35,037,000","28,969,000","5,353,000","4,850,000","4,974,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"3,856,000","3,170,000","2,234,000","598,000","585,000","574,000"
				OtherProperties,"19,614,000","19,844,000","21,228,000","3,960,000","3,470,000","3,605,000"
				ConstructionInProgress,"15,202,000","11,228,000","4,712,000",,"0","0"
				Leases,"795,000","795,000","795,000","795,000","795,000","795,000"
			AccumulatedDepreciation,"-2,130,000","-1,727,000","-1,407,000","-1,219,000","-1,051,000","-902,000"
		InvestmentsAndAdvances,"29,224,000","44,770,000",,"5,000,000","5,000,000","0"
			InvestmentinFinancialAssets,"29,224,000",,,,,
				AvailableForSaleSecurities,"29,224,000",,,,,
		OtherNonCurrentAssets,"5,534,000","3,318,000","2,073,000","3,958,000","1,485,000","763,000"
TotalLiabilitiesNetMinorityInterest,"50,807,000","44,887,000","38,957,000","360,380,000","353,887,000","238,809,000"
	CurrentLiabilities,"21,391,000","26,381,000","19,588,000","17,914,000","11,214,000","13,680,000"
		PayablesAndAccruedExpenses,"14,403,000","15,937,000","10,956,000","10,727,000","5,333,000","7,861,000"
			Payables,"4,712,000","4,677,000","1,324,000","1,507,000","1,042,000","878,000"
				AccountsPayable,"4,712,000","4,677,000","1,324,000","1,507,000","1,042,000","878,000"
			CurrentAccruedExpenses,"9,691,000","11,260,000","9,632,000","9,220,000","4,291,000","6,983,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"4,569,000","7,275,000","4,711,000","3,069,000","1,581,000","2,416,000"
		CurrentDebtAndCapitalLeaseObligation,"14,000","285,000","864,000","888,000","898,000","877,000"
			CurrentCapitalLeaseObligation,"14,000","285,000","864,000","888,000","898,000","877,000"
		OtherCurrentLiabilities,"2,405,000","2,884,000","3,057,000","3,230,000","3,402,000","2,526,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"29,416,000","18,506,000","19,369,000","342,466,000","342,673,000","225,129,000"
		LongTermDebtAndCapitalLeaseObligation,"29,416,000","18,506,000","19,369,000","1,668,000","1,875,000","2,109,000"
			LongTermCapitalLeaseObligation,"29,416,000","18,506,000","19,369,000","1,668,000","1,875,000","2,109,000"
		PreferredSecuritiesOutsideStockEquity,,,"0","340,798,000","340,798,000","221,405,000"
		OtherNonCurrentLiabilities,,,,,,"1,615,000"
TotalEquityGrossMinorityInterest,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
	StockholdersEquity,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
		CapitalStock,"12,000","12,000","12,000","3,000","3,000","3,000"
			PreferredStock,"0","0","0",,,
			CommonStock,"12,000","12,000","12,000","3,000","3,000","3,000"
		AdditionalPaidInCapital,"700,225,000","694,844,000","690,681,000","11,634,000","4,156,000","1,413,000"
		RetainedEarnings,"-274,624,000","-238,166,000","-207,702,000","-161,633,000","-133,419,000","-115,402,000"
		GainsLossesNotAffectingRetainedEarnings,"-951,000","-162,000","0","-1,000","1,000","2,000"
TotalCapitalization,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
CommonStockEquity,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
CapitalLeaseObligations,"29,430,000","18,791,000","20,233,000","2,556,000","2,773,000","2,986,000"
NetTangibleAssets,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
WorkingCapital,"381,983,000","393,636,000","472,725,000","179,377,000","203,130,000","106,310,000"
InvestedCapital,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
TangibleBookValue,"424,662,000","456,528,000","482,991,000","-149,997,000","-129,259,000","-113,984,000"
TotalDebt,"29,430,000","18,791,000","20,233,000","2,556,000","2,773,000","2,986,000"
ShareIssued,"119,875,630","119,102,505","118,645,593","114,892,968","114,892,968","114,892,968"
OrdinarySharesNumber,"119,875,630","119,102,505","118,645,593","114,892,968","114,892,968","114,892,968"
