name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
TotalRevenue,"0","0","0","0","0","0","35,000,000","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","35,000,000","0","0","0","0","0","0","0","0","0"
OperatingExpense,"205,181,000","61,469,000","55,796,000","40,895,000","47,021,000","29,756,000","23,781,000","21,592,000","19,821,000","16,130,000","17,371,000","15,329,000","14,851,000","11,688,000","6,447,000","5,230,000"
	SellingGeneralAndAdministration,"86,777,000","27,366,000","26,452,000","18,029,000","14,930,000","12,381,000","8,519,000","7,669,000","6,874,000","6,403,000","5,199,000","4,584,000","3,646,000","3,265,000","2,741,000","1,824,000"
		GeneralAndAdministrativeExpense,"86,777,000","27,366,000","26,452,000","18,029,000","14,930,000","12,381,000","8,519,000","7,669,000","6,874,000","6,403,000","5,199,000","4,584,000","3,646,000","3,265,000","2,741,000","1,824,000"
			OtherGandA,"41,916,000","27,366,000","-18,409,000","18,029,000","14,930,000","12,381,000","-7,957,000","7,669,000","6,874,000","6,403,000","-3,546,000","4,584,000","3,646,000","3,265,000","-1,810,000","1,824,000"
	ResearchAndDevelopment,"118,404,000","34,103,000","29,344,000","22,866,000","32,091,000","17,375,000","15,262,000","13,923,000","12,947,000","9,727,000","12,172,000","10,745,000","11,205,000","8,423,000","3,706,000","3,406,000"
OperatingIncome,"-205,181,000","-61,469,000","-55,796,000","-40,895,000","-47,021,000","-29,756,000","11,219,000","-21,592,000","-19,821,000","-16,130,000","-17,371,000","-15,329,000","-14,851,000","-11,688,000","-6,447,000","-5,230,000"
NetNonOperatingInterestIncomeExpense,"669,000","198,000","81,000","179,000","211,000","227,000","174,000","63,000","157,000","936,000","1,267,000","997,000","1,004,000","279,000","228,000","226,000"
	InterestIncomeNonOperating,"669,000","198,000","81,000","179,000","211,000","227,000","174,000","63,000","157,000","936,000","1,267,000","997,000","1,004,000","279,000","228,000","226,000"
	TotalOtherFinanceCost,,,,,,,,,,,"-1,267,000","-997,000",,,"-228,000","-226,000"
OtherIncomeExpense,"-1,412,000","-530,000","-357,000","-325,000","-200,000","-258,000","-121,000","-130,000","-229,000","-100,000","-113,000","-2,501,000",,,,
