name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999
		OtherNonCurrentLiabilities,"10,689,000","8,162,000","7,149,000","5,082,000","2,979,000","937,000","3,403,000","489,000","445,000","429,000","465,000","591,000","588,000","827,000","1,752,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,475,000","13,215,000","13,712,000",,,,,,,"6,449,000","5,500,000","10,227,000",,"11,130,000","10,848,000",,,,,,,,,,"6,884,000","7,316,000",,,,,,,,,,,,,,,,,"100,000",,
TotalEquityGrossMinorityInterest,"405,844,000","381,260,000","372,763,000","360,939,000","357,281,000","388,794,000","382,223,000","345,455,000","302,087,000","275,326,000","292,996,000","325,286,000","313,169,000","316,237,000","279,258,000","292,859,000","275,621,000","252,959,000","251,633,000","242,321,000","240,174,000","239,743,000","220,034,000","216,226,000","218,023,000","209,317,000","214,505,000","210,866,000","209,535,000","205,861,000","215,662,000","230,764,000","252,398,000","265,948,000","280,865,000","287,355,000","290,095,000","294,726,000","302,089,000","307,577,000","302,867,000","295,143,000","312,617,000","312,996,000","305,935,000","316,748,000","328,275,000","332,773,000","344,240,000","337,021,000","343,717,000","353,480,000","351,601,000","359,974,000","367,901,000","382,204,000","389,959,000","383,380,000","377,540,000","384,007,000","385,699,000","391,162,000","392,688,000","396,181,000","391,209,000","385,797,000","379,558,000","375,534,000","367,176,000","364,043,000","361,328,000","353,105,000","343,471,000","337,046,000","322,413,000","341,959,000","345,278,000","361,099,000","362,674,000","389,438,000","373,024,000","361,846,000","359,089,000","347,859,000","371,856,000","357,796,000","347,331,000","258,537,000","245,300,000","225,200,000","33,500,000"
	StockholdersEquity,"405,844,000","381,260,000","372,763,000","360,939,000","357,281,000","388,794,000","382,223,000","345,455,000","302,087,000","275,326,000","292,996,000","325,286,000","313,169,000","316,237,000","279,258,000","292,859,000","275,621,000","252,959,000","251,633,000","242,321,000","240,174,000","239,743,000","220,034,000","216,226,000","218,023,000","209,317,000","214,505,000","210,866,000","209,535,000","205,861,000","215,662,000","230,764,000","252,398,000","265,948,000","280,865,000","287,355,000","290,095,000","294,726,000","302,089,000","307,577,000","302,867,000","295,143,000","312,617,000","312,996,000","305,935,000","316,748,000","328,275,000","332,773,000","344,240,000","337,021,000","343,717,000","353,480,000","351,601,000","359,974,000","367,901,000","382,204,000","389,959,000","383,380,000","377,540,000","384,007,000","385,699,000","391,162,000","392,688,000","396,181,000","391,209,000","385,797,000","379,558,000","375,534,000","367,176,000","364,043,000","361,328,000","353,105,000","343,471,000","337,046,000","322,413,000","341,959,000","345,278,000","361,099,000","362,674,000","389,438,000","373,024,000","361,846,000","359,089,000","347,859,000","368,013,000","355,029,000","345,488,000","258,537,000","245,300,000","225,200,000","33,500,000"
		CapitalStock,"744,000","749,000","758,000","761,000","764,000","778,000","778,000","774,000","774,000","773,000","786,000","780,000","780,000","780,000","780,000","772,000","772,000","771,000","771,000","764,000","764,000","764,000","764,000","760,000","760,000","759,000","759,000","755,000","755,000","755,000","755,000","752,000","752,000","751,000","751,000","748,000","748,000","748,000","748,000","745,000","745,000","745,000","744,000","741,000","741,000","740,000","739,000","735,000","735,000","734,000","733,000","729,000","729,000","729,000","728,000","723,000","722,000","718,000","718,000","715,000","711,000","710,000","708,000","706,000","699,000","691,000","690,000","689,000","688,000","686,000","685,000","684,000","684,000","684,000","730,000","730,000","730,000","730,000","730,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","30,706,000","682,000","700,000","700,000","600,000"
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000",,,,
			CommonStock,"744,000","749,000","758,000","761,000","764,000","778,000","778,000","774,000","774,000","773,000","786,000","780,000","780,000","780,000","780,000","772,000","772,000","771,000","771,000","764,000","764,000","764,000","764,000","760,000","760,000","759,000","759,000","755,000","755,000","755,000","755,000","752,000","752,000","751,000","751,000","748,000","748,000","748,000","748,000","745,000","745,000","745,000","744,000","741,000","741,000","740,000","739,000","735,000","735,000","734,000","733,000","729,000","729,000","729,000","728,000","723,000","722,000","718,000","718,000","715,000","711,000","710,000","708,000","706,000","699,000","691,000","690,000","689,000","688,000","686,000","685,000","684,000","684,000","684,000","730,000","730,000","730,000","730,000","730,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","706,000","682,000","700,000","700,000","600,000"
		AdditionalPaidInCapital,"386,562,000","409,884,000","415,054,000","419,239,000","420,014,000","424,758,000","422,397,000","424,202,000","417,257,000","405,353,000","419,523,000","440,796,000","429,217,000","415,281,000","410,186,000","446,771,000","430,008,000","422,208,000","415,911,000","418,331,000","412,097,000","403,387,000","382,337,000","379,872,000","373,356,000","369,643,000","364,436,000","361,959,000","356,615,000","353,706,000","352,589,000","352,231,000","350,430,000","346,974,000","344,939,000","344,776,000","343,185,000","341,762,000","340,652,000","340,732,000","339,537,000","338,414,000","338,435,000","339,996,000","338,396,000","336,592,000","334,632,000","332,928,000","329,773,000","326,008,000","323,056,000","321,475,000","318,948,000","317,105,000","316,982,000","315,493,000","308,985,000","301,329,000","299,601,000","298,441,000","290,327,000","284,837,000","280,314,000","277,693,000","266,481,000","258,372,000","256,066,000","254,716,000","253,769,000","252,793,000","251,409,000","250,775,000","248,143,000","247,926,000","297,473,000","297,315,000","297,315,000","297,362,000","297,362,000","296,938,000","296,525,000","296,525,000","296,525,000","296,525,000","295,467,000","294,136,000","264,225,000","222,535,000","210,400,000","198,100,000",
		RetainedEarnings,"17,841,000","-31,793,000","-45,822,000","-61,970,000","-66,415,000","-39,727,000","-43,923,000","-82,285,000","-116,780,000","-133,664,000","-129,944,000","-118,849,000","-119,090,000","-101,326,000","-133,178,000","-156,053,000","-156,730,000","-172,391,000","-167,949,000","-179,685,000","-175,591,000","-167,303,000","-166,151,000","-167,586,000","-159,330,000","-164,096,000","-153,873,000","-155,077,000","-151,122,000","-151,828,000","-141,151,000","-125,886,000","-102,360,000","-85,289,000","-68,381,000","-61,573,000","-57,771,000","-51,815,000","-43,473,000","-38,005,000","-40,946,000","-47,278,000","-29,666,000","-31,272,000","-36,535,000","-23,728,000","-10,549,000","-3,608,000","11,466,000","7,902,000","17,595,000","29,501,000","30,483,000","40,969,000","48,126,000","63,565,000","77,291,000","78,439,000","74,346,000","83,300,000","93,652,000","104,726,000","111,608,000","117,427,000","123,896,000","127,180,000","123,885,000","121,037,000","113,215,000","110,741,000","110,405,000","102,766,000","94,674,000","88,558,000","74,146,000","74,240,000","78,359,000","94,359,000","95,963,000","93,435,000","77,465,000","68,035,000","63,194,000","51,202,000","71,610,000","59,927,000","50,454,000","35,215,000","34,300,000","26,500,000","33,000,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,815,000","30,569,000","30,569,000","30,693,000","30,693,000","1,139,000","1,140,000","1,140,000",,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"697,000","2,420,000","2,773,000","2,909,000","2,918,000","2,985,000","2,971,000","2,764,000","836,000","2,864,000","2,631,000","2,559,000","2,262,000","1,502,000","1,470,000","1,369,000","1,571,000","2,371,000","2,900,000","2,911,000","2,904,000","2,895,000","3,084,000","3,180,000","3,237,000","3,011,000","3,183,000","3,229,000","3,287,000","3,228,000","3,469,000","3,667,000","3,576,000","3,512,000","3,556,000","3,404,000","3,933,000","4,031,000","4,162,000","4,105,000","3,531,000","3,262,000","3,104,000","3,531,000","3,333,000","3,144,000","3,453,000","2,718,000","2,266,000","2,377,000","2,333,000","1,775,000","1,441,000","1,171,000","2,065,000","2,423,000","2,961,000","2,894,000","2,875,000","1,552,000","1,009,000","889,000","58,000","355,000","133,000","-446,000","-1,083,000","-908,000","-496,000","-177,000","-1,171,000","-1,120,000","-30,000","-122,000","-121,000","243,000","-557,000","-659,000","-688,000","-525,000","-555,000","-2,303,000","-1,359,000","-597,000","207,000","237,000","103,000","105,000","-100,000","-100,000","-100,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,843,000","2,767,000","1,843,000",,,,
TotalCapitalization,"427,017,000","402,544,000","394,153,000","382,432,000","378,875,000","410,494,000","404,024,000","367,354,000","324,087,000","297,424,000","315,192,000","348,383,000","337,567,000","341,933,000","306,242,000","321,121,000","484,571,000","461,817,000","460,413,000","451,040,000","448,844,000","436,347,000","256,774,000","231,104,000","234,032,000","226,452,000","232,759,000","230,233,000","230,009,000","227,436,000","238,332,000","254,523,000","277,241,000","291,333,000","306,029,000","287,355,000","290,095,000","294,726,000","302,089,000","307,577,000","302,867,000","295,502,000","313,301,000","313,998,000","307,249,000","318,369,000","330,197,000","334,989,000","346,746,000","339,811,000","346,785,000","356,821,000","355,210,000","363,846,000","372,031,000","386,587,000","394,589,000","388,255,000","382,654,000","389,352,000","391,273,000","397,110,000","398,855,000","402,562,000","397,802,000","392,595,000","386,558,000","382,732,000","374,571,000","371,628,000","369,099,000","361,060,000","351,977,000","345,762,000","331,346,000","351,085,000","354,100,000","370,084,000","371,818,000","398,740,000","382,483,000","371,455,000","368,845,000","357,762,000","378,015,000","365,171,000","355,754,000","268,937,000","256,000,000","236,100,000","44,200,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000",,,,
CommonStockEquity,"405,844,000","381,260,000","372,763,000","360,939,000","357,281,000","388,794,000","382,223,000","345,455,000","302,087,000","275,326,000","292,996,000","325,286,000","313,169,000","316,237,000","279,258,000","292,859,000","275,621,000","252,959,000","251,633,000","242,321,000","240,174,000","239,743,000","220,034,000","216,226,000","218,023,000","209,317,000","214,505,000","210,866,000","209,535,000","205,861,000","215,662,000","230,764,000","252,398,000","265,948,000","280,865,000","287,355,000","290,095,000","294,726,000","302,089,000","307,577,000","302,867,000","295,143,000","312,617,000","312,996,000","305,935,000","316,748,000","328,275,000","332,773,000","344,240,000","337,021,000","343,717,000","353,480,000","351,601,000","359,974,000","367,901,000","382,204,000","389,959,000","383,380,000","377,540,000","384,007,000","385,699,000","391,162,000","392,688,000","396,181,000","391,209,000","385,797,000","379,558,000","375,534,000","367,176,000","364,043,000","361,328,000","353,105,000","343,471,000","337,046,000","322,413,000","341,959,000","345,278,000","361,099,000","362,674,000","389,438,000","373,024,000","361,846,000","359,089,000","347,859,000","368,013,000","355,029,000","315,488,000","258,537,000","245,300,000","225,200,000","33,500,000"
CapitalLeaseObligations,"398,743,000","396,689,000","392,396,000","396,649,000","402,740,000","403,167,000","402,742,000","395,284,000","393,840,000","364,567,000","363,536,000","35,207,000","36,101,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"390,046,000","367,479,000","362,692,000","352,093,000","341,683,000","373,369,000","360,774,000","325,885,000","284,592,000","255,281,000","272,841,000","303,111,000","296,254,000","295,206,000","255,712,000","265,366,000","247,339,000","223,367,000","212,571,000","203,796,000","202,175,000","200,098,000","174,238,000","177,765,000","179,527,000","171,548,000","180,673,000","170,795,000","179,871,000","173,558,000","181,573,000","198,367,000","220,211,000","239,158,000","252,678,000","253,460,000","262,483,000","264,704,000","302,089,000","307,577,000","302,867,000","295,143,000","312,617,000","312,996,000","305,935,000","316,748,000","328,105,000","332,555,000","343,967,000","336,745,000","343,378,000","352,975,000","350,760,000","358,790,000","366,417,000","380,401,000","371,113,000","381,078,000","345,816,000","381,246,000","382,728,000","335,822,000","341,294,000","358,626,000","390,122,000","384,203,000","377,457,000","372,926,000","364,049,000","360,546,000","357,333,000","348,613,000","330,736,000","323,919,000","309,040,000","329,904,000","336,223,000","349,511,000","351,086,000","377,850,000","373,024,000","361,846,000","359,089,000","347,859,000","368,013,000","355,029,000","345,488,000","258,537,000","245,300,000","225,200,000","33,500,000"
WorkingCapital,"225,774,000","213,639,000","222,879,000","224,834,000","207,399,000","230,578,000","201,753,000","157,036,000","109,611,000","59,966,000","61,417,000","87,931,000","95,015,000","116,469,000","91,623,000","116,090,000","280,173,000","252,788,000","233,655,000","228,476,000","230,583,000","216,172,000","34,543,000","39,710,000","48,984,000","48,165,000","68,096,000","69,359,000","87,268,000","96,646,000","53,696,000","73,041,000","92,799,000","117,952,000","137,333,000","140,337,000","154,854,000","156,967,000","166,952,000","174,775,000","170,890,000","170,489,000","189,660,000","186,818,000","180,128,000","186,658,000","196,623,000","210,708,000","223,012,000","222,729,000","222,476,000","220,555,000","216,600,000","221,696,000","212,163,000","219,733,000","242,748,000","276,146,000","278,802,000","278,213,000","264,510,000","259,720,000","267,544,000","285,190,000","284,109,000","278,924,000","281,755,000","278,075,000","273,466,000","265,051,000","274,938,000","265,600,000","259,457,000","269,608,000","255,584,000","275,082,000","259,855,000","256,704,000","260,292,000","286,986,000","269,068,000","264,353,000","262,570,000","255,177,000","277,129,000","271,215,000","269,490,000","219,757,000","215,900,000","199,700,000","12,000,000"
InvestedCapital,"640,848,000","604,067,000","594,026,000","580,686,000","575,536,000","705,589,000","797,580,000","760,206,000","516,661,000","489,704,000","507,231,000","539,392,000","527,163,000","530,141,000","493,084,000","506,591,000","489,234,000","466,455,000","467,668,000","458,270,000","456,373,000","442,468,000","262,870,000","247,176,000","238,497,000","230,892,000","237,175,000","234,625,000","234,377,000","231,781,000","242,653,000","258,821,000","281,515,000","295,584,000","310,257,000","287,355,000","290,095,000","294,726,000","302,089,000","308,579,000","304,181,000","296,764,000","314,539,000","315,212,000","308,440,000","319,538,000","331,344,000","336,114,000","347,849,000","340,893,000","347,847,000","357,863,000","356,232,000","364,848,000","373,014,000","387,552,000","395,535,000","389,182,000","383,564,000","390,246,000","392,150,000","397,961,000","399,688,000","403,379,000","398,603,000","393,381,000","387,329,000","383,488,000","375,313,000","372,356,000","369,813,000","361,760,000","352,798,000","346,568,000","332,137,000","351,862,000","354,736,000","370,708,000","372,430,000","399,341,000","383,073,000","372,033,000","369,412,000","358,318,000","378,565,000","365,872,000","326,619,000","269,954,000","283,500,000","237,300,000","78,000,000"
TangibleBookValue,"390,046,000","367,479,000","362,692,000","352,093,000","341,683,000","373,369,000","360,774,000","325,885,000","284,592,000","255,281,000","272,841,000","303,111,000","296,254,000","295,206,000","255,712,000","265,366,000","247,339,000","223,367,000","212,571,000","203,796,000","202,175,000","200,098,000","174,238,000","177,765,000","179,527,000","171,548,000","180,673,000","170,795,000","179,871,000","173,558,000","181,573,000","198,367,000","220,211,000","239,158,000","252,678,000","253,460,000","262,483,000","264,704,000","302,089,000","307,577,000","302,867,000","295,143,000","312,617,000","312,996,000","305,935,000","316,748,000","328,105,000","332,555,000","343,967,000","336,745,000","343,378,000","352,975,000","350,760,000","358,790,000","366,417,000","380,401,000","371,113,000","381,078,000","345,816,000","381,246,000","382,728,000","335,822,000","341,294,000","358,626,000","390,122,000","384,203,000","377,457,000","372,926,000","364,049,000","360,546,000","357,333,000","348,613,000","330,736,000","323,919,000","309,040,000","329,904,000","336,223,000","349,511,000","351,086,000","377,850,000","373,024,000","361,846,000","359,089,000","347,859,000","368,013,000","355,029,000","315,488,000","258,537,000","245,300,000","225,200,000","33,500,000"
TotalDebt,"633,747,000","619,496,000","613,659,000","616,396,000","620,995,000","719,962,000","818,099,000","810,035,000","608,414,000","578,945,000","577,771,000","249,313,000","250,095,000","213,904,000","213,826,000","213,732,000","213,613,000","213,496,000","216,035,000","215,949,000","216,199,000","202,725,000","42,836,000","30,950,000","20,474,000","21,575,000","22,670,000","23,759,000","24,842,000","25,920,000","26,991,000","28,057,000","29,117,000","29,636,000","29,392,000",,,,,"1,002,000","1,314,000","1,621,000","1,922,000","2,216,000","2,505,000","2,790,000","3,069,000","3,341,000","3,609,000","3,872,000","4,130,000","4,383,000","4,631,000","4,874,000","5,113,000","5,348,000","5,576,000","5,802,000","6,024,000","6,239,000","6,451,000","6,799,000","7,000,000","7,198,000","7,394,000","7,584,000","7,771,000","7,954,000","8,137,000","8,313,000","8,485,000","8,655,000","9,327,000","9,522,000","9,724,000","9,903,000","9,458,000","9,609,000","9,756,000","9,903,000","10,049,000","10,187,000","10,323,000","10,459,000","10,552,000","10,843,000","11,131,000","11,417,000","38,200,000","12,100,000","44,500,000"
NetDebt,"129,410,000","87,979,000",,,,,,,"56,054,000","123,931,000","137,762,000","115,869,000","61,230,000","46,447,000","87,709,000","58,936,000","108,030,000","75,796,000","106,872,000","83,134,000","50,578,000",,"31,379,000","14,757,000",,,,,,,,"10,693,000","7,717,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,200,000"
