name,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"1,248,685,000","1,193,056,000","1,136,686,000","1,065,330,000"
	CurrentAssets,"314,286,000","291,717,000","282,563,000","257,980,000"
		CashCashEquivalentsAndShortTermInvestments,"44,081,000","36,325,000","53,927,000","71,674,000"
			CashAndCashEquivalents,"44,081,000","36,325,000","53,927,000","71,674,000"
				CashFinancial,,,,"1,080,629"
		Receivables,"63,722,000","51,390,000","55,359,000","47,341,000"
			AccountsReceivable,"63,722,000","51,390,000","55,359,000","47,341,000"
				GrossAccountsReceivable,"64,987,000","52,777,000","56,975,000","48,581,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,265,000","-1,387,000","-1,616,000","-1,240,000"
		Inventory,"191,126,000","185,040,000","164,343,000","133,928,000"
			RawMaterials,"53,104,000","54,818,000","48,665,000","44,474,000"
			WorkInProcess,"25,478,000","21,728,000","18,960,000","12,946,000"
			FinishedGoods,"112,544,000","108,494,000","96,718,000","76,508,000"
		PrepaidAssets,"15,357,000","18,962,000","8,934,000","5,037,000"
	TotalNonCurrentAssets,"934,399,000","901,339,000","854,123,000","807,350,000"
		NetPPE,"88,006,000","51,495,000","50,393,000","43,729,000"
			GrossPPE,"120,187,000","81,636,000","76,401,000","62,702,000"
				Properties,"0","0","0","0"
				LandAndImprovements,"3,426,000","1,330,000","1,330,000","1,330,000"
				BuildingsAndImprovements,"10,780,000","10,623,000","10,123,000","8,594,000"
				MachineryFurnitureEquipment,"58,875,000","56,824,000","47,042,000","44,690,000"
				OtherProperties,"32,814,000",,,
				ConstructionInProgress,"14,292,000","12,859,000","17,906,000","8,088,000"
			AccumulatedDepreciation,"-32,181,000","-30,141,000","-26,008,000","-18,973,000"
		GoodwillAndOtherIntangibleAssets,"846,393,000","849,844,000","803,730,000","763,621,000"
			Goodwill,"411,721,000","411,383,000","381,860,000","359,099,000"
			OtherIntangibleAssets,"434,672,000","438,461,000","421,870,000","404,522,000"
		OtherNonCurrentAssets,,,,"250,052,906"
TotalLiabilitiesNetMinorityInterest,"909,248,000","888,569,000","816,863,000","824,949,000"
	CurrentLiabilities,"96,809,000","91,795,000","101,577,000","82,009,000"
		PayablesAndAccruedExpenses,"90,509,000","83,920,000","96,049,000","76,481,000"
			Payables,"41,931,000","45,708,000","71,004,000","43,801,000"
				AccountsPayable,"41,931,000","45,708,000","46,631,000","34,601,000"
				OtherPayable,,,"24,373,000","9,200,000"
			CurrentAccruedExpenses,"48,578,000","38,212,000","25,045,000","32,680,000"
				InterestPayable,"3,187,000","3,359,000","6,277,000","6,588,000"
		CurrentDebtAndCapitalLeaseObligation,"6,300,000","7,875,000","5,528,000","5,528,000"
			CurrentDebt,"6,300,000","7,875,000","5,528,000","5,528,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"812,439,000","796,774,000","715,286,000","742,940,000"
		LongTermDebtAndCapitalLeaseObligation,"636,303,000","637,673,000","570,394,000","669,458,000"
			LongTermDebt,"636,303,000","637,673,000","570,394,000","669,458,000"
		NonCurrentDeferredLiabilities,"68,735,000","70,045,000","72,172,000","71,336,000"
			NonCurrentDeferredTaxesLiabilities,"68,735,000","70,045,000","72,172,000","71,336,000"
		TradeandOtherPayablesNonCurrent,,,,"8,750,000"
		DerivativeProductLiabilities,"63,520,000","61,293,000","45,986,000","0"
		PreferredSecuritiesOutsideStockEquity,,,,"250,052,906"
		OtherNonCurrentLiabilities,"43,881,000","27,763,000","26,734,000","2,146,000"
TotalEquityGrossMinorityInterest,"339,437,000","304,487,000","319,823,000","240,381,000"
	StockholdersEquity,"339,437,000","304,487,000","319,823,000","240,381,000"
		CapitalStock,"12,000","12,000","12,000","7,000"
			PreferredStock,"0","0",,"0"
			CommonStock,"12,000","12,000","12,000","7,000"
		AdditionalPaidInCapital,"347,556,000","329,705,000","327,490,000","238,883,000"
		RetainedEarnings,"-8,116,000","-24,974,000","-6,993,000","2,165,000"
		GainsLossesNotAffectingRetainedEarnings,"-15,000","-256,000","-686,000","-674,000"
	MinorityInterest,,,,"250,052,906"
TotalCapitalization,"975,740,000","942,160,000","890,217,000","909,839,000"
CommonStockEquity,"339,437,000","304,487,000","319,823,000","240,381,000"
NetTangibleAssets,"-506,956,000","-545,357,000","-483,907,000","-523,240,000"
WorkingCapital,"217,477,000","199,922,000","180,986,000","175,971,000"
InvestedCapital,"982,040,000","950,035,000","895,745,000","915,367,000"
TangibleBookValue,"-506,956,000","-545,357,000","-483,907,000","-523,240,000"
TotalDebt,"642,603,000","645,548,000","575,922,000","674,986,000"
NetDebt,"598,522,000","609,223,000","521,995,000","603,312,000"
ShareIssued,"116,899,389","115,807,337","115,805,639","117,993,139"
OrdinarySharesNumber,"116,899,389","115,807,337","115,805,639","117,993,139"
