name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
TotalRevenue,"0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0"
OperatingExpense,"990,809","202,764","269,898","257,041","261,106","162,232"
	SellingGeneralAndAdministration,"990,809","202,764","269,898","257,041","261,106",
		GeneralAndAdministrativeExpense,"990,809","202,764","269,898","257,041","261,106",
			OtherGandA,"990,809","202,764","269,898","257,041","261,106",
OperatingIncome,"-990,809","-202,764","-269,898","-257,041","-261,106","-162,232"
NetNonOperatingInterestIncomeExpense,"160,671","94,944","32,593","26,452","6,682",
	InterestIncomeNonOperating,"160,671","94,944","32,593","26,452","6,682",
OtherIncomeExpense,"14,486,667","4,498,417","783,583","12,451,334","-3,246,667","-347,646"
	GainOnSaleOfSecurity,"14,486,667","4,498,417","783,583","12,451,334","-3,246,667","241,000"
	OtherNonOperatingIncomeExpenses,,,"0","13,700,334","-4,169,667","-588,646"
PretaxIncome,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
NetIncomeCommonStockholders,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
	NetIncome,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
		NetIncomeIncludingNoncontrollingInterests,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
			NetIncomeContinuousOperations,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
DilutedNIAvailtoComStockholders,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
BasicEPS,,"0.1",,"1.417","-0.413","-0.068"
DilutedEPS,,"0.1",,"0.283","-0.413","-0.068"
BasicAverageShares,,"43,125,000",,"8,625,000","8,475,000","7,500,000"
DilutedAverageShares,,"43,125,000",,"43,125,000","42,375,000","37,500,000"
TotalOperatingIncomeAsReported,"-990,809","-202,764","-269,898","-257,041","-261,106","-162,232"
TotalExpenses,"990,809","202,764","269,898","257,041","261,106","162,232"
NetIncomeFromContinuingAndDiscontinuedOperation,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
NormalizedIncome,"4,964,528.8","1,691,546.8","-25,737.59","3,131,271.18","-254,424","-750,878"
InterestIncome,"160,671","94,944","32,593","26,452","6,682",
NetInterestIncome,"160,671","94,944","32,593","26,452","6,682",
EBIT,"-990,809","-202,764","-269,898","-257,041","-261,106","-162,232"
EBITDA,"-990,809"
NetIncomeFromContinuingOperationNetMinorityInterest,"13,656,529","4,390,597","546,278","12,220,745","-3,501,091","-509,878"
TotalUnusualItemsExcludingGoodwill,"14,486,667","4,498,417","783,583","12,451,334","-3,246,667","241,000"
TotalUnusualItems,"14,486,667","4,498,417","783,583","12,451,334","-3,246,667","241,000"
NormalizedEBITDA,"-15,477,476","-4,701,181","-1,053,481","-12,708,375","2,985,561","-403,232"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0","0"
TaxEffectOfUnusualItems,"5,794,666.8","1,799,366.8","211,567.41","3,361,860.18","0","0"
