name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,03/31/2018,12/31/2017,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"1,369,715,000","1,300,502,000","1,377,489,000","1,412,135,000","1,544,478,000","1,214,977,000","1,214,046,000","1,353,804,000","1,388,292,000","1,237,051,000","1,307,299,000","1,688,666,000","1,470,409,000","1,510,732,000","1,671,295,000","1,747,928,000","1,419,000,000","1,494,000,000","1,600,000,000","1,722,000,000","1,898,000,000","2,084,000,000","2,275,000,000","2,464,000,000","3,358,000,000","3,701,000,000","0.1","2,411,000,000"
	CurrentAssets,"428,915,000","370,645,000","391,251,000","400,107,000","463,640,000","369,698,000","424,248,000","476,426,000","478,569,000","295,726,000","322,927,000","654,191,000","383,666,000","363,632,000","404,398,000","416,794,000","507,000,000","476,000,000","475,000,000","497,000,000","497,000,000","535,000,000","581,000,000","609,000,000","793,000,000","893,000,000","0.1","453,000,000"
		CashCashEquivalentsAndShortTermInvestments,"21,446,000","11,262,000","10,374,000","15,785,000","29,841,000","2,406,000","1,771,000","1,203,000","1,912,000","2,184,000","5,988,000","313,437,000","34,169,000","5,517,000","4,158,000","2,038,000","192,000,000","191,000,000","171,000,000","171,000,000","145,000,000","146,000,000","179,000,000","156,000,000","234,000,000","244,000,000","0.1","172,000,000"
			CashAndCashEquivalents,"21,446,000","11,262,000","10,374,000","15,785,000","29,841,000","2,406,000","1,771,000","1,203,000","1,912,000","2,184,000","5,988,000","313,437,000","34,169,000","5,517,000","4,158,000","2,038,000","192,000,000","191,000,000","171,000,000","171,000,000","145,000,000","146,000,000","179,000,000","156,000,000","234,000,000","244,000,000","0.1","172,000,000"
		Receivables,"325,039,000","299,023,000","322,199,000","322,762,000","373,176,000","316,774,000","366,542,000","416,455,000","418,832,000","173,216,000","185,283,000","190,871,000","200,812,000","196,390,000","220,231,000","262,062,000","124,000,000","131,000,000","142,000,000","151,000,000","151,000,000","168,000,000","175,000,000","218,000,000","318,000,000","463,000,000",,"99,000,000"
			AccountsReceivable,"305,729,000","279,053,000","313,285,000","312,457,000","354,737,000","296,570,000","326,240,000","368,024,000","369,690,000","126,421,000","138,955,000","144,531,000","154,250,000","153,089,000","176,463,000","188,803,000","124,000,000","131,000,000","142,000,000","151,000,000","151,000,000","168,000,000","175,000,000","218,000,000","176,000,000","209,000,000",,"99,000,000"
				GrossAccountsReceivable,"323,431,000","296,440,000","626,570,000","333,907,000","389,294,000","329,600,000","360,775,000","401,503,000","396,518,000",,"158,302,000","164,692,000","173,755,000","182,262,000","206,411,000","219,996,000","153,000,000","158,000,000","171,000,000","181,000,000","182,000,000","205,000,000","206,000,000","244,000,000","199,000,000","224,000,000",,"119,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-17,702,000","-17,387,000","-313,285,000","-21,450,000","-34,557,000","-33,030,000","-34,535,000","-33,479,000","-26,828,000",,"-19,347,000","-20,161,000","-19,505,000","-29,173,000","-29,948,000","-31,193,000","-29,000,000","-27,000,000","-29,000,000","-30,000,000","-31,000,000","-37,000,000","-31,000,000","-26,000,000","-23,000,000","-15,000,000",,"-20,000,000"
			TaxesReceivable,"15,248,000","14,711,000","1,890,000","1,890,000","9,154,000","9,229,000","27,818,000","36,228,000","37,460,000","40,328,000","40,328,000","40,328,000","40,328,000","35,590,000","28,166,000","25,117,000",,,,,,,,,"11,000,000","12,000,000",,
			OtherReceivables,"4,062,000","5,259,000","7,024,000","8,415,000","9,285,000","10,975,000","12,484,000","12,203,000","11,682,000","6,467,000","6,000,000","6,012,000","6,234,000","7,711,000","15,602,000","48,142,000",,,,,,,,,"131,000,000","242,000,000",,
		PrepaidAssets,"43,112,000","22,418,000","33,084,000","36,370,000","36,277,000","26,172,000","18,203,000","20,532,000","12,715,000","20,984,000","22,651,000","30,343,000","17,924,000","23,578,000","32,400,000","16,398,000","23,000,000","18,000,000","12,000,000","14,000,000","19,000,000","20,000,000","20,000,000","27,000,000","18,000,000","18,000,000",,"37,000,000"
		CurrentDeferredAssets,,,,,,,"11,821,000","12,248,000","15,321,000","99,342,000","109,005,000","119,540,000","130,761,000","138,147,000","147,609,000","136,296,000","168,000,000","136,000,000","150,000,000","161,000,000","170,000,000","186,000,000","191,000,000","192,000,000","202,000,000","147,000,000",,"145,000,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,"47,000,000",,,"0","9,000,000","9,000,000","12,000,000","9,000,000","34,000,000","0",,"45,000,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,"0","12,000,000","15,000,000","16,000,000","16,000,000","21,000,000","21,000,000",,"0"
		OtherCurrentAssets,"39,318,000","37,942,000","25,594,000","25,190,000","24,346,000","24,346,000","25,911,000","25,988,000","29,789,000",,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"940,800,000","929,857,000","986,238,000","1,012,028,000","1,080,837,000","845,279,000","789,798,000","877,378,000","909,723,000","941,325,000","984,373,000","1,034,475,000","1,086,743,000","1,147,100,000","1,266,897,000","1,331,134,000","912,000,000","1,018,000,000","1,125,000,000","1,225,000,000","1,401,000,000","1,549,000,000","1,694,000,000","1,855,000,000","2,565,000,000","2,808,000,000","0","1,958,000,000"
		NetPPE,"49,965,000","50,938,000","70,269,000","76,315,000","123,281,000","89,044,000","106,444,000","137,522,000","140,558,000","98,708,000","100,206,000","111,334,000","122,157,000","126,710,000","144,301,000","152,330,000","38,000,000","45,000,000","54,000,000","64,000,000","76,000,000","84,000,000","92,000,000","106,000,000","120,000,000","128,000,000",,"105,000,000"
			GrossPPE,,"146,791,000",,,,"167,355,000","106,444,000","137,522,000","220,400,000","186,115,000","178,636,000","196,500,000","197,118,000","196,453,000",,"190,973,000",,,,"317,000,000",,,,"315,000,000",,,,"275,000,000"
				Properties,,"0",,,,"0",,,"0","0","0","0","0","0",,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,,"0",,,,"1,082,000",,,"6,744,000","6,721,000","6,721,000","6,721,000","8,201,000","8,174,000",,"7,892,000",,,,"14,000,000",,,,"14,000,000",,,,"2,000,000"
				MachineryFurnitureEquipment,,"145,937,000",,,,"104,695,000",,,"109,202,000","118,377,000","111,475,000","129,568,000","128,723,000","128,603,000",,"122,209,000",,,,"289,000,000",,,,"279,000,000",,,,"254,000,000"
				OtherProperties,,"99,000",,,,"60,719,000","106,444,000","137,522,000","97,952,000","55,433,000","55,240,000","55,485,000","55,873,000","55,091,000",,"55,538,000",,,,"1,000,000",,,,"1,000,000",,,,
				Leases,,"755,000",,,,"859,000",,,"6,502,000","5,584,000","5,200,000","4,726,000","4,321,000","4,585,000",,"5,334,000",,,,"13,000,000",,,,"21,000,000",,,,"19,000,000"
			AccumulatedDepreciation,,"-95,853,000",,,,"-78,311,000",,,"-79,842,000","-87,407,000","-78,430,000","-85,166,000","-74,961,000","-69,743,000",,"-38,643,000",,,,"-253,000,000",,,,"-209,000,000",,,,"-170,000,000"
		GoodwillAndOtherIntangibleAssets,"751,170,000","754,463,000","777,629,000","802,700,000","825,205,000","641,234,000","670,018,000","728,020,000","756,937,000","798,607,000","839,928,000","880,180,000","921,699,000","976,222,000","1,086,677,000","1,141,851,000","830,000,000","923,000,000","1,016,000,000","1,109,000,000","1,256,000,000","1,403,000,000","1,549,000,000","1,696,000,000","2,387,000,000","2,613,000,000",,"1,833,000,000"
			Goodwill,"673,713,000","671,886,000","676,440,000","678,793,000","679,559,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","609,457,000","315,000,000","315,000,000","315,000,000","315,000,000","315,000,000","315,000,000","315,000,000","315,000,000","396,000,000","396,000,000",,"0"
			OtherIntangibleAssets,"77,457,000","82,577,000","101,189,000","123,907,000","145,646,000","31,777,000","60,561,000","118,563,000","147,480,000","189,150,000","230,471,000","270,723,000","312,242,000","366,765,000","477,220,000","532,394,000","515,000,000","608,000,000","701,000,000","794,000,000","941,000,000","1,088,000,000","1,234,000,000","1,381,000,000","1,991,000,000","2,217,000,000",,"1,833,000,000"
		NonCurrentDeferredAssets,"108,912,000","90,565,000","114,062,000","106,069,000","97,941,000","93,099,000",,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"108,912,000","90,565,000","114,062,000","106,069,000","97,941,000","93,099,000",,,,,,,,,,,,,,,,,,,,,,
		DefinedPensionBenefit,,,,,,,,,,,,,,,,,"42,000,000","44,000,000","49,000,000","45,000,000","60,000,000","53,000,000","42,000,000","41,000,000","43,000,000","50,000,000",,"0"
		OtherNonCurrentAssets,"30,753,000","33,891,000","24,278,000","26,944,000","34,410,000","21,902,000","13,336,000","11,836,000","12,228,000","44,010,000","44,239,000","42,961,000","42,887,000","44,168,000","35,919,000","36,953,000","2,000,000","6,000,000","6,000,000","7,000,000","9,000,000","9,000,000","11,000,000","12,000,000","15,000,000","17,000,000",,"20,000,000"
