name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,03/31/2016,03/31/2015
InterestIncome,,"1,550,000",,,,,,,,,,,
InterestExpense,,,"960,000","1,347,000",,,"2,656,000","1,880,000",,,"7,644,000","3,555,000","3,854,000"
NetInterestIncome,"-2,438,000","1,550,000","-960,000","-1,347,000","-1,681,000","2,876,000","-2,656,000","-1,880,000","-2,834,000","-2,381,000","-7,644,000","-3,555,000","-3,854,000"
EBIT,"-33,870,000","-20,604,000","-3,658,000","-1,804,000","575,000","21,998,000","5,797,000","10,218,000","-4,593,000","12,989,000","13,849,000","-1,891,000","-16,795,000"
EBITDA,"6,300,000"
ReconciledCostOfRevenue,"117,080,000","32,363,000","33,664,000","23,177,000","27,876,000","16,963,000","20,401,000","17,835,000","12,233,000","15,969,000","18,874,000","12,928,000","10,984,000"
ReconciledDepreciation,"40,170,000","12,479,000","11,690,000","8,522,000","7,479,000","7,184,000","6,854,000","7,276,000","7,248,000","7,265,000","7,344,000","9,137,000","8,394,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-16,838,000","-11,277,000","-364,000","-1,071,000","-4,126,000","24,936,000","2,776,000","8,457,000","-5,766,000","10,944,000","5,836,000","-6,049,000","-21,018,000"
TotalUnusualItemsExcludingGoodwill,"-9,836,000","-846,000","-226,000","-2,449,000","-6,315,000",,"-563,000","0","0",,"-35,000","-1,326,000","-10,543,000"
TotalUnusualItems,"-9,836,000","-846,000","-226,000","-2,449,000","-6,315,000",,"-563,000","0","0",,"-35,000","-1,326,000","-10,543,000"
NormalizedEBITDA,"16,136,000","-7,279,000","8,258,000","9,167,000","14,369,000","29,182,000","13,214,000","17,494,000","2,655,000","20,254,000","21,228,000","8,572,000","2,142,000"
TaxRateForCalcs,"0.191","0.257","0.27","0.28","0.27","0.003","0.283","0.045","0.018","0.004","0.144","0.4","0.4"
TaxEffectOfUnusualItems,"-1,879,038.969","-217,422","-61,020","-685,720","-1,705,050","0","-159,525.629","0","0","0","-5,031.426","-530,400","-4,217,200"
