name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
OperatingCashFlow,"320,000,000","19,000,000","188,000,000","104,000,000","9,000,000","9,000,000","172,000,000","144,000,000","258,000,000","-255,000,000","245,000,000","80,000,000","174,000,000","-96,000,000","183,000,000"
	CashFlowFromContinuingOperatingActivities,"320,000,000","19,000,000","188,000,000","104,000,000","9,000,000","9,000,000","172,000,000","144,000,000","258,000,000","-255,000,000","245,000,000","80,000,000","174,000,000","-96,000,000","183,000,000"
		NetIncomeFromContinuingOperations,"302,000,000","52,000,000","104,000,000","66,000,000","80,000,000","74,000,000","112,000,000","113,000,000","112,000,000","26,000,000","90,000,000","63,000,000","55,000,000","17,000,000","84,000,000"
		OperatingGainsLosses,"-9,000,000",,,,,,,"0","-3,000,000","4,000,000","0","-1,000,000","-1,000,000","-7,000,000","5,000,000"
			GainLossOnInvestmentSecurities,"-9,000,000",,,,,,,"0","-3,000,000","4,000,000","0","-1,000,000","-1,000,000","-7,000,000","6,000,000"
			PensionAndEmployeeBenefitExpense,"0",,,,,,,,,,"0",,,,"-1,000,000"
		DepreciationAmortizationDepletion,"111,000,000","28,000,000","28,000,000","28,000,000","27,000,000","26,000,000","27,000,000","24,000,000","24,000,000","24,000,000","28,000,000","21,000,000","21,000,000","21,000,000","21,000,000"
			DepreciationAndAmortization,"111,000,000","28,000,000","28,000,000","28,000,000","27,000,000","26,000,000","27,000,000","24,000,000","24,000,000","24,000,000","28,000,000","21,000,000","21,000,000","21,000,000","21,000,000"
		DeferredTax,"24,000,000","-4,000,000","14,000,000","12,000,000","2,000,000","-6,000,000","11,000,000","15,000,000","13,000,000","28,000,000","10,000,000","-7,000,000","-1,000,000","-1,000,000","4,000,000"
			DeferredIncomeTax,"24,000,000","-4,000,000","14,000,000","12,000,000","2,000,000","-6,000,000","11,000,000","15,000,000","13,000,000","28,000,000","10,000,000","-7,000,000","-1,000,000","-1,000,000","4,000,000"
		StockBasedCompensation,"4,000,000","2,000,000","-1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000",,,"0","0",
		OtherNonCashItems,"1,000,000"
		ChangeInWorkingCapital,"-121,000,000","-59,000,000","43,000,000","-4,000,000","-101,000,000","-87,000,000","22,000,000","-9,000,000","110,000,000","-338,000,000","116,000,000","4,000,000","100,000,000","-126,000,000","69,000,000"
			ChangeInReceivables,"-44,000,000","-4,000,000","-3,000,000","11,000,000","-48,000,000","11,000,000","-4,000,000","-5,000,000","28,000,000","-295,000,000","28,000,000","-10,000,000","40,000,000","-77,000,000","52,000,000"
				ChangesInAccountReceivables,"-39,000,000","-6,000,000","3,000,000","13,000,000","-49,000,000","9,000,000","-4,000,000","-7,000,000","35,000,000","-303,000,000","1,000,000","-1,000,000","-1,000,000","3,000,000","-3,000,000"
			ChangeInInventory,"-141,000,000","-64,000,000","32,000,000","-34,000,000","-75,000,000","-88,000,000","-17,000,000","-16,000,000","49,000,000","-16,000,000","58,000,000","-4,000,000","7,000,000","-59,000,000","67,000,000"
			ChangeInPayablesAndAccruedExpense,"67,000,000","-10,000,000","8,000,000","12,000,000","28,000,000","-2,000,000","30,000,000","12,000,000","35,000,000","-24,000,000","36,000,000","18,000,000","55,000,000","10,000,000","-51,000,000"
