name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"208,855,000","51,307,000","51,844,000","53,059,000","52,645,000","66,986,000","66,649,000","71,966,000","64,861,000","43,586,000","44,668,000","43,149,000","40,663,000","34,251,000","36,860,000","32,950,000","31,735,000","29,881,000","31,504,000","31,701,000","30,265,000","27,182,000","32,527,000","33,130,000","28,042,000","22,997,000","24,984,000","25,682,000","15,903,000","15,756,000"
	OperatingRevenue,"208,855,000","51,307,000","51,844,000","53,059,000","52,645,000","66,986,000","66,649,000","71,966,000","64,861,000","43,586,000","44,668,000","43,149,000","40,663,000","34,251,000","36,860,000","32,950,000","31,735,000","29,881,000","31,504,000","31,701,000","30,265,000","27,182,000","32,527,000","33,130,000","28,042,000","22,997,000","24,984,000","25,682,000","15,903,000","15,756,000"
PretaxIncome,"70,642,000","17,158,000","16,397,000","17,166,000","19,921,000","26,968,000","20,883,000","16,454,000","14,243,000","6,429,000","6,487,000","8,166,000","5,600,000","2,423,000","347,000","6,746,000","4,048,000","3,066,000","3,133,000","4,537,000","5,166,000","4,216,000","5,020,000","5,452,000","-1,430,000","186,000","2,403,000","3,409,000","1,350,000","1,165,000"
TaxProvision,"19,250,000","4,891,000","3,807,000","4,907,000","5,645,000","7,576,000","3,283,000","4,561,000","3,668,000","1,705,000","2,180,000","1,053,000","819,000","356,000","236,000","818,000","945,000","814,000","1,540,000","1,699,000","1,953,000","1,481,000","2,084,000","1,900,000","-749,000","62,000","860,000","1,165,000","290,000","244,000"
NetIncomeCommonStockholders,"51,392,000","12,267,000","12,590,000","12,259,000","14,276,000","19,392,000","17,600,000","11,893,000","10,575,000","4,724,000","4,307,000","7,113,000","4,781,000","2,067,000","111,000","5,928,000","3,103,000","2,252,000","1,593,000","2,838,000","3,213,000","2,735,000","2,936,000","3,552,000","-681,000","124,000","1,543,000","2,244,000","1,060,000","921,000"
	NetIncome,"51,392,000","12,267,000","12,590,000","12,259,000","14,276,000","19,392,000","17,600,000","11,893,000","10,575,000","4,724,000","4,307,000","7,113,000","4,781,000","2,067,000","111,000","5,928,000","3,103,000","2,252,000","1,593,000","2,838,000","3,213,000","2,735,000","2,936,000","3,552,000","-681,000","124,000","1,543,000","2,244,000","1,060,000","921,000"
		NetIncomeIncludingNoncontrollingInterests,"51,392,000","12,267,000","12,590,000","12,259,000","14,276,000","19,392,000","17,600,000","11,893,000","10,575,000","4,724,000","4,307,000","7,113,000","4,781,000","2,067,000","111,000","5,928,000","3,103,000","2,252,000","1,593,000","2,838,000","3,213,000","2,735,000","2,936,000","3,552,000","-681,000","124,000","1,543,000","2,244,000","1,060,000","921,000"
			NetIncomeContinuousOperations,"51,392,000","12,267,000","12,590,000","12,259,000","14,276,000","19,392,000","17,600,000","11,893,000","10,575,000","4,724,000","4,307,000","7,113,000","4,781,000","2,067,000","111,000","5,928,000","3,103,000","2,252,000","1,593,000","2,838,000","3,213,000","2,735,000","2,936,000","3,552,000","-681,000","124,000","1,543,000","2,244,000","1,060,000","921,000"
DilutedNIAvailtoComStockholders,"51,392,000","12,267,000","12,590,000","12,259,000","14,276,000","19,392,000","17,600,000","11,893,000","10,575,000","4,724,000","4,307,000","7,113,000","4,781,000","2,067,000","111,000","5,928,000","3,103,000","2,252,000","1,593,000","2,838,000","3,213,000","2,735,000","2,936,000","3,552,000","-681,000","124,000","1,543,000","2,244,000","1,060,000","921,000"
BasicEPS,,"0.26","0.26","0.25","0.28","0.37","0.33","0.22","0.19","0.09","0.08","0.13","0.084","0.039","0.002","0.106","0.056","0.039","0.028","0.05","0.056","0.05","0.05","0.061","-0.012","0.002",,"0.039","0.018","0.016"
