name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
				ChangesInAccountReceivables,"-2,670,000","-22,872,000","10,750,000","12,825,000","-3,373,000","-12,202,000","2,123,000","30,306,000","-33,620,000","-447,000","6,345,000","10,429,000","-3,243,000","-20,074,000","7,817,000","8,554,000","-7,195,000","-7,603,000","-5,035,000","17,035,000","-4,755,000","-13,643,000","1,629,000","2,741,000","4,948,000","-15,699,000","2,574,000","4,544,000","28,000","-5,449,000","-5,050,000","11,649,000","-144,000","-11,326,000","5,826,000","10,364,000","-7,120,000","-8,232,000","5,307,000","121,000","1,887,000","-5,308,000","-1,357,000","5,159,000","-1,517,000","-2,553,000","5,340,000","-3,386,000","924,000","-7,841,000","23,026,000","-8,176,000","-5,837,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"28,678,000","-3,578,000","-70,265,000","-17,203,000","119,724,000","75,884,000","-38,572,000","16,094,000","192,791,000","-12,944,000","-16,475,000","-42,739,000","36,447,000","-9,092,000","-68,946,000","2,387,000","44,515,000","19,290,000","-39,419,000","-16,024,000","19,409,000","-18,848,000","-41,644,000","-15,347,000","54,534,000","-19,110,000","-52,494,000","-16,278,000","19,433,000","1,089,000","-33,968,000","-9,894,000","26,139,000","-22,344,000","-10,011,000","7,007,000","-2,276,000","-1,892,000","-11,692,000","-12,223,000","7,116,000","18,502,000","-5,082,000","-18,688,000","-10,784,000","1,322,000","-510,000","-7,336,000","-7,693,000","16,548,000","15,691,000","133,915,000","59,267,000","41,738,000","27,775,000","46,673,000","38,588,000","-21,046,000","-54,805,000","13,617,000","56,303,000","-2,677,000","-82,435,000","-27,186,000","78,887,000","-6,668,000","-70,367,000","-19,838,000","56,797,000","-21,641,000","-46,461,000","-26,790,000","31,916,000","-11,258,000","-104,237,000","11,477,000","39,469,000","-2,450,000","-40,187,000","1,243,000","22,990,000","-10,315,000","-10,387,000","8,812,000","23,930,000","-13,630,000","-51,991,000","18,516,000","27,759,000","7,557,000","-23,700,000","-300,000","18,300,000","-23,200,000","-32,000,000","11,400,000"
			ChangeInPrepaidAssets,"-692,000","-1,036,000","358,000","3,467,000","-3,481,000","108,000","-1,956,000","1,900,000","-1,758,000","1,646,000","-1,687,000","2,595,000","-2,668,000","1,904,000","-5,013,000","-579,000","-1,019,000","1,474,000","-872,000","-297,000","-1,268,000","634,000","-779,000","1,460,000","-937,000","-600,000","-1,440,000","29,000","-404,000","1,332,000","-219,000","-61,000","-799,000","522,000","31,000","-697,000","-1,312,000","1,086,000","103,000","543,000","-2,569,000","1,135,000","412,000","944,000","-1,785,000","1,238,000","378,000","1,735,000","-2,406,000","1,480,000","730,000","2,195,000","-1,070,000","458,000","-221,000","1,366,000","-1,771,000","4,600,000","-1,562,000","174,000","-3,097,000","1,340,000","411,000","563,000","-3,391,000","1,041,000","376,000","392,000","-2,028,000","1,093,000","-116,000","-8,000","-3,045,000","1,165,000","248,000","1,295,000","-2,301,000","854,000","300,000","934,000","-2,582,000","303,000","-973,000","1,181,000",,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"12,141,000","25,328,000","-2,903,000","-9,229,000","-1,055,000","21,322,000","-21,495,000","1,082,000","37,345,000","-4,405,000","-18,038,000","356,000","19,195,000","7,268,000","-13,387,000","-702,000","7,025,000","11,654,000","-19,729,000","-258,000","1,909,000","22,441,000","-3,215,000","-11,713,000","-4,599,000","24,585,000","-9,142,000","-628,000","1,674,000","12,070,000","-7,039,000","-9,333,000","7,389,000","10,149,000","-8,704,000","-7,191,000","430,000","5,420,000","-7,152,000","-4,048,000","1,209,000","5,605,000","-7,947,000","786,000","-3,255,000","10,885,000","-3,674,000","-20,676,000","2,415,000","20,062,000","-15,333,000","2,740,000","-1,846,000","10,936,000","2,941,000","-12,203,000","-930,000","1,553,000","-5,169,000","-10,655,000","8,694,000","6,353,000","-21,810,000","2,099,000","7,677,000","13,204,000","-2,784,000","-37,908,000","-13,451,000","57,286,000","-43,647,000","12,930,000","-6,730,000","37,950,000","-711,000","-3,689,000","1,484,000","7,502,000","-2,272,000","-6,847,000","-2,088,000","7,944,000","-690,000","-5,528,000","898,000","5,041,000","-1,356,000","-6,057,000","4,467,000","3,090,000","-10,600,000","-13,800,000","4,400,000","19,100,000","-4,000,000","200,000"
				ChangeInPayable,"9,929,000","10,612,000","-118,000","-2,812,000","2,247,000","957,000","-16,520,000","-2,834,000","24,148,000","-2,868,000","-15,559,000","792,000","19,417,000","-214,000","-11,294,000","2,361,000","2,859,000","7,521,000","-16,066,000","798,000","707,000","15,446,000","-116,000","-9,745,000","-7,878,000","18,174,000","-4,829,000","1,966,000","-384,000","7,309,000","-3,204,000","-5,547,000","3,599,000","5,851,000","-3,291,000","-2,661,000","223,000","2,468,000","-2,675,000","-683,000","216,000","3,754,000","-3,472,000","-2,316,000","-1,024,000","8,297,000","-3,317,000","-21,595,000","1,520,000","21,129,000","-9,899,000","-905,000","-5,170,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"9,929,000","10,612,000","-118,000","-2,812,000","2,247,000","957,000","-16,520,000","-2,834,000","24,148,000","-2,868,000","-15,559,000","792,000","19,417,000","-214,000","-11,294,000","2,361,000","2,859,000","7,521,000","-16,066,000","798,000","707,000","15,446,000","-116,000","-9,745,000","-7,878,000","18,174,000","-4,829,000","1,966,000","-384,000","7,309,000","-3,204,000","-5,547,000","3,599,000","5,851,000","-3,291,000","-2,661,000","223,000","2,468,000","-2,675,000","-683,000","216,000","3,754,000","-3,472,000","-2,316,000","-1,024,000","8,297,000","-3,317,000","-21,595,000","1,520,000","21,129,000","-9,899,000","-905,000","-5,170,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"2,212,000","14,716,000","-2,785,000","-6,417,000","-3,302,000","20,365,000","-4,975,000","3,916,000","13,197,000","-1,537,000","-2,479,000","-436,000","-222,000","7,482,000","-2,093,000","-3,063,000","4,166,000","4,133,000","-3,663,000","-1,056,000","1,202,000","6,995,000","-3,099,000","-1,968,000","3,279,000","6,411,000","-4,313,000","-2,594,000","2,058,000","4,761,000","-3,835,000","-3,786,000","3,790,000","4,298,000","-5,413,000","-4,530,000","207,000","2,952,000","-4,477,000","-3,365,000","993,000","1,851,000","-4,475,000",,,"2,588,000","-357,000","919,000","895,000","-1,067,000","-5,434,000","3,645,000","3,324,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,264,000","-1,282,000","-8,000","-1,419,000","1,991,000","-2,000,000","-300,000","-2,800,000","0","-1,800,000","-500,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-184,000","-1,798,000","2,041,000","-649,000","413,000","-884,000","3,213,000","931,000","-11,066,000","5,688,000","5,506,000","402,000","-1,183,000","-430,000","6,030,000","-6,040,000","-4,162,000","-12,672,000","254,000","-10,696,000","1,757,000","5,660,000","12,411,000","-246,000","-17,695,000","-8,034,000","-46,189,000","54,034,000","39,130,000","-44,336,000","-61,486,000","74,610,000","50,253,000","-71,201,000","-17,174,000","97,658,000","-18,535,000","-36,343,000","9,032,000","43,495,000","-30,308,000","-3,170,000","6,517,000","9,622,000","-25,039,000","-25,830,000","24,825,000","40,929,000","-25,642,000","-37,088,000","8,928,000","29,300,000","-7,300,000","-19,500,000","11,300,000","40,100,000","25,400,000"
			ChangeInOtherWorkingCapital,"63,051,000","19,518,000","26,576,000","13,850,000","3,107,000","27,869,000","16,134,000","1,610,000","3,312,000","6,596,000","-4,107,000","43,000","-9,563,000","12,259,000","4,065,000","-5,859,000","2,893,000","311,000","-1,410,000","-1,419,000","-3,445,000","2,881,000","-7,358,000","11,976,000","-1,971,000","6,381,000","239,000","-899,000","-3,527,000","4,548,000","1,630,000","262,000","-4,318,000","3,513,000","2,180,000","-9,016,000","114,000","4,409,000","5,325,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
