name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"3,569,501,440","3,623,216,789","3,365,909,187","3,571,081,200"
EnterpriseValue,"3,870,345,440","3,937,804,789","3,654,165,187","3,856,449,200"
PeRatio,"6.089","6.622","6.95","7.365"
ForwardPeRatio,"6.158","6.748","6.154",
PsRatio,"3.244","3.235","3.186","3.368"
PbRatio,"0.882","0.883","0.801","0.92"
EnterprisesValueRevenueRatio,"3.518","14.616","13.391","13.751"
