name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
OperatingCashFlow,"287,690,000","44,344,000","69,277,000","82,779,000","91,290,000","69,081,000","80,262,000","69,639,000","33,117,000","20,814,000","89,184,000","64,241,000","48,524,000","29,484,000","42,688,000","79,251,000","36,213,000","41,531,000","11,549,000","45,242,000","28,871,000","28,882,000","6,529,000","46,767,000","43,938,000","19,171,000","25,392,000","19,349,000","18,123,000","31,619,000","20,757,000","31,075,000","16,377,000","11,254,000","11,696,000","30,808,000","2,918,000","7,846,000","-3,788,000","27,909,000","2,276,000","32,318,000","34,695,000","23,795,000","24,583,000","21,255,000","28,430,000","29,646,000","19,358,000","28,137,000","47,044,000","28,366,000","30,638,000","37,187,000","27,091,000","27,128,000","-1,975,000","20,346,000","14,593,000","10,672,000","6,479,000","15,282,000","20,934,000","24,441,000","15,456,000","10,871,000","14,961,000","12,397,000","16,257,000","13,233,000","6,992,000","11,108,000","10,025,000","10,850,000","3,665,000","8,073,000","14,261,000","8,827,000","11,497,000","8,192,000","6,754,000","5,542,000","6,674,000","6,043,000","-1,566,000","4,550,000","-1,463,000","1,596,000","-3,833,000","-1,260,000","1,500,000","-600,000","4,300,000","-2,700,000","-3,000,000","-2,100,000","-2,600,000","-2,100,000","-4,100,000","-1,500,000","-1,100,000","-1,200,000","-2,100,000","-1,400,000","-2,400,000","-2,100,000","-1,200,000"
	CashFlowFromContinuingOperatingActivities,"287,690,000","44,344,000","69,277,000","82,779,000","91,290,000","69,081,000","80,262,000","69,639,000","33,117,000","20,814,000","89,184,000","64,241,000","48,524,000","29,484,000","42,688,000","79,251,000","36,213,000","41,531,000","11,549,000","45,242,000","28,871,000","28,882,000","6,529,000","46,767,000","43,938,000","19,171,000","25,392,000","31,558,000","18,123,000","31,619,000","20,757,000","31,075,000","16,377,000","11,254,000","11,696,000","30,808,000","2,918,000","7,846,000","-3,788,000","27,909,000","2,276,000","32,318,000","34,695,000","23,795,000","24,583,000","21,255,000","28,430,000","29,646,000","19,358,000","28,137,000","47,044,000","28,366,000","30,638,000","37,187,000","27,091,000","27,128,000","-1,975,000","20,346,000","14,593,000","10,672,000","6,479,000","15,282,000","20,934,000","24,441,000","15,456,000","10,871,000","14,961,000","12,397,000","16,257,000","13,233,000","6,992,000","11,108,000","10,025,000","10,850,000","3,665,000","8,073,000","14,261,000","8,827,000","11,497,000","8,192,000","6,754,000","5,542,000","6,674,000","6,043,000","-1,566,000","4,550,000","-1,463,000","1,596,000","-3,833,000","-1,260,000","1,500,000","-600,000","4,300,000","-2,700,000","-3,000,000","-2,100,000","-2,600,000","-2,100,000","-4,100,000","-1,500,000","-1,100,000","-1,200,000","-2,100,000","-1,400,000","-2,400,000","-2,100,000","-1,200,000"
		NetIncomeFromContinuingOperations,"156,582,000","32,901,000","45,384,000","43,229,000","35,068,000","45,394,000","92,744,000","32,337,000","-369,000","9,180,000","15,319,000","-27,610,000","29,736,000","32,756,000","25,138,000","13,295,000","11,376,000","10,992,000","44,355,000","3,158,000","10,836,000","6,394,000","28,248,000","20,143,000","14,525,000","11,648,000","14,980,000","-21,511,000","4,998,000","8,384,000","17,166,000","9,807,000","4,825,000","2,206,000","12,183,000","-28,550,000","3,440,000","-4,050,000",,,,,,,,"11,487,000","18,807,000","16,483,000","15,157,000","15,222,000","15,731,000","14,432,000","11,225,000","9,567,000","24,845,000","-15,291,000","13,814,000","11,565,000","5,382,000","9,673,000","9,342,000","9,074,000","10,131,000","2,594,000","7,977,000","8,705,000","10,614,000","10,482,000","7,655,000","8,443,000","9,839,000","-7,598,000","7,518,000","7,438,000","9,172,000","6,833,000","5,418,000","5,438,000","25,374,000","1,563,000","4,249,000","4,091,000","17,625,000","3,780,000","2,762,000","1,996,000","-11,693,000","1,717,000","84,000","-1,063,000","-800,000","-2,000,000","-3,600,000","400,000","-2,900,000","-2,900,000","-3,200,000","-3,300,000","-10,700,000","-2,400,000","-2,100,000","-1,800,000","-2,300,000","-2,100,000","-1,500,000","-1,600,000","-2,200,000"
		OperatingGainsLosses,"4,032,000","712,000","380,000","2,173,000","767,000","-42,878,000","7,296,000","42,000","143,000","374,000","977,000","233,000","244,000","367,000","416,000","842,000","-19,000","146,000","3,901,000","-9,000","2,391,000","348,000","719,000","-138,000","1,123,000","61,000","357,000","86,000","57,000","-19,000","696,000","127,000",,,"149,000","-15,000","-34,000","1,865,000","505,000","376,000",,,,,,,,"-284,000","-6,306,000","154,000","-959,000","-789,000","-1,089,000","-2,757,000","0","0","0","18,000","4,890,000","295,000","-73,000","168,000","5,654,000","236,000","-2,234,000","3,310,000","197,000","987,000","67,000","174,000","293,000","23,584,000","404,000","-13,000","1,186,000","275,000","-46,000","-213,000","141,000","2,345,000","0","30,000","22,000","339,000",,,"13,160,000","40,000","-1,030,000","-326,000","1,100,000",,,"-4,200,000","300,000","-100,000",,,"6,800,000","0",,,"-300,000","-300,000",,,"-100,000"
			GainLossOnSaleOfBusiness,"1,078,000","0","169,000","230,000","679,000","-42,876,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"2,954,000","712,000","211,000","1,943,000","88,000","-2,000","7,296,000","42,000","143,000","374,000","977,000","233,000","244,000","367,000","416,000","842,000","-19,000","146,000","6,546,000","-9,000","104,000","348,000","719,000","-138,000","1,123,000","61,000","357,000","86,000","57,000","-19,000","696,000","127,000","378,000","0","149,000","-15,000","-34,000","1,865,000","505,000","376,000",,,,"0","0","0",,"-284,000","293,000","154,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"120,346,000","29,724,000","30,746,000","30,122,000","29,754,000","29,214,000","26,178,000","31,027,000","29,675,000","29,151,000","27,878,000","27,599,000","26,892,000","27,093,000","27,677,000","29,051,000","26,906,000","27,096,000","26,664,000","20,969,000","21,595,000","19,717,000","18,312,000","18,086,000","18,014,000","18,253,000","18,267,000","9,437,000","15,745,000","15,414,000","16,023,000","15,941,000","15,203,000","13,961,000","11,315,000","11,670,000","12,636,000","11,389,000","13,489,000","13,314,000","13,232,000","12,576,000","12,869,000","12,852,000","14,493,000","9,958,000","10,504,000","9,714,000","9,523,000","9,431,000","12,572,000","9,973,000","8,467,000","8,676,000","11,204,000","6,682,000","7,579,000","7,683,000","7,008,000","6,598,000","7,678,000","5,755,000","6,023,000","7,370,000","4,389,000","3,696,000","3,190,000","3,216,000","3,552,000","3,263,000","3,252,000","3,105,000","2,486,000","2,749,000","2,767,000","2,080,000","2,283,000","1,913,000","1,977,000","1,965,000","1,641,000","1,579,000","1,698,000","1,704,000","1,424,000","1,431,000","1,406,000","1,327,000","1,337,000","1,106,000","-200,000",,,"300,000","400,000","100,000","200,000","600,000","300,000","500,000","500,000","500,000","400,000","600,000","600,000","400,000","600,000"
			DepreciationAndAmortization,"120,346,000","29,724,000","30,746,000","30,122,000","29,754,000","29,214,000","26,178,000","31,027,000","29,675,000","29,151,000","27,878,000","27,599,000","26,892,000","27,093,000","27,677,000","29,051,000","26,906,000","27,096,000","26,664,000","20,969,000","21,595,000","19,717,000","18,312,000","18,086,000","18,014,000","18,253,000","18,267,000","9,437,000","15,745,000","15,414,000","16,023,000","15,941,000","15,203,000","13,961,000","11,315,000","11,670,000","12,636,000","11,389,000","13,489,000","13,314,000","13,232,000","12,576,000","12,869,000","12,852,000","14,493,000","9,958,000","10,504,000","9,714,000","9,523,000","9,431,000","12,572,000","9,973,000","8,467,000","8,676,000","11,204,000","6,682,000","7,579,000","7,683,000","7,008,000","6,598,000","7,678,000","5,755,000","6,023,000","7,370,000","4,389,000","3,696,000","3,190,000","3,216,000","3,552,000","3,263,000","3,252,000","3,105,000","2,486,000","2,749,000","2,767,000","2,080,000","2,283,000","1,913,000","1,977,000","1,965,000","1,641,000","1,579,000","1,698,000","1,704,000","1,424,000","1,431,000","1,406,000","1,327,000","1,337,000","1,106,000","-200,000",,,"300,000","400,000","100,000","200,000","600,000","300,000","500,000","500,000","500,000","400,000","600,000","600,000","400,000","600,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,971,000","7,073,000","6,418,000","6,013,000","7,532,000","5,664,000","5,837,000","5,454,000","4,536,000","3,191,000","2,825,000","2,737,000","3,029,000","2,722,000","2,601,000","2,454,000","1,870,000","2,162,000","2,098,000","1,709,000","1,746,000","1,477,000","1,306,000","1,376,000","1,172,000","1,166,000",,,,,,,,,,,,,,,,,,,,,,,,,
