name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010
TotalAssets,"502,140,000","413,826,000","381,633,000","395,134,000","297,602,000","242,187,000","232,200,000","154,875,000","110,665,000","96,452,379","98,191,398","105,425,426","70,604,458","55,846,028","49,071,143","44,093,691","21,773,162","14,637,131","13,917,607","12,645,799","7,268,175","6,104,047","3,567,997","2,681,153","1,560,236","1,256,716","1,678,180","1,092,245","979,126","913,170","733,932","643,344","457,381","330,741","451,009","40,650","49","5,592","368","738","3,628","600","1,875","0","2,031","8,825","2,406"
	CurrentAssets,"399,342,000","319,315,000","306,141,000","347,132,000","266,763,000","212,225,000","210,524,000","136,801,000","92,685,000","78,819,020","81,292,083","90,391,918","56,452,170","42,326,727","46,751,728","42,115,329","19,904,749","13,098,918","12,619,392","11,557,051","6,463,681","5,565,642","3,215,709","2,447,186","1,398,640","1,146,521","1,504,790","915,829","825,283","758,581","656,976","567,714","381,304","285,887","443,073","40,650","49","5,592","368","738","3,628","600","1,875","0","2,031","8,825","2,406"
		CashCashEquivalentsAndShortTermInvestments,"130,092,000","108,237,000","98,064,000","107,413,000","104,392,000","100,143,000","91,871,000","63,551,000","44,279,000","40,087,372","34,736,287","31,523,012","20,771,971","20,538,057","22,093,710","15,567,430","8,340,851","4,672,034","3,347,910","1,564,220","1,790,640","1,684,608","944,096","886,193","424,501","571,814","448,904","288,294","197,623","353,374","268,703","205,599","100,954","100,056","225,513","40,554","49","5,392","368","738","3,628",,"1,875","0","2,031","8,825","471"
			CashAndCashEquivalents,"130,092,000","108,237,000","98,064,000","107,413,000","104,392,000","100,143,000","91,871,000","63,551,000","44,279,000","40,087,372","34,736,287","31,523,012","20,771,971","20,538,057","22,093,710","15,567,430","8,340,851","4,672,034","3,347,910","1,564,220","1,790,640","1,684,608","944,096","886,193","424,501","571,814","448,904","288,294","197,623","353,374","268,703","205,599","100,954","100,056","225,513","40,554","49","5,392","368","738","3,628",,"1,875","0","2,031","8,825","471"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,"288,294","197,623","353,374",,"205,599","100,954","100,056","225,513","40,554","49","5,392","368","738","3,628",,"1,875","0","2,031","8,825","471"
		Receivables,"142,963,000","133,489,000","129,843,000","134,250,000","88,475,000","76,951,000","93,482,000","52,543,000","34,580,000","28,195,798","36,039,325","50,788,908","29,693,641","17,428,091","21,183,291","22,974,140","9,110,304","6,912,657","7,549,469","8,442,372","3,335,924","3,015,767","1,333,674","1,021,061","526,738","341,643","502,505","287,701","258,040","189,026","265,467","202,179","146,548","107,840","119,355",,,,,,,,,,,,
			AccountsReceivable,"142,963,000","133,489,000","129,843,000","134,250,000","88,475,000","76,951,000","93,482,000","52,543,000","34,580,000","28,195,798","36,039,325","50,788,908","29,693,641","17,428,091","21,183,291","22,974,140","9,110,304","6,912,657","7,549,469","8,442,372","3,335,924","3,015,767","1,333,674","1,021,061","526,738","341,643","502,505","287,701","258,040","189,026","265,467","202,179","146,548","107,840","119,355",,,,,,,,,,,,
				GrossAccountsReceivable,"145,380,000","135,687,000","131,744,000","135,921,000","90,739,000","78,830,000","94,828,000","53,803,000","34,773,000","28,333,228","36,737,027","51,273,751","29,991,208","17,912,532","21,528,323","23,163,380","9,284,768","7,092,416","7,727,032","8,613,183","3,522,924","3,149,612","1,464,541","1,034,402","532,476","343,985","506,507","287,701","261,946","192,110","270,521","207,766","149,697","110,169",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,417,000","-2,198,000","-1,901,000","-1,671,000","-2,264,000","-1,879,000","-1,346,000","-1,260,000","-193,000","-137,430","-697,702","-484,843","-297,567","-484,441","-345,032","-189,240","-174,464","-179,759","-177,563","-170,811","-187,000","-133,845","-130,867","-13,341","-5,738","-2,342","-4,002","-3,932","-3,906","-3,084","-5,054","-5,587","-3,149","-2,329",,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,256","3,523","5,250","6,000",,,,,,,,,,,,,,,,,
