name,ttm,03/31/2022,12/31/2021,09/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"4,019,000","743,000","1,004,000","1,129,000","1,799,000","3,426,000","1,505,000"
	OperatingRevenue,"4,019,000","743,000","1,004,000","1,129,000","1,799,000","3,426,000","1,505,000"
CostOfRevenue,"3,153,000","488,000","1,060,000","929,000","1,202,000","2,065,000","1,044,000"
GrossProfit,"866,000","255,000","-56,000","200,000","597,000","1,361,000","461,000"
OperatingExpense,"102,298,000","25,884,000","27,588,000","40,688,000","5,785,000","5,222,000","7,355,000"
	SellingGeneralAndAdministration,"81,716,000","20,003,000","21,470,000","36,159,000","2,970,000","2,354,000","2,749,000"
		GeneralAndAdministrativeExpense,"73,537,000","17,792,000","18,960,000","33,864,000","2,314,000","1,581,000","2,017,000"
			OtherGandA,"73,537,000","17,792,000","18,960,000","33,864,000","2,314,000","1,581,000","2,017,000"
		SellingAndMarketingExpense,"8,179,000","2,211,000","2,510,000","2,295,000","656,000","773,000","732,000"
	ResearchAndDevelopment,"20,582,000","5,881,000","6,118,000","4,529,000","2,815,000","2,868,000","4,606,000"
OperatingIncome,"-101,432,000","-25,629,000","-27,644,000","-40,488,000","-5,188,000","-3,861,000","-6,894,000"
NetNonOperatingInterestIncomeExpense,"-13,000","11,000","-4,000","-7,000","-10,000","-18,000","0"
	TotalOtherFinanceCost,"13,000","-11,000","4,000","7,000","10,000","18,000",
OtherIncomeExpense,,"6,416,000","-6,414,000","3,510,000",,"3,000","1,000"
	GainOnSaleOfSecurity,,"6,414,000","-8,437,000","3,510,000",,,
	SpecialIncomeCharges,,,"2,000,000","0",,"0","0"
		OtherSpecialCharges,,,"-2,000,000",,,,
	OtherNonOperatingIncomeExpenses,,"2,000","23,000",,,"3,000","1,000"
PretaxIncome,"-95,511,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,876,000","-6,893,000"
TaxProvision,"1,000","0","0","0","0","1,000","0"
NetIncomeCommonStockholders,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
	NetIncome,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
		NetIncomeIncludingNoncontrollingInterests,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
			NetIncomeContinuousOperations,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
DilutedNIAvailtoComStockholders,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
BasicEPS,,"-0.14","-0.25","-0.35","-0.05",,"-0.048"
DilutedEPS,,"-0.14","-0.25","-0.35","-0.05",,"-0.048"
BasicAverageShares,,"137,908,690","137,703,090","106,614,893","104,059,652",,"142,718,497"
DilutedAverageShares,,"137,908,690","137,703,090","106,614,893","104,059,652",,"142,718,497"
TotalOperatingIncomeAsReported,"-101,432,000","-25,629,000","-27,644,000","-40,488,000","-5,188,000","-3,861,000","-6,894,000"
TotalExpenses,"105,451,000","26,372,000","28,648,000","41,617,000","6,987,000","7,287,000","8,399,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
NormalizedIncome,"-99,040,600","-25,616,000","-27,625,000","-40,495,000","-5,198,000","-3,877,000","-6,893,000"
NetInterestIncome,"-13,000","11,000","-4,000","-7,000","-10,000","-18,000","0"
EBIT,"-101,432,000","-25,629,000","-27,644,000","-40,488,000","-5,188,000","-3,861,000","-6,894,000"
EBITDA,"-100,744,000"
ReconciledCostOfRevenue,"3,153,000","488,000","1,060,000","929,000","1,202,000","2,065,000","1,044,000"
ReconciledDepreciation,"688,000","268,000","205,000",,"111,000","113,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-95,512,000","-19,202,000","-34,062,000","-36,985,000","-5,198,000","-3,877,000","-6,893,000"
TotalUnusualItemsExcludingGoodwill,"5,881,000","6,414,000","-6,437,000","3,510,000",,"0","0"
TotalUnusualItems,"5,881,000","6,414,000","-6,437,000","3,510,000",,"0","0"
NormalizedEBITDA,"-106,625,000","-31,775,000","-21,002,000","-43,998,000","-5,077,000","-3,748,000","-6,894,000"
TaxRateForCalcs,"0.4","0","0","0","0","0.27","0"
TaxEffectOfUnusualItems,"2,352,400","0","0","0","0","0","0"
