name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalAssets,"2,515,805,000","2,631,838,000","2,466,685,000","2,256,835,000","2,090,803,000","1,929,497,000","1,949,058,000","2,021,233,000","2,101,355,000","1,784,134,000","1,674,697,000","1,671,447,000","1,618,440,000","1,603,324,000","1,731,512,000","1,817,516,000","1,744,155,000","1,770,219,000","1,587,468,000","1,662,570,000","1,429,000,000","1,373,703,000","1,565,139,000","1,332,071,000","1,422,115,000","1,378,982,000","1,502,186,000","1,544,838,000","1,589,781,000","1,867,653,000","1,402,478,000","1,421,588,000","1,257,861,000","1,176,915,000","839,806,000","581,059,000","443,953,000","387,859,000","220,253,000","171,259,000","84,901,000"
	CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217,315,000","168,295,000","83,270,000"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,522,000","165,628,000","4,586,000"
			CashAndCashEquivalents,"13,759,000","50,615,000","15,787,000","75,671,000","97,944,000","74,776,000","81,295,000","72,987,000","74,498,000","5,256,000","5,952,000","5,215,000","12,814,000","11,089,000","5,034,000","5,045,000","5,201,000","28,343,000","28,245,000","5,723,000","44,400,000","47,270,000","41,768,000","5,309,000","6,164,000","8,995,000","10,399,000","8,105,000","9,005,000","16,551,000","11,448,000","20,152,000","30,402,000","20,100,000","12,553,000","40,235,000","22,550,000","23,390,000","23,983,000","87,455,000","4,586,000"
				CashFinancial,,,,,,,"81,295,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,390,000",,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,539,000","78,173,000",
		Receivables,"76,882,000","131,181,000","50,142,000","108,457,000","37,624,000","7,489,000",,"32,179,000","132,193,000","42,413,000","36,780,000","124,226,000","1,708,000","52,425,000","55,643,000","52,324,000","66,887,000","945,000","873,000","857,000","865,000","203,000","38,291,000","1,518,000","27,667,000","38,302,000","3,197,000","3,384,000","3,579,000","21,790,000","11,045,000","67,668,000","2,267,000","2,552,000",,"3,312,000","2,464,000","1,746,000","871,000","580,000","521,000"
			AccountsReceivable,"2,267,000","2,592,000","2,524,000","2,467,000","2,599,000","1,079,000",,"996,000","1,010,000","1,309,000","1,269,000","1,413,000","1,708,000","843,000","750,000","765,000","769,000","945,000","873,000","857,000","865,000","203,000","1,355,000","1,518,000","2,256,000","2,695,000","3,197,000","3,384,000","3,579,000","3,438,000","2,634,000","2,167,000","2,267,000","2,552,000",,"3,312,000","2,464,000","1,746,000",,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"871,000","580,000","521,000"
			OtherReceivables,"74,615,000","128,589,000","47,618,000","105,990,000","35,025,000","6,410,000",,"31,183,000","131,183,000","41,104,000","35,511,000","122,813,000",,"51,582,000","54,893,000","51,559,000","66,118,000",,,,,,"36,936,000",,"25,411,000","35,607,000",,,,"18,352,000","8,411,000","65,501,000",,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,922,000","2,087,000","912,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,251,000"
	TotalNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,938,000","2,964,000","1,631,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,"60,978,000","61,800,000","60,148,000","60,077,000","58,525,000","58,889,000","59,614,000","58,558,000","60,132,000","59,640,000","60,878,000",,,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,"60,978,000","61,800,000","60,148,000","60,077,000","58,525,000","58,889,000","59,614,000","58,558,000","60,132,000","59,640,000","60,878,000",,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,416,000","2,212,000","1,173,000"
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"522,000","752,000","458,000"
TotalLiabilitiesNetMinorityInterest,"1,826,471,000","1,953,210,000","1,793,942,000","1,577,798,000","1,514,830,000","1,456,482,000","1,479,709,000","1,556,107,000","1,635,290,000","1,357,795,000","1,248,953,000","1,245,690,000","1,193,338,000","1,177,737,000","1,307,354,000","1,395,320,000","1,323,441,000","1,351,049,000","1,166,968,000","1,245,588,000","1,011,110,000","944,030,000","1,099,871,000","877,774,000","968,114,000","922,494,000","1,010,562,000","1,055,688,000","1,102,626,000","1,386,767,000","1,001,439,000","1,017,753,000","853,773,000","770,699,000","429,159,000","186,183,000","280,369,000","222,421,000","53,570,000","3,601,000","55,630,000"
	CurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,683,000","2,267,000","2,046,000"
		PayablesAndAccruedExpenses,"21,252,000","21,400,000","21,019,000","20,858,000","17,567,000","14,665,000","13,742,000","14,289,000","14,584,000","13,025,000","12,906,000","13,510,000","12,661,000","12,618,000","11,315,000","11,590,000","10,992,000","10,764,000","10,658,000","10,695,000","10,884,000","10,105,000","10,099,000","9,615,000","10,332,000","10,109,000","10,132,000","10,153,000","10,258,000","10,380,000","10,274,000","10,484,000","10,079,000","10,307,000","10,077,000","11,731,000","5,214,000","5,424,000","2,683,000","2,267,000","2,046,000"
			Payables,"21,252,000","21,400,000","21,019,000","20,858,000","17,567,000","14,665,000","13,742,000","14,289,000","14,584,000","13,025,000","12,906,000","13,510,000","12,661,000","12,618,000","11,315,000","11,590,000","10,992,000","10,764,000","10,658,000","10,695,000","10,884,000","10,105,000","10,099,000","9,615,000","10,332,000","10,109,000","10,132,000","10,153,000","10,258,000","10,380,000","10,274,000","10,484,000","10,079,000","10,307,000","10,077,000","11,731,000","5,214,000","5,424,000","1,840,000","2,267,000","920,000"
