name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,01/31/2016
TotalAssets,"555,434,000","620,335,000","556,205,000","568,744,000","598,673,000","595,989,000","514,941,000","531,656,000","536,790,000","563,620,000","485,762,000","508,153,000","433,298,000","267,128,000","186,262,000","197,734,000","188,406,000","203,489,000","171,917,000","176,589,000","186,652,000","86,465,000","66,900,000","85,497,000"
	CurrentAssets,"356,831,000","410,353,000","343,408,000","349,220,000","376,210,000","376,184,000","304,428,000","325,929,000","341,449,000","377,812,000","318,139,000","345,246,000","349,640,000","230,069,000","163,115,000","174,565,000","165,628,000","180,042,000","149,515,000","154,229,000","164,391,000","61,829,000","45,211,000","58,156,000"
		CashCashEquivalentsAndShortTermInvestments,"247,769,000","261,210,000","229,526,000","240,490,000","272,099,000","230,411,000","208,996,000","223,347,000","248,796,000","256,076,000","244,754,000","274,195,000","284,105,000","142,776,000","107,034,000","124,819,000","124,113,000","118,341,000","113,470,000","127,265,000","133,735,000","24,420,000","20,728,000","30,028,000"
			CashAndCashEquivalents,"247,769,000","261,210,000","229,526,000","240,490,000","272,099,000","230,411,000","208,996,000","223,347,000","248,796,000","256,076,000","244,754,000","268,801,000","257,663,000","91,755,000","28,337,000","47,155,000","53,403,000","34,367,000","21,112,000","32,879,000","133,735,000","24,420,000","20,728,000","30,028,000"
			OtherShortTermInvestments,,,,,,,,,,,,"5,394,000","26,442,000","51,021,000","78,697,000","77,664,000","70,710,000","83,974,000","92,358,000","94,386,000",,,,
		Receivables,"58,012,000","101,607,000","62,142,000","59,110,000","55,512,000","97,455,000","48,687,000","53,116,000","47,308,000","80,583,000","38,837,000","37,033,000","32,841,000","55,341,000","34,446,000","27,878,000","24,123,000","44,656,000","23,861,000","14,495,000","19,030,000","27,646,000","16,367,000","24,182,000"
			AccountsReceivable,"58,012,000","101,607,000","62,142,000","59,110,000","55,512,000","97,455,000","48,687,000","53,116,000","47,308,000","80,583,000","38,837,000","37,033,000","32,841,000","55,341,000","34,446,000","27,878,000","24,123,000","44,656,000","23,861,000","14,495,000","19,030,000","27,646,000","16,367,000","24,182,000"
				GrossAccountsReceivable,"59,199,000","103,649,000","64,746,000","61,896,000","57,758,000","99,983,000","51,441,000","56,252,000","49,049,000","81,578,000","39,039,000","37,152,000","33,077,000","55,597,000","34,594,000","28,165,000","24,204,000","44,887,000","23,979,000","14,538,000","19,107,000","27,835,000","16,487,000","24,698,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,187,000","-2,042,000","-2,604,000","-2,786,000","-2,246,000","-2,528,000","-2,754,000","-3,136,000","-1,741,000","-995,000","-202,000","-119,000","-236,000","-256,000","-148,000","-287,000","-81,000","-231,000","-118,000","-43,000","-77,000","-189,000","-120,000","-516,000"
		PrepaidAssets,"19,035,000","13,538,000","18,060,000","16,192,000","16,454,000","17,993,000","17,631,000","20,413,000","17,202,000","12,730,000","12,459,000","13,776,000","14,057,000","14,135,000","10,687,000","11,191,000","7,912,000","7,703,000","5,551,000","6,182,000","4,754,000","3,511,000","3,946,000","1,790,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,"502,000",,,
		CurrentDeferredAssets,"32,015,000","33,998,000","33,680,000","33,428,000","32,145,000","30,325,000","29,114,000","29,053,000","28,143,000","28,423,000","22,089,000","20,242,000","18,637,000","17,817,000","10,948,000","10,677,000","9,480,000","9,342,000","6,633,000","6,287,000","6,370,000","6,252,000","4,170,000","2,156,000"
