name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalAssets,"517,208,000","581,624,000","512,883,000","664,832,000","534,843,000","631,891,000","0"
	CurrentAssets,"120,954,000","221,256,000","174,669,000","332,927,000","206,676,000","293,420,000",
		CashCashEquivalentsAndShortTermInvestments,"76,510,000","96,185,000","119,981,000","265,830,000","156,273,000","198,146,000",
			CashAndCashEquivalents,"76,510,000","96,185,000","119,981,000","265,830,000","156,273,000","198,146,000",
		Receivables,"44,444,000","125,071,000","54,688,000","67,097,000","50,403,000","95,274,000",
			AccountsReceivable,"33,797,000","113,294,000","45,253,000","56,413,000","41,890,000","83,948,000",
			DuefromRelatedPartiesCurrent,"10,647,000","11,777,000","9,435,000","10,684,000","8,513,000","11,326,000",
	TotalNonCurrentAssets,"396,254,000","360,368,000","338,214,000","331,905,000","328,167,000","338,471,000",
		NetPPE,"20,160,000","5,411,000","5,629,000","5,878,000","6,110,000","7,870,000",
			GrossPPE,"20,160,000","57,433,000",,,,"58,576,000",
				MachineryFurnitureEquipment,,"57,433,000",,,,"58,576,000",
				OtherProperties,"20,160,000",,,,,,
			AccumulatedDepreciation,,"-52,022,000",,,,"-50,706,000",
		GoodwillAndOtherIntangibleAssets,"34,636,000","35,215,000","35,798,000","36,380,000","36,963,000","37,547,000",
			Goodwill,"28,959,000","28,959,000","28,959,000","28,959,000","28,959,000","28,959,000",
			OtherIntangibleAssets,"5,677,000","6,256,000","6,839,000","7,421,000","8,004,000","8,588,000",
		InvestmentsAndAdvances,"232,668,000","226,345,000","203,993,000","190,552,000","180,708,000","166,273,000",
		NonCurrentDeferredAssets,"67,881,000","68,542,000","71,980,000","73,084,000","73,355,000","73,766,000",
			NonCurrentDeferredTaxesAssets,"67,881,000","68,542,000","71,980,000","73,084,000","73,355,000","73,766,000",
		OtherNonCurrentAssets,"40,909,000","24,855,000","20,814,000","26,011,000","31,031,000","53,015,000",
TotalLiabilitiesNetMinorityInterest,"570,509,000","637,425,000","623,033,000","588,727,000","454,587,000","556,167,000","0"
	CurrentLiabilities,"84,918,000","69,360,000","87,893,000","93,070,000","95,864,000","73,286,000",
		PayablesAndAccruedExpenses,"84,918,000","60,876,000","87,893,000","93,070,000","95,864,000","63,253,000",
			Payables,"59,358,000","59,366,000","60,932,000","60,875,000","60,598,000","60,131,000",
				DuetoRelatedPartiesCurrent,"59,358,000","59,366,000","60,932,000","60,875,000","60,598,000","60,131,000",
			CurrentAccruedExpenses,"25,560,000","1,510,000","26,961,000","32,195,000","35,266,000","3,122,000",
				InterestPayable,,"1,510,000",,,,"3,122,000",
		CurrentDeferredLiabilities,,"8,484,000",,,,"10,033,000",
			CurrentDeferredRevenue,,"8,484,000",,,,"10,033,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"485,591,000","568,065,000","535,140,000","495,657,000","358,723,000","482,881,000",
		LongTermDebtAndCapitalLeaseObligation,"408,949,000","390,516,000","391,234,000","392,227,000","284,982,000","335,155,000",
			LongTermDebt,"389,791,000","390,516,000","391,234,000","392,227,000","284,982,000","335,155,000",
			LongTermCapitalLeaseObligation,"19,158,000",,,,,,
		NonCurrentDeferredLiabilities,,"5,421,000",,,,"7,015,000",
		EmployeeBenefits,"48,327,000","128,529,000","102,018,000","70,642,000","47,692,000","99,955,000",
		DerivativeProductLiabilities,"28,315,000","30,981,000","41,888,000","32,788,000","26,049,000","28,442,000",
		PreferredSecuritiesOutsideStockEquity,,,"0","125,923,000","117,460,000","115,121,000",
		OtherNonCurrentLiabilities,,"12,618,000",,,,"12,314,000",
TotalEquityGrossMinorityInterest,"-53,301,000","-55,801,000","-110,150,000","76,105,000","80,256,000","75,724,000","0"
	StockholdersEquity,"-20,202,000","-25,710,000","-37,604,000","-19,993,000","-21,465,000","-20,015,000","0"
		CapitalStock,"18,000","18,000","18,000","18,000","18,000","18,000","0.01"
			PreferredStock,"0","0","0","0","0","0",
			CommonStock,"18,000","18,000","18,000","18,000","18,000","18,000","0.01"
		AdditionalPaidInCapital,"2,859,000","1,501,000","0","15,383,000","13,920,000","2,298,000",
		RetainedEarnings,"-26,093,000","-26,222,000","-35,777,000","-33,185,000","-33,833,000","-20,098,000",
		GainsLossesNotAffectingRetainedEarnings,"3,014,000","-1,007,000","-1,845,000","-2,209,000","-1,570,000","-2,233,000",
		OtherEquityInterest,,,,,,,"-0.01"
	MinorityInterest,"-33,099,000","-30,091,000","-72,546,000","96,098,000","101,721,000","95,739,000",
TotalCapitalization,"369,589,000","364,806,000","353,630,000","372,234,000","263,517,000","315,140,000","0"
CommonStockEquity,"-20,202,000","-25,710,000","-37,604,000","-19,993,000","-21,465,000","-20,015,000","0"
CapitalLeaseObligations,"19,158,000",,,,,,
NetTangibleAssets,"-54,838,000","-60,925,000","-73,402,000","-56,373,000","-58,428,000","-57,562,000","0"
WorkingCapital,"36,036,000","151,896,000","86,776,000","239,857,000","110,812,000","220,134,000",
InvestedCapital,"369,589,000","364,806,000","353,630,000","372,234,000","263,517,000","315,140,000","0"
TangibleBookValue,"-54,838,000","-60,925,000","-73,402,000","-56,373,000","-58,428,000","-57,562,000","0"
TotalDebt,"408,949,000","390,516,000","391,234,000","392,227,000","284,982,000","335,155,000",
NetDebt,"313,281,000","294,331,000","271,253,000","126,397,000","128,709,000","137,009,000",
ShareIssued,"43,741,355","43,964,090","44,022,131","42,628,996","42,628,996","40,835,093","39,914,862"
OrdinarySharesNumber,"43,741,355","43,964,090","44,022,131","42,628,996","42,628,996","40,835,093","39,914,862"
