name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000
			CommonStock,"9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000","10,000","10,000","10,000","10,000","10,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","9,000","9,000","10,000","10,000","10,000","13,000","13,000","12,000","12,000","12,000","12,000","11,000","13,000","13,000","13,000","13,000","13,000","13,000","9,000","9,000","9,000","9,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","6,000"
			OtherCapitalStock,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",,"0",,"0",,"0",,"0","0",,,"0","0","0","12,000","0","0","0","12,000","0","0",
		AdditionalPaidInCapital,"773,613,000","780,388,000","780,426,000","826,474,000","827,749,000","828,813,000","829,610,000","830,900,000","832,216,000","836,170,000","841,567,000","846,345,000","851,080,000","862,299,000","871,321,000","874,508,000","882,935,000","888,650,000","896,070,000","901,806,000","903,331,000","904,867,000","906,375,000","907,820,000","908,792,000","910,228,000","910,068,000","911,161,000","911,737,000","912,161,000","924,700,000","925,955,000","927,497,000","927,377,000","937,071,000","935,446,000","932,037,000","930,814,000","940,238,000","939,451,000","938,714,000","938,453,000","942,573,000","942,078,000","941,562,000","941,171,000","939,799,000","939,176,000","938,572,000","937,963,000","936,134,000","935,380,000","935,188,000","934,749,000","938,201,000","947,250,000","960,229,000","991,908,000","1,006,899,000","1,047,454,000","1,043,494,000","1,042,698,000","1,050,164,000","1,050,680,000","1,045,536,000","1,185,312,000","1,186,271,000","1,185,524,000","1,185,252,000","1,184,394,000","1,184,261,000","1,183,489,000","1,183,378,000","1,182,978,000","1,182,785,000","1,182,419,000","1,144,041,000","1,143,782,000","1,142,286,000","1,141,526,000","1,140,725,000","1,097,617,000","1,097,362,000","1,097,171,000","1,094,265,000","1,092,865,000","1,083,149,000","36,017,000"
		RetainedEarnings,"-520,607,000","-522,494,000","-526,362,000","-538,493,000","-546,357,000","-551,786,000","-572,114,000","-581,130,000","-583,468,000","-547,876,000","-555,236,000","-543,019,000","-526,740,000","-528,164,000","-534,482,000","-536,697,000","-541,538,000","-539,730,000","-552,702,000","-709,910,000","-713,405,000","-718,444,000","-725,450,000","-730,863,000","-736,579,000","-738,849,000","-744,656,000","-753,949,000","-759,190,000","-764,474,000","-770,416,000","-778,473,000","-787,208,000","-791,596,000","-942,689,000","-921,305,000","-926,378,000","-925,421,000","-933,118,000","-940,351,000","-942,417,000","-939,022,000","-936,990,000","-935,606,000","-935,254,000","-930,822,000","-901,549,000","-907,957,000","-914,920,000","-912,736,000","-837,693,000","-838,366,000","-836,539,000","-822,045,000","-685,562,000","-331,070,000","-341,812,000","-334,108,000","-287,057,000","-285,680,000","-294,278,000","-290,991,000","-312,379,000","-312,271,000","-144,273,000","-156,392,000","-159,813,000","-146,992,000","-151,220,000","-146,735,000","-149,344,000","-143,262,000","-145,242,000","-136,986,000","-132,769,000","-138,909,000","-137,281,000","-127,905,000","-122,288,000","-163,611,000","-160,283,000","-107,059,000","-79,625,000","-64,557,000","-52,115,000","-31,147,000","-16,581,000",
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,482,000",,,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-1,260,000","-977,000","-803,000","-1,028,000","-718,000","-1,056,000","35,000","481,000","-520,000","-131,000","-364,000","-414,000","-619,000","-1,412,000","-1,419,000","-1,562,000","-1,009,000","-60,000","-1,625,000","-2,080,000","-2,424,000","-2,977,000","-4,048,000","-4,660,000","-4,746,000","-4,115,000","-4,460,000","-3,334,000","-3,308,000","-2,138,000","-1,062,000","-1,536,000","-397,000","234,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-338,000","-846,000","-1,433,000","-2,005,000","-2,577,000","-3,175,000","-4,379,000","-5,001,000","-5,611,000","-6,353,000","-7,571,000","-7,324,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"-60,000","-1,625,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000","-1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"458,571,000","464,342,000","461,284,000","495,574,000","490,494,000","486,434,000","468,635,000","461,996,000","460,617,000","501,196,000","524,376,000","541,953,000","563,619,000","573,273,000","626,043,000","627,495,000","632,261,000","641,359,000","625,751,000","474,979,000","473,436,000","470,153,000","484,182,000","480,364,000","476,297,000","480,086,000","494,711,000","488,575,000","484,873,000","482,121,000","507,249,000","504,393,000","499,276,000","496,337,000","365,641,000","354,985,000","346,416,000","346,065,000","367,427,000","359,263,000","376,112,000","379,101,000","401,133,000","401,878,000","401,573,000","405,476,000","433,276,000","389,718,000","383,151,000","388,184,000","461,398,000","461,543,000","464,178,000","518,234,000","724,647,000","1,088,189,000","1,091,428,000","1,140,812,000","1,209,117,000","1,252,317,000","1,242,116,000","1,245,792,000","1,235,146,000","1,238,046,000","1,403,217,000","1,529,202,000","1,528,065,000","1,517,090,000","1,514,288,000","1,518,655,000","1,516,272,000","1,361,608,000","1,396,537,000","1,422,425,000","1,429,266,000","1,440,643,000","1,310,885,000","1,319,545,000","1,327,259,000","1,249,689,000","1,310,899,000","1,327,543,000","1,255,918,000","1,270,758,000","1,363,090,000","1,388,475,000","1,353,784,000","398,703,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,169,000","90,720,000",,,"82,024,000","80,603,000","79,053,000",
CommonStockEquity,"251,755,000","256,926,000","253,270,000","286,962,000","280,683,000","275,980,000","257,540,000","250,260,000","248,237,000","288,172,000","285,976,000","302,921,000","323,730,000","332,732,000","335,429,000","336,258,000","340,398,000","348,870,000","341,753,000","189,826,000","187,512,000","183,456,000","176,886,000","172,306,000","167,476,000","167,273,000","160,961,000","153,887,000","149,248,000","145,558,000","149,749,000","145,955,000","139,901,000","136,024,000","-5,609,000","14,150,000","5,668,000","5,401,000","7,128,000","-892,000","-3,695,000","-561,000","5,591,000","6,480,000","6,316,000","10,357,000","38,258,000","31,227,000","23,660,000","25,235,000","98,449,000","97,022,000","98,657,000","112,713,000","252,647,000","616,189,000","618,427,000","657,810,000","719,854,000","761,787,000","749,228,000","751,719,000","737,797,000","738,421,000","901,274,000","1,028,933,000","1,026,471,000","1,038,545,000","1,034,045,000","1,037,672,000","1,034,930,000","1,040,236,000","1,038,145,000","1,046,001,000","1,050,025,000","1,043,522,000","1,006,434,000","1,015,043,000","1,018,577,000","975,922,000","977,877,000","987,395,000","1,013,370,000","1,027,625,000","1,036,551,000","1,055,377,000","1,059,009,000","28,699,000"
