name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"89,305,000","18,836,000","15,401,000","14,409,000","40,659,000","7,978,000","9,638,000","3,833,000","212,236,000","1,840,000","982,000","981,000","982,000","145,419,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,"1,000","1,000","1,000","1,000","1,000","0"
	OperatingRevenue,"89,305,000","18,836,000","15,401,000","14,409,000","40,659,000","7,978,000","9,638,000","3,833,000","212,236,000","1,840,000","982,000","981,000","982,000","145,419,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,"1,000","1,000","1,000","1,000","1,000","0"
CostOfRevenue,"19,558,000","7,125,000","5,075,000","5,558,000","1,800,000","1,784,000","1,688,000","275,000","398,000","31,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"742,000","715,000","-493,000","445,000","429,000","405,056"
GrossProfit,"69,747,000","11,711,000","10,326,000","8,851,000","38,859,000","6,194,000","7,950,000","3,558,000","211,838,000","1,809,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-741,000","-714,000","494,000","-444,000","-428,000","-405,056"
OperatingExpense,"256,642,000","54,700,000","65,954,000","64,596,000","71,392,000","89,018,000","103,519,000","84,109,000","82,668,000","76,255,000","59,946,000","66,749,000","56,280,000","58,490,000","60,649,000","50,562,000","46,480,000","46,894,000","38,696,000","45,737,000","43,660,000","40,889,000","29,285,000","17,712,000","14,331,000","14,822,000","13,234,000","12,919,000","12,462,000","11,425,000","9,380,000","9,700,000","9,254,000","7,890,000","9,736,016","5,406,823","4,271,847","3,344,012","2,160,047","2,990,249","2,863,881","2,189,583","6,457,000","8,153,000","7,405,000","6,467,000","7,383,000","7,676,000","7,711,000","6,456,000","7,259,000","8,196,000","8,347,000","6,242,000","7,820,000","7,252,000","5,474,128"
	SellingGeneralAndAdministration,"154,302,000","30,381,000","38,338,000","39,265,000","46,318,000","61,064,000","61,555,000","48,826,000","47,681,000","41,553,000","21,712,000","18,468,000","13,492,000","12,182,000","11,176,000","9,011,000","6,956,000","5,954,000","5,257,000","5,681,000","5,412,000","5,029,000","4,404,000","4,214,000","4,633,000","5,031,000","5,278,000","5,672,000","5,253,000","4,035,000","3,180,000","2,526,000","2,726,000","2,490,000","2,397,499","1,924,150","1,171,425","1,251,419","505,765","533,837","533,658","632,372","1,748,000","1,561,000","1,629,000","1,205,000","1,677,000","1,428,000","1,645,000","1,291,000","1,395,000","1,135,000","1,100,000","612,000","611,000","720,000","1,005,715"
		GeneralAndAdministrativeExpense,"65,854,000",,,,,,,,,,"21,712,000","18,468,000","13,492,000","12,182,000","11,176,000","9,011,000","6,956,000","5,954,000","5,257,000","5,681,000","5,412,000","5,029,000","4,404,000","4,214,000","4,633,000","5,031,000","5,278,000","5,672,000","5,253,000","4,035,000","3,180,000","2,526,000","2,726,000","2,490,000","2,397,499","1,924,150","1,171,425","1,251,419","505,765","533,837","533,658","632,372",,,,,,,,,,,,,,,
			OtherGandA,"65,854,000",,,,,,,,,,"21,712,000","18,468,000","13,492,000","12,182,000","11,176,000","9,011,000","6,956,000","5,954,000","5,257,000","5,681,000","5,412,000","5,029,000","4,404,000","4,214,000","4,633,000","5,031,000","5,278,000","5,672,000","5,253,000","4,035,000","3,180,000","2,526,000","2,726,000","2,490,000","2,397,499","1,924,150","1,171,425","1,251,419","505,765","533,837","533,658","632,372",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"102,340,000","24,319,000","27,616,000","25,331,000","25,074,000","27,954,000","41,964,000","35,283,000","34,987,000","34,702,000","38,234,000","48,281,000","42,788,000","46,308,000","49,473,000","41,551,000","39,524,000","40,940,000","33,439,000","40,056,000","38,248,000","35,860,000","24,881,000","13,498,000","9,698,000","9,791,000","7,956,000","7,247,000","7,209,000","7,390,000","6,200,000","7,174,000","6,528,000","5,400,000","7,338,517","3,482,673","3,100,422","2,092,593","1,654,282","2,456,412","2,330,223","1,557,211","4,473,000","6,272,000","5,460,000","4,992,000","5,416,000","5,878,000","5,705,000","5,151,000","4,902,000","5,391,000","5,604,000","4,922,000","6,701,000","6,103,000","4,063,357"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,000","320,000","316,000","270,000","290,000","370,000","361,000","14,000","962,000","1,416,000","1,389,000","708,000","508,000","429,000","405,056"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,000","320,000","316,000","270,000","290,000","370,000","361,000","14,000","962,000","1,416,000","1,389,000","708,000","508,000","429,000","405,056"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,000","320,000","316,000","270,000","290,000","370,000","361,000","-195,000","752,000","1,206,000","1,179,000","708,000","508,000","429,000","405,056"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209,000","210,000","210,000","210,000",,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209,000","210,000","210,000","210,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,000","254,000",,,,
OperatingIncome,"-186,895,000","-42,989,000","-55,628,000","-55,745,000","-32,533,000","-82,824,000","-95,569,000","-80,551,000","129,170,000","-74,446,000","-58,964,000","-65,768,000","-55,298,000","86,929,000","-60,649,000","-50,562,000","-46,480,000","-46,894,000","-38,696,000","-45,737,000","-43,660,000","-40,889,000","-29,285,000","-17,712,000","-14,331,000","-14,822,000","-13,234,000","-12,919,000","-12,462,000","-11,425,000","-9,380,000","-9,700,000","-9,254,000","-7,890,000","-9,736,016","-5,406,823","-4,271,847","-3,344,012","-2,160,047","-2,990,249","-2,863,881","-2,189,583","-6,457,000","-8,153,000","-7,405,000","-6,467,000","-7,383,000","-7,676,000","-7,711,000","-6,456,000","-7,259,000","-8,937,000","-9,061,000","-5,748,000","-8,264,000","-7,680,000","-5,879,184"
NetNonOperatingInterestIncomeExpense,"-52,290,000","-14,062,000","-13,430,000","-13,654,000","-11,144,000","-8,125,000","-8,931,000","-4,928,000","-4,640,000","-4,171,000","-4,124,000","-3,996,000",,,,,,,"-32,000","-44,000","-55,000","-67,000","-78,000","-89,000","-99,000","-110,000","-121,000","-130,000","-135,000","-134,000","-134,000","-135,000","-1,000","0","0","0","-108,357","-828,223","-561,675","-361,426","-303,167","-260,428",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"52,290,000","14,062,000","13,430,000","13,654,000","11,144,000","8,125,000","8,931,000","4,928,000","4,640,000","4,171,000","4,124,000","3,996,000",,,,,,,"32,000","44,000","55,000","67,000","78,000","89,000","99,000","110,000","121,000","130,000","135,000","134,000","134,000","135,000","1,000","0","0","0","108,357","828,223","561,675","361,426","303,167","260,428",,,,,,,,,,,,,,,
OtherIncomeExpense,"4,281,000","320,000","3,939,000","13,000","9,000","14,000","24,000","42,000","81,000","368,000","1,142,000","1,387,000","1,077,000","450,000","710,000","651,000","750,000","764,000","837,000","562,000","378,000","415,000","407,000","399,000","395,000","347,000","233,000","248,000","202,000","93,000","57,000","29,000","17,000","16,000","46,570","168,389","-2,540,872","-66,942","-53,634","401","894","1,059","-202,000","-384,000","-156,000","-330,000","144,000","-524,000","-21,000","60,000","-225,000","144,000","348,000","-1,055,000","-3,429,000","309,000","153,792"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"-2,544,907","-41,958",,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","-202,000","-384,000","-156,000","-330,000","144,000","-524,000","-21,000","60,000","-225,000","144,000","348,000","-1,055,000","-3,429,000","309,000","153,792"
