name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalAssets,"1,871,412,000","1,889,190,000","1,853,365,000","1,891,768,000","1,811,814,000","1,830,677,000","1,843,482,000","1,898,842,000","2,049,457,000","1,712,213,000","1,620,052,000","1,578,454,000","1,312,288,000","1,267,081,000","1,263,265,000","1,262,283,000","1,218,432,000","1,213,411,000","1,209,238,000","1,191,670,000","1,185,264,000","1,162,750,000","1,153,704,000","1,056,359,000","999,438,000","1,002,619,000","997,819,000","932,208,000","907,794,000","909,291,000","904,091,000","777,638,000","759,956,000","761,399,000","734,362,000","703,613,000","711,532,000","669,864,000","575,511,000","562,916,000","510,092,000","497,624,000","496,327,000","487,893,000","451,840,000","447,297,000","451,037,000","445,604,000","444,143,000","421,714,000","393,943,000","388,884,000","376,751,000","373,245,000","371,563,000","371,842,000","370,469,000","358,251,000","356,138,000","335,071,000","340,023,000","335,673,000","315,381,000","315,801,000","300,860,000","294,845,000","291,291,000","290,141,000","284,985,000","274,058,000","270,660,000","265,622,000","262,790,000","237,115,000","237,434,000","236,972,000","207,200,000","199,597,000","202,983,000","199,898,000","189,299,000","195,388,000","197,115,000","193,532,000","193,839,000","194,733,000","196,575,000","196,712,000","195,513,000","202,500,000","203,900,000","203,900,000","202,900,000","206,300,000","199,800,000","157,200,000","159,100,000","158,100,000","155,000,000","152,200,000","146,300,000","135,600,000","130,000,000","124,100,000","120,100,000","114,000,000","106,300,000","95,200,000","93,000,000","84,900,000","83,100,000","78,800,000","77,000,000","71,500,000","70,400,000","67,600,000","63,500,000","58,900,000","57,300,000","55,400,000","51,500,000"
	CurrentAssets,"245,502,000","251,236,000","242,769,000","256,066,000","266,525,000","267,355,000","315,534,000","381,256,000","596,020,000","252,505,000","249,640,000","246,281,000","239,907,000","222,313,000","222,041,000","226,891,000","207,256,000","207,896,000","204,075,000","200,947,000","199,230,000","195,960,000","200,998,000","173,401,000","170,075,000","189,787,000","184,304,000","181,728,000","175,284,000","184,594,000","197,815,000","168,602,000","168,116,000","173,043,000","169,861,000","159,743,000","166,410,000","160,511,000","151,999,000","143,207,000","134,300,000","131,212,000","138,038,000","136,990,000","128,783,000","125,641,000","129,933,000","121,368,000","124,092,000","117,398,000","111,397,000","105,395,000","101,714,000","98,194,000","97,225,000","95,871,000","92,873,000","92,182,000","92,529,000","86,461,000","88,836,000","85,942,000","85,486,000","82,718,000","81,573,000","80,263,000","84,379,000","82,690,000","77,519,000","76,034,000","76,438,000","72,321,000","70,742,000","65,663,000","66,772,000","66,576,000","63,877,000","59,505,000","62,281,000","58,474,000","53,779,000","55,248,000","55,067,000","50,086,000","49,767,000","48,774,000","50,801,000","50,023,000","47,625,000","53,900,000","52,600,000","52,200,000","53,300,000","50,700,000","53,300,000","34,800,000","39,500,000","38,600,000","33,100,000","34,900,000","32,600,000","28,600,000","28,500,000","27,900,000","26,500,000","26,500,000","23,800,000","20,000,000","22,100,000","20,100,000","21,400,000","19,800,000","21,100,000","18,400,000","20,400,000","20,400,000","17,600,000","16,800,000","17,600,000","17,900,000","16,800,000"
		CashCashEquivalentsAndShortTermInvestments,"7,948,000","9,514,000","6,643,000","16,878,000","29,960,000","24,959,000","81,453,000","147,174,000","345,476,000","8,826,000","6,050,000","8,513,000","6,214,000","3,579,000","2,173,000","12,662,000","1,909,000","7,853,000","6,368,000","6,553,000","8,995,000","6,463,000","7,226,000","4,724,000","7,985,000","4,165,000","1,303,000","7,711,000","7,730,000","4,622,000","7,763,000","2,349,000","1,205,000","4,905,000","2,067,000","1,441,000","1,463,000","7,562,000","1,914,000","1,076,000","3,257,000","1,971,000","2,728,000","4,802,000","2,670,000","2,041,000","4,346,000","2,931,000","11,180,000","4,874,000","4,298,000","3,362,000","3,336,000","3,406,000","1,677,000","2,217,000","2,108,000","1,031,000","1,095,000","974,000","965,000","685,000","1,001,000","2,504,000","3,780,000",,"3,765,000","3,557,000","888,000","879,000","2,986,000","2,953,000","1,533,000","73,000","888,000","391,000","69,000",,,"419,000","442,000",,"1,379,000","1,022,000","751,000","507,000","1,422,000","1,205,000","507,000",,"3,100,000","4,800,000","5,600,000","900,000","4,500,000","100,000","5,300,000","6,900,000","3,900,000","8,000,000","6,400,000","5,300,000","5,600,000","4,700,000","5,300,000","6,800,000","4,700,000","900,000","4,900,000","3,000,000","4,900,000","3,000,000","5,600,000","2,800,000","5,700,000","5,700,000","4,000,000","3,900,000","1,500,000","2,000,000","2,100,000"
			CashAndCashEquivalents,"7,948,000","9,514,000","6,643,000","16,878,000","29,960,000","24,959,000","81,453,000","147,174,000","345,476,000","8,826,000","6,050,000","8,513,000","6,214,000","3,579,000","2,173,000","12,662,000","1,909,000","7,853,000","6,368,000","6,553,000","8,995,000","6,463,000","7,226,000","4,724,000","7,985,000","4,165,000","1,303,000","7,711,000","7,730,000","4,622,000","7,763,000","2,349,000","1,205,000","4,905,000","2,067,000","1,441,000","1,463,000","7,562,000","1,914,000","1,076,000","3,257,000","1,971,000","2,728,000","4,802,000","2,670,000","2,041,000","4,346,000","2,931,000","11,180,000","4,874,000","4,298,000","3,362,000","3,336,000","3,406,000","1,677,000","2,217,000","2,108,000","1,031,000","1,095,000","974,000","965,000","685,000","1,001,000","2,504,000","3,780,000",,"3,765,000","3,557,000","888,000","879,000","2,986,000","2,953,000","1,533,000","73,000","888,000","391,000","69,000",,,"419,000","442,000",,"1,379,000","1,022,000","751,000","507,000","1,422,000","1,205,000","507,000",,"3,100,000","4,800,000","5,600,000","900,000","4,500,000","100,000","5,300,000","6,900,000","3,900,000","8,000,000","6,400,000","5,300,000","5,600,000","4,700,000","5,300,000","6,800,000","4,700,000","900,000","4,900,000","3,000,000","4,900,000","3,000,000","5,600,000","2,800,000","5,700,000","5,700,000","4,000,000","3,900,000","1,500,000","2,000,000","2,100,000"
				CashFinancial,,,,"16,878,000","29,960,000","24,959,000","81,453,000","147,174,000","345,476,000","8,826,000","6,050,000","8,513,000",,"3,579,000","2,173,000","12,662,000",,"7,853,000","6,368,000","6,553,000","8,995,000",,"7,226,000","4,724,000",,"4,165,000","1,303,000","7,711,000","7,730,000",,"7,763,000","2,349,000","1,205,000","4,905,000","2,067,000","1,441,000","1,463,000","7,562,000","1,914,000","1,076,000",,"1,971,000","2,728,000","4,802,000",,,"4,346,000","2,931,000",,"4,874,000","4,298,000","3,362,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"32,729,000","14,709,000","18,194,000","18,507,000","41,236,000","22,062,000","20,710,000","20,760,000","38,798,000","18,625,000","18,795,000","17,380,000","34,372,000","20,309,000","16,586,000","17,707,000","31,874,000","17,833,000","12,846,000","12,399,000","29,319,000","11,492,000","12,084,000","6,008,000","16,365,000","6,493,000","4,473,000","4,085,000","13,091,000","3,218,000","3,153,000","2,774,000","12,157,000","3,158,000","3,793,000","2,961,000","22,813,000","2,583,000","3,206,000","2,514,000","14,619,000","2,589,000","2,630,000","2,319,000","13,361,000","2,077,000","1,991,000","1,969,000","13,537,000","2,109,000","2,303,000","2,098,000","16,058,000","2,232,000","2,329,000","2,270,000","2,116,000","2,691,000","2,696,000","2,507,000","11,574,000","2,878,000","2,645,000","2,289,000","1,726,000","1,964,000","2,425,000","2,502,000","2,162,000","2,176,000","2,307,000","2,466,000","1,975,000","2,165,000","2,193,000","2,220,000","1,902,000","1,656,000","1,718,000","1,630,000","1,226,000","1,396,000","1,424,000","1,333,000","1,161,000","1,459,000","1,351,000","1,176,000","980,000","1,200,000","1,300,000","1,200,000","1,300,000","1,200,000","1,000,000","900,000","800,000","700,000","800,000","1,100,000","1,100,000","1,200,000","1,000,000","1,100,000","1,200,000","900,000","1,100,000","1,100,000","1,100,000","13,500,000","1,400,000","1,400,000","1,100,000","1,900,000","2,000,000","1,900,000","1,700,000","1,400,000","800,000","900,000","600,000"
			AccountsReceivable,"14,797,000","14,709,000","15,981,000","15,422,000","15,324,000","15,298,000","14,022,000","13,415,000","14,510,000","16,973,000","17,003,000","17,380,000","14,617,000","15,033,000","15,759,000","16,979,000","11,582,000","12,861,000","12,699,000","12,399,000","11,465,000","11,492,000","11,907,000","6,008,000","4,301,000","4,475,000","4,473,000","4,085,000","2,561,000","3,218,000","3,153,000","2,774,000","2,728,000","3,158,000","3,092,000","2,961,000","4,379,000","2,576,000","2,559,000","2,514,000","1,828,000","2,278,000","2,312,000","2,319,000","1,821,000","2,077,000","1,991,000","1,969,000","1,922,000","2,109,000","2,303,000","2,098,000","2,051,000","2,232,000","2,329,000","2,270,000","2,116,000","2,691,000","2,696,000","2,507,000","2,225,000","2,878,000","2,645,000","2,289,000","1,726,000","1,964,000","2,425,000","2,502,000","2,162,000","2,176,000","2,307,000","2,466,000","1,975,000","2,165,000","2,193,000","2,220,000","1,902,000","1,656,000","1,718,000",,"1,226,000","1,396,000","1,424,000","1,333,000","1,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,000",,,,"1,085,000",,,,"561,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"0","0","2,213,000","3,085,000","10,844,000","6,764,000","6,688,000","7,345,000","8,056,000","1,652,000","1,792,000","0","5,586,000","5,276,000","827,000","728,000","4,185,000","4,972,000","147,000",,"3,527,000","0","177,000",,"80,000","2,018,000",,,"0","0","0","0","2,171,000","0","701,000","0","2,336,000","7,000","647,000","0","605,000","311,000","318,000",,,,,,"0","0","0","0","1,268,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,986,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
