name,10/31/2021,04/30/2021,10/31/2020,04/30/2020,10/31/2019,04/30/2019,10/31/2018,04/30/2018
TotalAssets,"424,083,028","440,328,179","458,172,023","465,508,804","472,756,352","472,592,389","475,083,218","494,356,163"
TotalLiabilitiesNetMinorityInterest,"1,701,299","313,498","327,679","2,769,515","334,186","284,471","1,505,804","336,414"
TotalEquityGrossMinorityInterest,"422,381,729","440,014,681","457,844,344","462,739,289","472,422,166","472,307,918","473,577,414","494,019,749"
	StockholdersEquity,"422,381,729","440,014,681","457,844,344","462,739,289","472,422,166","472,307,918","473,577,414","494,019,749"
		CapitalStock,"411,254,848","434,198,009","434,198,009","456,278,459","459,689,011","487,499,491","489,276,912","521,276,855"
			CommonStock,"411,254,848","434,198,009","434,198,009","456,278,459","459,689,011","487,499,491","489,276,912","521,276,855"
		RetainedEarnings,"11,126,881","5,816,672","23,646,335","6,460,830","12,733,155","-15,191,573","-15,699,498","-16,567,258"
CommonStockEquity,"422,381,729","440,014,681","457,844,344","462,739,289","472,422,166","472,307,918","473,577,414","494,019,749"
NetTangibleAssets,"422,381,729","440,014,681","457,844,344","462,739,289","472,422,166","472,307,918","473,577,414","494,019,749"
TangibleBookValue,"422,381,729","440,014,681","457,844,344","462,739,289","472,422,166","472,307,918","473,577,414","494,019,749"
ShareIssued,"115,992,524","115,930,528","115,930,528","115,930,528","116,904,180","116,904,180","117,387,116","117,717,129"
OrdinarySharesNumber,"115,992,524","115,930,528","115,930,528","115,930,528","116,904,180","116,904,180","117,387,116","117,717,129"
