name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
TotalRevenue,"447,941,000","113,910,000","111,765,000","111,921,000","110,345,000","105,663,000","107,967,000","98,397,000","92,740,000","91,849,000","89,492,000","88,398,000","82,734,000","77,907,000","75,337,000","72,953,000"
	OperatingRevenue,"447,941,000","113,910,000","111,765,000","111,921,000","110,345,000","105,663,000","107,967,000","98,397,000","92,740,000","91,849,000","89,492,000","88,398,000","82,734,000","77,907,000","75,337,000","72,953,000"
CostOfRevenue,"400,773,000","100,404,000","103,593,000","99,953,000","96,823,000","93,587,000","93,037,000","85,207,000","77,926,000","79,895,000","78,495,000","76,824,000","71,571,000","67,026,000","64,447,000","61,943,000"
GrossProfit,"47,168,000","13,506,000","8,172,000","11,968,000","13,522,000","12,076,000","14,930,000","13,190,000","14,814,000","11,954,000","10,997,000","11,574,000","11,163,000","10,881,000","10,890,000","11,010,000"
OperatingExpense,"41,760,000","11,180,000","10,361,000","10,266,000","9,953,000","10,463,000","10,838,000","8,712,000","8,739,000","7,682,000","12,392,000","9,648,000","7,851,000","9,054,000","6,174,000","5,207,000"
	SellingGeneralAndAdministration,"37,004,000","10,033,000","9,122,000","9,066,000","8,783,000","9,288,000","9,597,000","7,500,000","7,538,000","6,661,000","11,425,000","8,577,000","6,889,000","8,244,000","5,387,000","4,465,000"
		GeneralAndAdministrativeExpense,"37,004,000","10,033,000","9,122,000","9,066,000","8,783,000","9,288,000","9,597,000","7,500,000","7,538,000","6,661,000","11,425,000","8,577,000","6,889,000","8,244,000","5,387,000","4,465,000"
			OtherGandA,"37,004,000","10,033,000","9,122,000","9,066,000","8,783,000","9,288,000","9,597,000","7,500,000","7,538,000","6,661,000","11,425,000","8,577,000","6,889,000","8,244,000","5,387,000","4,465,000"
	DepreciationAmortizationDepletionIncomeStatement,"4,756,000","1,147,000","1,239,000","1,200,000","1,170,000","1,175,000","1,241,000","1,212,000","1,201,000","1,021,000","967,000","1,071,000","962,000","810,000","787,000","742,000"
		DepreciationAndAmortizationInIncomeStatement,"4,756,000","1,147,000","1,239,000","1,200,000","1,170,000","1,175,000","1,241,000","1,212,000","1,201,000","1,021,000","967,000","1,071,000","962,000","810,000","787,000","742,000"
OperatingIncome,"5,408,000","2,326,000","-2,189,000","1,702,000","3,569,000","1,613,000","4,092,000","4,478,000","6,075,000","4,272,000","-1,395,000","1,926,000","3,312,000","1,827,000","4,716,000","5,803,000"
NetNonOperatingInterestIncomeExpense,"-2,210,000","-629,000","-597,000","-512,000","-472,000","-360,000","-343,000","-192,000","-301,000","-403,000","-410,000",,"0","0",,
	InterestExpenseNonOperating,"2,210,000","629,000","597,000","512,000","472,000","360,000","343,000","192,000","301,000","403,000","410,000",,"0","0",,
OtherIncomeExpense,,"3,000","0",,"-24,000",,"0","225,000",,,"-410,000",,,,,
	GainOnSaleOfSecurity,,,,,,,,,,,"-410,000",,,,,
	OtherNonOperatingIncomeExpenses,,"3,000","0",,"-24,000",,"0","225,000",,,,,,,,
PretaxIncome,"3,177,000","1,700,000","-2,786,000","1,190,000","3,073,000","1,253,000","3,749,000","4,511,000","5,774,000","3,869,000","-1,805,000","1,926,000","3,312,000","1,827,000","4,716,000","5,803,000"
TaxProvision,"784,000","542,000","-431,000","69,000","604,000","340,000","-80,000","104,000","1,437,000","889,000","1,994,000","123,000","-375,000","343,000","764,000","1,388,000"
NetIncomeCommonStockholders,"2,760,000","1,014,000","-2,149,000","1,245,000","2,650,000","950,000","4,020,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,524,000","3,487,000","1,334,000","3,770,000","4,372,000"
	NetIncome,"2,760,000","1,014,000","-2,149,000","1,245,000","2,650,000","950,000","4,020,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,524,000","3,487,000","1,334,000","3,770,000","4,372,000"
		NetIncomeIncludingNoncontrollingInterests,"2,393,000","1,158,000","-2,355,000","1,121,000","2,469,000","913,000","3,829,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,803,000","3,687,000","1,484,000","3,952,000","4,415,000"
			NetIncomeContinuousOperations,"2,393,000","1,158,000","-2,355,000","1,121,000","2,469,000","913,000","3,829,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,803,000","3,687,000","1,484,000","3,952,000","4,415,000"
		MinorityInterests,"367,000","-144,000","206,000","124,000","181,000","37,000","191,000","0","0","0","0","-279,000","-200,000","-150,000","-182,000","-43,000"
DilutedNIAvailtoComStockholders,"2,760,000","1,014,000","-2,149,000","1,245,000","2,650,000","950,000","4,020,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,524,000","3,487,000","1,334,000","3,770,000","4,372,000"
BasicEPS,,"0.04","-0.08","0.04","0.09","0.03","0.14","0.16","0.16","0.11","-0.14","0.06","0.125","0.048",,"0.156"
DilutedEPS,,"0.03","-0.08","0.04","0.09","0.03","0.13","0.15","0.15","0.1","-0.14","0.06","0.125","0.048",,"0.156"
BasicAverageShares,,"28,572,000","28,530,000","28,444,000","28,356,000","28,291,000","28,214,000","28,055,000","27,952,000","27,891,000","27,849,000","27,834,000","28,000,000","28,000,000",,"28,000,000"
DilutedAverageShares,,"30,143,000","28,530,000","30,556,000","30,647,000","30,907,000","30,738,000","30,243,000","29,662,000","29,873,000","27,849,000","27,834,000","28,000,000","28,000,000",,"28,000,000"
TotalOperatingIncomeAsReported,"5,408,000","2,326,000","-2,189,000","1,702,000","3,569,000","1,613,000","4,092,000","4,478,000","6,075,000","4,272,000","-1,395,000","1,926,000","3,312,000","1,827,000","4,716,000","5,803,000"
RentExpenseSupplemental,"40,949,000","10,051,000","10,408,000","10,334,000","10,156,000","9,965,000","9,997,000","9,721,000","9,767,000","9,706,000","9,607,000","8,538,000","8,533,000","8,297,000","8,134,000","7,776,000"
TotalExpenses,"442,533,000","111,584,000","113,954,000","110,219,000","106,776,000","104,050,000","103,875,000","93,919,000","86,665,000","87,577,000","90,887,000","86,472,000","79,422,000","76,080,000","70,621,000","67,150,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,760,000","1,014,000","-2,149,000","1,245,000","2,650,000","950,000","4,020,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,524,000","3,487,000","1,334,000","3,770,000","4,372,000"
NormalizedIncome,"2,760,000","1,014,000","-2,149,000","1,245,000","2,650,000","950,000","4,020,000","4,407,000","4,337,000","2,980,000","-3,799,000","1,524,000","3,487,000","1,334,000","3,770,000","4,372,000"
InterestExpense,"2,210,000","629,000","597,000","512,000","472,000","360,000","343,000","192,000","301,000","403,000","410,000",,"0","0",,
NetInterestIncome,"-2,210,000","-629,000","-597,000","-512,000","-472,000","-360,000","-343,000","-192,000","-301,000","-403,000","-410,000",,"0","0",,
EBIT,"5,387,000","2,329,000","-2,189,000","1,702,000","3,545,000","1,613,000","4,092,000","4,703,000","6,075,000","4,272,000","-1,395,000","1,926,000","3,312,000","1,827,000","4,716,000","5,803,000"
EBITDA,"10,143,000"
ReconciledCostOfRevenue,"400,773,000","100,404,000","103,593,000","99,953,000","96,823,000","93,587,000","93,037,000","85,207,000","77,926,000","79,895,000","78,495,000","76,824,000","71,571,000","67,026,000","64,447,000","61,943,000"
ReconciledDepreciation,"4,756,000","1,147,000","1,239,000","1,200,000","1,170,000","1,175,000","1,241,000","1,212,000","1,201,000","1,021,000","967,000","1,071,000","962,000","810,000","787,000","742,000"
