name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalRevenue,"11,460,000","914,000","933,000","7,391,000","2,221,000","944,000","3,192,000","1,401,000","3,073,000","1,353,000","2,671,000","8,242,000","7,833,000","7,770,000","8,452,000","5,175,000","7,571,000","32,392,000","9,964,000","12,557,000","12,806,000","12,732,000","12,501,000","12,551,000","12,366,000","12,438,000","12,525,000","12,500,000","12,365,000","12,929,000","12,710,000"
	OperatingRevenue,"8,138,000","893,000","913,000","5,529,000","803,000","795,000","1,182,000","1,182,000","1,169,000","1,169,000","1,839,000","7,898,000","7,813,000","7,726,000","7,899,000","4,766,000","7,519,000","32,168,000","9,509,000","12,501,000","12,365,000","12,729,000","12,500,000","12,500,000","12,365,000","12,365,000","12,501,000","12,500,000","12,365,000","12,929,000","12,500,000"
CostOfRevenue,,,,,,,"0",,,,"124,398,000",,,,,,,,,,,,,,,,,,,,
GrossProfit,,,,,,,"3,192,000",,,,"-121,726,000",,,,,,,,,,,,,,,,,,,,
OperatingExpense,"265,293,000","64,953,000","72,501,000","65,486,000","62,351,000","55,858,000","57,172,000","55,786,000","53,667,000","68,718,000","62,705,000","46,820,000","41,492,000","36,322,000","33,375,000","34,735,000","34,223,000","28,136,000","26,492,000","24,575,000","24,000,000","19,906,000","16,737,000","13,509,000","13,791,000","12,701,000","13,086,000","12,016,000","13,586,000","11,965,000","13,451,000"
	SellingGeneralAndAdministration,"103,139,000","24,841,000","30,562,000","25,736,000","21,998,000","20,704,000","19,427,000","18,314,000","16,600,000","20,787,000","22,271,000","14,283,000","11,706,000","10,038,000","7,946,000","7,486,000","10,689,000","6,628,000","5,948,000","6,151,000","5,990,000","5,173,000","4,820,000","4,039,000","4,537,000","3,207,000","4,490,000","2,980,000","3,369,000","2,854,000","3,469,000"
		GeneralAndAdministrativeExpense,"103,139,000","24,841,000","30,562,000","25,736,000","21,998,000","20,704,000","19,427,000","18,314,000","16,600,000","20,787,000","22,271,000","14,283,000","11,706,000","10,038,000","7,946,000","7,486,000","10,689,000","6,628,000","5,948,000","6,151,000","5,990,000","5,173,000","4,820,000","4,039,000","4,537,000","3,207,000","4,490,000","2,980,000","3,369,000","2,854,000","3,469,000"
			OtherGandA,"103,139,000","24,841,000","30,562,000","25,736,000","21,998,000","20,704,000","19,427,000","18,314,000","16,600,000","20,787,000","22,271,000","14,283,000","11,706,000","10,038,000","7,946,000","7,486,000","10,689,000","6,628,000","5,948,000","6,151,000","5,990,000","5,173,000","4,820,000","4,039,000","4,537,000","3,207,000","4,490,000","2,980,000","3,369,000","2,854,000","3,469,000"
	ResearchAndDevelopment,"160,917,000","39,804,000","41,616,000","39,430,000","40,066,000","34,880,000","37,460,000","37,183,000","36,783,000","47,653,000","40,161,000","32,279,000","29,554,000","26,114,000","25,309,000","27,144,000","23,429,000","21,407,000","20,443,000","18,326,000","17,901,000","14,603,000","11,772,000","9,300,000","9,075,000","9,306,000","8,325,000","8,550,000","9,688,000","8,578,000","9,431,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,237,000","308,000","323,000","320,000","287,000","274,000","285,000","289,000","284,000","278,000","273,000","258,000","232,000","170,000","120,000","105,000","105,000","101,000","101,000","98,000","109,000","130,000","145,000","170,000","179,000","188,000","271,000","486,000","529,000","533,000","551,000"
		DepreciationAndAmortizationInIncomeStatement,"1,237,000","308,000","323,000","320,000","287,000","274,000","285,000","289,000","284,000","278,000","273,000","258,000","232,000","170,000","120,000","105,000","105,000","101,000","101,000","98,000","109,000","130,000","145,000","170,000","179,000","188,000","271,000","486,000","529,000","533,000","551,000"
			DepreciationIncomeStatement,"1,237,000","308,000","323,000","320,000","287,000","274,000","285,000","289,000","284,000","278,000","273,000","258,000","232,000","170,000","120,000",,,,,,,,,,,,,,,,
OperatingIncome,"-253,833,000","-64,039,000","-71,568,000","-58,095,000","-60,130,000","-54,914,000","-53,980,000","-54,385,000","-50,594,000","-67,365,000","-184,432,000","-38,578,000","-33,659,000","-28,552,000","-24,923,000","-29,560,000","-26,652,000","4,256,000","-16,528,000","-12,018,000","-11,194,000","-7,174,000","-4,236,000","-958,000","-1,425,000","-263,000","-561,000","484,000","-1,221,000","964,000","-741,000"
NetNonOperatingInterestIncomeExpense,"-50,306,000","-9,871,000","-13,440,000","-13,793,000","-13,202,000","-12,639,000","-12,519,000","-12,084,000","-6,308,000","-5,869,000","-3,998,000","-2,389,000","-2,413,000","-2,397,000","-2,403,000","-2,360,000","-903,000","-509,000","-498,000","-484,000","-468,000","-5,000",,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,"104,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"50,483,000","9,871,000","13,617,000","13,793,000","13,202,000","12,639,000","12,519,000","12,084,000","6,308,000","5,869,000","3,998,000","2,389,000","2,413,000","2,397,000","2,403,000","2,360,000","903,000","509,000","498,000","484,000","468,000","5,000",,,,,,,,,
