name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
MarketCap,"4,343,771,959","4,995,480,000","4,351,200,000","4,982,821,000","5,235,360,000","4,692,800,000","4,053,764,000","2,801,425,000","3,775,870,000","3,101,646,000","6,128,716,000","6,948,198,000","6,865,747,991","5,869,508,503","4,862,432,000","5,868,180,128","5,939,350,035","5,790,527,732","5,555,705,443","5,155,088,475","4,740,542,000","4,947,685,000","4,720,183,370","4,071,170,000","3,851,700,000","4,060,659,000","4,343,075,000","4,239,270,000","4,794,936,000","4,951,746,000","3,962,295,000","3,787,380,000","3,946,850,000","4,262,566,000","4,419,841,000","3,864,480,000","3,413,614,479","2,907,598,034","2,693,304,000","2,395,481,692","2,568,077,470","2,442,829,597","2,383,760,637","2,180,544,000","2,151,787,000","1,927,651,000","1,799,955,000","1,729,188,000","1,507,572,000","1,432,448,000","1,279,828,000","1,105,104,000","939,658,000","634,075,988","712,115,734","1,318,347,000","1,854,730,000","1,834,560,000","2,326,385,504","2,170,846,242","1,994,204,346","1,872,125,972","1,633,058,000","1,325,783,202","1,470,456,000","2,047,604,000","1,671,430,000","1,252,865,000","927,216,000","842,193,000","777,200,000","547,272,000","446,988,000","281,008,000","286,767,000","228,045,460","123,718,028","112,326,000","119,400,000","95,217,120","166,919,183","153,600,000","117,656,000","156,800,000","479,400,000","369,145,000","331,599,800","493,537,500","348,650,000","183,500,000","203,038,374","212,162,874","369,299,250","257,195,062","304,255,375","399,201,250","835,156,625","1,013,540,000","919,114,928","1,056,521,664","634,489,500","645,357,000","594,116,250","704,688,125","553,392,000","424,398,250","203,523,750","192,248,750","131,232,250","82,015,000","32,854,500","41,118,750","21,930,000","25,585,000","29,236,000","44,148,000","72,561,500","70,580,125","67,488,000","86,461,875","77,275,625","96,009,500","85,001,250","94,432,750","112,272,000","79,818,375","75,862,750","55,258,875","105,285,125","103,544,875","133,396,875","155,394,375","202,393,750","202,129,375","223,925,000","262,280,250","237,930,000","200,705,917","172,736,091","262,185,717","202,574,050","204,159,704","158,034,174","159,168,879","171,707,906","150,313,954","110,130,807","91,546,370"
EnterpriseValue,"5,089,171,959","5,691,080,000","5,122,700,000","5,772,921,000","6,065,660,000","5,515,900,000","4,984,964,000","3,809,425,000","4,836,670,000","4,097,346,000","7,206,216,000","8,018,298,000","7,991,747,991","6,793,608,503","5,805,232,000","6,768,480,128","6,729,550,035","6,540,327,732","6,270,405,443","5,931,188,475","5,499,642,000","5,601,185,000","5,349,383,370","4,739,870,000","4,516,000,000","4,585,359,000","4,895,275,000","4,711,970,000","5,252,436,000","5,297,146,000","4,357,395,000","4,141,380,000","4,251,650,000","4,492,066,000","4,626,941,000","4,121,780,000","3,669,214,479","3,131,598,034","2,917,304,000","2,662,781,692","2,828,677,470","2,644,229,597","2,584,160,637","2,380,944,000","2,347,287,000","2,156,851,000","2,014,955,000","1,982,288,000","1,787,372,000","1,729,748,000","1,562,028,000","1,402,704,000","1,271,058,000","1,005,675,988","1,055,815,734","1,664,647,000","2,230,930,000","2,179,860,000","2,614,185,504","2,538,746,242","2,382,304,346","2,258,725,972","2,051,858,000","1,744,583,202","1,889,256,000","2,476,504,000","2,085,430,000","1,666,865,000","1,362,016,000","1,298,993,000","1,151,400,000","953,172,000","867,988,000","727,308,000","728,467,000","686,445,460","620,618,028","631,126,000","732,900,000","731,217,120","854,619,183","827,900,000","791,956,000","861,000,000","1,152,100,000","1,013,245,000","973,299,800","1,139,037,500","994,150,000","943,400,000","949,638,374","1,016,562,874","1,201,799,250","1,089,995,062","1,161,755,375","1,252,301,250","1,181,556,625","1,373,740,000","1,263,514,928","1,429,721,664","938,289,500","970,357,000","864,816,250","1,008,388,125","667,592,000","510,698,250","277,623,750","266,348,750","205,332,250","156,115,000","101,354,500","109,618,750","100,930,000","92,285,000","46,136,000","43,248,000","218,461,500","214,080,125","182,588,000","220,861,875","221,675,625","115,009,500","229,301,250","246,632,750","264,472,000","232,018,375","228,062,750","189,658,875","239,685,125","237,944,875","236,396,875","258,394,375","305,393,750","305,129,375","293,825,000","332,180,250","307,830,000","270,605,917","242,636,091","317,685,717","258,074,050","259,659,704","213,534,174","210,068,879","222,607,906","201,213,954","161,030,807","122,046,370"
PeRatio,"90.667","313",,,,"147.368","32.986","14.715","14","10.417","21.127","23.806","24.734","22.238","17.323","21.218","21.622","20.903","22.329","21.033","19.127","20.585","20.016","18.382","17.871","17.914","19.194","18.461","21.44","24.255","20.338","20.359","21.414","23.663","25.684","23.515","20.636","18.019","16.745","15.203","17.426","17.785","20.692","18.94","21.673","22.632","23.494","29.65","28.2","29.469","22.772","14.123","9.163","5.763","6.482","13.828","22.976","25.48","36.788","34.409","30.1","29.627","7.878","7.608","8.446","10.363",,,,,"181.25",,,,,,,,,,,,,,"9.107","7.538","7.448","39.338","27.941",,,,"15.82","6.924","6.754","7.57","11.313","14.628","14.332","19.649","28.75",,,,"28.241","58.75",,,,,,,,,,,,,,"11.529","11.549","15.774","18.269","30.814","57.143","37.917","35.833","157.5","36.89","27.546","12.104","12.16","15.965","15.064","15.33","18.042","17.073","15.535","14.125","23.073","20.463","21.448","16.008","18.159","20.16","18.027","14.675","14.74"
ForwardPeRatio,"42.194","49.505","42.373","34.364","400","250","64.516","21.097","27.548","10.215","19.194","21.231","23.042","19.92",,"19.531","21.834","21.368","21.277","19.157","19.57","19.92","18.832","15.361","16.529","14.815","18.182","16.611","17.986","18.868","17.153","16.103","16.051","17.153","20.408","17.857","16","14.144","14.993","13.28","14.728","14.859","17.391","16.807","17.391","16.639","18.975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.48","0.568","0.711","0.578","6.627","15.744",,,,"1.174","2.131","2.359","2.504",,,"2.384",,"2.608","2.802","2.587",,"2.428","2.094","1.616","1.739","1.645","1.419",,,"1.367","1.43","1.401","1.069","1.173","1.345","1.116","1.033","0.832","0.882","0.782","0.646","0.883","0.961","0.988","1.023","1.144","1.305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"3.12","3.798","3.457","4.109","4.118","3.131","2.306","1.383","1.688","1.355","2.689","3.072","3.14","2.812","2.414","2.917","2.984","3.008","2.936","2.734","2.492","2.564","2.458","2.189","2.128","2.283","2.426","2.343","2.614","2.735","2.29","2.265","2.414","2.649","2.784","2.447","2.18","1.875","1.742","1.617","1.783","1.736","1.805","1.652","1.702","1.589","1.54","1.568","1.408","1.339","1.15","0.989","0.772","0.497","0.544","0.988","1.441","1.502","2.001","1.907","1.653","1.589","1.786","1.368","1.519","1.94","0.822","0.833","0.695","0.606","0.568","1.061","0.775","0.404","0.319","0.258","0.142","0.131","0.135","0.107","0.172","0.149","0.115","0.162","0.558","0.431","0.357","0.5","0.355","0.164","0.176","0.205","0.366","0.272","0.351","0.479","1.074","1.33","1.224","1.305","0.773","0.914","0.882","1.129","1.407","0.528","0.416","0.364","0.248","0.262","0.113","0.141","0.069","0.082","0.094","0.127","0.205","0.188","0.174","0.217","0.199","0.248","0.217","0.243","0.29","0.208","0.196","0.139","0.26","0.248","0.32","0.377","0.495","0.505","0.572","0.673","0.625","0.551","0.522","0.789","0.634","0.662","0.529","0.578","0.65","0.596","0.455","0.419"
PbRatio,"2.921","3.363","2.912","3.316","3.521","3.107","2.704","1.95","2.657","2.145","4.323","4.817","5.009","4.436","3.556","4.124","3.717","3.871","3.884","3.876","3.754","3.974","3.733","3.323","3.164","3.442","3.633","3.4","4.114","4.306","3.515","3.276","3.388","3.673","3.947","3.712","3.356","2.924","2.709","2.677","2.975","2.978","3.03","2.763","2.771","2.681","2.73","2.722","2.588","2.483","2.223","1.881","1.657","1.207","1.398","2.584","3.694","3.916","5.441","6.194","5.989","6.207","5.504","4.819","5.345","8.618",,,,,,,,,,,,,,,,,,"0.548","1.561","1.169","1.05","1.538","1.086","0.679","0.752","0.773","1.23","0.854","1.006","1.329","2.89","3.799","3.678","4.504","3.214","3.509","3.314","4.128","2.832","8.769","4.358","4.198","2.865","2.223",,,"1.637","1.479","1.406","0.908","0.7","0.655","0.656","0.59","0.543","0.705","0.604","0.676","0.804","0.571","0.543","0.418","0.796","0.783","1.055","1.228","1.6","1.598","1.956","2.291","2.078","1.753","1.509","2.844","2.197","2.214","1.714","2.22","2.395","2.096","1.536","1.533"
EnterprisesValueRevenueRatio,"3.622","14.57","14.218","17.295","18.937","17.776","16.852","13.278","12.772","7.574","12.77","14.006","13.123","11.139","10.348","12.523","12.291","12.109","12.254","12.068","11.194","11.698","11.064","9.47","8.641","9.213","10.53","10.499","11.041","11.228","9.236","9.164","9.044","9.729","10.841","9.997","8.682","7.519","7.532","6.8","7.086","6.609","7.273","6.768","6.636","6.504","6.479","6.731","5.858","6.577","5.859","5.456","4.584","3.273","3.647","5.023","6.206","6.328","8.228","9.031","8.221","6.872","7.302","6.035","5.979","8.067","7.372","6.026","4.375","4.47","4.166","3.623","3.189","2.768","3.29","3.226","2.651","2.761","3.549","3.638","3.864","3.728","3.308","3.573","4.545","3.669","3.789","4.602","3.66","3.372","3.536","3.709","4.106","3.447","3.829","4.905","4.32","5.352","4.961","6.309","3.884","4.534","4.068","5.321","4.002","4.04","2.995","3.272","2.256","1.832","1.321","1.473","1.081","1.081","0.587","0.564","2.339","2.384","2.063","2.34","2.156","1.149","2.366","2.777","2.613","2.327","2.337","2.1","2.416","2.489","2.322","2.664","2.756","3.012","2.772","3.65","3.015","2.701","2.512","3.879","3.008","3.058","2.683","3.031","2.992","3.003","2.485","2.104"
EnterprisesValueEBITDARatio,"21.537","91.35","76.344","102.176","120.35","226.992","343.791","-1,904.713","117.111","40.488","54.593","55.567","53.6","48.011","45.318","53.003","53.282","58.292","51.651","51.175","47.906","54.38","48.063","42.095","36.715","43.217","48.42","48.427","47.967","52.499","45.532","43.005","45.815","48.987","55.412","49.245","43.32","40.512","43.283","35.646","32.476","35.445","44.401","39.882","37.141","35.185","44.877","41.126","33.038","48.317","58.723","44.389","30.776","19.797","25.259","34.825","52.741","45.038","78.741","57.05","54.391","48.575","57.155","46.153","39.607","55.279","53.61","77.17","27.515","27.996","32.618","29.328","21.274","18.94","26.298","27.24","18.693","20.1","30.285","27.489","27.304","32.089","-2.822","38.61","40.143","26.047","26.164","36.625","25.622","24.826","33.556","54.949","28.546","25.408","34.069","32.359","24.667","31.436","36.837","75.249","27.197","39.127","52.413","60.023","-53.838","60.082","36.529","36.486","22.815","28.91","6.712","-137.023","14.419","22.509","-3.392","-0.912","312.088","-76.457","-7.274","51.363","67.174","41.075","-0.837","2.777","2.613","2.327","-0.841","2.1","2.416","2.489","-0.805","2.664","2.756","3.012","-1.122","3.65","3.015","2.701","-1.076","3.879","3.008","3.058","-1.126","3.031","2.992","3.003","-1.046","2.104"
