name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalAssets,"4,257,833,000","4,366,243,000","4,331,960,000","4,261,293,000","4,278,530,000","4,453,061,000","4,197,249,000","4,197,824,000","4,350,099,000","4,423,891,000","4,118,280,000","4,165,414,000","4,106,334,000","3,909,559,000","3,656,763,000","3,595,110,000","3,699,581,000","3,697,764,000","3,460,777,000","3,360,611,000","3,173,849,000","3,163,999,000","3,279,347,000","3,305,596,000","3,268,833,000","2,996,706,000","2,984,550,000","2,783,756,000","2,700,613,000","2,778,751,000","2,757,429,000","1,695,362,000","1,642,613,000","1,601,232,000","1,547,985,000","1,457,246,000","1,382,739,000","1,288,956,000","1,169,698,000","1,173,738,000","1,142,026,000","1,071,123,000","1,064,104,000","1,021,617,000","1,020,099,000","995,908,000","947,737,000","915,021,000","882,450,000","794,433,000","759,682,000","718,838,000","672,323,000","657,840,000","641,561,000","581,288,000","543,219,000","476,307,490","387,232,262","348,037,813","312,817,380","293,378,431","275,270,594","259,115,542","251,259,020","247,772,246","221,829,183","203,622,631","189,482,628","175,175,969","158,937,146","146,124,474","133,029,956","126,393,771","118,270,598","112,068,017","92,696,764","88,267,387","65,454,556"
	CurrentAssets,"3,438,900,000","3,557,015,000","3,540,164,000","3,458,144,000","3,511,990,000","3,670,957,000","3,465,656,000","3,505,971,000","3,628,824,000","3,662,463,000","3,368,100,000","3,361,538,000","3,312,885,000","3,246,438,000","2,951,500,000","2,828,816,000","2,893,128,000","2,929,893,000","2,706,381,000","2,627,810,000","2,466,674,000","2,466,576,000","2,519,171,000","2,560,970,000","2,490,074,000","2,305,973,000","2,273,777,000","2,089,386,000","2,012,148,000","2,054,410,000","2,013,733,000","1,508,651,000","1,458,346,000","1,425,264,000","1,380,282,000","1,293,226,000","1,218,092,000","1,122,124,000","1,013,499,000","1,017,709,000","982,417,000","961,293,000","955,975,000","911,679,000","909,804,000","883,719,000","837,928,000","803,892,000","775,681,000","727,356,000","693,555,000","651,781,000","605,055,000","581,318,000","567,151,000",,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"79,089,000","87,584,000","56,545,000","76,013,000","92,798,000","108,613,000","92,779,000","115,741,000","179,995,000","119,774,000","90,000,000","105,496,000","102,102,000","98,695,000","114,176,000","71,570,000","101,418,000","120,516,000","113,754,000","92,756,000","82,110,000","94,287,000","91,791,000","117,071,000","79,442,000","71,372,000","69,111,000","56,811,000","40,542,000","39,661,000","70,300,000","270,526,000","191,819,000","162,004,000","108,705,000","43,459,000","39,111,000","32,687,000","31,488,000","42,621,000","28,068,000","26,697,000","30,035,000","25,481,000","35,443,000","41,094,000","20,297,000","18,250,000","23,006,000","20,265,000","19,874,000","15,661,000","16,549,000","13,901,000","28,006,000","16,333,000","16,816,000","16,729,918","14,464,166","15,041,590","27,882,628","25,100,834","26,661,564","25,204,538","23,351,708","15,984,855","67,398,268","68,514,808","61,093,438","48,462,575","56,765,251","42,351,771","29,690,849","24,911,841","14,810,359","7,979,359","12,071,674","17,938,730","6,038,306"
			CashAndCashEquivalents,"79,089,000","87,584,000","56,545,000","76,013,000","92,798,000","108,613,000","92,779,000","115,741,000","179,995,000","119,774,000","90,000,000","105,496,000","102,102,000","98,695,000","114,176,000","71,570,000","101,418,000","120,516,000","113,754,000","92,756,000","82,110,000","94,287,000","91,791,000","117,071,000","79,442,000","71,372,000","69,111,000","56,811,000","40,542,000","39,661,000","70,300,000","270,526,000","191,819,000","162,004,000","108,705,000","43,459,000","39,111,000","32,687,000","31,488,000","42,621,000","28,068,000","26,697,000","30,035,000","25,481,000","35,443,000","41,094,000","20,297,000","18,250,000","23,006,000","20,265,000","19,874,000","15,661,000","16,549,000","13,901,000","28,006,000","16,333,000","16,816,000","16,729,918","14,464,166","15,041,590","27,882,628","25,100,834","26,661,564","25,204,538","23,351,708","15,984,855","67,398,268","68,514,808","61,093,438","24,512,575","56,765,251","42,351,771","29,690,849","24,911,841","14,810,359","7,979,359","12,071,674","17,938,730","6,038,306"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"78,290,000","75,512,000","76,438,000","74,055,000","68,543,000","67,050,000","66,560,000","71,413,000","73,799,000","75,985,000","88,295,000","91,470,000","89,703,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","23,950,000",,,,,,,,,
		Receivables,"3,359,811,000","3,469,431,000","3,478,867,000","3,377,500,000","3,403,135,000","3,549,910,000","3,372,877,000","3,390,230,000","3,448,829,000","3,542,689,000","3,278,100,000","3,256,042,000","3,210,783,000","3,147,743,000","2,837,324,000","2,757,246,000","2,791,710,000","2,809,377,000","2,592,627,000","2,535,054,000","2,384,564,000","2,329,046,000","2,427,380,000","2,443,899,000","2,410,632,000","2,234,601,000","2,204,666,000","2,032,575,000","1,971,606,000","2,014,749,000","1,943,433,000","1,238,125,000","1,266,527,000","1,263,260,000","1,271,577,000","1,249,767,000","1,178,981,000","1,089,437,000","982,011,000","975,088,000","954,349,000","934,596,000","925,940,000","886,198,000","874,361,000","842,625,000","817,631,000","785,642,000","752,675,000","707,091,000","673,681,000","636,120,000","588,506,000","567,417,000","539,145,000","518,906,000","480,545,000","413,318,802","329,097,194","291,072,029","0","1,512,823",,,,,,,,"0","0","96,417,807","95,985,290","351,861","91,692,715","88,810,611","74,418,221","65,526,235","55,132,522"
			AccountsReceivable,"3,310,747,000","3,428,285,000","3,449,939,000","3,349,038,000","3,372,666,000","3,514,788,000","3,332,748,000","3,351,532,000","3,408,074,000","3,514,165,000","3,238,813,000","3,230,949,000","3,177,229,000","3,084,777,000","2,819,345,000","2,730,395,000","2,767,131,000","2,771,921,000","2,577,831,000","2,520,883,000","2,366,880,000","2,307,969,000","2,392,408,000","2,399,949,000","2,377,077,000","2,202,113,000","2,167,178,000","2,012,552,000","1,954,772,000","2,001,790,000","1,913,710,000","1,232,053,000","1,265,512,000","1,251,550,000","1,268,869,000","1,247,280,000","1,178,981,000","1,089,437,000","8,417,000","8,580,000","9,107,000","7,862,000","6,462,000","6,683,000","7,369,000","8,932,000","7,789,000","8,159,000","8,752,000","9,169,000","6,909,000","7,315,000","8,617,000","563,830,000","535,430,000","515,367,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"49,064,000","41,146,000","21,863,000","21,366,000","27,246,000","21,928,000","27,554,000","23,166,000","29,372,000","17,918,000","23,479,000","11,323,000","15,472,000","16,809,000","8,912,000","12,163,000","10,271,000","21,686,000","3,877,000","2,865,000","0","9,427,000","10,673,000","13,871,000","0","1,717,000","12,840,000","1,580,000",,"0","11,506,000","6,072,000","1,015,000","11,710,000","2,708,000","2,487,000",,,,,,"0","0","0","0","2,363,000","2,603,000","1,877,000","1,439,000","4,460,000","5,893,000","4,213,000","3,289,000","3,587,000","3,715,000","3,539,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,"7,065,000","7,096,000","3,223,000","13,194,000","12,575,000","15,532,000","11,383,000","10,606,000","15,808,000","13,770,000","18,082,000","46,157,000","9,067,000","14,688,000","14,308,000","15,770,000","10,919,000","11,306,000","17,684,000","11,650,000","24,299,000","30,079,000","33,555,000","30,771,000","24,648,000","18,443,000","16,834,000","12,959,000","18,217,000","1,219,595,000","1,253,961,000","1,239,191,000","1,256,822,000","1,236,859,000","1,169,747,000","1,078,951,000","973,594,000","966,508,000","945,242,000","926,734,000","919,478,000","879,515,000","866,992,000","831,330,000","807,239,000","775,606,000","742,484,000","693,462,000","660,879,000","624,592,000","576,600,000","563,830,000","535,430,000","515,367,000",,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,"4,752,000","4,631,000","16,057,000","12,434,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,"15,571,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,"15,571,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,"0","0","0","0","43,243,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"818,933,000","809,228,000","791,796,000","803,149,000","766,540,000","782,104,000","731,593,000","691,853,000","721,275,000","761,428,000","750,180,000","803,876,000","793,449,000","663,121,000","705,263,000","766,294,000","806,453,000","767,871,000","754,396,000","732,801,000","707,175,000","697,423,000","760,176,000","744,626,000","778,759,000","690,733,000","710,773,000","694,370,000","688,465,000","724,341,000","743,696,000","186,711,000","184,267,000","175,968,000","167,703,000","164,020,000","164,647,000","166,832,000","156,199,000","156,029,000","159,609,000","109,830,000","108,129,000","109,938,000","110,295,000","112,189,000","109,809,000","111,129,000","106,769,000","67,077,000","66,127,000","67,057,000","67,268,000","76,522,000","74,410,000",,,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"109,494,000","111,226,000","105,765,000","104,963,000","107,664,000","111,307,000","109,432,000","117,498,000","126,537,000","125,473,000","127,570,000","124,301,000","125,013,000","54,136,000","55,010,000","53,364,000","53,788,000","49,311,000","36,428,000","36,532,000","38,024,000","38,744,000","44,354,000","46,852,000","47,785,000","45,394,000","46,105,000","46,215,000","46,855,000","48,258,000","45,969,000","38,902,000","35,130,000","31,541,000","28,059,000","27,278,000","25,470,000","25,312,000","25,506,000","26,016,000","26,369,000","25,727,000","22,975,000","23,810,000","24,469,000","24,270,000","22,794,000","23,230,000","21,925,000","21,864,000","22,093,000","22,112,000","23,106,000","23,884,000","23,354,000","17,332,000","16,631,000","16,171,346","15,216,997","13,510,310","12,201,282","11,192,974","7,729,693","7,288,733","7,569,227","7,186,418","7,431,544","6,754,701","6,056,735","5,752,489","6,033,162","6,022,344","5,877,918","5,166,380","5,232,506","5,059,344","4,996,227","3,794,254","3,667,102"
			GrossPPE,"109,494,000","228,646,000","105,765,000","104,963,000","107,664,000","217,014,000","109,432,000","117,498,000","126,537,000","218,680,000","127,570,000","124,301,000","125,013,000","147,013,000",,,,"130,278,000",,,,"121,322,000","141,654,000","141,524,000","138,774,000","131,712,000","130,233,000","126,568,000","119,819,000","120,693,000","120,095,000","100,489,000","95,561,000","89,589,000","83,509,000","80,506,000","76,348,000","75,004,000","73,040,000","71,424,000","69,809,000","66,145,000","61,362,000","60,192,000","59,131,000","56,967,000","53,583,000","52,205,000","49,163,000","47,389,000","45,948,000","44,372,000","44,069,000","43,240,000","41,151,000",,,,,,,,,,,,,,,,,,,,,,,,
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,"1,407,000",,,,"1,407,000",,,,"1,296,000",,,,"1,296,000",,,,"1,296,000",,,,"1,296,000","1,296,000","1,296,000","1,296,000","1,296,000","1,296,000","1,296,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","1,269,000","902,000","902,000","992,000","992,000","992,000","992,000","992,000","992,000","992,000","992,000","992,000","992,000","992,000",,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,"19,456,000",,,,"17,905,000",,,,"7,900,000",,,,"7,431,000",,,,"7,409,000",,,,"7,323,000","7,315,000","7,277,000","7,251,000","7,235,000","7,230,000","7,141,000","7,141,000","7,049,000","7,044,000","7,046,000","7,054,000","7,026,000","7,012,000","7,012,000","7,012,000","7,014,000","7,014,000","7,008,000","6,999,000","6,987,000","5,849,000","5,701,000","6,045,000","6,045,000","6,045,000","6,045,000","6,045,000","6,045,000","5,979,000","5,953,000","5,948,000","5,948,000","5,931,000",,,,,,,,,,,,,,,,,,,,,,,,
