name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013
TotalRevenue,"73,470,000","18,876,000","20,387,000","19,177,000","15,030,000","15,525,000","18,457,000","10,086,000","14,224,000","14,250,000","16,469,000","20,862,000","30,167,000","20,284,000","20,663,000","17,666,000","16,443,000","26,190,000","19,920,000","12,197,000","698,000","1,227,000","16,125,000","357,000","299,000","5,456,000","4,612,000","5,316,000",,"0","0","0","0","0","0","0"
	OperatingRevenue,"73,470,000","18,876,000","20,387,000","19,177,000","15,030,000","15,525,000","18,457,000","10,086,000","14,224,000","14,250,000","16,469,000","20,862,000","30,167,000","20,284,000","20,663,000","17,666,000","16,443,000","26,190,000","19,920,000","12,197,000","698,000","1,227,000","16,125,000","357,000","299,000","5,456,000","4,612,000","5,076,000",,"0","0","0","0","0","0","0"
CostOfRevenue,"73,363,000","18,782,000","20,596,000","17,283,000","16,702,000","15,203,000","18,303,000","11,150,000","15,266,000","16,357,000","20,403,000","20,288,000","26,921,000","25,648,000","20,063,000","17,302,000","16,374,000","20,620,000","15,630,000","10,212,000","826,000","1,042,000","17,292,000","1,183,000","863,000","6,528,000","6,843,000","6,091,000",,"0",,,"0",,,
GrossProfit,"107,000","94,000","-209,000","1,894,000","-1,672,000","322,000","154,000","-1,064,000","-1,042,000","-2,107,000","-3,934,000","574,000","3,246,000","-5,364,000","600,000","364,000","69,000","5,570,000","4,290,000","1,985,000","-128,000","185,000","-1,167,000","-826,000","-564,000","-1,072,000","-2,231,000","-775,000",,"0",,,"0",,,
OperatingExpense,"106,555,000","27,568,000","28,989,000","25,185,000","24,813,000","24,997,000","25,494,000","23,945,000","24,531,000","27,948,000","28,449,000","32,319,000","29,524,000","25,025,000","22,095,000","24,452,000","18,286,000","16,862,000","17,146,000","13,628,000","12,585,000","11,137,000","9,341,000","10,053,000","10,154,000","10,998,000","10,771,000","8,308,000",,"1,606","4,112","1,675","16,776","1,823","4,155","471"
	SellingGeneralAndAdministration,"73,346,000","19,698,000","19,923,000","16,815,000","16,910,000","18,487,000","18,279,000","18,700,000","18,320,000","21,611,000","21,790,000","26,678,000","23,061,000","19,994,000","18,081,000","20,105,000","13,897,000","13,092,000","12,218,000","10,012,000","9,334,000","8,223,000","6,916,000","7,399,000","7,190,000","7,599,000","7,730,000","5,406,000",,"1,606","4,112","1,675","16,776","1,823","4,155","471"
		GeneralAndAdministrativeExpense,"53,266,000","12,814,000","14,075,000","12,519,000","13,858,000","15,639,000","14,683,000","16,031,000","15,227,000","15,788,000","15,829,000","19,381,000","15,398,000","15,109,000","13,043,000","16,721,000","10,503,000","9,846,000","9,259,000","7,502,000","7,463,000","7,151,000","5,566,000","5,829,000","5,788,000","6,320,000","5,906,000","4,282,000",,"1,606","4,112","1,675","16,776","1,823","4,155","471"
			OtherGandA,"53,266,000","12,814,000","14,075,000","12,519,000","13,858,000","15,639,000","14,683,000","16,031,000","15,227,000","15,788,000","15,829,000","19,381,000","15,398,000","15,109,000","13,043,000","16,721,000","10,503,000","9,846,000","9,259,000","7,502,000","7,463,000","7,151,000","5,566,000","5,829,000","5,788,000","6,320,000","5,906,000","4,282,000",,"1,606","4,112","1,675","16,776","1,823","4,155","471"
		SellingAndMarketingExpense,"20,080,000","6,884,000","5,848,000","4,296,000","3,052,000","2,848,000","3,596,000","2,669,000","3,093,000","5,823,000","5,961,000","7,297,000","7,663,000","4,885,000","5,038,000","3,384,000","3,394,000","3,246,000","2,959,000","2,510,000","1,871,000","1,072,000","1,350,000","1,570,000","1,402,000","1,279,000","1,824,000","1,124,000",,,,,,,,
	ResearchAndDevelopment,"33,209,000","7,870,000","9,066,000","8,370,000","7,903,000","6,510,000","7,215,000","5,245,000","6,211,000","6,337,000","6,659,000","5,641,000","6,463,000","5,031,000","4,014,000","4,347,000","4,389,000","3,770,000","4,928,000","3,616,000","3,251,000","2,914,000","2,425,000","2,654,000","2,964,000","3,399,000","3,041,000","2,902,000",,,,,,,,
OperatingIncome,"-106,448,000","-27,474,000","-29,198,000","-23,291,000","-26,485,000","-24,675,000","-25,340,000","-25,009,000","-25,573,000","-30,055,000","-32,383,000","-31,745,000","-26,278,000","-30,389,000","-21,495,000","-24,088,000","-18,217,000","-11,292,000","-12,856,000","-11,643,000","-12,713,000","-10,952,000","-10,508,000","-10,879,000","-10,718,000","-12,070,000","-13,002,000","-9,083,000",,"-1,606","-4,112","-1,675","-16,776","-1,823","-4,155","-471"
NetNonOperatingInterestIncomeExpense,"-4,231,000","-1,059,000","-1,058,000","-1,057,000","-1,057,000","-1,056,000","-120,000","-1,069,000","-984,000","-343,000","-1,095,000","-585,000","-387,000","-539,000","-1,941,000","-1,972,000","-1,916,000","-1,864,000","-1,873,000","-1,842,000","-1,791,000","-1,736,000","-1,785,000","-1,706,000","-1,377,000","-1,081,000","-1,075,000","-1,053,000",,,,,,,,
	InterestIncomeNonOperating,"16,000","5,000","4,000","4,000","3,000","2,000","4,000","5,000","87,000","695,000","330,000","484,000","687,000","220,000","2,000","2,000","2,000","2,000","2,000","1,000","1,000","1,000","0","1,000","0","1,000","1,000","0",,,,,,,,
	InterestExpenseNonOperating,"4,247,000","1,064,000","1,062,000","1,061,000","1,060,000","1,058,000","124,000","1,074,000","1,071,000","1,038,000","1,425,000","1,069,000","1,074,000","759,000","1,943,000","1,974,000","1,918,000","1,866,000","1,875,000","1,843,000","1,792,000","1,737,000","1,785,000","1,707,000","1,377,000","1,082,000","1,076,000","1,053,000",,,,,,,,
