name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
		CurrentDeferredAssets,"46,710,000","44,529,000","41,593,000","40,149,000","38,666,000","37,988,000","36,562,000","35,797,000","35,543,000","35,274,000","34,583,000","35,087,000","34,692,000","34,502,000","33,134,000","32,216,000","31,318,000","25,091,000","23,326,000","21,917,000","20,908,000","19,224,000","18,647,000","17,278,000","15,799,000","15,086,000","14,837,000","14,079,000","12,987,000","12,131,000","12,404,000","11,687,000","10,811,000","10,320,000","10,431,000","10,020,000","9,592,000","9,078,000","7,685,000","7,291,000","6,867,000","6,531,000","5,486,000","5,177,000","4,887,000","4,720,000","4,581,000","4,569,000","4,259,000","4,126,000","4,160,000","4,058,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","76,000","76,000","76,000","76,000","1,272,000","1,272,000","1,272,000","1,272,000","1,732,000","1,732,000","1,732,000","1,732,000","782,000","782,000","782,000","783,000",,,,,,,,,,
		OtherCurrentAssets,"22,923,000","16,042,000","14,346,000","11,711,000","14,490,000","12,312,000","8,927,000","8,378,000","9,417,000","11,279,000","8,385,000","8,265,000","8,858,000","9,229,000","6,613,000","6,762,000","5,696,000","6,149,000","5,853,000","6,955,000","6,992,000","7,010,000","7,323,000","7,540,000","5,529,000","5,030,000","5,688,000","6,393,000","3,797,000","3,846,000",,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"261,841,000","263,403,000","248,028,000","249,116,000","252,963,000","255,102,000","150,678,000","157,686,000","149,965,000","155,819,000","153,073,000","145,834,000","149,948,000","136,508,000","112,022,000","111,787,000","110,815,000","116,064,000","121,814,000","124,815,000","123,078,000","112,432,000","119,692,000","114,335,000","119,072,000","94,945,000","91,506,000","90,855,000","80,713,000","81,581,000","63,993,000","65,283,000","66,182,000","67,255,000","68,350,000","68,161,000","67,127,000","67,690,000","66,800,000","29,521,000","29,189,000","29,379,000","17,462,000","17,333,000","6,393,000","6,239,000","6,025,000","6,166,000","5,547,000","5,656,000","5,523,000","6,075,000"
		NetPPE,"42,509,000","42,752,000","43,701,000","42,398,000","41,902,000","42,013,000","39,145,000","40,349,000","39,205,000","39,496,000","34,405,000","34,635,000","35,944,000","20,957,000","19,368,000","18,136,000","17,304,000","16,856,000","15,616,000","15,527,000","15,066,000","15,314,000","14,830,000","13,932,000","13,972,000","13,620,000","13,079,000","12,952,000","12,088,000","11,361,000","8,619,000","9,036,000","9,479,000","9,922,000","10,557,000","9,319,000","7,589,000","7,670,000","5,567,000","4,028,000","3,420,000","3,382,000","3,082,000","2,896,000","2,826,000","2,760,000","2,602,000","2,989,000","2,311,000","2,520,000","2,389,000","2,809,000"
			GrossPPE,"116,526,000","112,818,000","114,364,000","109,472,000","104,849,000","101,165,000","97,774,000","95,726,000","92,663,000","90,070,000","83,573,000","81,047,000","79,646,000","62,132,000",,,,"50,807,000",,,,"44,201,000",,,,"39,048,000",,,,"31,820,000",,,,"24,878,000",,,,"17,913,000",,,,"10,760,000",,,,"9,238,000",,,,"10,829,000","10,335,000","9,829,000"
				Properties,"0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0"
				MachineryFurnitureEquipment,"89,585,000","85,282,000",,,,"72,838,000",,,,"63,235,000",,,,"52,766,000",,,,"42,765,000",,,,"36,357,000",,,,"33,518,000",,,,"27,781,000",,,,"22,196,000",,,,"16,129,000",,,,"9,878,000",,,,"8,518,000",,,,"10,220,000","9,726,000","9,220,000"
				OtherProperties,"10,248,000","10,851,000","114,364,000","109,472,000","104,849,000","15,581,000","97,774,000","95,726,000","92,663,000","15,744,000","83,573,000","81,047,000","79,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"16,693,000","16,685,000",,,,"12,746,000",,,,"11,091,000",,,,"9,366,000",,,,"8,042,000",,,,"7,844,000",,,,"5,530,000",,,,"4,039,000",,,,"2,682,000",,,,"1,784,000",,,,"882,000",,,,"720,000",,,,"609,000","609,000","609,000"
			AccumulatedDepreciation,"-74,017,000","-70,066,000","-70,663,000","-67,074,000","-62,947,000","-59,152,000","-58,629,000","-55,377,000","-53,458,000","-50,574,000","-49,168,000","-46,412,000","-43,702,000","-41,175,000",,,,"-33,951,000",,,,"-28,887,000",,,,"-25,428,000",,,,"-20,459,000",,,,"-14,956,000",,,,"-10,243,000",,,,"-7,378,000",,,,"-6,478,000",,,,"-8,309,000","-7,946,000","-7,020,000"
		GoodwillAndOtherIntangibleAssets,"200,320,000","202,250,000","187,151,000","190,304,000","192,857,000","195,083,000","95,118,000","95,673,000","95,320,000","99,513,000","100,210,000","90,679,000","91,647,000","92,399,000","63,993,000","64,757,000","66,607,000","68,142,000","69,503,000","69,250,000","69,678,000","69,565,000","72,343,000","73,386,000","74,766,000","48,929,000","49,293,000","51,218,000","51,915,000","53,705,000","40,525,000","41,170,000","41,852,000","42,569,000","43,286,000","44,293,000","45,010,000","45,727,000","46,444,000","11,100,000","11,360,000","11,620,000","11,904,000","12,164,000","1,456,000","1,456,000","1,456,000","1,456,000","1,456,000","1,456,000","1,456,000","1,612,000"
			Goodwill,"144,162,000","143,663,000","134,680,000","135,354,000","135,263,000","134,853,000","76,543,000","75,883,000","74,463,000","76,845,000","76,366,000","70,300,000","70,075,000","69,658,000","50,502,000","50,403,000","51,030,000","51,613,000","51,783,000","50,766,000","50,289,000","49,777,000","51,005,000","50,852,000","50,921,000","33,848,000","33,527,000","34,303,000","34,210,000","34,854,000","25,487,000","25,487,000","25,487,000","25,487,000","25,487,000","25,487,000","25,487,000","25,487,000","25,487,000","5,853,000","5,853,000","5,853,000","5,877,000","5,877,000","1,166,000","1,166,000","1,166,000","1,166,000","1,166,000","1,166,000","1,166,000","1,166,000"
			OtherIntangibleAssets,"56,158,000","58,587,000","52,471,000","54,950,000","57,594,000","60,230,000","18,575,000","19,790,000","20,857,000","22,668,000","23,844,000","20,379,000","21,572,000","22,741,000","13,491,000","14,354,000","15,577,000","16,529,000","17,720,000","18,484,000","19,389,000","19,788,000","21,338,000","22,534,000","23,845,000","15,081,000","15,766,000","16,915,000","17,705,000","18,851,000","15,038,000","15,683,000","16,365,000","17,082,000","17,799,000","18,806,000","19,523,000","20,240,000","20,957,000","5,247,000","5,507,000","5,767,000","6,027,000","6,287,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","446,000"
		InvestmentsAndAdvances,,"0","0","0","2,500,000","2,500,000","2,476,000","7,566,000",,,,,,"0","4,921,000","4,922,000","2,471,000","5,206,000","2,491,000","4,997,000","2,503,000","7,494,000","12,529,000","7,556,000","12,529,000","14,950,000","12,514,000","9,995,000",,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,"0","0","0","2,500,000","2,500,000","2,476,000","7,566,000",,,,,,"0","4,921,000","4,922,000","2,471,000","5,206,000","2,491,000","4,997,000","2,503,000","7,494,000","12,529,000","7,556,000","12,529,000","14,950,000","12,514,000","9,995,000",,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,,,,,"2,500,000","2,500,000","2,476,000","7,566,000",,,,,,,"4,921,000","4,922,000","2,471,000","5,206,000","2,491,000","4,997,000","2,503,000","7,494,000","12,529,000","7,556,000","12,529,000","14,950,000","12,514,000","9,995,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"16,099,000","15,373,000","14,689,000","13,938,000","13,084,000","12,801,000","11,711,000","11,882,000","13,230,000","14,297,000","15,837,000","18,068,000","20,727,000","21,429,000","22,030,000","22,389,000","22,835,000","24,321,000","33,103,000","33,943,000","34,459,000","18,532,000","17,860,000","17,248,000","16,762,000","16,409,000","16,223,000","16,325,000","16,360,000","16,302,000","14,681,000","14,872,000","14,654,000","14,554,000","14,317,000","14,347,000","14,321,000","14,055,000","14,598,000","14,309,000","14,316,000","14,297,000","2,396,000","2,193,000","2,031,000","1,943,000","1,887,000","1,662,000","1,719,000","1,617,000","1,613,000","1,587,000"
			NonCurrentDeferredTaxesAssets,"199,000","182,000","189,000","246,000","210,000","194,000","140,000","1,030,000","1,837,000","2,630,000","4,839,000","7,627,000","9,528,000","10,456,000","11,433,000","12,061,000","12,596,000","17,551,000","26,628,000","27,524,000","28,408,000","12,446,000","11,967,000","11,588,000","11,451,000","11,149,000","10,758,000","10,880,000","11,086,000","11,035,000","9,805,000","10,294,000","10,697,000","10,870,000","10,698,000","10,822,000","10,925,000","10,853,000","11,568,000","11,424,000","11,646,000","11,787,000",,,,,,,,,,
		OtherNonCurrentAssets,"2,913,000","3,028,000","2,487,000","2,476,000","2,620,000","2,705,000","2,228,000","2,216,000","2,210,000","2,513,000","2,621,000","2,452,000","1,630,000","1,723,000","1,710,000","1,583,000","1,598,000","1,539,000","1,101,000","1,098,000","1,372,000","1,527,000","2,130,000","2,213,000","1,043,000","1,037,000","397,000","365,000","350,000","213,000","168,000","205,000","197,000","210,000","190,000","202,000","207,000","238,000","191,000","84,000","93,000","80,000","80,000","80,000","80,000","80,000","80,000","59,000","61,000","63,000","65,000","67,000"
TotalLiabilitiesNetMinorityInterest,"121,787,000","131,587,000","120,755,000","117,529,000","109,314,000","105,737,000","92,746,000","88,353,000","84,631,000","92,564,000","81,529,000","80,274,000","76,493,000","67,149,000","57,889,000","56,984,000","51,245,000","58,700,000","53,848,000","54,842,000","54,512,000","49,098,000","47,464,000","50,913,000","48,332,000","39,546,000","38,152,000","38,014,000","38,646,000","38,684,000","33,718,000","32,035,000","31,462,000","30,557,000","31,210,000","28,460,000","25,790,000","24,384,000","23,914,000","20,549,000","18,470,000","18,065,000","17,837,000","16,359,000","14,980,000","14,372,000","14,507,000","14,057,000","82,436,000","82,385,000","81,812,000","81,041,000"
	CurrentLiabilities,"94,428,000","102,872,000","94,928,000","91,437,000","83,432,000","80,132,000","70,389,000","66,735,000","61,903,000","68,030,000","60,533,000","58,400,000","53,382,000","56,522,000","49,674,000","48,378,000","42,096,000","43,147,000","37,625,000","37,916,000","37,618,000","32,161,000","30,234,000","33,146,000","30,574,000","24,234,000","23,436,000","23,840,000","24,750,000","24,560,000","20,904,000","19,355,000","19,499,000","18,915,000","19,206,000","17,755,000","15,621,000","14,471,000","15,911,000","12,676,000","11,176,000","11,466,000","11,508,000","10,651,000","9,434,000","9,089,000","9,594,000","9,407,000","11,411,000","11,290,000","11,142,000","9,508,000"
		PayablesAndAccruedExpenses,"11,363,000","16,675,000","10,862,000","11,163,000","15,099,000","16,515,000","11,078,000","9,323,000","9,976,000","10,481,000","9,241,000","8,672,000","9,010,000","8,998,000","7,829,000","8,467,000","7,583,000","9,175,000","7,080,000","6,443,000","8,039,000","5,810,000","4,951,000","7,468,000","6,826,000","4,150,000","4,719,000","5,835,000","6,240,000","6,431,000","3,899,000","4,804,000","5,312,000","4,599,000","4,350,000","5,070,000","3,097,000","2,934,000","4,015,000","3,504,000","2,551,000","2,508,000","2,513,000","3,081,000","5,885,000","1,805,000","5,798,000","5,376,000","5,332,000","2,418,000","4,884,000","3,291,000"
			Payables,"4,731,000","8,330,000","3,752,000","5,942,000","5,081,000","5,354,000","5,036,000","4,256,000","4,602,000","4,274,000","4,367,000","3,708,000","4,391,000","4,440,000","3,853,000","3,709,000","3,472,000","4,463,000","3,089,000","2,720,000","3,580,000","2,302,000","2,442,000","3,581,000","3,900,000","2,163,000","2,381,000","3,706,000","3,444,000","3,961,000","2,098,000","2,999,000","2,243,000","1,798,000","1,685,000","1,650,000","2,034,000","1,857,000","2,739,000","1,944,000","1,240,000","1,411,000","1,387,000","1,821,000","1,579,000","998,000","1,058,000","983,000","1,208,000","1,345,000","938,000","804,000"
