name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"2,392,340,264","2,484,954,539","3,164,383,906","2,339,581,342"
EnterpriseValue,"3,541,324,264","3,628,849,539","4,280,435,906","3,904,587,342"
PsRatio,"1.667","1.584","2.361","1.78"
PbRatio,"1.914","2.018","2.578","3.212"
EnterprisesValueRevenueRatio,"2.468","9.741","11.55","11.39"
EnterprisesValueEBITDARatio,"23.856","79.843","103.128","145.939"
