name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000
TotalAssets,"2,600,020,000","2,589,966,000","2,618,224,000","2,695,658,000","2,722,531,000","2,779,722,000","2,865,668,000","2,928,393,000","3,016,839,000","3,109,975,000","3,100,804,000","2,661,306,000","2,634,262,000","2,552,515,000","2,531,390,000","2,484,239,000","2,437,198,000","2,408,007,000","2,413,826,000","2,418,519,000","2,416,745,000","2,414,779,000","2,525,419,000","2,611,942,000","2,670,840,000","2,706,763,000","4,698,918,000","4,781,576,000","4,826,538,000","4,857,147,000","4,818,758,000","4,663,117,000","4,278,936,000","4,227,157,000","4,321,731,000","4,369,640,000","4,363,052,000","4,254,847,000","4,327,282,000","4,303,685,000","4,379,296,000","4,360,662,000","4,437,109,000","4,666,988,000","4,675,031,000","4,741,536,000","5,004,932,000","4,973,255,000","5,111,503,000","5,292,948,000","5,388,305,000","5,485,205,000","6,145,924,000","6,092,627,000","7,241,549,000","6,969,530,000","7,030,427,000","6,863,523,000","6,809,981,000","2,480,184,000","2,434,499,000","2,342,031,000","2,283,127,000","2,215,694,000","2,137,856,000","2,040,481,000","2,015,680,000","2,022,758,000","2,003,184,000","1,907,517,000","1,906,879,000","1,972,451,000","1,990,435,000","1,928,526,000","1,909,545,000","1,953,887,000","1,946,715,000","1,298,778,000","1,300,431,000","1,277,165,000","1,371,323,000","1,384,720,000","1,198,398,000","1,176,256,000","558,632,000","539,460,000","445,814,000"
	CurrentAssets,"196,384,000","186,570,000","186,706,000","187,855,000","188,310,000","182,011,000","211,700,000","208,889,000","223,744,000","232,203,000","253,142,000","231,511,000","228,672,000","256,196,000","232,698,000","226,706,000","211,068,000","221,163,000","222,182,000","212,470,000","212,211,000","215,685,000","237,831,000","269,446,000","265,702,000","285,303,000","1,170,586,000","1,195,169,000","1,255,980,000","1,265,676,000","1,251,134,000","1,264,415,000","1,242,962,000","1,221,131,000","1,303,249,000","1,359,271,000","1,322,087,000","1,237,968,000","1,262,749,000","1,231,215,000","1,137,574,000","1,123,927,000","1,175,255,000","1,160,232,000","1,131,181,000","1,160,604,000","1,266,238,000","1,242,919,000","1,292,407,000","1,419,161,000","1,446,184,000","1,548,164,000","1,837,953,000","1,695,130,000","1,628,316,000","1,482,403,000","1,601,946,000","1,476,604,000","1,387,724,000","506,021,000","489,911,000","450,188,000","413,912,000","359,814,000","318,146,000","259,922,000","253,670,000","269,860,000","254,124,000","233,550,000","249,577,000","311,210,000","318,277,000","247,704,000","213,910,000","261,460,000","262,939,000","257,522,000","271,077,000","251,406,000","283,047,000","280,500,000","239,778,000","244,518,000","63,764,000","44,727,000","32,571,000"
		CashCashEquivalentsAndShortTermInvestments,"1,262,000","1,569,000","3,488,000","3,312,000","1,933,000","1,097,000","1,476,000","2,205,000","3,221,000","3,685,000","3,426,000","2,015,000","1,708,000","5,610,000","3,424,000","3,532,000","3,557,000","10,536,000","2,646,000","2,595,000","10,807,000","3,134,000","5,363,000","27,833,000","4,791,000","1,563,000","32,516,000","23,325,000","52,011,000","39,739,000","33,789,000","53,903,000","61,490,000","35,665,000","37,064,000","36,941,000","33,198,000","34,601,000","22,071,000","21,379,000","23,559,000","22,039,000","29,631,000","35,097,000","37,785,000","44,616,000","81,367,000","73,849,000","67,403,000","83,745,000","86,194,000","101,166,000","113,580,000","126,391,000","118,294,000","113,393,000","125,328,000","149,224,000","95,524,000","45,745,000","42,895,000","46,997,000","16,862,000","24,646,000","42,232,000","26,979,000","36,499,000","38,723,000","53,958,000","28,719,000","38,122,000","121,189,000","101,542,000","43,636,000","23,693,000","71,693,000","50,911,000","27,107,000","38,038,000","6,176,000","18,968,000","5,622,000","10,589,000","12,279,000","7,442,000","1,535,000","6,842,000"
			CashAndCashEquivalents,"1,262,000","1,569,000","3,488,000","3,312,000","1,933,000","1,097,000","1,476,000","2,205,000","3,221,000","3,685,000","3,426,000","2,015,000","1,708,000","5,610,000","3,424,000","3,532,000","3,557,000","10,536,000","2,646,000","2,595,000","10,807,000","3,134,000","5,363,000","27,833,000","4,791,000","1,563,000","32,516,000","23,325,000","52,011,000","39,739,000","33,789,000","53,903,000","61,490,000","35,665,000","37,064,000","36,941,000","33,198,000","34,601,000","22,071,000","21,379,000","23,559,000","22,039,000","29,631,000","35,097,000","37,785,000","44,616,000","81,367,000","73,849,000","67,403,000","83,745,000","86,194,000","101,166,000","113,580,000","126,391,000","118,294,000","113,393,000","125,328,000","149,224,000","95,524,000","45,745,000","42,895,000","46,997,000","16,862,000","24,646,000","42,232,000","26,979,000","36,499,000","38,723,000","53,958,000","28,719,000","38,122,000","121,189,000","101,542,000","43,636,000","23,693,000","71,693,000","50,911,000","27,107,000","38,038,000","6,176,000","18,968,000","5,622,000","10,589,000","12,279,000","7,442,000","1,535,000","6,842,000"
		Receivables,"115,162,000","104,931,000","108,936,000","106,393,000","107,535,000","104,425,000","130,857,000","124,587,000","138,623,000","144,865,000","157,342,000","146,831,000","145,294,000","163,247,000","141,781,000","130,596,000","116,004,000","113,416,000","119,686,000","109,244,000","101,251,000","111,746,000","110,591,000","119,064,000","132,900,000","147,786,000","612,590,000","630,808,000","628,355,000","678,980,000","626,063,000","618,199,000","564,839,000","593,967,000","635,580,000","670,898,000","658,759,000","610,645,000","668,131,000","613,386,000","406,116,000","585,185,000","460,353,000","578,479,000","560,270,000","429,047,000","434,002,000","420,806,000","576,887,000","627,685,000","436,054,000","551,897,000","738,705,000","625,356,000","806,406,000","718,490,000","772,848,000","516,072,000","690,358,000","207,307,000","191,933,000","193,968,000","199,030,000","171,756,000","139,871,000","103,190,000","107,124,000","116,399,000","96,024,000","96,702,000","93,576,000","80,296,000","103,735,000","94,030,000","79,995,000","80,287,000","89,357,000","95,196,000","91,033,000","114,839,000","103,268,000","118,805,000","95,256,000","91,016,000","34,121,000","26,847,000","16,125,000"
			AccountsReceivable,"115,162,000","104,931,000","108,936,000","106,393,000","107,535,000","104,425,000","113,607,000","124,587,000","138,623,000","144,865,000","157,342,000","146,831,000","145,294,000","147,985,000","141,781,000","130,596,000","116,004,000","113,416,000","119,686,000","109,244,000","101,251,000","111,746,000","110,591,000","119,064,000","132,900,000","147,786,000","492,609,000","502,547,000","505,948,000","558,042,000","517,485,000","504,989,000","433,885,000","476,792,000","446,848,000","457,672,000","457,363,000","451,547,000","525,300,000","503,040,000","406,116,000","585,185,000","460,353,000","414,375,000","413,351,000","429,047,000","434,002,000","420,806,000","576,887,000","627,685,000","436,054,000","551,897,000","738,705,000","625,356,000","806,406,000","718,490,000","772,848,000","516,072,000","690,358,000","207,307,000","191,933,000","193,968,000","199,030,000","171,756,000","139,871,000","103,089,000","107,003,000","116,270,000","95,853,000","96,405,000","93,414,000","79,587,000","102,840,000","92,758,000","77,354,000","77,565,000","89,357,000","95,196,000","91,033,000","111,829,000","103,268,000","118,805,000","95,256,000","87,088,000",,,
				GrossAccountsReceivable,"117,371,000","107,083,000","111,993,000","109,124,000","110,829,000","107,795,000","116,830,000","128,217,000","141,146,000","147,075,000","159,309,000","148,385,000","146,852,000","149,437,000","143,288,000","132,443,000","117,793,000","115,210,000","122,278,000","111,025,000","102,931,000","113,610,000","112,360,000","121,212,000","134,770,000","151,129,000","498,202,000","506,361,000","510,085,000","562,461,000","523,067,000","510,464,000","439,302,000","485,397,000","457,758,000","467,506,000","470,499,000","466,599,000","533,630,000","510,596,000","417,252,000","596,542,000","472,744,000","426,372,000","426,222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,209,000","-2,152,000","-3,057,000","-2,731,000","-3,294,000","-3,370,000","-3,223,000","-3,630,000","-2,523,000","-2,210,000","-1,967,000","-1,554,000","-1,558,000","-1,452,000","-1,507,000","-1,847,000","-1,789,000","-1,794,000","-2,592,000","-1,781,000","-1,680,000","-1,864,000","-1,769,000","-2,148,000","-1,870,000","-3,343,000","-5,593,000","-3,814,000","-4,137,000","-4,419,000","-5,582,000","-5,475,000","-5,417,000","-8,605,000","-10,910,000","-9,834,000","-13,136,000","-15,052,000","-8,330,000","-7,556,000","-11,136,000","-11,357,000","-12,391,000","-11,997,000","-12,871,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,000","121,000","129,000","171,000",,"162,000","709,000","895,000","1,272,000","2,641,000","2,722,000",,,,"3,010,000",,,,"3,928,000",,,
			TaxesReceivable,,,,,,,"17,250,000",,,"0","0","0","0","15,262,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
