name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,03/31/2003
TotalAssets,"3,736,646,000","3,591,403,000","3,517,454,000","3,472,445,000","3,462,797,000","3,475,228,000","3,333,222,000","3,284,738,000","3,301,698,000","3,341,431,000","3,290,813,000","3,182,418,000","3,118,193,000","3,217,941,000","2,478,581,000","2,443,300,000","2,486,925,000","2,482,002,000","2,457,806,000","2,402,854,000","2,293,029,000","2,246,013,000","2,264,838,000","2,204,571,000","2,214,488,000","2,263,978,000","2,277,510,000","2,353,293,000","2,163,047,000","2,258,999,000","2,296,029,000","2,329,565,000","2,321,858,000","2,242,342,000","2,041,073,000","1,974,525,000","1,987,867,000","2,006,820,000","1,985,390,000","1,924,093,000","1,919,279,000","1,831,883,000","1,809,373,000","1,871,424,000","1,828,387,000","1,770,439,000","1,732,225,000","1,600,292,000","1,652,010,000","1,654,893,000","1,610,087,000","1,555,987,000","1,493,642,000","1,589,531,000","1,693,828,000","1,793,340,000","1,710,790,000","1,656,641,000","1,573,641,000","1,467,210,000","1,409,013,000","1,380,013,000","1,319,797,000","1,325,160,000","1,263,948,000","1,233,496,000","1,224,968,000","1,218,406,000","1,194,761,000","1,196,098,000","1,147,552,000","1,155,275,000","1,151,068,000","1,075,808,000"
	CurrentAssets,"1,993,193,000","1,843,452,000","1,768,856,000","1,699,800,000","1,691,317,000","1,684,147,000","1,564,075,000","1,524,939,000","1,562,905,000","1,522,445,000","1,639,810,000","1,519,869,000","1,536,648,000","1,604,790,000","1,542,952,000","1,511,045,000","1,539,587,000","1,561,814,000","1,547,738,000","1,506,405,000","1,418,915,000","1,365,872,000","1,363,195,000","1,301,861,000","1,296,239,000","1,315,437,000","1,314,496,000","1,409,472,000","1,233,418,000","1,287,430,000","1,307,943,000","1,314,282,000","1,300,700,000","1,235,625,000","1,194,993,000","1,143,653,000","1,152,962,000","1,158,909,000","1,141,476,000","1,088,146,000","1,071,673,000","1,009,477,000","1,006,357,000","1,035,165,000","997,948,000","1,003,101,000","964,960,000","868,272,000","895,281,000","895,920,000","856,732,000","817,533,000","778,418,000","841,830,000","906,221,000","976,084,000","911,196,000","886,966,000","811,871,000","717,600,000","674,293,000","637,378,000","585,655,000","591,044,000","547,695,000","507,857,000","495,451,000","491,184,000","467,617,000","452,983,000","430,381,000","434,476,000","423,703,000","383,153,000"
		CashCashEquivalentsAndShortTermInvestments,"402,488,000","397,060,000","407,506,000","406,233,000","451,808,000","488,651,000","414,232,000","384,379,000","326,979,000","272,510,000","424,846,000","262,113,000","299,212,000","397,158,000","545,183,000","512,463,000","522,118,000","571,322,000","540,113,000","543,039,000","500,329,000","467,149,000","440,286,000","413,559,000","397,307,000","346,117,000","320,565,000","444,779,000","268,921,000","279,983,000","239,900,000","234,898,000","240,103,000","211,641,000","272,690,000","240,058,000","249,348,000","228,646,000","212,342,000","180,711,000","160,490,000","119,767,000","95,594,000","116,577,000","108,869,000","205,794,000","173,028,000","173,814,000","201,042,000","210,971,000","218,988,000","217,662,000","163,161,000","105,272,000","85,606,000","55,629,000","20,620,000","24,722,000","20,064,000","16,848,000","37,785,000","37,135,000","16,709,000","16,644,000","15,217,000","11,317,000","12,026,000","9,972,000","21,341,000","15,557,000","15,667,000","13,785,000","17,207,000","44,296,000"
			CashAndCashEquivalents,"402,488,000","397,060,000","407,506,000","406,233,000","451,808,000","488,651,000","414,232,000","384,379,000","326,979,000","272,510,000","424,846,000","262,113,000","299,212,000","397,158,000","545,183,000","512,463,000","522,118,000","571,322,000","540,113,000","543,039,000","500,329,000","467,149,000","440,286,000","413,559,000","397,307,000","346,117,000","320,565,000","444,779,000","268,921,000","279,983,000","239,900,000","234,898,000","240,103,000","211,641,000","272,690,000","240,058,000","249,348,000","228,646,000","212,342,000","180,711,000","160,490,000","119,767,000","95,594,000","116,577,000","108,869,000","205,794,000","173,028,000","173,814,000","201,042,000","210,971,000","218,988,000","217,662,000","163,161,000","105,272,000","85,606,000","55,629,000","20,620,000","24,722,000","20,064,000","16,848,000","37,785,000","37,135,000","16,709,000","16,644,000","15,217,000","11,317,000","12,026,000","9,972,000","21,341,000","15,557,000","15,667,000","13,785,000","17,207,000","44,296,000"
		Receivables,"796,028,000","636,049,000","584,584,000","580,961,000","660,957,000","547,462,000","499,781,000","509,006,000","654,301,000","578,440,000","585,106,000","621,315,000","673,737,000","607,440,000","519,542,000","518,362,000","550,412,000","494,934,000","502,869,000","502,159,000","490,964,000","444,265,000","462,724,000","456,130,000","493,675,000","463,220,000","482,933,000","504,383,000","522,215,000","506,304,000","563,852,000","560,313,000","569,019,000","535,024,000","467,704,000","467,625,000","454,164,000","460,068,000","472,775,000","478,483,000","475,016,000","453,905,000","474,252,000","468,529,000","464,072,000","420,200,000","418,470,000","352,915,000","383,641,000","374,074,000","351,614,000","331,046,000","356,200,000","428,347,000","464,385,000","523,483,000","503,013,000","468,031,000","406,735,000","378,235,000","361,288,000","326,298,000","317,271,000","324,923,000","308,625,000","284,564,000","272,448,000","267,214,000","254,267,000","244,470,000","230,648,000","237,208,000","227,752,000","189,014,000"
			AccountsReceivable,"719,434,000","636,049,000","584,584,000","580,961,000","603,581,000","547,462,000","499,781,000","509,006,000","595,873,000","578,440,000","585,106,000","621,315,000","624,136,000","607,440,000","519,542,000","518,362,000","546,325,000","494,934,000","502,869,000","502,159,000","486,646,000","444,265,000","462,724,000","456,130,000","490,799,000","463,220,000","482,933,000","504,383,000","518,165,000","506,304,000","563,852,000","560,313,000","564,584,000","535,024,000","467,704,000","467,625,000","448,068,000","460,068,000","472,775,000","478,483,000","466,769,000","453,905,000","474,252,000","468,529,000","464,072,000","420,200,000","418,470,000","352,915,000","383,641,000","374,074,000","351,614,000","331,046,000","356,200,000","428,347,000","464,385,000","523,483,000","503,013,000","468,031,000","406,735,000","378,235,000","351,594,000","326,298,000","317,271,000","324,923,000","308,625,000","284,564,000","272,448,000","267,214,000","254,267,000","244,470,000","230,648,000","237,208,000","227,752,000","189,014,000"
				GrossAccountsReceivable,"731,653,000","648,849,000","597,007,000","593,568,000","616,573,000","559,453,000","513,098,000","522,235,000","611,119,000","592,327,000","599,402,000","633,792,000","634,949,000","617,621,000","529,455,000","530,426,000","558,968,000","507,966,000","516,118,000","515,112,000","499,308,000","456,859,000",,"468,115,000","502,192,000","473,343,000",,"512,388,000",,"514,627,000","572,819,000","569,787,000","574,030,000","544,392,000","477,350,000","476,412,000","457,360,000","470,606,000","482,181,000","487,780,000","476,791,000","464,738,000","485,874,000","479,751,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-12,219,000","-12,800,000","-12,423,000","-12,607,000","-12,992,000","-11,991,000","-13,317,000","-13,229,000","-15,246,000","-13,887,000","-14,296,000","-12,477,000","-10,813,000","-10,181,000","-9,913,000","-12,064,000","-12,643,000","-13,032,000","-13,249,000","-12,953,000","-12,662,000","-12,594,000",,"-11,985,000","-11,393,000","-10,123,000",,"-8,005,000",,"-8,323,000","-8,967,000","-9,474,000","-9,446,000","-9,368,000","-9,646,000","-8,787,000","-9,292,000","-10,538,000","-9,406,000","-9,297,000","-10,022,000","-10,833,000","-11,622,000","-11,222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"76,594,000",,,,"57,376,000",,,,"58,428,000",,,,"49,601,000",,,,"4,087,000",,,,"4,318,000",,,,"2,876,000",,,,"4,050,000",,,,"4,435,000",,,,"6,096,000",,,,"8,247,000",,,,,,,,,,,,,,,,,,,,"9,694,000",,,,,,,,,,,,,
		Inventory,"715,712,000","671,399,000","640,998,000","563,914,000","518,247,000","515,469,000","516,589,000","510,598,000","519,460,000","557,513,000","507,081,000","520,115,000","503,869,000","501,338,000","396,404,000","394,191,000","414,234,000","421,970,000","422,508,000","383,365,000","360,694,000","370,196,000","370,041,000","351,604,000","331,081,000","341,170,000","345,954,000","353,535,000","337,011,000","386,739,000","389,172,000","384,194,000","361,846,000","360,839,000","352,134,000","332,917,000","353,941,000","380,048,000","366,539,000","350,046,000","361,774,000","349,605,000","345,504,000","359,223,000","335,003,000","305,821,000","302,034,000","277,795,000","254,371,000","251,574,000","227,937,000","212,581,000","209,329,000","256,813,000","303,853,000","332,182,000","335,729,000","334,951,000","317,205,000","259,732,000","234,326,000","221,836,000","205,243,000","201,860,000","179,537,000","162,569,000","164,040,000","166,137,000","146,047,000","148,107,000","140,343,000","138,413,000","131,712,000","106,998,000"
