name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
OperatingCashFlow,"1,110,685,000","166,178,000","489,676,000","175,288,000","279,543,000","176,788,000","335,985,000","191,646,000","145,813,000","96,589,000","280,518,000","114,404,000","116,871,000","52,057,000","236,192,000","220,839,000","58,748,000","147,631,000","204,356,000","213,952,000","97,282,000","102,677,000","237,786,000","218,417,000","135,101,000","138,098,000","154,579,000","195,085,000","63,257,000","165,024,000","208,241,000","170,415,000","103,307,000","131,946,000","182,291,000","174,395,000","102,176,000","98,674,000","104,627,000","141,973,000","86,357,000","56,106,000","141,040,000","141,895,000","113,670,000","120,227,000","175,633,000","176,454,000","86,779,000","103,729,000","104,915,000","123,452,000","96,552,000","-63,194,000","148,427,000","172,693,000","103,482,000","181,216,000","188,962,000","160,485,000","130,534,000","123,449,000","142,974,000","140,850,000","120,837,000","118,969,000","100,405,000","14,420,000","-9,845,000","-7,868,000","22,558,000","33,899,000","35,832,000","124,325,000","65,116,000","45,961,000","13,666,000","51,603,000","93,165,000","65,389,000","26,714,000","-8,791,000","10,051,000","16,207,000","61,031,000","73,177,000","93,864,000","120,781,000","89,072,000","70,108,000","73,340,000","127,230,000","44,057,000","48,670,000","107,050,000","22,169,000","21,751,000","86,990,000"
	CashFlowFromContinuingOperatingActivities,"1,110,685,000","166,178,000","489,676,000","175,288,000","279,543,000","176,788,000","335,985,000","191,646,000","145,813,000","96,589,000","280,518,000","114,404,000","116,871,000","52,057,000","236,192,000","220,839,000","58,748,000","147,631,000","204,356,000","213,952,000","97,282,000","102,677,000","237,786,000","218,417,000","135,101,000","138,098,000","154,579,000","195,085,000","63,257,000","165,024,000","208,241,000","170,415,000","103,307,000","131,946,000","182,291,000","174,395,000","102,176,000","98,674,000","104,627,000","141,973,000","86,357,000","56,106,000","141,040,000","141,895,000","113,670,000","120,227,000","175,633,000","176,454,000","86,779,000","103,729,000","104,915,000","123,452,000","96,552,000","-63,194,000","148,427,000","172,693,000","103,482,000","181,216,000","188,962,000","160,485,000","130,534,000","123,449,000","142,974,000","140,850,000","120,837,000","118,969,000","100,405,000","14,420,000","-9,845,000","-7,868,000","22,558,000","33,899,000","35,817,000","124,229,000","76,337,000","45,901,000","24,644,000","29,464,000","93,165,000","65,389,000","26,714,000","-8,791,000","10,051,000","16,207,000","61,031,000","73,177,000","93,864,000","120,781,000","89,072,000","70,108,000","73,340,000","127,230,000","44,057,000","48,670,000","107,050,000","22,169,000","21,751,000","86,990,000"
		NetIncomeFromContinuingOperations,"696,816,000","171,228,000","217,283,000","181,847,000","126,458,000","120,019,000","126,965,000","92,897,000","56,140,000","64,497,000","99,816,000","54,486,000","-9,006,000","-22,668,000","28,894,000","57,292,000","33,184,000","10,195,000","101,943,000","55,630,000","116,459,000","-9,144,000","101,202,000","61,141,000","5,366,000","-405,000","-9,312,000","29,021,000","10,201,000","29,697,000","14,128,000","48,170,000","50,406,000","21,183,000","41,558,000","26,004,000","30,329,000","13,766,000","7,672,000","22,576,000","872,000","11,582,000","25,561,000","27,323,000",,,"50,761,000","78,370,000","58,943,000","44,073,000","87,882,000","80,996,000","9,364,000","-21,959,000","-623,078,000","29,155,000","65,232,000","71,996,000","93,664,000","60,620,000","30,990,000","34,590,000","59,047,000","52,810,000","23,554,000","34,673,000","54,001,000","-19,417,000","-52,403,000","-119,070,000","-36,092,000","-22,334,000","9,980,000","10,910,000","22,639,000","15,770,000","-50,747,000","-40,030,000","-196,116,000","-59,307,000","-383,528,000","-187,808,000","-136,612,000","-128,744,000","-116,291,000","-69,214,000","40,890,000","45,171,000","30,936,000","37,156,000","20,186,000","26,088,000","11,520,000","18,925,000","24,983,000","20,874,000","20,791,000","8,812,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,"2,187,000","0",,,,,,,"-5,039,000","0",,,"-30,378,000","0",,,"-12,861,000","0",,,,,,,"-5,143,000","0",,,"-6,012,000","0",,,"5,459,000","1,226,000","-7,888,000","-8,996,000",,,,"3,798,000",,,,,,,,,,,"5,016,000","1,382,000","3,048,000","8,502,000","-22,119,000","2,429,000","-2,838,000","4,676,000","20,962,000","6,618,000","48,387,000","27,785,000","325,996,000","101,624,000","28,665,000","33,814,000","44,581,000","35,526,000","17,254,000","7,528,000","6,538,000","1,281,000","20,149,000","1,544,000","3,026,000","2,131,000","1,371,000","182,000","326,000","10,099,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,878,000","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"576,384,000","148,192,000","142,612,000","145,979,000","139,601,000","135,390,000","132,674,000","129,686,000","124,379,000","123,657,000","126,164,000","129,194,000","132,984,000","135,835,000","142,780,000","143,666,000","143,006,000","142,509,000","146,273,000","148,599,000","145,252,000","141,816,000","138,669,000","141,276,000","138,105,000","137,136,000","122,232,000","123,252,000","124,329,000","124,387,000","124,617,000","119,700,000","112,051,000","108,338,000","108,339,000","106,222,000","98,637,000","97,148,000","97,588,000","93,709,000","90,736,000","88,446,000","86,101,000","83,075,000","83,026,000","83,442,000","86,383,000","82,819,000","78,601,000","75,805,000","74,623,000","74,380,000","76,558,000","79,949,000","80,419,000","78,958,000","77,026,000","73,517,000","73,150,000","74,175,000","70,140,000","71,364,000","82,700,000","69,540,000","67,464,000","66,061,000","72,610,000","62,667,000","61,186,000","60,858,000","64,817,000","62,423,000","60,713,000","54,787,000","57,257,000","55,422,000","65,723,000","59,873,000","67,909,000","76,548,000","94,947,000","94,192,000","136,163,000","112,334,000","98,914,000","117,672,000","101,020,000","98,634,000","78,643,000","54,612,000","54,121,000","51,853,000","41,298,000","33,060,000","32,241,000","30,677,000","29,182,000","27,139,000"
			DepreciationAndAmortization,"576,384,000","148,192,000","142,612,000","145,979,000","139,601,000","135,390,000","132,674,000","129,686,000","124,379,000","123,657,000","126,164,000","129,194,000","132,984,000","135,835,000","142,780,000","143,666,000","143,006,000","142,509,000","146,273,000","148,599,000","145,252,000","141,816,000","138,669,000","141,276,000","138,105,000","137,136,000","122,232,000","123,252,000","124,329,000","124,387,000","124,617,000","119,700,000","112,051,000","108,338,000","108,339,000","106,222,000","98,637,000","97,148,000","97,588,000","93,709,000","90,736,000","88,446,000","86,101,000","83,075,000","83,026,000","83,442,000","86,383,000","82,819,000","78,601,000","75,805,000","74,623,000","74,380,000","76,558,000","79,949,000","80,419,000","78,958,000","77,026,000","73,517,000","73,150,000","74,175,000","70,140,000","71,364,000","82,700,000","69,540,000","67,464,000","66,061,000","72,610,000","62,667,000","61,186,000","60,858,000","64,817,000","62,423,000","60,713,000","54,787,000","57,257,000","55,422,000","65,723,000","59,873,000","67,909,000","76,548,000","94,947,000","94,192,000","136,163,000","112,334,000","98,914,000","117,672,000","101,020,000","98,634,000","78,643,000","54,612,000","54,121,000","51,853,000","41,298,000","33,060,000","32,241,000","30,677,000","29,182,000","27,139,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,180,000","58,503,000","58,264,000","52,397,000","54,375,000","52,660,000","54,907,000","57,793,000",,,,,,,,"108,214,000",,,,"53,766,000","53,168,000","50,709,000",,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,637,000","3,920,000","2,449,000","2,390,000","2,882,000","2,762,000","10,816,000","2,080,000",,,,,,,,"9,458,000",,,,"846,000","953,000","1,144,000",,,,,,
