name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,06/30/2018,12/31/2017
		RetainedEarnings,"-451,416,000","-418,966,000","-391,732,000","-362,867,000","-326,175,000","-298,631,000","-270,640,000","-240,875,000","-215,259,000","-196,144,000","-180,203,000","-169,286,000","-161,617,000","-147,193,000","-153,841,000","-146,700,000"
		GainsLossesNotAffectingRetainedEarnings,"-677,000","-129,000","-11,000","5,000","-18,000","4,000","15,000","137,000","-55,000","25,000","99,000","102,000","-45,000","-267,000","-498,000","-431,000"
TotalCapitalization,"311,137,000","335,647,000","354,039,000","373,075,000","399,577,000","280,043,000","276,703,000","301,164,000","318,972,000","330,719,000","339,186,000","346,130,000","-119,178,000","186,877,000","-123,449,000","-120,978,000"
CommonStockEquity,"311,137,000","335,647,000","354,039,000","373,075,000","399,577,000","280,043,000","276,703,000","301,164,000","318,972,000","330,719,000","339,186,000","346,130,000","-119,178,000","186,877,000","-123,449,000","-120,978,000"
CapitalLeaseObligations,"9,226,000","10,462,000",,,,,,,,,,,,,,
NetTangibleAssets,"311,137,000","335,647,000","354,039,000","373,075,000","399,577,000","280,043,000","276,703,000","301,164,000","318,972,000","330,719,000","339,186,000","346,130,000","-119,178,000","186,877,000","-123,449,000","-120,978,000"
WorkingCapital,"293,059,000","317,925,000","338,155,000","358,086,000","385,540,000","265,843,000","264,524,000","288,920,000","309,845,000","315,530,000","323,842,000","329,691,000","156,266,000","173,071,000","152,576,000","138,640,000"
InvestedCapital,"311,137,000","335,647,000","354,039,000","373,075,000","399,577,000","280,043,000","276,703,000","301,164,000","318,972,000","330,719,000","339,186,000","346,130,000","-119,178,000","186,877,000","-123,449,000","-120,978,000"
TangibleBookValue,"311,137,000","335,647,000","354,039,000","373,075,000","399,577,000","280,043,000","276,703,000","301,164,000","318,972,000","330,719,000","339,186,000","346,130,000","-119,178,000","186,877,000","-123,449,000","-120,978,000"
TotalDebt,"9,226,000","10,462,000",,,,,,,,,,,,,,
ShareIssued,"78,087,000","77,962,722","77,642,628","77,307,156","76,913,578","70,585,364","68,934,767","68,739,866","67,936,438","66,960,279","66,155,613","66,039,310","64,993,706","64,993,706","64,993,706","64,993,706"
OrdinarySharesNumber,"78,087,000","77,962,722","77,642,628","77,307,156","76,913,578","70,585,364","68,934,767","68,739,866","67,936,438","66,960,279","66,155,613","66,039,310","64,993,706","64,993,706","64,993,706","64,993,706"
