name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-727,076","-63,556","-241,643","-115,108","-306,769","-552,359"
	CashFlowFromContinuingOperatingActivities,"-727,076","-63,556","-241,643","-115,108","-306,769","-552,359"
		NetIncomeFromContinuingOperations,"10,148,799","3,815,727","-267,837","6,761,973","-161,064","-1,963,413"
		OperatingGainsLosses,"-12,547,206","-4,393,550","-1,170,800","-7,051,822","-229,859","958,770"
			GainLossOnInvestmentSecurities,"-12,547,206","-4,393,550","-1,170,800","-7,051,822","-229,859","958,770"
		OtherNonCashItems,"-322,474","-6,807","-6,859","-5,673","-4,310","606,622"
		ChangeInWorkingCapital,"1,993,805","521,074","1,203,853","180,414","88,464","-154,338"
			ChangeInReceivables,"-195","0","0","-188","-7","-1,061"
			ChangeInPrepaidAssets,"394,066","39,813","118,084","118,085","118,084","-438,691"
			ChangeInPayablesAndAccruedExpense,"1,599,934","481,261","1,085,769","62,517","-29,613","285,414"
				ChangeInPayable,"1,599,934","481,261","1,085,769","62,517","-29,613","285,414"
					ChangeInTaxPayable,"200,000","50,000","50,000","50,000","50,000","50,000"
						ChangeInIncomeTaxPayable,"200,000","50,000","50,000","50,000","50,000","50,000"
					ChangeInAccountPayable,"1,318,186","401,261","1,005,769","20,769","-109,613","209,662"
InvestingCashFlow,"0","0","0","0","0","-276,000,000"
	CashFlowFromContinuingInvestingActivities,"0","0","0","0","0","-276,000,000"
		NetInvestmentPurchaseAndSale,,,"0","0","0","-276,000,000"
			PurchaseOfInvestment,,,"0","0","0","-276,000,000"
FinancingCashFlow,"0","0","0","0","0","277,552,107"
	CashFlowFromContinuingFinancingActivities,"0","0","0","0","0","277,552,107"
		NetCommonStockIssuance,"0","0","0","0","0","275,552,107"
			CommonStockIssuance,"0","0","0","0","0","275,552,107"
		ProceedsFromStockOptionExercised,"0","0","0","0","0","7,520,000"
		NetOtherFinancingCharges,,,"0","0","0","-5,520,000"
EndCashPosition,"272,672","272,672","336,228","577,871","692,979","999,748"
	ChangesInCash,"-727,076","-63,556","-241,643","-115,108","-306,769","999,748"
	BeginningCashPosition,"999,748","336,228","577,871","692,979","999,748","0"
IssuanceOfCapitalStock,"0","0","0","0","0","275,552,107"
FreeCashFlow,"-727,076","-63,556","-241,643","-115,108","-306,769","-552,359"
