name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"661,899,000","165,412,000","159,090,000","170,076,000","167,321,000","182,509,000","169,746,000","192,135,000","162,656,000","136,140,000","138,968,000","145,879,000","144,537,000","133,854,000","130,752,000","137,914,000","137,058,000","126,276,000","108,303,000","115,339,000","119,596,000","105,167,000","100,757,000","109,426,000","84,252,000","78,751,000","70,868,000","75,974,000","77,969,000","72,372,000","59,125,000","63,180,000","61,822,000","57,921,000","54,671,000","59,290,000","60,332,000","59,569,000","55,046,000","59,166,000","58,400,000","55,334,000","50,249,000","50,906,000","52,885,000","49,915,000","46,829,000","49,786,000","47,597,000","44,472,000","42,998,000","41,884,000","40,035,000","38,165,000","31,508,000","34,652,000","32,848,000","31,985,000","30,178,000","31,199,000","31,457,000","29,449,000","28,165,000","28,640,000","28,136,000","25,922,000","26,102,000","25,253,000","23,769,000","21,410,000","18,472,000","17,061,000","16,189,000","11,993,000","11,463,000","10,985,000","10,085,000","9,618,000","23,516,000","5,218,000","4,813,000","3,575,000","4,679,000","3,457,000","3,191,000","2,541,000"
	OperatingRevenue,"661,899,000","165,412,000","159,090,000","170,076,000","167,321,000","182,509,000","169,746,000","192,135,000","162,656,000","136,140,000","138,968,000","145,879,000","144,537,000","133,854,000","130,752,000","137,914,000","137,058,000","126,276,000","108,303,000","115,339,000","119,596,000","105,167,000","100,757,000","109,426,000","84,252,000","78,751,000","70,868,000","75,974,000","77,969,000","72,372,000","59,125,000","63,180,000","61,822,000","57,921,000","54,671,000","59,290,000","60,332,000","59,569,000","55,046,000","59,166,000","58,400,000","55,334,000","50,249,000","50,906,000","52,885,000","49,915,000","46,829,000","49,786,000","47,597,000","44,472,000","42,998,000","41,884,000","40,035,000","38,165,000","31,508,000","34,652,000","32,848,000","31,985,000","30,178,000","31,199,000","31,457,000","29,449,000","28,165,000","28,640,000","28,136,000","25,922,000","26,102,000","25,253,000","23,769,000","21,410,000","18,472,000","17,061,000","16,189,000","11,993,000","11,463,000","10,985,000","10,085,000","9,618,000","23,516,000","5,218,000","4,813,000","3,575,000","4,679,000","3,457,000","3,191,000","2,541,000"
OperatingIncome,,,,,,,,,,,,,,,,,,,,"40,457,000","40,157,000","32,378,000","27,003,000","36,807,000","10,254,000","26,849,000","17,815,000","25,938,000","27,179,000","21,609,000","10,582,000",,"17,987,000","16,510,000","13,681,000","15,583,000","16,717,000","15,402,000","12,268,000","13,958,000","13,638,000","13,705,000",,"12,417,000","9,242,000","11,792,000","10,825,000","11,047,000","10,119,000","11,382,000","10,160,000","10,541,000","8,763,000","-9,279,000","6,702,000","9,044,000","8,430,000","8,538,000","8,409,000","8,819,000","8,731,000",,"8,363,000","8,455,000","8,507,000","6,924,000","7,549,000",,"6,707,000","6,314,000","5,722,000",,"4,013,000","2,759,000","2,316,000","3,064,000",,,"17,090,000","-3,065,000","-2,830,000","-3,084,000","-2,960,000","-2,610,000","-2,424,000","-2,403,000"
PretaxIncome,"248,104,000","57,482,000","51,066,000","67,572,000","71,982,000","89,210,000","64,299,000","58,556,000","44,686,000","33,792,000","43,735,000","47,084,000","45,157,000","40,293,000","46,788,000","48,411,000","44,781,000","32,020,000","34,611,000","40,457,000","40,157,000","32,378,000","27,003,000","36,807,000","10,254,000","26,849,000","17,815,000","25,938,000","27,179,000","21,609,000","10,582,000","18,030,000","17,987,000","16,510,000","13,681,000","15,583,000","16,717,000","15,402,000","12,268,000","13,958,000","13,638,000","13,705,000","12,083,000","12,417,000","9,242,000","11,792,000","10,825,000","11,047,000","10,119,000","11,382,000","10,160,000","10,541,000","8,763,000","8,935,000","6,686,000","9,029,000","8,401,000","8,529,000","8,421,000","8,819,000","8,731,000","8,112,000","8,363,000","8,455,000","8,507,000","6,924,000","7,549,000","6,651,000","6,707,000","6,314,000","5,722,000","5,000,000","4,013,000","2,759,000","2,316,000","3,064,000","2,718,000","2,189,000","1,889,000","2,388,000","2,098,000","1,735,000","726,000","968,000","700,000","578,000"
TaxProvision,"49,451,000","11,232,000","9,410,000","14,829,000","13,980,000","16,579,000","10,408,000","7,841,000","7,464,000","6,187,000","7,786,000","7,684,000","8,915,000","8,211,000","10,348,000","9,159,000","8,643,000","6,077,000","21,325,000","11,862,000","12,240,000","9,386,000","7,160,000","10,974,000","2,375,000","8,188,000","4,846,000","7,444,000","8,201,000","6,385,000","2,798,000","5,044,000","5,432,000","4,905,000","3,655,000","4,407,000","4,707,000","4,366,000","2,446,000","4,063,000","3,401,000","4,054,000","3,105,000","3,610,000","2,613,000","3,398,000","2,951,000","3,250,000","2,849,000","3,406,000","3,394,000","3,246,000","2,339,000","2,668,000","1,241,000","2,614,000","2,360,000","2,536,000","2,554,000","2,830,000","2,825,000","2,615,000","2,127,000","2,937,000","2,960,000","2,438,000","2,585,000","2,425,000","2,384,000","2,147,000","2,088,000","1,762,000","1,410,000","954,000","933,000","1,050,000","940,000","744,000","470,000","825,000","725,000","590,000","267,000","329,000","-54,000","-207,000"
NetIncomeCommonStockholders,"191,974,000","45,586,000","40,182,000","50,400,000","55,803,000","68,995,000","50,082,000","34,464,000","34,605,000","26,384,000","35,076,000","37,659,000","34,638,000","31,409,000","35,990,000","38,293,000","34,804,000","24,705,000","12,333,000","27,150,000","26,213,000","21,968,000","18,996,000","24,176,000","6,259,000","17,819,000","12,466,000","17,566,000","17,812,000","14,525,000","7,043,000","11,935,000","11,486,000","10,940,000","9,482,000","9,078,000","9,855,000","9,120,000","8,262,000","7,995,000","7,928,000","7,521,000","6,847,000","4,898,000","5,173,000","5,970,000","5,497,000","5,197,000","4,539,000","5,687,000","4,367,000","4,780,000","3,981,000","3,587,000","4,049,000","6,415,000","6,041,000","5,993,000","5,867,000","5,989,000","5,906,000","5,497,000","6,236,000","5,518,000","5,547,000","4,486,000","4,964,000","4,226,000","4,323,000","4,167,000","3,634,000","3,238,000","2,603,000","1,805,000","1,383,000","2,014,000","1,778,000","1,445,000","1,419,000","1,563,000","1,373,000","1,145,000","459,000","639,000","754,000","785,000"
	NetIncome,"191,974,000","45,586,000","40,182,000","50,400,000","55,803,000","68,995,000","50,082,000","34,464,000","34,605,000","26,384,000","35,076,000","37,659,000","34,638,000","31,409,000","35,990,000","38,293,000","34,804,000","24,705,000","12,333,000","27,150,000","26,213,000","21,968,000","18,996,000","24,176,000","6,259,000","17,819,000","12,466,000","17,566,000","17,812,000","14,538,000","7,235,000","12,126,000","11,677,000","11,131,000","9,673,000","10,418,000","11,199,000","10,472,000","9,616,000","9,350,000","9,528,000","9,437,000","8,987,000","8,525,000","7,506,000","8,304,000","7,834,000","7,534,000","6,879,000","8,028,000","6,709,000","2,639,000","6,327,000","3,587,000","5,445,000","6,415,000","6,041,000","5,993,000","5,867,000","5,989,000","5,906,000","5,497,000","6,236,000","5,518,000","5,547,000","4,486,000","4,964,000","4,226,000","4,323,000","4,167,000","3,634,000","3,238,000","2,603,000","1,805,000","1,383,000","2,014,000","1,778,000","1,445,000","1,419,000","1,563,000","1,373,000","1,145,000","459,000","639,000","754,000","785,000"
		NetIncomeIncludingNoncontrollingInterests,"198,653,000","46,250,000","41,656,000","52,743,000","58,002,000","72,631,000","53,891,000","50,715,000","37,222,000","27,605,000","35,949,000","39,400,000","36,242,000","32,082,000","36,440,000","39,252,000","36,138,000","25,943,000","13,286,000","28,595,000","27,917,000","22,992,000","19,843,000","25,833,000","7,879,000","18,661,000","12,969,000","18,494,000","18,978,000","15,224,000","7,784,000","12,986,000","12,555,000","11,605,000","10,026,000","11,176,000","12,010,000","11,036,000","9,822,000","9,895,000","10,237,000","9,651,000","8,978,000","8,807,000","6,629,000","8,394,000","7,874,000","7,797,000","7,270,000","7,976,000","6,766,000","7,295,000","6,424,000","6,267,000","5,461,000","6,430,000","6,070,000","6,002,000","5,855,000","5,989,000","5,906,000","5,497,000","6,236,000","5,518,000","5,547,000","4,486,000","4,964,000","4,226,000","4,323,000","4,167,000","3,634,000","3,238,000","2,603,000","1,805,000","1,383,000","2,014,000","1,778,000","1,445,000","1,419,000","1,563,000","1,373,000","1,145,000","459,000","639,000","754,000","785,000"
			NetIncomeContinuousOperations,"198,653,000","46,250,000","41,656,000","52,743,000","58,002,000","72,631,000","53,891,000","50,715,000","37,222,000","27,605,000","35,949,000","39,400,000","36,242,000","32,082,000","36,440,000","39,252,000","36,138,000","25,943,000","13,286,000","28,595,000","27,917,000","22,992,000","19,843,000","25,833,000","7,879,000","18,661,000","12,969,000","18,494,000","18,978,000","15,224,000","7,784,000","12,986,000","12,555,000","11,605,000","10,026,000","11,176,000","12,010,000","11,036,000","9,822,000","9,895,000","10,237,000","9,651,000","8,978,000","8,807,000","6,629,000","8,394,000","7,874,000","7,797,000","7,270,000","7,976,000","6,766,000","7,295,000","6,424,000","6,267,000","5,461,000","6,430,000","6,070,000","6,002,000","5,855,000","5,989,000","5,906,000","5,497,000","6,236,000","5,518,000","5,547,000","4,486,000","4,964,000","4,226,000","4,323,000","4,167,000","3,634,000","3,238,000","2,603,000","1,805,000","1,383,000","2,014,000","1,778,000","1,445,000","1,419,000","1,563,000","1,373,000","1,145,000","459,000","639,000","754,000","785,000"
		MinorityInterests,"-6,679,000","-664,000","-1,474,000","-2,343,000","-2,199,000","-3,636,000","-3,809,000","-16,251,000","-2,617,000","-1,221,000","-873,000","-1,741,000","-1,604,000","-673,000","-450,000","-959,000","-1,334,000","-1,238,000","-953,000","-1,445,000","-1,704,000","-1,024,000","-847,000","-1,657,000","-1,620,000","-842,000","-503,000","-928,000","-1,166,000","-686,000","-549,000","-860,000","-878,000","-474,000","-353,000","-758,000","-811,000","-564,000","-206,000","-545,000","-709,000","-214,000","9,000","-282,000","877,000","-90,000","-40,000","-263,000","-391,000","52,000","-57,000","-174,000","-97,000","336,000","-16,000","-15,000","-29,000","-9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
