name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
	CashFlowFromContinuingInvestingActivities,"916,085,000","-69,713,000","962,283,000","228,781,000","-205,266,000","-34,819,000","-5,610,000","66,836,000","-78,699,000","-1,878,000","25,235,000","54,652,000","-144,910,000","-340,852,000","-22,506,000","-148,294,000","-28,910,000","-38,525,000","-39,980,000","-25,401,000","-38,095,000","-48,588,000","-50,001,000","-59,290,000","-50,697,000","-56,013,000","-47,943,000","-58,286,000","-48,684,000","-45,968,000","-1,087,000","-29,838,000","-53,825,000","-76,260,000","-67,956,000","-40,486,000","-53,291,000","-10,765,000","-57,289,000","-23,983,000","-39,059,000","-11,215,000","-27,968,000","-25,026,000","-19,368,000","-11,915,000","-20,095,000","-42,457,000","-35,219,000","-14,035,000","-5,438,000","-5,259,000","-44,400,000","-3,324,000","-283,000","-2,053,000"
		CapitalExpenditureReported,"-26,748,000","-6,784,000","-7,523,000","-5,595,000","-6,846,000","-8,911,000","-7,262,000","-9,927,000","-6,144,000","-6,085,000","-7,213,000","-5,522,000","-5,070,000","-4,586,000","-4,375,000","-11,316,000","-43,663,000","-35,173,000","-37,982,000","-25,113,000","-28,762,000","-21,729,000","-20,708,000","-41,969,000","-65,834,000","-49,781,000","-35,012,000","-57,803,000","-66,166,000","-45,737,000","-27,429,000","-59,204,000","-54,799,000","-27,214,000","-19,780,000","-21,160,000","-23,304,000","-14,704,000","-24,034,000","-23,165,000","-33,578,000","-16,876,000","-19,030,000","-23,239,000","-23,608,000","-14,668,000","-23,032,000","-17,240,000","-10,764,000","-11,591,000","-5,879,000","-7,770,000","-6,611,000","-4,500,000",,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,"0","0","-156,000","-174,000","-216,000","-778,000","-1,476,000","-7,898,000","-18,851,000","-17,107,000","-17,051,000","-7,718,000",,,,,"0","0","0","0","-3,333,000","-4,273,000","-5,498,000","-1,438,000","-6,405,000",,,,,,,,,"0",,,"0","0",,,,"-2,032,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,"0","0","-156,000","-174,000","-216,000","-778,000","-1,476,000","-7,898,000","-18,851,000","-17,107,000","-17,051,000","-7,718,000",,,,,"0","0","0","0","-3,333,000","-4,273,000","-5,498,000","-1,438,000","-6,405,000",,,,,,,,,,,,"0","0",,,,"-2,032,000"
		NetIntangiblesPurchaseAndSale,"-520,000","-95,000","-106,000","-138,000","-181,000","-90,000","-286,000","-91,000","-91,000","-56,000","-69,000","37,000","-71,000","-157,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfIntangibles,"-520,000","-95,000","-106,000","-138,000","-181,000","-90,000","-286,000","-91,000","-91,000","-56,000","-69,000","37,000","-71,000","-157,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,,,,,,,,,,"0","0","0","-361,184,000","0",,,,"0","685,000","0","0","0","0","0","1,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfBusiness,,,,,,,,,,,"0","0","0","-361,184,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,,,,,"0",,,,"0","685,000","0","0","0","0","0","1,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-26,559,000","-62,834,000","0","44,514,000","-8,239,000","-25,818,000","1,938,000","1,854,000","2,536,000","4,263,000","-7,483,000","137,000","145,000","54,980,000","-938,000","7,375,000","14,909,000","-3,178,000","-1,782,000","-195,000","-7,857,000","-18,961,000","-10,442,000","-214,000","32,188,000","-764,000","652,000","-483,000","17,482,000","-231,000","26,342,000","29,366,000","-61,737,000","13,665,000","-145,968,000","30,768,000",,,,,,,"0","0","0","0","2,937,000","-25,217,000","-24,455,000","-2,444,000","441,000","2,511,000","-2,284,000","1,176,000","2,076,000","-21,000"
