name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020
MarketCap,"15,102,461,132","14,232,901,954","16,438,125,231","14,164,022,971","8,952,405,828","7,527,672,781","7,576,624,624","6,605,778,923"
EnterpriseValue,"26,226,061,132","25,705,601,954","28,014,725,231","26,425,722,971","21,702,305,828","20,173,372,781","19,941,424,624","19,253,178,923"
PeRatio,"10.522","17.047","28.61","24.288","13.054","9.512","10.146","6.608"
ForwardPeRatio,"10.091","10.194","13.793","12.707","9.285","7.698","10.02","7.452"
PegRatio,"2.012","2.486","1.725","1.588","1.16","0.963","1.252","0.932"
PsRatio,"0.188","0.206","0.266","0.256","0.159","0.112","0.113","0.099"
PbRatio,"4.993","6.16","8.387","8.34","6.76","5.476","5.046","5.528"
EnterprisesValueRevenueRatio,"0.365","1.479","1.675","1.601","1.02","1.279","1.294","1.222"
EnterprisesValueEBITDARatio,"5.389","20.642","23.956","25.718","15.239","50.021","26.013","19.14"
