name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
TotalAssets,"2,743,003,000","2,855,942,000","2,847,132,000","2,778,182,000","2,909,572,000","2,999,648,000","2,895,147,000","3,198,094,000","2,921,166,000","2,675,059,000","2,098,446,000","2,072,271,000","2,092,614,000","2,144,614,000","2,097,414,000","2,095,712,000","2,100,150,000","2,113,321,000","2,123,093,000","2,120,479,000","2,070,787,000","2,109,859,000","2,132,063,000","2,091,096,000","2,069,350,000","2,043,126,000","2,094,351,000","2,189,595,000","2,134,853,000","2,097,034,000","2,029,973,000","1,983,612,000","2,106,025,000","2,060,133,000","1,950,086,000","1,925,847,000","1,892,069,000","1,969,931,000","2,065,800,000","1,813,501,000","1,789,932,000","1,792,698,000","1,728,600,000","1,725,463,000","1,707,024,000","1,670,440,000","1,589,412,000","1,517,064,000","1,531,527,000","1,529,702,000","1,490,732,000","1,464,897,000","1,433,174,000","1,488,840,000","1,527,023,000","1,495,775,000","1,431,751,000","1,439,570,000","1,404,503,000","1,360,383,000","1,360,504,000","1,310,751,000","1,338,841,000","1,292,135,000"
	CurrentAssets,"1,301,681,000","1,415,530,000","1,383,575,000","1,329,111,000","1,466,450,000","1,545,878,000","1,433,097,000","1,763,342,000","1,449,039,000","1,189,041,000","1,163,553,000","1,160,448,000","1,174,142,000","1,217,863,000","1,155,083,000","1,164,507,000","1,154,161,000","1,163,675,000","1,170,503,000","1,180,240,000","1,126,537,000","1,162,921,000","1,172,827,000","1,159,145,000","1,144,393,000","1,129,982,000","1,187,102,000","1,278,728,000","1,241,403,000","1,183,768,000","1,104,149,000","1,049,794,000","1,178,029,000","1,126,637,000","1,015,817,000","1,009,614,000","988,613,000","1,060,057,000","1,163,907,000","929,385,000","901,330,000","908,515,000","879,148,000","862,351,000","840,550,000","808,327,000","794,775,000","736,618,000","734,415,000","727,653,000","715,918,000","771,330,000","749,447,000","794,364,000","805,646,000","756,633,000","728,341,000","748,066,000","712,187,000","688,125,000","693,875,000","684,280,000","770,289,000","724,405,000"
		CashCashEquivalentsAndShortTermInvestments,"227,413,000","298,140,000","400,959,000","270,317,000","408,321,000","537,644,000","514,151,000","838,811,000","364,414,000","67,262,000","71,495,000","57,855,000","89,777,000","102,771,000","77,295,000","76,855,000","68,056,000","79,312,000","63,759,000","54,100,000","49,119,000","94,410,000","86,622,000","90,997,000","88,548,000","67,447,000","140,038,000","239,145,000","246,027,000","190,681,000","106,575,000","46,329,000","202,451,000","157,924,000","47,115,000","53,444,000","62,256,000","147,997,000","240,220,000","53,974,000","64,810,000","71,525,000","63,481,000","52,717,000","59,102,000","38,381,000","59,494,000","28,303,000","37,420,000","31,789,000","54,447,000","105,942,000","104,678,000","112,617,000","99,788,000","33,724,000","31,420,000","43,147,000","38,272,000","32,339,000","33,982,000","31,381,000","107,571,000","77,028,000"
			CashAndCashEquivalents,"227,413,000","298,140,000","400,959,000","270,317,000","408,321,000","537,644,000","514,151,000","838,811,000","364,414,000","67,262,000","71,495,000","57,855,000","89,777,000","102,771,000","77,295,000","76,855,000","68,056,000","79,312,000","63,759,000","54,100,000","49,119,000","94,410,000","86,622,000","90,997,000","88,548,000","67,447,000","140,038,000","239,145,000","246,027,000","190,681,000","106,575,000","46,329,000","202,451,000","157,924,000","47,115,000","53,444,000","62,256,000","147,997,000","240,220,000","53,974,000","64,810,000","71,525,000","63,481,000","52,717,000","59,102,000","38,381,000","59,494,000","28,303,000","37,420,000","31,789,000","54,447,000","105,942,000","104,678,000","112,617,000","99,788,000","33,724,000","31,420,000","43,147,000","38,272,000","32,339,000","33,982,000","31,381,000","107,571,000","77,028,000"
		Receivables,"60,715,000","66,156,000","66,581,000","76,439,000","66,156,000","67,950,000","56,429,000","60,303,000","87,333,000","94,657,000","104,539,000","96,996,000","91,427,000","91,776,000","90,490,000","94,585,000","98,755,000","96,958,000","92,241,000","88,407,000","78,679,000","78,681,000","83,983,000","84,464,000","80,939,000","80,935,000","91,092,000","87,248,000","81,325,000","87,651,000","98,500,000","95,624,000","90,409,000","92,835,000","101,176,000","112,610,000","113,201,000","99,401,000","125,490,000","100,901,000","93,073,000","94,962,000","95,526,000","95,274,000","97,096,000","90,791,000","84,499,000","82,096,000","80,652,000","80,725,000","67,739,000","63,403,000","67,752,000","71,109,000","67,173,000","72,273,000","69,895,000","74,984,000","73,603,000","65,863,000","65,765,000","69,812,000","66,690,000","65,384,000"
			AccountsReceivable,"28,615,000","29,588,000","32,623,000","44,660,000","39,294,000","40,046,000","35,590,000","42,818,000","42,802,000","41,142,000","43,136,000","44,680,000","41,976,000","43,649,000","48,417,000","48,682,000","48,991,000","49,580,000","46,986,000","46,994,000","44,801,000","43,755,000","46,942,000","48,925,000","46,409,000","44,376,000","48,602,000","50,401,000","46,064,000","46,916,000","51,797,000","54,199,000","49,830,000","52,716,000","57,049,000","59,912,000","56,859,000","53,869,000","59,496,000","58,715,000","56,000,000","94,962,000","95,526,000","62,775,000","57,828,000","54,326,000","54,989,000","52,172,000","48,024,000","44,434,000","43,649,000","39,234,000","36,391,000","39,812,000","44,481,000","46,791,000","46,131,000","47,724,000","51,409,000","47,337,000","46,088,000","46,359,000","45,462,000","45,658,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,101,000","58,374,000","97,117,000","97,612,000","65,216,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,386,000","-2,374,000","-2,155,000","-2,086,000","-2,441,000",,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,931,000","13,118,000","15,782,000","1,168,000","23,734,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"32,100,000","36,568,000","33,958,000","31,779,000","26,862,000","27,904,000","20,839,000","17,485,000","44,531,000","53,515,000","61,403,000","52,316,000","49,451,000","48,127,000","42,073,000","45,903,000","49,764,000","47,378,000","45,255,000","41,413,000","33,878,000","34,926,000","37,041,000","35,539,000","34,530,000","36,559,000","42,490,000","36,847,000","35,261,000","40,735,000","46,703,000","41,425,000","40,579,000","40,119,000","39,196,000","39,580,000","40,560,000","44,364,000","42,260,000","42,186,000","37,073,000",,,"32,499,000","39,268,000","36,465,000","29,510,000","29,924,000","32,628,000","36,291,000","24,090,000","24,169,000","31,361,000","31,297,000","22,692,000","25,482,000","23,764,000","27,260,000","22,194,000","18,526,000","19,677,000","23,453,000","21,228,000","19,726,000"
