name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995
		Inventory,"88,155,000","262,033,000","213,167,000","145,271,000","93,677,000","182,118,000","187,910,000","142,090,000","94,172,000","201,512,000","184,278,000","146,710,000","72,733,000","256,604,000","198,543,000","150,169,000","85,112,000","216,568,000","214,007,000","213,026,000","154,708,000","230,983,000","217,029,000","169,474,000","127,564,000","197,815,000","171,043,000","124,872,000","79,689,000","277,296,000","285,681,000","228,790,000","149,856,000","296,533,000","328,811,000","297,848,000","180,234,000","328,049,000","273,056,000","223,269,000","182,950,000","300,062,000","301,870,000","255,023,000","200,987,000","371,593,000","342,233,000","285,268,000","180,030,000","337,586,000","303,490,000","203,966,000","68,577,000","375,604,000","483,659,000","370,535,000","250,542,000","410,261,000","444,201,000","392,654,000","309,543,000","490,973,000","516,541,000","429,303,000","277,900,000","322,138,000","258,766,000","224,421,000","167,574,000","266,890,000","278,386,000","213,254,000","88,380,000","198,829,000","191,433,000","156,551,000","65,676,000","116,099,000","89,122,000","70,182,000","45,270,000","69,221,000","73,022,000","49,137,000","16,329,000","13,566,000","67,348,000","26,141,000","10,326,000","34,964,000","39,435,000","20,400,000","12,700,000","41,800,000","56,600,000","44,600,000","23,000,000","43,200,000","39,600,000","19,500,000","14,900,000","42,400,000","46,800,000","28,800,000","13,400,000","26,800,000","35,100,000","21,700,000"
			OtherInventories,"66,300,000","242,692,000","193,606,000","125,824,000","74,853,000","163,169,000","167,504,000","123,962,000","76,353,000","186,895,000","169,803,000","132,635,000","58,436,000","241,389,000","184,633,000","136,284,000","71,169,000","203,447,000","202,063,000","201,682,000","143,514,000","220,097,000","206,251,000","159,073,000","117,490,000","189,907,000","163,905,000","117,115,000","71,402,000","269,420,000","277,516,000","219,859,000","139,021,000","283,356,000","314,477,000","280,118,000","167,663,000","315,945,000","265,193,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"17,801,000","38,363,000","59,377,000","43,353,000","18,161,000","24,542,000","30,940,000","33,246,000","10,973,000","29,977,000","22,602,000","24,533,000","971,000","10,588,000","23,047,000","47,017,000","14,395,000","39,581,000","24,764,000","55,919,000","15,528,000","26,391,000","34,179,000","37,719,000","3,354,000","64,616,000","36,810,000","23,736,000","1,462,000","7,425,000","22,269,000","24,607,000","431,000","12,060,000","42,645,000","25,863,000","1,033,000","10,525,000","32,029,000","68,300,000","23,803,000","60,256,000","54,311,000","40,622,000","2,305,000","11,982,000","55,880,000","50,383,000","4,075,000","21,108,000","37,886,000","35,660,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"49,901,000","42,716,000","72,840,000","56,234,000","45,916,000","48,105,000","69,444,000","52,212,000","23,946,000","43,112,000","73,723,000","44,827,000","60,534,000","85,784,000","53,719,000","53,141,000","59,970,000","52,850,000","25,827,000","20,143,000","23,604,000","79,118,000","47,644,000","57,606,000","34,156,000","21,334,000","12,990,000","23,873,000","44,046,000","19,761,000","27,339,000","27,904,000","38,490,000","59,313,000","6,581,000","1,350,000","42,930,000","8,741,000","21,929,000","42,915,000","66,515,000",,,,,,,"5,453,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,296,000","25,487,000","19,348,000","14,767,000","36,451,000","21,983,000","11,859,000","12,785,000","8,432,000","22,033,000","26,358,000","10,850,000","29,074,000","6,860,000","0","0","1,498,000","7,151,000","7,532,000",,"0","0","297,000","10,984,000","20,801,000","17,882,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,296,000","25,487,000","19,348,000","14,767,000","36,451,000","21,983,000","11,859,000","12,785,000","8,432,000","22,033,000","26,358,000","10,850,000","29,074,000","6,860,000","0","0","1,498,000","7,151,000","7,532,000",,"0","0","297,000","10,984,000","20,801,000","17,882,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,"0","0","0","207,737,000","206,905,000","206,898,000","224,898,000",,"0","0","0","7,660,000","7,660,000",,,,,,,,"0","0","0","0","5,428,000","5,421,000",,,,,,,,"1,579,000","9,995,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"21,586,000","39,783,000","35,251,000","17,504,000","17,433,000","33,087,000","23,310,000","29,367,000","35,428,000","48,552,000","25,103,000","28,337,000","22,712,000","55,358,000","27,396,000","23,192,000","26,897,000","46,299,000","30,081,000","24,718,000","32,103,000","50,215,000","29,964,000","40,147,000","54,803,000","58,978,000","40,743,000","38,291,000","60,013,000","142,338,000","64,223,000","52,619,000","45,182,000","34,843,000","53,327,000","65,478,000","42,152,000","45,498,000","48,021,000","54,479,000","103,506,000","119,626,000","100,338,000","59,018,000","84,765,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"56,574,000","61,171,000","50,353,000","54,578,000","40,542,000","58,664,000","57,559,000","76,520,000","80,346,000","46,140,000","63,599,000","63,531,000","54,517,000","58,763,000","52,027,000","52,833,000","49,711,000","75,773,000","84,051,000","92,477,000","78,853,000","78,334,000","89,705,000","59,524,000","67,061,000","60,607,000","65,245,000","57,097,000","68,942,000","69,632,000","52,773,000","57,962,000","44,573,000","50,288,000","55,325,000","38,765,000","47,195,000","49,462,000","65,963,000","68,520,000","99,472,000","97,886,000","54,923,000","55,880,000","55,934,000","202,062,000","218,573,000","150,852,000","239,465,000","34,716,000","181,329,000","249,659,000","377,530,000","342,245,000","351,412,000","447,413,000","306,500,000","189,885,000","212,352,000","203,700,000","154,457,000","298,249,000","300,505,000","176,831,000","166,168,000","226,849,000","428,768,000","125,889,000","109,645,000","172,156,000","250,236,000","157,218,000","130,170,000","176,317,000","131,527,000","125,745,000","95,404,000","105,151,000","102,223,000","106,999,000","102,667,000","77,673,000","98,595,000","114,510,000","98,220,000","112,184,000","29,358,000","11,576,000","24,283,000","28,021,000","25,447,000","27,600,000","29,400,000","33,400,000","51,700,000","49,800,000","28,400,000","18,100,000","46,900,000","61,000,000","29,800,000","56,300,000","48,500,000","44,000,000","17,800,000","27,900,000","120,100,000","45,900,000"
	TotalNonCurrentAssets,"5,313,968,000","5,220,835,000","5,088,004,000","4,890,360,000","4,889,906,000","4,787,701,000","4,947,470,000","4,761,006,000","4,654,325,000","4,402,555,000","3,861,379,000","3,613,441,000","3,484,788,000","3,427,413,000","3,373,584,000","3,240,495,000","3,146,115,000","3,360,849,000","3,349,063,000","3,240,376,000","3,179,402,000","3,134,443,000","3,119,818,000","3,028,072,000","2,959,733,000","2,888,299,000","2,794,527,000","2,647,122,000","2,587,742,000","2,544,230,000","2,476,073,000","2,410,452,000","2,325,151,000","2,298,497,000","2,258,885,000","2,240,924,000","2,179,097,000","2,177,224,000","2,122,661,000","2,031,102,000","1,995,063,000","1,981,816,000","1,917,077,000","1,832,289,000","1,792,136,000","1,793,081,000","1,778,125,000","1,677,391,000","1,680,884,000","1,643,474,000","1,636,841,000","1,590,587,000","1,633,369,000","1,614,880,000","1,515,726,000","1,474,566,000","1,400,876,000","1,430,633,000","1,430,879,000","1,419,802,000","1,420,744,000","1,431,494,000","1,433,412,000","1,324,677,000","1,303,045,000","1,277,901,000","1,257,038,000","1,256,964,000","1,216,611,000","1,209,510,000","1,169,584,000","1,157,031,000","1,134,973,000","1,128,964,000","1,121,256,000","974,420,000","953,475,000","936,591,000","953,346,000","928,083,000","899,413,000","905,122,000","930,440,000","902,241,000","875,583,000","883,423,000","884,180,000","850,179,000","824,551,000","817,826,000","810,767,000","781,200,000","771,600,000","792,100,000","781,500,000","764,300,000","734,900,000","754,900,000","738,700,000","707,800,000","721,700,000","715,100,000","715,200,000","699,300,000","691,900,000","674,200,000","640,500,000","684,700,000"
