name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalAssets,"1,157,185,000","1,119,349,000","1,049,984,000","1,055,872,000","1,024,742,000","1,057,476,000","1,090,681,000","1,125,526,000","1,190,048,000","1,104,271,000","1,161,933,000","1,114,675,000","1,091,360,000","1,049,532,000","1,040,565,000","1,050,003,000","1,051,253,000","1,036,928,000","1,077,797,000","1,093,485,000","1,292,294,000","1,153,215,000","1,161,094,000","1,142,557,000","1,127,554,000","1,164,160,000","1,272,144,000","1,284,507,000","1,281,741,000","1,155,914,000","1,130,562,000","929,541,000","867,840,000","885,600,000","820,012,000","790,326,000","776,075,000","787,850,000","777,340,000","748,306,000","767,550,000","786,644,000","755,299,000","754,018,000","789,005,000","788,983,000","732,784,000","728,603,000","733,821,000","754,215,000","761,288,000","777,135,000","772,803,000","779,597,000","767,724,000","499,503,000","472,984,000","443,213,000","420,761,000","335,075,000","314,493,000","199,444,000","190,576,000","155,459,000","132,727,000","129,699,000","115,402,000","100,156,000","82,785,000","83,219,000","55,548,791","48,931,823"
	CurrentAssets,"274,197,000","257,682,000","233,343,000","235,645,000","205,216,000","237,014,000","259,832,000","297,962,000","359,405,000","224,736,000","280,436,000","233,205,000","216,509,000","232,931,000","208,144,000","209,866,000","206,138,000","191,295,000","187,241,000","188,651,000","196,785,000","180,082,000","184,567,000","173,195,000","180,728,000","229,589,000","256,861,000","270,235,000","265,177,000","486,159,000","463,452,000","277,905,000","243,474,000","272,514,000","233,101,000","204,465,000","190,969,000","200,372,000","191,598,000","174,567,000","194,187,000","211,524,000","198,067,000","170,998,000","205,443,000","200,614,000","182,047,000","179,211,000","176,414,000","192,783,000","234,634,000","182,687,000","177,690,000","179,055,000","212,658,000","182,682,000","183,154,000","155,712,000","168,811,000","139,812,000","125,722,000","106,409,000","101,559,000","88,145,000","94,200,000","97,755,000","84,758,000","69,179,000","71,218,000","72,138,000","45,042,764","39,424,351"
		CashCashEquivalentsAndShortTermInvestments,"9,748,000","20,781,000","11,189,000","12,982,000","21,623,000","67,177,000","74,745,000","83,212,000","151,009,000","11,604,000","49,410,000","9,177,000","8,526,000","33,107,000","9,025,000","10,452,000","6,436,000","16,909,000","8,660,000","13,592,000","12,667,000","17,027,000","9,103,000","6,700,000","13,457,000","58,437,000","13,462,000","16,828,000","7,183,000","256,872,000","225,913,000","9,218,000","21,641,000","58,131,000","30,781,000","4,608,000","5,749,000","25,162,000","3,212,000","5,772,000","3,963,000","5,080,000","1,473,000","3,258,000","4,413,000","6,271,000","6,280,000","3,088,000","893,000","5,715,000","26,731,000","5,627,000","9,566,000","14,106,000","14,545,000","14,335,000","14,277,000","2,993,000","3,742,000","3,437,000","6,336,000","16,572,000","943,000","3,381,000","16,177,000","31,820,000","21,875,000","15,099,000","20,599,000","28,092,000","5,922,094","943,054"
			CashAndCashEquivalents,"9,748,000","20,781,000","11,189,000","12,982,000","21,623,000","67,177,000","74,745,000","83,212,000","151,009,000","11,604,000","49,410,000","9,177,000","8,526,000","33,107,000","9,025,000","10,452,000","6,436,000","16,909,000","8,660,000","13,592,000","12,667,000","17,027,000","9,103,000","6,700,000","13,457,000","58,437,000","13,462,000","16,828,000","7,183,000","256,872,000","225,913,000","9,218,000","21,641,000","58,131,000","30,781,000","4,608,000","5,749,000","25,162,000","3,212,000","5,772,000","3,963,000","5,080,000","1,473,000","3,258,000","4,413,000","6,271,000","6,280,000","3,088,000","893,000","5,715,000","26,731,000","5,627,000","9,566,000","14,106,000","14,545,000","14,335,000","14,277,000","2,993,000","3,742,000","3,437,000","6,336,000","16,572,000","943,000","3,381,000","16,177,000","31,820,000","21,875,000","15,099,000","20,599,000","28,092,000","5,922,094","943,054"
		Receivables,"247,315,000","221,672,000","208,530,000","208,021,000","168,629,000","153,268,000","173,234,000","200,887,000","195,087,000","198,884,000","216,815,000","209,262,000","194,387,000","185,902,000","185,791,000","185,862,000","186,069,000","163,435,000","163,475,000","158,188,000","169,428,000","149,747,000","162,692,000","150,540,000","152,384,000","142,230,000","211,209,000","219,328,000","229,619,000","198,157,000","203,299,000","241,495,000","200,931,000","179,145,000","167,153,000","170,737,000","161,675,000","144,684,000","162,945,000","142,053,000","167,004,000","127,426,000","109,188,000","94,559,000","108,845,000","123,285,000","84,989,000","93,695,000","99,075,000","109,454,000","109,487,000","88,706,000","89,791,000","91,567,000","169,789,000","141,089,000","143,033,000","128,604,000","131,370,000","101,891,000","90,718,000","68,112,000","79,094,000","64,806,000","56,016,000","47,583,000","48,920,000","41,111,000","37,997,000","33,074,000","32,358,130","34,183,188"
			AccountsReceivable,"116,527,000","122,316,000","111,548,000","116,091,000","87,146,000","86,966,000","94,644,000","117,632,000","105,379,000","116,571,000","116,318,000","116,665,000","104,674,000","109,677,000","108,747,000","105,095,000","106,046,000","101,778,000","94,025,000","93,083,000","96,262,000","94,246,000","88,387,000","72,320,000","71,314,000","85,297,000","123,984,000","118,013,000","115,492,000","98,640,000","102,354,000","136,149,000","100,217,000","123,750,000","82,007,000","90,671,000","101,549,000","97,206,000","104,037,000","86,066,000","108,173,000","107,820,000","107,240,000","86,045,000","74,184,000","118,389,000","76,243,000","82,748,000","73,520,000","90,543,000","109,129,000","86,412,000","87,496,000","88,071,000","163,320,000","133,453,000","129,037,000","115,112,000","127,273,000","100,240,000","90,718,000","64,475,000","76,584,000","61,714,000","34,770,000","29,164,000","27,388,000","25,682,000","22,914,000","32,580,000","30,646,696","34,183,188"
				GrossAccountsReceivable,"123,652,000","131,143,000","119,784,000","124,900,000","95,610,000","94,646,000","103,164,000","126,538,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,125,000","-8,827,000","-8,236,000","-8,809,000","-8,464,000","-7,680,000","-8,520,000","-8,906,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"4,997,000","8,071,000","2,120,000","1,811,000","4,403,000","5,121,000","244,000","323,000","748,000","2,376,000","713,000","846,000","3,209,000","6,612,000","1,754,000","2,540,000","4,073,000","4,039,000","4,018,000","2,988,000","5,626,000","4,211,000","2,711,000","0","7,618,000","406,000","4,778,000","5,067,000","8,413,000","8,125,000","7,044,000","11,322,000","11,059,000","270,000","2,765,000","2,271,000","1,003,000","192,000","42,000","7,419,000","17,073,000","19,501,000","1,948,000","8,514,000","7,661,000","4,896,000","8,746,000","10,947,000","25,555,000","18,911,000","358,000","2,294,000","2,295,000","3,496,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,"125,791,000","91,285,000","94,862,000","90,119,000","77,080,000","61,181,000","78,346,000","82,932,000","88,960,000","79,937,000","99,784,000","91,751,000","86,504,000","69,613,000","75,290,000","78,227,000","75,950,000","57,618,000","65,432,000","62,117,000","67,540,000","51,290,000","71,594,000","78,220,000","73,452,000","56,527,000","82,447,000","96,248,000","105,714,000","91,392,000","93,901,000","94,024,000","89,655,000","55,125,000","82,381,000","77,795,000","59,123,000","47,286,000","58,866,000","48,568,000","41,758,000","105,000",,,"27,000,000",,,,,,,,,,"6,469,000","7,636,000","13,996,000","13,492,000","4,097,000","1,651,000",,"3,637,000","2,510,000","3,092,000","21,246,000","18,419,000","21,532,000","15,429,000","15,083,000","494,000","1,711,434",
