name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0"
OperatingExpense,"3,530,862","656,192","1,784,718","674,013","415,938","185,484","-3","938","359"
	SellingGeneralAndAdministration,"3,317,176","606,192","1,730,172","619,468","361,343","147,655","-3","938","359"
		GeneralAndAdministrativeExpense,"3,317,176","606,192","1,730,172","619,468","361,343","147,655","-3","938","359"
			OtherGandA,"3,317,176","606,192","1,730,172","619,468","361,343","147,655","-3","938","359"
	OtherTaxes,"213,686","50,000","54,546","54,545","54,595","37,829",,"0","0"
OperatingIncome,"-3,530,862","-656,192","-1,784,718","-674,013","-415,938","-185,484","3","-938","-359"
NetNonOperatingInterestIncomeExpense,"30,004","7,399","7,480","7,563","7,562","411",,"0","0"
	InterestIncomeNonOperating,"30,004","7,399","7,480","7,563","7,562","411",,"0","0"
OtherIncomeExpense,"-21,330,461","-9,447,625","-15,621,541","1,529,356","2,209,348","-2,988,177",,,
	GainOnSaleOfSecurity,"-21,330,461","-9,447,625","-15,621,541","1,529,356","2,209,348","-2,988,177",,,
PretaxIncome,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
NetIncomeCommonStockholders,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
	NetIncome,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
		NetIncomeIncludingNoncontrollingInterests,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
			NetIncomeContinuousOperations,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
DilutedNIAvailtoComStockholders,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
BasicEPS,,"-0.26",,"0.023","0.048","-0.083",,"-0","-0"
DilutedEPS,,"-0.26",,"0.023","0.048","-0.083",,"-0","-0"
BasicAverageShares,,"37,500,000",,"37,500,000","37,500,000","38,162,500",,"19,833,333","19,833,333"
DilutedAverageShares,,"37,500,000",,"37,500,000","37,500,000","38,162,500",,"19,833,333","19,833,333"
TotalOperatingIncomeAsReported,"-3,530,862","-656,192","-1,784,718","-674,013","-415,938","-185,484",,"-938","-359"
TotalExpenses,"3,530,862","656,192","1,784,718","674,013","415,938","185,484","-3","938","359"
NetIncomeFromContinuingAndDiscontinuedOperation,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
NormalizedIncome,"-3,500,858","-648,793","-1,777,238","-253,523.88","188,147.96","-185,073","3","-938","-359"
InterestIncome,"30,004","7,399","7,480","7,563","7,562","411",,"0","0"
NetInterestIncome,"30,004","7,399","7,480","7,563","7,562","411",,"0","0"
EBIT,"-3,530,862","-656,192","-1,784,718","-674,013","-415,938","-185,484","3","-938","-359"
EBITDA,"-3,530,862"
NetIncomeFromContinuingOperationNetMinorityInterest,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
TotalUnusualItemsExcludingGoodwill,"-21,330,461","-9,447,625","-15,621,541","1,529,356","2,209,348","-2,988,177",,,
TotalUnusualItems,"-21,330,461","-9,447,625","-15,621,541","1,529,356","2,209,348","-2,988,177",,,
NormalizedEBITDA,"17,799,599","8,791,433","13,836,823","-2,203,369","-2,625,286","2,802,693","3","-938","-359"
TaxRateForCalcs,"0","0","0","0.27","0.27","0","0.27","0","0"
TaxEffectOfUnusualItems,"0","0","0","412,926.12","596,523.96","0","0","0","0"
