name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
OperatingCashFlow,"759,134,000","215,741,000","115,351,000","255,098,000","172,944,000","206,095,000","107,321,000","182,115,000","269,382,000","-683,417,000","131,618,000","270,415,000","152,960,000","155,663,000","83,838,000","199,148,000","32,403,000","20,838,000","-89,267,000","53,123,000","116,794,000","-173,638,000","94,378,000","95,271,000","17,572,000","97,535,000","70,009,000","7,723,000","13,390,000","-4,586,000","44,720,000","27,787,000","-14,557,000","-31,694,000","-11,689,000","-11,950,000","8,081,000","24,738,000","-22,008,000","-27,145,000","8,724,000","-54,401,000","-39,779,000","-46,978,000","-30,736,000","-44,222,000","27,403,000","-29,522,000","-2,766,000","102,823,000","118,585,000","-33,840,000","-29,652,000","-42,735,000","-32,212,000","-38,748,000","-32,518,000","-37,382,000","-27,544,000","-24,028,000","-15,770,000","-25,352,000","-22,182,000","-22,747,000","-21,040,000","15,602,000","-28,019,000","-27,465,000","-20,115,000","-26,273,000","-27,489,000","-24,734,000","-25,935,000","-36,509,000","-19,959,000","-40,000,000","-15,623,000","-42,750,000","-19,602,000","-23,837,000","-8,807,000","-6,020,000","-9,306,000","-24,917,000","-16,661,000","3,880,000","-8,233,000","-26,638,000","11,408,000","16,119,000","-16,700,000","-18,400,000","-18,000,000","31,700,000","-5,800,000","8,900,000","1,400,000","31,700,000","1,500,000","6,300,000","6,000,000","4,900,000","-6,800,000","15,100,000","-3,900,000","11,600,000","-1,500,000","-1,900,000","-3,500,000","-2,100,000","700,000","-2,800,000","-2,300,000","-1,900,000","-1,200,000"
	CashFlowFromContinuingOperatingActivities,"759,134,000","215,741,000","115,351,000","255,098,000","172,944,000","206,095,000","107,321,000","182,115,000","269,382,000","-683,417,000","131,618,000","270,415,000","152,960,000","155,663,000","83,838,000","199,148,000","32,403,000","20,838,000","-89,267,000","53,123,000","116,794,000","-173,638,000","94,378,000","95,271,000","17,572,000","97,535,000","70,009,000","7,723,000","13,390,000","-4,586,000","44,720,000","27,787,000","-14,557,000","-31,694,000","-11,689,000","-11,950,000","8,081,000","24,738,000","-22,008,000","-27,145,000","8,724,000","-54,401,000","-39,779,000","-46,978,000","-30,736,000","-44,222,000","27,403,000","-29,522,000","-2,766,000","102,823,000","118,585,000","-33,840,000","-29,652,000","-42,735,000","-32,212,000","-38,748,000","-32,518,000","-37,382,000","-27,544,000","-24,028,000","-15,770,000","-25,352,000","-22,182,000","-22,747,000","-21,040,000","15,602,000","-28,177,000","-27,465,000","-20,124,000","-26,082,000","-27,091,000","-24,734,000","-25,935,000","-36,509,000","-19,959,000","-40,000,000","-15,623,000","-42,750,000","-19,602,000","-23,837,000","-8,807,000","-6,020,000","-9,306,000","-24,917,000","-16,661,000","3,880,000","-8,233,000","-26,638,000","11,408,000","16,119,000","-16,700,000","-18,400,000","-18,000,000","31,700,000","-5,800,000","8,900,000","1,400,000","31,700,000","1,500,000","6,300,000","6,000,000","4,900,000","-6,800,000","15,100,000","-3,900,000","11,600,000","-1,500,000","-1,900,000","-3,500,000","-2,100,000","700,000","-2,800,000","-2,300,000","-1,900,000","-1,200,000"
		NetIncomeFromContinuingOperations,"933,038,000","37,992,000","563,851,000","181,739,000","149,456,000","53,535,000","149,850,000","-15,203,000","290,298,000","-720,642,000","111,005,000","128,271,000","105,318,000","102,312,000","69,063,000","29,176,000","52,394,000","-41,140,000","-149,629,000","36,054,000","-12,484,000","-187,083,000","8,873,000","36,877,000","34,425,000","24,047,000","55,176,000","-39,582,000","9,296,000","-18,359,000","-36,943,000","59,292,000","-36,873,000","-33,957,000","-42,871,000","-22,036,000","-2,571,000","-15,669,000",,,,,,,"-51,871,000","-26,512,000","32,541,000","-31,702,000","3,044,000","-35,729,000","-88,442,000","-43,357,000","-40,035,000","-40,036,000","-48,405,000","-44,794,000","-45,564,000","-40,157,000","-21,801,000","-24,494,000","-18,439,000","-22,147,000","-20,503,000","-15,837,000","-20,520,000","-17,306,000","-27,556,000","-30,211,000","-25,145,000","-20,131,000","-37,526,000","-25,976,000","-63,600,000","-37,715,000","-40,767,000","-43,012,000","-26,900,000","-55,784,000","-67,492,000","-38,411,000","-17,541,000","-13,441,000","-145,205,000","-17,827,000","-9,891,000","-10,312,000","-10,507,000","-7,598,000","-6,590,000","-8,177,000","-6,400,000","-11,100,000","-7,400,000","-1,900,000","1,500,000","-6,800,000","5,200,000","3,600,000","4,400,000","3,100,000","1,900,000","1,000,000","200,000","-3,300,000","-1,700,000","-2,000,000","-2,200,000","-3,000,000","-2,900,000","-2,000,000","-3,800,000","-3,100,000","-2,500,000","-2,100,000","-1,400,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,"0","0","751,000","54,130,000",,,,,,,,,"0","0","0","265,000","18,156,000","1,491,000","9,786,000","-15,000",,,,,,,,,"-183,000","0","0","3,988,000","34,744,000",,,,,,,,"-15,921,000",,,,"-841,000","-1,303,000","-988,000","-3,150,000","1,189,000","272,000","-2,765,000","384,000","8,900,000","-13,922,000","39,648,000","5,694,000","8,901,000","11,976,000","844,000","31,031,000","20,524,000","9,590,000","879,000","-3,809,000","114,682,000","11,758,000","-8,027,000","-4,371,000","1,033,000","0","1,000,000","-5,134,000","1,100,000","1,800,000","1,100,000","1,400,000","900,000","11,000,000","300,000","600,000",,,,,"0",,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"60,444,000","16,438,000","14,858,000","14,691,000","14,457,000","13,838,000","13,166,000","12,949,000","12,594,000","13,098,000","13,345,000","13,862,000","13,435,000","13,891,000","14,226,000","13,818,000","13,501,000","13,424,000","12,859,000","11,940,000","12,352,000","15,027,000","17,566,000","16,951,000","12,850,000","11,058,000","10,604,000","11,178,000","11,266,000","11,835,000","12,221,000","9,871,000","9,698,000","9,623,000","8,852,000","4,568,000","8,053,000","7,734,000","7,765,000","7,576,000","7,404,000","7,234,000","7,042,000","6,871,000","6,647,000","6,430,000","6,826,000","5,378,000","5,885,000","6,396,000","7,272,000","4,273,000","2,636,000","2,509,000","3,261,000","3,250,000","3,272,000","3,288,000","3,250,000","3,253,000","3,261,000","3,199,000","3,271,000","1,302,000","1,229,000","1,609,000","1,676,000","3,955,000","708,000","1,853,000","2,928,000","4,143,000","3,597,000","3,245,000","4,242,000","4,504,000","4,482,000","4,457,000","6,343,000","5,609,000","4,424,000","6,830,000","8,818,000","13,652,000","12,591,000","12,604,000","8,679,000","9,634,000","8,415,000","8,114,000","7,000,000","5,900,000","6,400,000","5,400,000","5,800,000","4,300,000","4,000,000","3,700,000","3,100,000","2,700,000","2,400,000","2,200,000","2,200,000","2,000,000","1,300,000","1,000,000","900,000","700,000","600,000","400,000","300,000","200,000","200,000","200,000","100,000"
			DepreciationAndAmortization,"60,444,000","16,438,000","14,858,000","14,691,000","14,457,000","13,838,000","13,166,000","12,949,000","12,594,000","13,098,000","13,345,000","13,862,000","13,435,000","13,891,000","14,226,000","13,818,000","13,501,000","13,424,000","12,859,000","11,940,000","12,352,000","15,027,000","17,566,000","16,951,000","12,850,000","11,058,000","10,604,000","11,178,000","11,266,000","11,835,000","12,221,000","9,871,000","9,698,000","9,623,000","8,852,000","4,568,000","8,053,000","7,734,000","7,765,000","7,576,000","7,404,000","7,234,000","7,042,000","6,871,000","6,647,000","6,430,000","6,826,000","5,378,000","5,885,000","6,396,000","7,272,000","4,273,000","2,636,000","2,509,000","3,261,000","3,250,000","3,272,000","3,288,000","3,250,000","3,253,000","3,261,000","3,199,000","3,271,000","1,302,000","1,229,000","1,609,000","1,676,000","3,955,000","708,000","1,853,000","2,928,000","4,143,000","3,597,000","3,245,000","4,242,000","4,504,000","4,482,000","4,457,000","6,343,000","5,609,000","4,424,000","6,830,000","8,818,000","13,652,000","12,591,000","12,604,000","8,679,000","9,634,000","8,415,000","8,114,000","7,000,000","5,900,000","6,400,000","5,400,000","5,800,000","4,300,000","4,000,000","3,700,000","3,100,000","2,700,000","2,400,000","2,200,000","2,200,000","2,000,000","1,300,000","1,000,000","900,000","700,000","600,000","400,000","300,000","200,000","200,000","200,000","100,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,"11,058,000","10,604,000","11,178,000","11,266,000","11,835,000","12,221,000","9,871,000","9,698,000","9,623,000","8,852,000","4,568,000","8,053,000","7,734,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-463,568,000","2,106,000","-465,426,000","-18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-463,568,000","2,106,000","-465,426,000","-18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"0",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-1,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"42,948,000","46,585,000","-4,322,000","27,450,000","-26,765,000","27,709,000","509,000","13,207,000","-72,274,000","48,132,000","-15,755,000","-2,339,000","4,625,000","-20,989,000","22,182,000","9,949,000","34,641,000","-22,679,000","21,932,000","-23,045,000","19,574,000","5,814,000","23,758,000","-24,301,000","854,000","2,950,000","466,000","31,289,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"179,489,000","43,841,000","48,222,000","42,694,000","44,732,000","47,358,000","45,261,000","43,800,000","46,303,000","42,513,000","42,023,000","43,359,000","40,615,000","40,592,000","37,323,000","38,001,000","36,605,000","36,224,000","33,768,000","34,929,000","33,745,000","30,613,000","27,603,000","26,527,000","21,302,000","20,769,000","17,097,000","17,625,000","17,592,000","17,558,000","15,903,000","15,428,000","15,478,000","15,347,000","9,821,000","9,447,000","9,933,000","9,197,000","9,067,000","9,583,000","9,911,000","9,932,000","7,447,000","7,399,000","7,191,000","6,946,000","4,121,000","4,059,000","3,555,000","3,121,000","1,927,000","2,196,000","2,497,000","3,360,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,"-778,000","-21,000","1,760,000","-3,833,000","96,000","-105,000","0","31,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"14,483,000","8,473,000","-2,178,000","4,964,000","3,224,000","10,148,000","-4,557,000","7,240,000","14,476,000","6,772,000","3,252,000","3,410,000","6,731,000","6,775,000","7,551,000","4,806,000","7,388,000","6,772,000","9,692,000","-16,273,000","7,148,000","7,427,000","7,286,000","8,086,000","2,344,000","178,000","8,992,000","11,178,000","11,266,000","11,835,000","12,221,000","9,871,000","9,698,000","9,623,000","8,852,000","4,568,000","8,053,000","7,734,000","93,078,000","-21,710,000","4,037,000","-45,426,000","-55,187,000","-131,461,000","129,000","-109,000","-114,000","-5,000","-145,000","-115,000","-29,000","1,125,000","406,000","509,000","5,228,000","3,757,000","3,027,000","3,468,000","10,184,000","-5,377,000","2,528,000","2,317,000","1,997,000","3,363,000","4,089,000","201,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","-200,000","0","200,000","-100,000",,,"300,000","-100,000",,,,"-100,000","-200,000",,,"100,000","200,000",,,"-100,000",
		ChangeInWorkingCapital,"-7,700,000","60,306,000","-39,654,000","-16,422,000","-12,000,000","53,507,000","-96,558,000","120,122,000","-22,015,000","-73,290,000","-21,875,000","83,852,000","-17,764,000","13,082,000","-66,048,000","103,398,000","-112,126,000","28,237,000","-17,889,000","-2,482,000","55,708,000","-99,566,000","9,292,000","31,131,000","-54,203,000","38,533,000","-12,774,000","-10,936,000","650,000","-11,787,000","53,443,000","-56,699,000","-2,860,000","-23,003,000","-5,433,000","-5,420,000","-17,120,000","23,491,000","-57,067,000","-22,594,000","-12,628,000","-26,141,000","734,000","-8,170,000","7,168,000","-30,977,000","-15,788,000","-7,252,000","-15,105,000","125,162,000","163,114,000","-3,445,000","3,589,000","-9,077,000","7,704,000","-961,000","6,747,000","-3,981,000","-3,256,000","-4,852,000","-3,120,000","-8,721,000","-6,106,000","-10,272,000","-4,850,000","34,248,000","-3,486,000","-1,481,000","7,078,000","-8,188,000","-1,393,000","11,021,000","-5,580,000","-7,733,000","7,665,000","-13,468,000","5,951,000","-22,454,000","21,023,000","-625,000","3,431,000","4,400,000","12,399,000","-32,500,000","-11,334,000","5,959,000","-7,438,000","-28,674,000","8,583,000","21,316,000","-18,500,000","-15,000,000","-18,000,000","26,700,000","-13,800,000","400,000","-8,300,000","23,900,000","-6,000,000","700,000","1,400,000","1,800,000","-9,200,000","13,400,000","-3,600,000","12,700,000","-100,000","300,000","-1,100,000","-600,000","3,600,000","200,000","-100,000","100,000","-100,000"
			ChangeInReceivables,"-164,987,000","53,956,000","-99,611,000","-78,519,000","-40,813,000","84,637,000","-117,529,000","64,068,000","-77,011,000","-42,713,000","-32,693,000","26,564,000","-58,599,000","63,517,000","-59,862,000","68,574,000","-96,120,000","46,109,000","-67,954,000","-28,829,000","75,459,000","-96,217,000","-17,235,000","-3,894,000","-15,988,000","13,170,000","-27,484,000","-11,844,000","-5,518,000","-11,671,000","51,666,000","-62,394,000","-811,000","-11,020,000","-2,177,000","-5,675,000","519,000","42,910,000","-54,411,000","-2,699,000","-831,000","-6,595,000","-3,953,000","-86,000","14,203,000","-10,878,000","-966,000","1,625,000","-1,107,000","158,408,000","-162,800,000","-54,000","-68,000","311,000","-171,000","-92,000","53,000","711,000","-275,000","-9,000","173,000","633,000","-683,000","-44,000","238,000","-161,000","-376,000","-115,000","1,616,000","-404,000","31,000","657,000","573,000","1,824,000","4,446,000","-2,664,000","318,000","652,000","6,295,000","10,349,000","2,562,000","26,347,000","-12,311,000","-12,536,000","-9,981,000","13,422,000","-14,007,000","-6,283,000","-364,000","12,240,000","-18,600,000","-3,400,000","5,100,000","4,600,000","-10,200,000","6,900,000","-2,400,000","11,600,000","-11,700,000","-5,300,000","4,700,000","-6,200,000","600,000","6,700,000","-9,300,000","7,200,000","-7,100,000","500,000","-200,000","-400,000",,,,,
				ChangesInAccountReceivables,"-164,987,000","53,956,000","-99,611,000","-78,519,000","-40,813,000","84,637,000","-117,529,000","64,068,000","-77,011,000","-42,713,000","-32,693,000","26,564,000","-58,599,000","63,517,000","-59,862,000","68,574,000","-96,120,000","46,109,000","-67,954,000","-28,829,000","75,459,000","-96,217,000","-17,235,000","-3,894,000","-15,988,000","13,170,000","-27,484,000","-11,844,000","-5,518,000","-11,671,000","51,666,000","-62,394,000","-811,000","-11,020,000","-2,177,000","-5,675,000","519,000","42,910,000","-54,411,000","-2,699,000","-831,000","-6,595,000","-3,953,000","-86,000","14,203,000","-10,878,000","-966,000","1,625,000","-1,107,000","158,408,000","-162,800,000","-54,000","-68,000","311,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-30,462,000","-13,903,000","-4,750,000","72,000","-11,881,000","-4,406,000","-10,264,000","180,000","-3,672,000","-5,712,000","-3,187,000","-625,000","-1,688,000","-600,000","1,013,000","1,152,000","-1,000","1,879,000","110,000","279,000","3,672,000","790,000","-392,000","2,757,000","930,000","752,000","928,000","179,000","-1,010,000","1,000","-1,505,000","-2,071,000","-11,000","-506,000","-36,000","-3,764,000","-2,213,000","-577,000","-3,545,000","-876,000","-819,000","23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-67,274,000","-13,971,000","-39,296,000","-21,803,000","7,796,000","-10,777,000","3,334,000","279,000","5,038,000","-16,701,000","-4,255,000","1,645,000","2,795,000","5,559,000","-12,082,000","2,259,000","-4,667,000","-18,922,000","684,000","1,441,000","-8,398,000","-25,094,000","254,000","-5,863,000","-3,793,000","-3,667,000","5,501,000","-2,864,000","1,140,000","-194,000","-20,411,000","416,000","-5,595,000","-4,899,000","-2,397,000","-832,000","4,313,000","-837,000","8,533,000","-78,000","8,419,000","29,000","10,196,000","-1,638,000","9,346,000","-80,000","5,885,000","1,142,000","10,155,000","-1,661,000","1,134,000","-113,000","2,553,000","380,000","-35,000","1,290,000","287,000","-1,075,000","-1,611,000","1,037,000","-254,000","1,949,000","-2,781,000","643,000","1,130,000","1,594,000","-1,810,000","-349,000","1,284,000","877,000","-4,293,000","807,000","3,098,000","901,000","-1,737,000","-3,980,000","4,671,000","-1,184,000","-3,688,000","-2,189,000","-2,046,000","-2,138,000","-231,000","-13,735,000","-7,352,000","6,402,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"255,023,000","34,224,000","104,003,000","83,828,000","32,898,000","-15,947,000","27,901,000","55,595,000","53,630,000","-8,164,000","18,260,000","56,268,000","39,728,000","-55,394,000","4,883,000","31,413,000","-11,338,000","-829,000","49,271,000","24,627,000","-15,025,000","20,955,000","29,533,000","41,346,000","-32,138,000","31,493,000","11,495,000","6,807,000","9,252,000","3,314,000","27,285,000","10,192,000","6,773,000","-3,360,000","15,004,000","21,591,000","-2,999,000","-1,266,000","9,085,000","6,792,000","-5,646,000","-6,541,000","12,435,000","10,293,000","358,000","-3,287,000","-3,962,000","6,738,000","-7,396,000","-14,838,000","19,613,000","-3,258,000","1,124,000","-9,778,000","2,214,000","-16,000","253,000","5,422,000","1,385,000","1,462,000","448,000","-1,405,000","2,212,000","-1,673,000","-532,000","2,336,000","-799,000","189,000","1,861,000","1,000","-651,000","-2,060,000","-480,000","-960,000","-707,000","1,741,000","-2,050,000","-2,415,000","1,857,000","-1,231,000","1,962,000","-862,000","-865,000","-216,000","111,000","-9,180,000","5,469,000","-1,699,000","1,644,000","5,402,000","500,000","1,400,000","-1,800,000","-1,800,000","2,600,000","1,300,000","-3,200,000","1,100,000","1,200,000","800,000","-400,000","-700,000","300,000","-700,000",,,"1,400,000","-300,000","-500,000","200,000","900,000",,,"100,000","100,000"
				ChangeInPayable,"67,489,000","-19,563,000","57,601,000","-7,591,000","37,042,000","-13,709,000","-23,745,000","31,603,000","29,972,000","-22,710,000","-11,729,000","23,792,000","1,221,000","-33,464,000","8,349,000","19,919,000","1,444,000","6,444,000","-2,262,000","840,000","-17,234,000","10,728,000","18,075,000","16,800,000","7,069,000","1,814,000","2,719,000","-1,796,000","2,576,000","2,124,000","-2,143,000","-646,000","9,301,000","-1,152,000","890,000","4,741,000","-2,044,000","1,554,000","1,197,000","1,662,000","-2,072,000","-1,765,000","3,901,000","2,250,000","997,000","-2,982,000","3,023,000","-1,408,000","-4,146,000","-7,660,000","6,788,000","-1,664,000","756,000","-595,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"67,489,000","-19,563,000","57,601,000","-7,591,000","37,042,000","-13,709,000","-23,745,000","31,603,000","29,972,000","-22,710,000","-11,729,000","23,792,000","1,221,000","-33,464,000","8,349,000","19,919,000","1,444,000","6,444,000","-2,262,000","840,000","-17,234,000","10,728,000","18,075,000","16,800,000","7,069,000","1,814,000","2,719,000","-1,796,000","2,576,000","2,124,000","-2,143,000","-646,000","9,301,000","-1,152,000","890,000","4,741,000","-2,044,000","1,554,000","1,197,000","1,662,000","-2,072,000","-1,765,000","3,901,000","2,250,000","997,000","-2,982,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"187,534,000","53,787,000","46,402,000","91,419,000","-4,144,000","-2,238,000","51,646,000","23,992,000","23,658,000","14,546,000","29,989,000","32,476,000","38,507,000","-21,930,000","-3,466,000","11,494,000","-12,782,000","-7,273,000","51,533,000","23,787,000","2,209,000","10,227,000","11,458,000","24,546,000","-39,207,000","29,679,000","8,776,000","8,603,000","6,676,000","1,190,000","29,428,000","10,838,000","-2,528,000","-2,208,000","14,114,000","16,850,000","-955,000","-2,820,000","7,888,000","5,130,000","-3,574,000","-4,776,000","8,534,000","8,043,000","-639,000","-305,000","-6,985,000","8,146,000","-3,250,000","-7,178,000","12,825,000","-1,594,000","368,000","-9,183,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,357,000","-4,329,000","5,546,000","-7,684,000","-7,900,000","-2,500,000","-3,600,000","-600,000","800,000","-2,400,000","-1,400,000","-2,300,000","-1,500,000","-800,000","3,000,000","-3,800,000","-1,500,000","-300,000","300,000","-800,000","-400,000","-100,000","0","-100,000","-200,000","0","0","100,000",
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,696,000","-2,143,000","6,154,000","-9,039,000","23,076,000","-7,342,000","-9,031,000","-4,354,000","-24,248,000","-9,198,000","30,592,000","-5,799,000","-501,000","-1,206,000","2,317,000","-8,662,000","3,520,000","11,617,000","-8,771,000","-9,498,000","5,663,000","-8,565,000","3,012,000","-19,507,000","16,559,000","-7,554,000","953,000","-18,947,000","25,806,000","-6,013,000","5,888,000","-4,685,000","14,457,000","-16,363,000","1,757,000","11,358,000","7,500,000","-10,500,000","-17,700,000","24,500,000","-7,000,000","-5,400,000","-1,300,000","13,500,000","6,000,000","6,000,000","-5,900,000","12,500,000","-8,600,000","7,700,000","2,700,000","6,300,000","6,000,000","200,000","-400,000","-300,000",,,"0","-100,000","0"
			ChangeInOtherWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,"-2,868,000","-3,215,000","-3,214,000","-3,215,000","-3,214,000","-3,214,000","-3,214,000","-3,237,000","-3,592,000","-2,842,000","-3,216,000","-3,218,000","-15,827,000","-16,740,000","-16,740,000","-16,739,000","-16,729,000","-25,733,000","-13,751,000","-13,057,000","-14,408,000","-16,739,000","-16,739,000","-16,732,000","-16,745,000","-16,757,000","-16,757,000","-16,747,000","305,167,000","-20,000","-20,000","10,000",,,,,,,,"-5,544,000",,,,"36,278,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,000","0","9,000","-191,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
