name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"109,973,000","29,552,000","29,312,000","26,680,000","24,429,000","24,918,000","21,638,000","29,460,000","13,130,000","15,727,000","15,918,000","14,944,000","13,536,000","12,337,000","10,877,000","10,591,000","8,643,000","7,521,000","6,589,000","5,734,000","5,213,000","5,338,000","6,679,000"
	OperatingRevenue,"109,973,000","29,552,000","29,312,000","26,680,000","24,429,000","24,918,000","21,638,000","29,460,000","13,130,000","15,727,000","15,918,000","14,944,000","13,536,000","12,337,000","10,877,000","10,591,000","8,643,000","7,521,000","6,589,000","5,734,000","5,213,000","5,338,000","6,679,000"
CostOfRevenue,"52,961,000","14,993,000","14,026,000","12,445,000","11,497,000","10,860,000","11,081,000","10,283,000","7,917,000","8,914,000","9,051,000","7,911,000","6,605,000","6,330,000","5,668,000","4,996,000","4,670,000","4,349,000","3,708,000","3,169,000","3,032,000","2,978,000","3,091,000"
GrossProfit,"57,012,000","14,559,000","15,286,000","14,235,000","12,932,000","14,058,000","10,557,000","19,177,000","5,213,000","6,813,000","6,867,000","7,033,000","6,931,000","6,007,000","5,209,000","5,595,000","3,973,000","3,172,000","2,881,000","2,565,000","2,181,000","2,360,000","3,588,000"
OperatingExpense,"123,996,000","32,746,000","35,182,000","29,468,000","26,600,000","23,847,000","20,490,000","16,899,000","17,414,000","18,541,000","18,351,000","17,276,000","17,445,000","15,364,000","14,622,000","13,257,000","11,284,000","10,335,000","9,974,000","8,952,000","8,650,000","8,416,000","10,401,000"
	SellingGeneralAndAdministration,"98,593,000","25,712,000","28,423,000","23,670,000","20,788,000","19,455,000","18,766,000","13,451,000","13,102,000","14,273,000","13,953,000","13,352,000","13,429,000","11,512,000","10,576,000","8,846,000","7,579,000","6,691,000","6,047,000","4,728,000","4,747,000","4,166,000","3,600,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,"13,953,000","13,352,000","13,429,000","11,512,000","10,576,000","8,846,000","7,579,000","6,691,000","6,047,000","4,728,000","4,747,000","4,166,000","3,600,000"
			SalariesAndWages,,,,,,,,,,,,,,,"1,433,000","1,810,000",,,,,,,
			OtherGandA,,,,,,,,,,,"13,953,000","13,352,000","13,429,000","11,512,000","10,576,000","8,846,000","7,579,000","6,691,000","6,047,000","4,728,000","4,747,000","4,166,000","3,600,000"
	ResearchAndDevelopment,"28,329,000","7,034,000","7,734,000","6,807,000","6,754,000","6,683,000","6,217,000","5,377,000","4,312,000","4,268,000","4,398,000","3,924,000","4,016,000","3,852,000","4,046,000","4,411,000","3,705,000","3,644,000","3,927,000","4,224,000","3,903,000","4,250,000","6,801,000"
	OtherOperatingExpenses,,,"-975,000","-1,009,000","-942,000","-2,291,000","-4,493,000","-1,929,000",,,,,,,,,,"-2,507,000",,,,,
OperatingIncome,"-66,984,000","-18,187,000","-19,896,000","-15,233,000","-13,668,000","-9,789,000","-9,933,000","2,278,000","-12,201,000","-11,728,000","-11,484,000","-10,243,000","-10,514,000","-9,357,000","-9,413,000","-7,662,000","-7,311,000","-7,163,000","-7,093,000","-6,387,000","-6,469,000","-6,056,000","-6,813,000"
