name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalRevenue,"525,773,000","118,075,000","161,286,000","131,871,000","114,541,000","60,715,000","82,003,000","60,982,000","42,348,000","36,295,000","48,486,000","37,642,000","37,870,000","32,416,000","41,432,000","29,729,000","28,648,000","24,876,000","31,397,000","35,211,000","42,922,000","46,015,000","72,667,000","65,811,000","70,511,000","69,232,000","94,007,000","64,253,000","53,046,000","37,178,000","41,832,000","32,165,000","28,283,000","23,015,000","28,132,000","20,063,000","19,035,000","16,600,000","19,446,000"
	OperatingRevenue,"525,773,000","118,075,000","161,286,000","131,871,000","114,541,000","60,715,000","82,003,000","60,982,000","42,348,000","36,295,000","48,486,000","37,642,000","37,870,000","32,416,000","41,432,000","29,729,000","28,648,000","24,876,000","31,397,000","35,211,000","42,922,000","46,015,000","72,667,000","65,811,000","70,511,000","69,232,000","94,007,000","64,253,000","53,046,000","37,178,000","41,832,000","32,165,000","28,283,000","23,015,000","28,132,000","20,063,000","19,035,000","16,600,000","19,446,000"
CostOfRevenue,"240,302,000","59,396,000","66,839,000","63,541,000","50,526,000","20,756,000","21,168,000","21,031,000","21,545,000","14,003,000","13,321,000","13,869,000","15,085,000","15,116,000","15,489,000","14,687,000","15,044,000","14,783,000","15,465,000","12,985,000","13,698,000","14,688,000","21,126,000","17,798,000","17,540,000","16,783,000","21,369,000","16,556,000","14,009,000","6,561,000","6,298,000","5,144,000","4,852,000","4,460,000","4,146,000","4,181,000","3,594,000","3,437,000","3,615,000"
GrossProfit,"285,471,000","58,679,000","94,447,000","68,330,000","64,015,000","39,959,000","60,835,000","39,951,000","20,803,000","22,292,000","35,165,000","23,773,000","22,785,000","17,300,000","25,943,000","15,042,000","13,604,000","10,093,000","15,932,000","22,226,000","29,224,000","31,327,000","51,541,000","48,013,000","52,971,000","52,449,000","72,638,000","47,697,000","39,037,000","30,617,000","35,534,000","27,021,000","23,431,000","18,555,000","23,986,000","15,882,000","15,441,000","13,163,000","15,831,000"
OperatingExpense,"350,378,000","91,747,000","90,413,000","89,854,000","78,364,000","51,013,000","51,965,000","48,637,000","48,872,000","33,019,000","34,179,000","30,454,000","31,385,000","30,588,000","28,426,000","29,308,000","31,821,000","35,295,000","35,774,000","37,727,000","38,928,000","42,461,000","46,720,000","50,386,000","51,650,000","54,326,000","54,446,000","52,864,000","50,535,000","37,742,000","35,285,000","32,463,000","30,547,000","25,024,000","21,550,000","18,831,000","17,031,000","14,940,000","13,251,000"
	SellingGeneralAndAdministration,"267,152,000","68,704,000","69,400,000","68,795,000","60,253,000","36,747,000","37,737,000","35,075,000","35,809,000","22,323,000","23,758,000","20,161,000","21,546,000","20,872,000","19,601,000","20,009,000","22,576,000","24,801,000","24,651,000","26,147,000","26,884,000","29,708,000","33,786,000","37,873,000","38,356,000","41,883,000","43,017,000","41,042,000","40,145,000","29,328,000","27,608,000","26,697,000","25,949,000","20,347,000","17,007,000","14,008,000","11,893,000","10,829,000","9,484,000"
		GeneralAndAdministrativeExpense,"69,335,000","18,704,000","17,116,000","16,535,000","16,980,000","14,158,000","14,766,000","13,314,000","15,780,000","10,897,000","12,344,000","9,121,000","10,027,000","10,280,000","9,091,000","9,355,000","11,441,000","12,544,000","12,517,000","13,644,000","14,355,000","15,080,000","15,337,000","16,238,000","16,390,000","20,605,000","19,711,000","18,225,000","17,984,000","14,279,000","15,268,000","15,157,000","15,653,000","11,320,000","9,963,000","7,603,000","5,726,000","4,634,000","3,853,000"
			OtherGandA,"69,335,000","18,704,000","17,116,000","16,535,000","16,980,000","14,158,000","14,766,000","13,314,000","15,780,000","10,897,000","12,344,000","9,121,000","10,027,000","10,280,000","9,091,000","9,355,000","11,441,000","12,544,000","12,517,000","13,644,000","14,355,000","15,080,000","15,337,000","16,238,000","16,390,000","20,605,000","19,711,000","18,225,000","17,984,000","14,279,000","15,268,000","15,157,000","15,653,000","11,320,000","9,963,000","7,603,000","5,726,000","4,634,000","3,853,000"
		SellingAndMarketingExpense,"197,817,000","50,000,000","52,284,000","52,260,000","43,273,000","22,589,000","22,971,000","21,761,000","20,029,000","11,426,000","11,414,000","11,040,000","11,519,000","10,592,000","10,510,000","10,654,000","11,135,000","12,257,000","12,134,000","12,503,000","12,529,000","14,628,000","18,449,000","21,635,000","21,966,000","21,278,000","23,306,000","22,817,000","22,161,000","15,049,000","12,340,000","11,540,000","10,296,000","9,027,000","7,044,000","6,405,000","6,167,000","6,195,000","5,631,000"
	ResearchAndDevelopment,"83,226,000","23,043,000","21,013,000","21,059,000","18,111,000","14,266,000","14,228,000","13,562,000","13,063,000","10,696,000","10,421,000","10,293,000","9,839,000","9,716,000","8,825,000","9,299,000","9,245,000","10,494,000","11,123,000","11,580,000","12,044,000","12,753,000","12,934,000","12,513,000","13,294,000","12,443,000","11,429,000","11,822,000","10,390,000","8,414,000","7,677,000","5,766,000","4,598,000","4,677,000","4,543,000","4,823,000","5,138,000","4,111,000","3,767,000"
OperatingIncome,"-64,907,000","-33,068,000","4,034,000","-21,524,000","-14,349,000","-11,054,000","8,870,000","-8,686,000","-28,069,000","-10,727,000","986,000","-6,681,000","-8,600,000","-13,288,000","-2,483,000","-14,266,000","-18,217,000","-25,202,000","-19,842,000","-15,501,000","-9,704,000","-11,134,000","4,821,000","-2,373,000","1,321,000","-1,877,000","18,192,000","-5,167,000","-11,498,000","-7,125,000","249,000","-5,442,000","-7,116,000","-6,469,000","2,436,000","-2,949,000","-1,590,000","-1,777,000","2,580,000"
NetNonOperatingInterestIncomeExpense,"-26,816,000","-7,111,000","-7,253,000","-7,280,000","-5,172,000","-143,000","-62,000","-30,000","-2,000","144,000","164,000","218,000","214,000","193,000","211,000","232,000","274,000","271,000","244,000","269,000","228,000","167,000","132,000","134,000","131,000","94,000","45,000","37,000","-11,000","-12,000","-16,000","-23,000","-14,000","-57,000","-44,000","-69,000","-69,000","-91,000","-85,000"
	InterestIncomeNonOperating,,,,,,,,,"-2,000","144,000","164,000","218,000","214,000","193,000","211,000","232,000","274,000","271,000","244,000","269,000","228,000","167,000","132,000","134,000","131,000","94,000","45,000","37,000","-11,000","-12,000","-16,000","-23,000","-14,000","-57,000","-44,000","-69,000","-69,000","-91,000","-85,000"
	TotalOtherFinanceCost,"26,816,000","7,111,000","7,253,000","7,280,000","5,172,000","143,000","62,000","30,000","2,000","-144,000","-164,000","-218,000","-214,000","-193,000","-211,000","-232,000","-274,000","-271,000","-244,000","-269,000","-228,000","-167,000","-132,000","-134,000","-131,000","-94,000","-45,000","-37,000","11,000","12,000","16,000","23,000","14,000","57,000","44,000","69,000","69,000","91,000","85,000"
OtherIncomeExpense,"-37,152,000","-6,419,000","856,000","-223,000","-31,366,000","-1,514,000","-2,762,000","-1,353,000","-10,769,000","707,000","-570,000","344,000","189,000","-159,000","166,000","326,000","33,000","-2,810,000","-4,471,000","-90,370,000","-1,933,000","-4,498,000","-26,022,000","212,000","775,000","-261,000","19,000","38,000","-847,000","2,190,000","1,223,000","826,000","-2,124,000","462,000","-2,369,000","-1,853,000","-383,000","-244,000","-443,000"
	GainOnSaleOfSecurity,"569,000","-926,000","122,000","1,246,000","127,000","-15,000","-3,065,000","-293,000","440,000","698,000","-619,000","296,000","143,000","-301,000","26,000","120,000","797,000","-554,000","-72,000","-242,000","-479,000","-372,000","601,000","21,000","578,000","-261,000","19,000","38,000","-847,000","2,190,000","1,223,000","826,000","-2,124,000","462,000","-2,369,000","-1,853,000","-383,000","-244,000","-443,000"
	SpecialIncomeCharges,"-42,211,000","-6,756,000","-399,000","-2,424,000","-32,632,000","-2,722,000","-875,000","-2,254,000","-12,493,000",,"0","0","0","0","0","0","-974,000","-2,466,000","-4,585,000","-90,251,000","-1,621,000","-4,338,000","-26,789,000","191,000","-197,000",,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"42,211,000","6,756,000","399,000","2,424,000","32,632,000","2,722,000","875,000","2,254,000","12,493,000",,"0","0","0","0","0","0","974,000","2,466,000","0","0","1,621,000","4,338,000","3,316,000",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,"0","0",,,"4,585,000","90,251,000",,,"23,473,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"186,000","-123,000","-167,000","212,000","942,000","-191,000","197,000",,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"4,490,000","1,263,000","1,133,000","955,000","1,139,000","1,223,000","1,178,000","1,194,000","1,284,000","9,000","49,000","48,000","46,000","142,000","140,000","206,000","210,000","210,000","186,000","123,000","167,000","212,000","166,000","191,000","197,000",,,,,,,,,,,,,,
PretaxIncome,"-128,875,000","-46,598,000","-2,363,000","-29,027,000","-50,887,000","-12,711,000","6,046,000","-10,069,000","-38,840,000","-9,876,000","580,000","-6,119,000","-8,197,000","-13,254,000","-2,106,000","-13,708,000","-17,910,000","-27,741,000","-24,069,000","-105,602,000","-11,409,000","-15,465,000","-21,069,000","-2,027,000","2,227,000","-2,044,000","18,256,000","-5,092,000","-12,356,000","-4,947,000","1,456,000","-4,639,000","-9,254,000","-6,064,000","23,000","-4,871,000","-2,042,000","-2,112,000","2,052,000"
TaxProvision,"-97,224,000","-2,005,000","-2,816,000","-4,708,000","-87,695,000","166,000","160,000","446,000","288,000","-201,000","-943,000","55,000","84,000","-708,000","124,000","84,000","74,000","75,000","-252,000","-2,031,000","146,000","375,000","121,000","-5,557,000","4,904,000","-4,328,000","-2,149,000","-2,083,000","-413,000","84,000","27,000","-17,000","112,000","50,000","60,000","74,000","63,000","50,000","31,000"
NetIncomeCommonStockholders,"-31,651,000","-44,593,000","453,000","-24,319,000","36,808,000","-12,877,000","5,886,000","-10,515,000","-39,128,000","-9,675,000","1,523,000","-6,174,000","-8,281,000","-12,546,000","-2,230,000","-13,792,000","-17,984,000","-27,816,000","-23,817,000","-103,571,000","-11,555,000","-15,840,000","-21,190,000","3,530,000","-2,677,000","2,284,000","20,405,000","-3,009,000","-11,943,000","-5,031,000","1,429,000","-4,622,000","-9,436,000","-7,160,000","2,017,000","-6,015,000","-3,164,000","-3,207,000","5,722,000"
	NetIncome,"-31,651,000","-44,593,000","453,000","-24,319,000","36,808,000","-12,877,000","5,886,000","-10,515,000","-39,128,000","-9,675,000","1,523,000","-6,174,000","-8,281,000","-12,546,000","-2,230,000","-13,792,000","-17,984,000","-27,816,000","-23,817,000","-103,571,000","-11,555,000","-15,840,000","-21,190,000","3,530,000","-2,677,000","2,284,000","20,405,000","-3,009,000","-11,943,000","-5,031,000","1,429,000","-4,622,000","-9,366,000","-6,114,000","-37,000","-4,945,000","-2,105,000","-2,162,000","2,021,000"
		NetIncomeIncludingNoncontrollingInterests,"-31,651,000","-44,593,000","453,000","-24,319,000","36,808,000","-12,877,000","5,886,000","-10,515,000","-39,128,000","-9,675,000","1,523,000","-6,174,000","-8,281,000","-12,546,000","-2,230,000","-13,792,000","-17,984,000","-27,816,000","-23,817,000","-103,571,000","-11,555,000","-15,840,000","-21,190,000","3,530,000","-2,677,000","2,284,000","20,405,000","-3,009,000","-11,943,000","-5,031,000","1,429,000","-4,622,000","-9,366,000","-6,114,000","-37,000","-4,945,000","-2,105,000","-2,162,000","2,021,000"
			NetIncomeContinuousOperations,"-31,651,000","-44,593,000","453,000","-24,319,000","36,808,000","-12,877,000","5,886,000","-10,515,000","-39,128,000","-9,675,000","1,523,000","-6,174,000","-8,281,000","-12,546,000","-2,230,000","-13,792,000","-17,984,000","-27,816,000","-23,817,000","-103,571,000","-11,555,000","-15,840,000","-21,190,000","3,530,000","-2,677,000","2,284,000","20,405,000","-3,009,000","-11,943,000","-5,031,000","1,429,000","-4,622,000","-9,366,000","-6,114,000","-37,000","-4,945,000","-2,105,000","-2,162,000","2,021,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,"70,000","1,046,000","1,070,000","1,070,000","1,059,000","1,045,000","1,069,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,124,000",,,,"-4,770,000"
DilutedNIAvailtoComStockholders,"-31,651,000","-44,593,000","453,000","-24,319,000","36,808,000","-12,877,000","5,886,000","-10,515,000","-39,128,000","-9,675,000","1,523,000","-6,174,000","-8,281,000","-12,546,000","-2,230,000","-13,792,000","-17,984,000","-27,816,000","-23,817,000","-103,571,000","-11,555,000","-15,840,000","-21,190,000","3,530,000","-2,677,000","2,284,000","20,405,000","-3,009,000","-11,943,000","-5,031,000","1,429,000","-4,622,000","-9,436,000","-7,160,000","2,017,000","-6,015,000","-3,164,000","-3,207,000","5,722,000"
BasicEPS,,"-0.34","0.003","-0.18","0.29","-0.11","0.05","-0.1","-0.36","-0.18","0.03","-0.12","-0.16","-0.24","-0.04","-0.27","-0.36","-0.56","-0.48","-2.11","-0.24","-0.33","-0.44","0.07","-0.06","0.05","0.48","-0.07","-0.3","-0.14","0.04","-0.14","-0.29","-0.206",,"-0.232","-0.122","-0.124",
DilutedEPS,,"-0.34","0.003","-0.18","0.26","-0.11","0.05","-0.1","-0.36","-0.18","0.03","-0.12","-0.16","-0.24","-0.04","-0.27","-0.36","-0.56","-0.48","-2.11","-0.24","-0.33","-0.44","0.07","-0.06","0.05","0.43","-0.07","-0.3","-0.14","0.04","-0.14","-0.29","-0.206",,"-0.232","-0.122","-0.124",
BasicAverageShares,,"132,236,000","132,099,000","131,501,000","125,981,000","115,296,000","112,746,000","110,416,000","108,530,000","54,866,000","53,473,000","53,023,000","52,358,000","51,577,000","50,746,000","50,513,000","50,071,000","49,692,000","49,293,000","49,055,000","48,783,000","48,332,000","48,051,000","47,538,000","46,341,000","44,663,000","42,083,000","41,308,000","39,414,000","35,758,000","34,411,000","33,673,000","32,266,000","34,715,103",,"25,898,000","25,898,000","25,898,000",
