name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
			CommonStockPayments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-286,000","-2,421,000","-244,000","-1,561,000","0","0","-27,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,"-11,636,000","-2,917,000","-2,916,000","-2,903,000","-2,900,000","-2,891,000","-2,890,000","-2,888,000","-2,887,000","-2,885,000","-2,884,000","-2,882,000","-2,881,000","-2,878,000","-2,877,000","-2,845,000","-2,844,000","-2,437,000","-2,436,000","-2,434,000","-2,427,000","-2,963,000","-2,423,000","-2,421,000","-2,418,000","-3,482,000","-2,403,000","-2,402,000","-4,802,000","-2,392,000","-28,848,000","-2,380,000","-2,379,000","-4,750,000","-2,363,000","-2,362,000","-2,359,000","-2,351,000","-30,793,000","-2,338,000","-2,332,000","-5,437,000","-2,312,000","-2,332,000","-1,541,000","-3,411,000","-10,052,000","-1,532,000","-1,524,000","-1,527,000","-1,523,000","-1,520,000","-3,001,000","-1,503,000","-1,497,000","-1,494,000","-2,989,000","-1,485,000","-1,483,000","-1,503,000","-1,094,000","-1,087,000","-1,082,000","-1,084,000","-1,094,000","-1,089,000","-1,092,000","-544,000","-543,000","-522,000","-522,000","-345,000","-345,000","-270,000","-271,000","-13,617,000","-258,000","-258,000","-258,000","-257,000","-257,000","-257,000","-256,000","-256,000","-255,000","-255,000","-254,000","-256,000","-256,000","-255,000","-200,000","-300,000","-200,000","-300,000","-300,000","-200,000","-300,000","-200,000","-300,000","-200,000","-1,300,000","-10,000,000"
			CommonStockDividendPaid,,,,,,,"-2,890,000","-2,888,000","-2,887,000","-2,885,000","-2,884,000","-2,882,000","-2,881,000","-2,878,000","-2,877,000","-2,845,000","-2,844,000","-2,437,000","-2,436,000","-2,434,000","-2,427,000","-2,963,000","-2,423,000","-2,421,000","-2,418,000","-3,482,000","-2,403,000","-2,402,000","-4,802,000","-2,392,000","-28,848,000","-2,380,000","-2,379,000","-4,750,000","-2,363,000","-2,362,000","-2,359,000","-2,351,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0","61,000","0","-32,000","8,000","17,000","51,000","13,000","-207,000","214,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-4,241,000","-2,259,000","-105,000","-1,165,000","-712,000","-974,000","-1,841,000","-977,000","-145,000","-815,000","-1,170,000","-229,000","-7,324,000","-881,000","-125,000","-17,342,000","-1,763,000","-240,000","-16,985,000",,,,"-2,077,000","1,000","3,000","1,000","142,000","18,000","0","3,000","155,000","17,000","-23,000","3,000","297,000","-20,000","7,000","14,000",,,,,,,,,,,,,,,,,,"0","0","15,000","462,000","0","255,000","31,000","299,000","40,000","11,000","31,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,,,,,,"-100,000"
EndCashPosition,"31,325,000","33,058,000","28,581,000","47,728,000","34,412,000","25,965,000","25,257,000","32,482,000","37,002,000","27,294,000","22,162,000","13,743,000","13,321,000","16,756,000","23,515,000","15,875,000","29,942,000","198,528,000","63,882,000","81,191,000","78,673,000","70,406,000","74,221,000","110,022,000","99,629,000","89,901,000","81,932,000","76,615,000","71,667,000","62,446,000","56,843,000","66,095,000","72,139,000","55,074,000","54,912,000","46,490,000","41,686,000","40,575,000","34,478,000","50,742,000","53,465,000","53,337,000","51,308,000","52,844,000","49,859,000","44,728,000","33,337,000","36,949,000","27,984,000","26,769,000","30,446,000","30,243,000","26,065,000","30,657,000","35,303,000","33,278,000","28,115,000","23,383,000","19,337,000","17,351,000","13,722,000","12,621,000","9,497,000","11,077,000","7,511,000","7,393,000","5,830,000","7,232,000","14,476,000","11,179,000","9,762,000","7,632,000","5,710,000","4,440,000","5,219,000","4,672,000","4,000,000","3,946,000","3,958,000","4,169,000","3,473,000","2,370,000","3,611,000","4,167,000","3,938,000","2,856,000","2,698,000","2,150,000","1,517,000","1,068,000","1,100,000","1,100,000","800,000","0","0","0","0","0","0","0","0","0"
	ChangesInCash,"5,360,000","3,165,000","-17,770,000","11,485,000","8,480,000","-1,857,000","-3,335,000","-1,437,000","10,349,000","4,822,000","10,640,000","-3,491,000","-4,171,000","-6,592,000","7,723,000","-13,772,000","-167,519,000","132,843,000","-18,210,000","1,207,000","5,397,000","-4,987,000","-32,233,000","9,948,000","11,699,000","7,527,000","5,219,000","7,792,000","7,352,000","9,409,000","-6,158,000","-1,565,000","14,704,000","330,000","7,304,000","2,674,000","1,068,000","7,579,000","-15,281,000","2,388,000","1,774,000","738,000","-907,000","5,494,000","4,617,000","10,102,000","-3,237,000","7,010,000","2,734,000","-3,036,000","132,000","3,610,000","-6,114,000","-4,190,000","4,556,000","6,900,000","5,156,000","3,760,000","2,095,000","3,226,000","945,000","2,970,000","-2,103,000","3,356,000","-530,000","1,559,000","-1,420,000","-7,213,000","3,618,000","1,301,000","2,051,000","1,832,000","1,020,000","-798,000","776,000","185,000","-104,000","691,000","-492,000","644,000","1,138,000","-1,337,000","-487,000","295,000","852,000","295,000","617,000","589,000","603,000","7,000","100,000","100,000",,,"400,000","-1,900,000","200,000","1,600,000","-1,400,000","700,000","-700,000","1,500,000"
	EffectOfExchangeRateChanges,"1,733,000","1,312,000","-1,377,000","1,831,000","-33,000","2,565,000","-3,890,000","-3,083,000","-641,000","310,000","-2,221,000","3,913,000","736,000","-167,000","-123,000","-295,000","-1,067,000","1,803,000","901,000","1,311,000","2,870,000","1,172,000","-3,568,000","445,000","-1,971,000","442,000","98,000","-2,844,000","1,869,000","-3,806,000","-3,094,000","-4,479,000","2,361,000","-168,000","1,118,000","2,130,000","43,000","-1,482,000","1,263,000","1,071,000","-1,646,000","1,337,000","-629,000","-2,509,000","514,000","1,289,000","-375,000","1,955,000","-1,519,000","-641,000","71,000","568,000","1,522,000","-456,000","-2,531,000","-1,737,000","-424,000","286,000","-109,000","403,000","156,000","154,000","523,000","210,000","648,000","4,000","18,000","-31,000","-321,000","116,000","79,000","90,000","250,000","19,000","-229,000","487,000","158,000","-703,000","281,000","52,000","-35,000","96,000","-69,000","-66,000","230,000","-137,000","-69,000","44,000","-154,000","-61,000",,"100,000",,,"-100,000","-100,000","200,000","100,000",,,,"-100,000"
	BeginningCashPosition,"25,965,000","28,581,000","47,728,000","34,412,000","25,965,000","25,257,000","32,482,000","37,002,000","27,294,000","22,162,000","13,743,000","13,321,000","16,756,000","23,515,000","15,875,000","29,942,000","198,528,000","63,882,000","81,191,000","78,673,000","70,406,000","74,221,000","110,022,000","99,629,000","89,901,000","81,932,000","76,615,000","71,667,000","62,446,000","56,843,000","66,095,000","72,139,000","55,074,000","54,912,000","46,490,000","41,686,000","40,575,000","34,478,000","50,742,000","53,465,000","53,337,000","51,262,000","52,844,000","49,859,000","44,728,000","33,337,000","36,949,000","27,984,000","26,769,000","30,446,000","30,243,000","26,065,000","30,657,000","35,303,000","33,278,000","28,115,000","23,383,000","19,337,000","17,351,000","13,722,000","12,621,000","9,497,000","11,077,000","7,511,000","7,393,000","5,830,000","7,232,000","14,476,000","11,179,000","9,762,000","7,632,000","5,710,000","4,440,000","5,219,000","4,672,000","4,000,000","3,946,000","3,958,000","4,169,000","3,473,000","2,370,000","3,611,000","4,167,000","3,938,000","2,856,000","2,698,000","2,150,000","1,517,000","1,068,000","1,122,000","1,100,000","800,000","0","1,600,000","0","0","0","1,200,000","0","0","0","1,000,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,"-1,600,000","-300,000","2,000,000","-400,000","-2,900,000","1,300,000","-700,000","600,000","-2,400,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,,,,,,"4,673,000","6,346,000","8,140,000","1,068,000","4,425,000","3,539,000","9,140,000","366,000","3,738,000","3,465,000","4,185,000","1,397,000","3,282,000","5,206,000","5,899,000","3,470,000","5,875,000","3,043,000","6,464,000","4,311,000","5,683,000","5,279,000","7,743,000","418,000","4,416,000","4,051,000",,,"2,953,000","5,399,000","8,765,000","339,000",,,"3,075,000","331,000","173,000","-1,712,000","751,000","1,077,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,,,,,,,,,,,,,,,"4,457,000","4,921,000","2,466,000","939,000","620,000","1,177,000","1,268,000","658,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-30,138,000","-6,504,000","-10,454,000","-7,044,000","-6,136,000","-5,659,000","-8,063,000","-2,167,000","-2,278,000","-2,937,000","-5,441,000","-4,171,000","-6,621,000","-8,792,000","-9,678,000","-8,121,000","-6,344,000","-4,237,000","-13,937,000","-4,963,000","-2,547,000","-758,000","-2,057,000","-1,950,000","-1,558,000","-1,849,000","-1,409,000","-2,468,000","-1,744,000","-1,910,000","-4,789,000","-1,896,000","-3,098,000","-1,959,000","-3,366,000","-5,051,000","-6,153,000","-3,365,000","-6,656,000","-1,951,000","-2,966,000","-1,786,000","-3,365,000","-3,967,000","-1,700,000","-1,111,000","-1,796,000","-735,000","-657,000","-668,000","-547,000","-1,043,000","-2,270,000","-1,236,000","-1,645,000","-2,367,000","-4,462,000","-2,400,000","-3,143,000","-2,563,000","-3,682,000","-3,203,000","-2,331,000","-2,378,000","-2,851,000","-1,965,000","-2,606,000","-2,569,000","-2,100,000","-1,538,000","-1,456,000","-1,052,000","-1,511,000","-968,000",,"-1,720,000","-832,000","-538,000","-987,000","-1,495,000","-1,936,000","-1,452,000","-1,164,000","-1,253,000","-592,000","-1,013,000","-829,000","-362,000","-1,755,000","-1,428,000","-2,400,000","-2,400,000","-1,700,000","-1,400,000","-2,100,000","-2,400,000","-2,100,000","-1,500,000","-1,600,000","-1,300,000","-1,300,000","-2,300,000"
IssuanceOfCapitalStock,"2,089,000","600,000","469,000","539,000","481,000","333,000","317,000","304,000","368,000","355,000","398,000","409,000","435,000","408,000","379,000","357,000","439,000","240,163,000","380,000","311,000","260,000","205,000","209,000","412,000","205,000","213,000","247,000","222,000","217,000","333,000","223,000","214,000","224,000","185,000","208,000","185,000","199,000","267,000","194,000","173,000","191,000","142,000","166,000","127,000","148,000","133,000","120,000","127,000","78,000","98,000","82,000","310,000","-94,000","94,000","5,000","108,000","103,000","143,000","101,000","79,000","266,000","113,000","109,000","104,000","88,000","99,000","185,000","117,000","254,000","2,088,000","966,000","170,000","1,146,000","3,000","152,000","918,000",,,"51,000","29,000","46,000","142,000",,,,,,,,,"0","0","0","100,000","0","100,000",,,"-100,000","100,000","0","19,300,000"
IssuanceOfDebt,"110,161,000","23,548,000","22,017,000","61,596,000","3,000,000","6,602,000","220,480,000","98,000","14,714,000","2,000,000","22,137,000","22,175,000","50,357,000","35,282,000","-1,795,000","28,950,000","359,044,000","932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-118,344,000","-27,806,000","-46,389,000","-25,015,000","-19,134,000","-12,529,000","-24,053,000","-31,154,000","-22,760,000","-7,600,000","-42,277,000","-46,028,000","-44,287,000","-49,623,000","-11,451,000","-20,375,000","-2,830,000","-116,000,000","0","-8,000,000","0","-16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-261,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-286,000","-2,421,000","-244,000","-1,561,000","0","0","-27,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreeCashFlow,"82,670,000","8,184,000","20,763,000","25,408,000","28,315,000","9,423,000","23,466,000","34,529,000","22,986,000","12,130,000","34,142,000","21,281,000","-1,004,000","11,036,000","23,550,000","4,984,000","10,114,000","10,422,000","-2,976,000","11,774,000","6,704,000","11,675,000","5,124,000","7,432,000","9,894,000","8,642,000","7,453,000","10,102,000","12,766,000","12,050,000","11,360,000","18,129,000","13,490,000","8,125,000","6,976,000","8,275,000","6,100,000","7,837,000","5,441,000","14,350,000","9,110,000","9,938,000","8,180,000","12,063,000","6,439,000","12,719,000","6,022,000","6,971,000","6,838,000","1,403,000","1,820,000","4,791,000","-1,750,000","3,710,000","6,036,000","8,362,000","8,216,000","5,039,000","5,323,000","4,762,000","1,530,000","4,035,000","2,084,000","4,734,000","1,862,000","1,405,000","1,135,000","2,290,000","4,639,000","132,000","2,462,000","3,937,000","3,318,000","258,000","2,318,000","2,353,000","362,000","1,182,000","-106,000","1,202,000","1,328,000","-806,000","250,000","812,000","1,601,000","577,000","1,221,000","1,782,000","2,454,000","-298,000","-100,000","-1,000,000","-900,000","-300,000","-1,300,000","1,400,000","-700,000","1,100,000","1,200,000","400,000","-1,000,000","-600,000"
