name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,03/31/2011,06/30/2010,03/31/2010,06/30/2009,03/31/2009
OperatingCashFlow,"-111,516,000","-45,170,000","-106,747,000","94,037,000","-53,636,000","44,289,000","31,439,000","-14,259,000","297,409,000","-13,532,000","-244,908,000","-303,863,000","-30,481,000","-139,257,000","-98,771,000","-136,392,000","-74,518,000","-83,808,000","-21,851,000","66,738,000","-69,366,000","-141,834,000","-52,327,000","40,264,000","31,447,000","41,124,000","-42,429,000","-163,195,000","118,006,000","24,271,000","-121,909,000","-13,098,000","-169,811,000","15,247,000","-28,640,000","15,945,000","-19,016,000","-18,164,000","-42,988,907","-76,647,245","6,097,684","3,423,261","-70,528,399","-1,338,422","44,060,685","9,170,198","-124,605,869"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,"66,738,000",,,,,,,,,,,,,,,"-28,640,000",,,,,"-76,647,245","6,097,684","3,423,261","-70,528,399","-1,338,422","44,060,685","9,170,198","-124,605,869"
		NetIncomeFromContinuingOperations,"192,374,000","37,047,000","53,244,000","22,905,000","79,178,000","51,855,000","67,939,000","89,588,000","76,732,000","-172,422,000","21,448,000","23,450,000","23,745,000","43,920,000","-1,384,000","26,760,000","23,133,000","23,844,000","26,877,000","24,776,000","27,328,000","30,417,000","33,855,000","25,079,000","44,693,000","8,051,000","-20,027,000","9,804,000","20,264,000","22,914,000","-8,946,000","7,411,000","23,662,000","23,448,000","17,945,000","17,467,000","10,992,000","15,516,000",,,,,"16,418,814","2,428,232","26,345,992","47,438,924","30,267,936"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,"11,844,000",,,,,,,,,,,,,,,"-17,945,000",,,,,,"-3,835,147","-8,188,295","-5,892,330","22,049,172","59,338,908","54,148,094","2,637,541"
			NetForeignCurrencyExchangeGainLoss,"143,000","77,000","53,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-176,023,000","-67,779,000","-138,349,000","84,769,000","-54,664,000","-48,290,000","-61,846,000","-61,369,000","166,959,000","221,741,000","-148,238,000","-344,542,000","-111,022,000","-168,539,000","-31,525,000","-193,860,000","-100,355,000","-148,731,000","34,108,000","10,735,000","-62,859,000","-221,907,000","-38,168,000","-21,365,000","-1,051,000","26,837,000","-30,157,000","-170,892,000","101,984,000","21,691,000","-67,904,000","-38,842,000","-178,303,000","-7,390,000","-46,139,000","-6,664,000","-21,938,000","-36,698,000",,,,,"-5,892,330","22,049,172","59,338,908","54,148,094","2,637,541"
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,826,000",,,,,,"-3,835,147","-8,188,295",,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,"-2,928,000",,,,,,,,,,,,,,,,,,,,,,,"-1,542,061","-3,144,702","-4,349,770","-2,445,572","-1,469,920"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,"-13,094,000",,,,,,,,,,,,,,,,,,,,,,,"-1,097,337",,,,
		OtherNonCashItems,"-27,704,000","-3,430,000","-15,208,000","-3,364,000","-5,702,000","-278,000","15,733,000","-3,812,000","10,489,000","2,087,000","-4,129,000","-2,498,000","-4,090,000","-871,000","-3,489,000","6,723,000","-1,771,000","3,154,000","2,131,000","4,732,000","-966,000","-560,000","-223,000","4,266,000","-936,000","-216,000","200,000","2,809,000","-1,579,000","-912,000","-32,414,000","-743,000","-6,762,000","-16,058,000","-14,826,000","-10,803,000","-17,674,000","-7,218,000",,,"3,835,147","8,188,295","-10,293,402","-41,008,293","-19,281,211","-77,747,690","-142,078,386"
		ChangeInWorkingCapital,"-73,334,000","-2,698,000","806,000","-7,305,000","-64,137,000","55,255,000","19,018,000","-34,866,000","54,657,000","-22,514,000","-106,441,000","25,013,000","64,999,000","-4,449,000","-53,445,000","32,200,000","21,128,000","43,319,000","-71,952,000","30,388,000","-29,564,000","54,066,000","-46,782,000","34,289,000","-6,247,000","10,248,000","10,771,000","-4,652,000","1,113,000","-19,232,000","-12,645,000","21,595,000",,,"-28,640,000",,,,,"-76,647,245","6,097,684","3,423,261","-68,122,083","18,337,169","-17,993,234","-12,223,558","-13,963,040"
			ChangeInReceivables,"-1,833,000","-3,892,000","10,895,000","-9,473,000","637,000","4,620,000","1,024,000","-4,964,000","30,552,000","-32,082,000","5,839,000","-4,234,000","1,263,000","-4,576,000","21,173,000","-8,193,000","-5,931,000","-5,231,000","-552,000","-6,602,000","-923,000","-4,941,000","-1,670,000","2,326,000","-3,084,000","-2,549,000","6,748,000","-9,122,000","3,302,000","6,026,000","-7,492,000","-730,000",,,,,,,,,,,"-1,793,682","14,213,800","-10,426,415","84,827","-2,900,012"
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"-34,722"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,"36,577,000",,,,,,,,,,,,,,,,,,,,,,,"411,294","3,869,934","-7,573,155","-12,355,037","-11,050,806"
				ChangeInPayable,"-59,991,000","5,519,000","-8,630,000","1,524,000","-58,404,000","47,962,000","16,246,000","-28,275,000","25,023,000","11,194,000","-109,110,000","29,305,000","69,628,000","-1,763,000","-71,135,000","38,691,000","14,607,000","46,952,000","-68,189,000","36,577,000","-26,758,000","60,431,000","-44,195,000","31,796,000","-3,400,000","14,008,000","3,985,000","3,133,000","-1,075,000","-25,188,000","-5,888,000","21,114,000",,,,,,,,,,,"77,294","3,982,733","-7,638,438","-12,355,037","-11,050,806"
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,"2,697,000",,,,,,,,,,,,,,,,,,,,,,,"334,000","-112,799","65,283","0","0"
					ChangeInInterestPayable,,,,,,,,,,,,,,,,,,,,"2,697,000",,,,,,,,,,,,,,,,,,,,,,,"334,000","-112,799","65,283","0","0"
			ChangeInOtherCurrentAssets,"-7,279,000","-4,268,000","-1,198,000","-237,000","-1,576,000","-1,993,000","1,123,000","-1,307,000","-1,181,000","-802,000","284,000","-252,000","-44,000","-758,000","693,000","753,000","2,816,000","1,781,000","-3,569,000","-1,411,000","-576,000","-967,000","-781,000","124,000","347,000","-770,000","173,000","833,000","-602,000","-560,000","2,147,000","-839,000",,,,,,,,,,,,"56,283","-54,876","-51,802","0"
			ChangeInOtherCurrentLiabilities,"-4,231,000","-57,000","-261,000","881,000","-4,794,000","4,666,000","625,000","-320,000","263,000","-824,000","-3,454,000","194,000","-5,848,000","2,648,000","-4,176,000","949,000","9,636,000","-183,000","358,000","1,824,000","-1,307,000","-457,000","-136,000","43,000","-110,000","-441,000","-135,000","504,000","-512,000","490,000","-1,412,000","2,050,000",,,,,,,,,,,,"197,152","61,212","63,732","22,500"
			ChangeInOtherWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-76,647,245",,,"-66,739,695",,,,
		DividendReceivedCFO,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","15,247,000","14,380,000","15,945,000","9,604,000","10,236,000",,,,,,,,,
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,
	CashFlowFromContinuingInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,
FinancingCashFlow,"99,703,000","22,547,000","81,605,000","-38,595,000","34,146,000","-75,956,000","-21,137,000","26,760,000","-263,354,000","-12,934,000","223,667,000","286,517,000","52,071,000","155,164,000","2,090,000","248,789,000","78,830,000","78,508,000","17,141,000","-63,429,000","68,040,000","133,569,000","48,461,000","-24,937,000","-29,663,000","-38,543,000","47,919,000","163,581,000","-115,932,000","-25,564,000","127,497,000","9,290,000","191,476,000","-15,247,000","28,640,000","-15,945,000","19,016,000","18,164,000","42,988,907","76,647,245","-6,097,684","-3,423,261","86,982,738","-17,462,657","-25,311,254","16,944,425","126,619,203"
	CashFlowFromContinuingFinancingActivities,,,,,,,,,,,,,,,,,,,,"-63,429,000",,,,,,,,,,,,,,,"28,640,000",,,,,"76,647,245","-6,097,684","-3,423,261","86,982,738","-17,462,657","-25,311,254","16,944,425","126,619,203"
		NetIssuancePaymentsOfDebt,"190,454,000","34,349,000","96,997,000","-9,392,000","68,500,000","-43,250,000","8,000,000","58,000,000","-234,000,000","22,600,000","132,400,000","223,600,000","79,931,000","122,500,000","30,350,000","277,500,000","102,800,000","105,800,000","45,700,000","-38,795,000","11,800,000","155,900,000","-7,900,000","-3,048,000","-5,000,000","-15,300,000","70,225,000","103,975,000","-96,050,000","-6,700,000","69,779,000","32,728,000",,,,,,,,,,,"55,131,181","-6,034,896","-10,599,838","0","0"
			NetLongTermDebtIssuance,"190,454,000","34,349,000","96,997,000","-9,392,000","68,500,000","-43,250,000","8,000,000","58,000,000","-234,000,000","22,600,000","132,400,000","223,600,000","79,931,000","122,500,000","30,350,000","277,500,000","102,800,000","105,800,000","45,700,000","-38,795,000","11,800,000","155,900,000","-7,900,000","-3,048,000","-5,000,000","-15,300,000","70,225,000","103,975,000","-96,050,000","-6,700,000","69,779,000","32,728,000",,,,,,,,,,,"55,131,181",,,,
				LongTermDebtIssuance,"655,079,000","136,349,000","188,842,000","185,388,000","144,500,000","397,000,000","48,000,000","99,000,000","25,000,000","131,000,000","247,108,000","293,100,000","458,181,000","204,500,000","167,667,000","582,000,000","126,000,000","249,500,000","179,200,000","193,805,000","282,200,000","288,100,000","59,100,000","191,252,000","200,300,000","28,000,000","215,475,000","206,375,000","107,150,000","100,400,000","225,779,000","181,228,000",,,,,,,,,,,"74,325,247",,,,
				LongTermDebtPayments,"-464,625,000","-102,000,000","-91,845,000","-194,780,000","-76,000,000","-440,250,000","-40,000,000","-41,000,000","-259,000,000","-108,400,000","-114,708,000","-69,500,000","-378,250,000","-82,000,000","-137,317,000","-304,500,000","-23,200,000","-143,700,000","-133,500,000","-232,600,000","-270,400,000","-132,200,000","-67,000,000","-194,300,000","-205,300,000","-43,300,000","-145,250,000","-102,400,000","-203,200,000","-107,100,000","-156,000,000","-148,500,000",,,,,,,,,,,"-19,194,066",,,,
			NetShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,"-38,795,000",,,,,,,,,,,,,,,,,,,,,,,,"-6,034,896","-10,599,838","0","0"
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,"193,805,000",,,,,,,,,,,,,,,,,,,,,,,,"20,977,013","808,162","0","0"
				ShortTermDebtPayments,,,,,,,,,,,,,,,,,,,,"-232,600,000",,,,,,,,,,,,,,,,,,,,,,,,"-27,011,909","-11,408,000","0","0"
		NetCommonStockIssuance,"32,901,000","20,474,000",,,,,"0","0","0","0","125,120,000","94,185,000","0","59,297,000","0",,,,"0","0","81,478,000","0","79,063,000","0","-1,515,000","-1,433,000","0","79,415,000",,,"82,513,000","0","58,644,000","0","43,020,000","0","28,620,000","28,400,000","51,128,723",,,,,,,,
			CommonStockIssuance,"32,901,000","20,474,000",,,,,"0","0","0","0","125,120,000","94,185,000","0","59,297,000","0",,,,"0","0",,,,,,,"0","79,415,000",,,"82,513,000","0","58,644,000","0","43,020,000","0","28,620,000","28,400,000","51,128,723","82,299,573",,,,,,,
			CommonStockPayments,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-1,515,000","-1,433,000",,,,,,,,,,,,,,,,,,,,,
