name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
DilutedNIAvailtoComStockholders,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
BasicEPS,,"0.19","0.04","0.22","0.31","0.08","-0.16","-0.66","-0.73","-0.05","-0.03","0.21","-0.04","0.15","0.08","0.01","0.1","0.32","0.3","0.4","0.28","0.4","0.297",,"0.461","0.385","0.369",
DilutedEPS,,"0.18","0.03","0.2","0.29","0.08","-0.16","-0.66","-0.73","-0.05","-0.03","0.21","-0.04","0.15","0.08","0.01","0.1","0.32","0.3","0.39","0.28","0.4","0.297",,"0.458","0.383","0.367",
BasicAverageShares,,"39,700,000","39,500,000","39,400,000","39,400,000","39,200,000","39,100,000","39,100,000","39,000,000","38,600,000","38,500,000","38,400,000","38,300,000","38,200,000","38,100,000","38,000,000","37,900,000","37,800,000","37,700,000","37,600,000","37,600,000","37,500,000","37,400,000",,"38,200,000","38,200,000","38,200,000",
DilutedAverageShares,,"42,200,000","43,900,000","43,500,000","41,300,000","40,000,000","39,100,000","39,100,000","39,000,000","38,600,000","38,500,000","38,900,000","38,300,000","38,500,000","38,300,000","38,400,000","38,400,000","38,400,000","38,200,000","38,000,000","38,000,000","37,800,000","37,400,000",,"38,400,000","38,400,000","38,400,000",
TotalOperatingIncomeAsReported,"92,800,000","26,600,000","14,000,000","26,500,000","25,700,000","15,800,000","6,100,000","-12,900,000","-26,800,000","1,400,000","4,600,000","16,200,000","4,600,000","14,500,000","10,400,000","6,400,000","7,300,000","17,200,000","13,600,000","26,600,000","15,500,000","23,500,000","18,600,000","33,000,000","28,400,000","25,200,000","22,600,000","26,000,000"
TotalExpenses,"758,200,000","188,100,000","184,800,000","199,800,000","185,500,000","187,700,000","171,000,000","182,800,000","195,300,000","195,600,000","195,500,000","181,400,000","192,100,000","181,300,000","175,300,000","198,400,000","183,900,000","184,000,000","162,600,000","189,100,000","154,600,000","131,300,000","138,800,000","139,100,000","123,000,000","124,600,000","124,200,000","134,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
NormalizedIncome,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-21,589,508.197","-26,386,934.673","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
InterestIncome,"200,000","100,000",,"100,000","0","0",,"0","0","100,000",,"0","0","100,000","0","100,000",,,"100,000","0","100,000","0","100,000","-100,000","100,000","100,000","100,000","200,000"
InterestExpense,"41,100,000","9,300,000","9,400,000","12,400,000","10,000,000","9,900,000","9,800,000","14,500,000","6,900,000","4,600,000","5,400,000","5,400,000","5,100,000","5,500,000","5,100,000","5,200,000","5,400,000","5,600,000","5,500,000","6,500,000","4,200,000","1,000,000","600,000","600,000","400,000","500,000","300,000","400,000"
NetInterestIncome,"-42,200,000","-11,000,000","-9,900,000","-10,700,000","-10,600,000","-10,400,000","-10,300,000","-14,500,000","-6,900,000","-4,500,000","-5,400,000","-5,400,000","-5,100,000","-5,400,000","-5,100,000","-5,100,000","-5,400,000","-5,600,000","-5,400,000","-6,500,000","-4,100,000","-1,000,000","-500,000","-700,000","-300,000","-400,000","-200,000","-200,000"
EBIT,"88,100,000","22,900,000","12,700,000","27,200,000","25,300,000","13,100,000","5,100,000","-16,000,000","-32,900,000","3,500,000","4,200,000","15,600,000","4,500,000","13,300,000","9,200,000","5,400,000","8,000,000","21,300,000","12,600,000","24,700,000","20,000,000","23,400,000","18,900,000","32,400,000","27,500,000","25,400,000","21,500,000","26,000,000"
EBITDA,"123,500,000"
ReconciledCostOfRevenue,"565,700,000","143,900,000","134,000,000","150,700,000","137,100,000","138,900,000","119,900,000","124,800,000","144,900,000","139,400,000","139,000,000","130,800,000","136,000,000","131,400,000","125,700,000","145,600,000","128,200,000","131,100,000","114,700,000","138,000,000","110,600,000","97,200,000","98,600,000","102,900,000","88,400,000","90,700,000","89,700,000","99,700,000"
ReconciledDepreciation,"35,400,000","8,500,000","8,600,000","9,100,000","9,200,000","9,600,000","9,400,000","9,100,000","10,100,000","10,600,000","9,700,000","9,100,000","8,700,000","7,900,000","13,500,000","13,700,000","9,600,000","9,800,000","9,100,000","10,600,000","5,700,000","6,700,000","4,400,000","3,900,000","4,100,000","3,300,000","4,000,000","3,800,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
TotalUnusualItemsExcludingGoodwill,"0",,,"0","0",,,"-5,600,000","-2,700,000","0",,"0",,,,,,,,,,,,,,,,
TotalUnusualItems,"0",,,"0","0",,,"-5,600,000","-2,700,000","0",,"0",,,,,,,,,,,,,,,,
NormalizedEBITDA,"123,500,000","31,400,000","21,300,000","36,300,000","34,500,000","22,700,000","14,500,000","-1,300,000","-20,100,000","14,100,000","13,900,000","24,700,000","13,200,000","21,200,000","22,700,000","19,100,000","17,600,000","31,100,000","21,700,000","35,300,000","25,700,000","30,100,000","23,300,000","36,300,000","31,600,000","28,700,000","25,500,000","29,800,000"
TaxRateForCalcs,"0.357","0.4","0.27","0.27","0.203","0","0.27","0.141","0.291","0.27","0.009","0.196","0.27","0.244","0.268","0.27","0.27","0.217","0.4","0.176","0.323","0.33","0.388","0.302","0.343","0.4","0.33","0.371"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","-789,508.197","-786,934.673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
