name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,12/31/2010
TotalAssets,"7,510,894,000","7,204,091,000","7,372,451,000","7,167,951,000","7,265,191,000","7,237,091,000","7,409,641,000","7,351,118,000","6,806,718,000","6,812,435,000","6,835,878,000","7,200,790,000","7,171,405,000","7,042,221,000","7,029,082,000","7,163,877,000","6,924,056,000","6,742,041,000","6,796,346,000","6,586,557,000","6,401,143,000","6,243,700,000","6,226,601,000","5,941,178,000","5,417,252,000","4,894,495,000","4,975,653,000","4,866,248,000","4,604,403,000","3,535,090,000","3,474,656,000","3,235,676,000","3,124,812,000","3,066,054,000","2,854,323,000","2,776,124,000","2,508,251,000","2,631,230,000","2,507,941,000","2,424,947,000","2,367,497,000","2,264,957,000","2,316,839,000","2,485,697,000"
TotalLiabilitiesNetMinorityInterest,"6,909,663,000","6,488,752,000","6,662,075,000","6,459,220,000","6,563,728,000","6,519,341,000","6,713,335,000","6,656,469,000","6,129,404,000","6,132,712,000","6,144,742,000","6,476,880,000","6,424,374,000","6,302,701,000","6,314,300,000","6,457,418,000","6,223,093,000","6,037,661,000","6,124,877,000","5,930,716,000","5,760,224,000","5,614,416,000","5,640,573,000","5,381,575,000","4,888,120,000","4,429,220,000","4,515,195,000","4,418,522,000","4,165,008,000","3,232,852,000","3,180,088,000","2,947,427,000","2,851,302,000","2,800,128,000","2,586,115,000","2,507,803,000","2,237,846,000","2,367,468,000","2,268,681,000","2,210,924,000","2,176,267,000","2,178,550,000","2,236,503,000","2,426,908,000"
TotalEquityGrossMinorityInterest,"601,231,000","715,339,000","710,376,000","708,731,000","701,463,000","717,750,000","696,306,000","694,649,000","677,314,000","679,723,000","691,136,000","723,910,000","747,031,000","739,520,000","714,782,000","706,459,000","700,963,000","704,380,000","671,469,000","655,841,000","640,919,000","629,284,000","586,028,000","559,603,000","529,132,000","465,275,000","460,458,000","447,726,000","439,395,000","302,238,000","294,568,000","288,249,000","273,510,000","265,926,000","268,208,000","268,321,000","270,405,000","263,762,000","239,260,000","214,023,000","191,230,000","86,407,000","80,336,000","58,789,000"
	StockholdersEquity,"601,231,000","715,339,000","710,376,000","708,731,000","701,463,000","717,750,000","696,306,000","694,649,000","677,314,000","679,723,000","691,136,000","723,910,000","747,031,000","739,520,000","714,782,000","706,459,000","700,963,000","704,380,000","671,469,000","655,841,000","640,919,000","629,284,000","586,028,000","559,603,000","529,132,000","465,275,000","460,458,000","447,726,000","439,395,000","302,238,000","294,568,000","288,249,000","273,510,000","265,926,000","268,208,000","268,321,000","270,405,000","263,762,000","239,260,000","214,023,000","191,230,000","86,407,000","80,336,000","58,789,000"
		CapitalStock,"223,718,000","249,856,000","256,081,000","260,774,000","269,942,000","278,505,000","280,422,000","290,871,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","0","511,000","511,000","0",,"0"
			PreferredStock,,,,,,,,,"0","0","0","0","0","0","0",,,"0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
			CommonStock,"223,718,000","249,856,000","256,081,000","260,774,000","269,942,000","278,505,000","280,422,000","290,871,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000","511,000",,"511,000","511,000",,,
		AdditionalPaidInCapital,,,,,,,,,"293,791,000","300,218,000","309,649,000","308,705,000","342,049,000","342,439,000","341,606,000","340,723,000","339,902,000","339,009,000","338,283,000","337,515,000","336,875,000","336,149,000","276,844,000","276,303,000","273,168,000","222,328,000","222,047,000","221,551,000","221,301,000","96,615,000","96,650,000","95,923,000","95,271,000","94,474,000","91,415,000","91,054,000","90,687,000","90,189,000","89,775,000","88,637,000","86,755,000","542,000","539,000","527,000"
		RetainedEarnings,"408,442,000","444,343,000","432,202,000","420,111,000","411,712,000","403,888,000","383,107,000","375,268,000","365,283,000","374,673,000","372,981,000","359,252,000","411,826,000","412,009,000","396,782,000","384,947,000","377,848,000","371,982,000","337,067,000","323,228,000","312,019,000","303,036,000","300,742,000","273,041,000","251,292,000","244,885,000","236,207,000","226,246,000","213,870,000","203,566,000","197,945,000","192,972,000","183,610,000","182,935,000","185,379,000","185,300,000","173,229,000","163,872,000","140,136,000","118,793,000","100,796,000","81,746,000","74,720,000","65,627,000"
		GainsLossesNotAffectingRetainedEarnings,"-30,929,000","21,140,000","22,093,000","27,846,000","19,809,000","35,357,000","32,777,000","28,510,000","17,729,000","4,321,000","7,995,000","2,707,000","-7,355,000","-15,439,000","-24,117,000","-19,722,000","-17,298,000","-7,122,000","-4,392,000","-5,413,000","-8,486,000","-10,412,000","7,931,000","9,748,000","4,161,000","-2,449,000","1,693,000","-582,000","3,713,000","1,546,000","-538,000","-1,157,000","-5,882,000","-11,994,000","-9,097,000","-8,544,000","5,978,000","9,190,000","9,349,000","6,082,000","3,168,000","4,119,000","5,077,000","-7,365,000"
