name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
TotalRevenue,"1,681,144,000","421,382,000","409,566,000","419,024,000","431,172,000","476,232,000","484,685,000","410,969,000","355,720,000","403,043,000","384,471,000","461,709,000","447,767,000","468,488,000","501,669,000","483,069,000","221,309,000","216,143,000","226,534,000","210,300,000","203,926,000","208,954,000","232,933,000","216,183,000","223,106,000","209,797,000","225,735,000","215,017,000","206,358,000","200,762,000","231,781,000","215,805,000","216,662,000","209,070,000","212,739,000","193,980,000","202,818,000","204,179,000","197,402,000","179,280,000","181,365,000","177,584,000","183,236,000","176,948,000","175,600,000","173,077,000","181,585,000","158,255,000","170,685,000","162,282,000","165,935,000","167,415,000","160,125,000","146,763,000","182,836,000","216,856,000","219,164,000","208,743,000","232,824,000","208,224,000","206,495,000","194,716,000","215,435,000","194,934,000","195,069,000","206,748,000","222,512,000","172,225,000","148,909,000","147,822,000","150,583,000","130,220,000","131,370,000","121,440,000","107,622,000","95,117,000","92,786,000","88,059,000","86,811,000","82,370,000","80,268,000","71,341,000","82,211,000","77,515,000","80,114,000","90,028,000","106,718,000","103,940,000","100,352,000","92,212,000","76,100,000","72,000,000","74,700,000","73,100,000","72,000,000","71,200,000","70,100,000","63,500,000","62,000,000","56,500,000","54,000,000","52,300,000","50,300,000","47,100,000","45,600,000","47,200,000","46,600,000","45,200,000","44,100,000","42,100,000","42,100,000","42,000,000","43,700,000","36,800,000","32,400,000","32,400,000","32,400,000"
	OperatingRevenue,"1,681,144,000","421,382,000","409,566,000","419,024,000","431,172,000","476,232,000","484,685,000","410,969,000","355,720,000","403,043,000","384,471,000","461,709,000","447,767,000","468,488,000","501,669,000","483,069,000","221,309,000","216,143,000","226,534,000","210,300,000","203,926,000","208,954,000","232,933,000","216,183,000","223,106,000","209,797,000","225,735,000","215,017,000","206,358,000","200,762,000","231,781,000","215,805,000","216,662,000","209,070,000","212,739,000","193,980,000","202,818,000","204,179,000","197,402,000","179,280,000","181,365,000","177,584,000","183,236,000","176,948,000","175,600,000","173,077,000","181,585,000","158,255,000","170,685,000","162,282,000","165,935,000","167,415,000","160,125,000","146,763,000","182,836,000","216,856,000","219,164,000","208,743,000","232,824,000","208,224,000","206,495,000","194,716,000","215,435,000","194,934,000","195,069,000","206,748,000","222,512,000","172,225,000","148,909,000","147,822,000","150,583,000","130,220,000","131,370,000","121,440,000","107,622,000","95,117,000","92,786,000","88,059,000","86,811,000","82,370,000","80,268,000","71,341,000","82,211,000","77,515,000","80,114,000","90,028,000","106,718,000","103,940,000","100,352,000","92,212,000","76,100,000","72,000,000","74,700,000","73,100,000","72,000,000","71,200,000","70,100,000","63,500,000","62,000,000","56,500,000","54,000,000","52,300,000","50,300,000","47,100,000","45,600,000","47,200,000","46,600,000","45,200,000","44,100,000","42,100,000","42,100,000","42,000,000","43,700,000","36,800,000","32,400,000","32,400,000","32,400,000"
CostOfRevenue,"995,051,000","254,357,000","245,380,000","239,331,000","255,983,000","263,417,000","258,028,000","230,223,000","199,388,000","413,371,000","240,625,000","255,638,000","235,121,000","251,958,000","286,532,000","330,440,000","111,466,000","102,068,000","112,409,000","102,668,000","100,643,000","101,283,000","122,753,000","105,737,000","110,033,000","102,967,000","116,219,000","104,047,000","99,000,000","91,596,000","111,865,000","97,978,000","101,952,000","98,015,000","102,412,000","94,366,000","97,186,000","98,086,000","95,238,000","82,052,000","83,669,000","82,469,000","87,024,000","77,982,000","81,542,000","82,536,000","85,777,000","72,296,000","81,237,000","74,516,000","85,566,000","94,729,000","92,569,000","96,252,000","121,971,000","123,083,000","128,285,000","121,397,000","139,067,000","123,768,000","122,949,000","120,598,000","134,099,000","117,548,000","119,094,000","121,671,000","128,486,000","98,223,000","75,760,000","73,965,000","75,150,000","60,719,000","61,703,000","55,944,000","51,381,000","46,351,000","47,319,000","44,730,000","44,290,000","40,735,000","38,810,000","40,032,000","42,610,000","39,648,000","41,046,000","42,539,000","45,400,000","44,100,000","41,869,000","36,841,000","29,600,000","29,200,000","29,500,000","30,000,000","29,200,000","31,500,000","30,300,000","28,400,000","27,400,000","25,000,000","24,200,000","23,400,000","22,600,000","21,300,000","20,400,000","21,300,000","21,400,000","21,000,000","20,800,000","20,400,000","20,200,000","20,500,000","21,300,000",,,,
GrossProfit,"686,093,000","167,025,000","164,186,000","179,693,000","175,189,000","212,815,000","226,657,000","180,746,000","156,332,000","-10,328,000","143,846,000","206,071,000","212,646,000","216,530,000","215,137,000","152,629,000","109,843,000","114,075,000","114,125,000","107,632,000","103,283,000","107,671,000","110,180,000","110,446,000","113,073,000","106,830,000","109,516,000","110,970,000","107,358,000","109,166,000","119,916,000","117,827,000","114,710,000","111,055,000","110,327,000","99,614,000","105,632,000","106,093,000","102,164,000","97,228,000","97,696,000","95,115,000","96,212,000","98,966,000","94,058,000","90,541,000","95,808,000","85,959,000","89,448,000","87,766,000","80,369,000","72,686,000","67,556,000","50,511,000","60,865,000","93,773,000","90,879,000","87,346,000","93,757,000","84,456,000","83,546,000","74,118,000","81,336,000","77,386,000","75,975,000","85,077,000","94,026,000","74,002,000","73,149,000","73,857,000","75,433,000","69,501,000","69,667,000","65,496,000","56,241,000","48,766,000","45,467,000","43,329,000","42,521,000","41,635,000","41,458,000","31,309,000","39,601,000","37,867,000","39,068,000","47,489,000","61,318,000","59,840,000","58,483,000","55,371,000","46,500,000","42,800,000","45,200,000","43,100,000","42,800,000","39,700,000","39,800,000","35,100,000","34,600,000","31,500,000","29,800,000","28,900,000","27,700,000","25,800,000","25,200,000","25,900,000","25,200,000","24,200,000","23,300,000","21,700,000","21,900,000","21,500,000","22,400,000",,,,
OperatingExpense,"683,392,000","182,885,000","167,603,000","166,704,000","166,200,000","179,449,000","183,791,000","167,753,000","166,673,000","186,028,000","198,747,000","205,834,000","223,132,000","222,803,000","227,714,000","231,344,000","87,904,000","81,056,000","77,453,000","77,628,000","77,446,000","76,451,000","78,312,000","79,254,000","78,131,000","81,404,000","74,526,000","76,905,000","78,872,000","77,160,000","80,968,000","84,119,000","78,949,000","75,558,000","72,485,000","68,954,000","68,960,000","68,817,000","65,690,000","62,711,000","65,600,000","63,102,000","58,805,000","62,069,000","59,022,000","56,245,000","59,692,000","51,948,000","53,587,000","55,978,000","52,282,000","52,618,000","52,561,000","-66,356,000","179,330,000","66,595,000","68,093,000","67,658,000","67,732,000","65,149,000","65,599,000","64,634,000","64,518,000","61,363,000","60,851,000","59,179,000","59,110,000","53,945,000","43,658,000","43,099,000","43,631,000","36,143,000","38,964,000","37,744,000","32,483,000","31,231,000","29,758,000","28,756,000","29,943,000","27,827,000","27,856,000","20,310,000","28,947,000","29,012,000","28,307,000","26,870,000","31,703,000","30,107,000","29,402,000","27,966,000","24,300,000","21,400,000","22,700,000","21,000,000","21,600,000","19,000,000","20,200,000","17,700,000","18,000,000","16,800,000","16,300,000","15,400,000","14,500,000","13,600,000","13,700,000","13,000,000","12,900,000","12,600,000","12,300,000","12,200,000","10,900,000","10,300,000","10,900,000",,,,
	SellingGeneralAndAdministration,"499,839,000","135,422,000","121,387,000","122,297,000","120,734,000","126,486,000","129,641,000","115,605,000","116,644,000","138,459,000","144,978,000","148,419,000","163,608,000","161,326,000","168,053,000","174,297,000","64,203,000","59,265,000","56,196,000","57,696,000","56,233,000","54,249,000","56,919,000","56,875,000","55,787,000","57,610,000","53,715,000","54,296,000","55,678,000","54,813,000","57,977,000","60,350,000","56,429,000","53,105,000","51,467,000","48,507,000","48,097,000","47,969,000","45,442,000","43,130,000","45,904,000","44,824,000","41,976,000","44,418,000","42,116,000","44,642,000","43,319,000","36,742,000","38,686,000","40,185,000","37,502,000","37,439,000","37,482,000","36,256,000","43,202,000","47,745,000","48,398,000","48,680,000","48,424,000","45,941,000","46,111,000","45,852,000","46,809,000","44,558,000","44,888,000","42,249,000","43,130,000","37,823,000","29,892,000","30,754,000","31,642,000","25,305,000","28,920,000","27,970,000","23,649,000","22,984,000","21,153,000","20,297,000","20,939,000","19,763,000","19,606,000","12,846,000","22,052,000","20,725,000","20,650,000","24,292,000","22,729,000","21,515,000","22,541,000","20,426,000","17,900,000","16,000,000","15,900,000","15,100,000","14,600,000","13,800,000","14,100,000","12,500,000","12,300,000","11,400,000","11,500,000","10,500,000","10,000,000","9,800,000","9,500,000","-1,400,000","12,300,000","8,400,000","8,200,000","11,700,000","10,500,000","9,900,000","10,400,000",,,,
	ResearchAndDevelopment,"183,553,000","47,463,000","46,216,000","44,407,000","45,466,000","52,963,000","54,150,000","52,148,000","50,029,000","47,569,000","53,769,000","57,415,000","59,524,000","61,477,000","59,661,000","57,047,000","23,701,000","21,791,000","21,257,000","19,932,000","21,213,000","22,202,000","21,393,000","22,379,000","22,344,000","23,794,000","20,811,000","22,609,000","23,194,000","22,347,000","22,991,000","23,769,000","22,520,000","22,453,000","21,018,000","20,447,000","20,863,000","20,848,000","20,248,000","19,581,000","19,696,000","18,278,000","16,829,000","17,651,000","16,906,000","16,703,000","16,373,000","15,206,000","14,901,000","15,793,000","14,780,000","15,179,000","15,079,000","14,852,000","18,664,000","18,850,000","19,695,000","18,978,000","19,308,000","19,208,000","19,488,000","18,782,000","17,709,000","16,805,000","18,600,000","16,930,000","15,980,000","16,122,000","13,766,000","12,345,000","11,989,000","10,838,000","10,044,000","9,774,000","8,834,000","8,247,000","8,605,000","8,459,000","9,004,000","8,164,000","8,250,000","7,464,000","6,895,000","8,287,000","7,657,000","7,455,000","7,097,000","6,813,000","5,635,000","6,168,000","5,100,000","5,100,000","5,500,000","5,300,000","5,200,000","4,500,000","4,500,000","4,500,000","4,600,000","4,400,000","4,000,000","4,100,000","3,600,000","3,300,000","3,500,000",,,"3,600,000","3,600,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,157,000","1,877,000","1,779,000","1,226,000","1,372,000","1,300,000","300,000","1,300,000","600,000","1,800,000","700,000","1,600,000","700,000","1,100,000","1,000,000","800,000","800,000","900,000","500,000","700,000","700,000","600,000","600,000","500,000","500,000","400,000","400,000","500,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,157,000","1,877,000","1,779,000","1,226,000","1,372,000","1,300,000","300,000","1,300,000","600,000","1,800,000","700,000","1,600,000","700,000","1,100,000","1,000,000","800,000","800,000","900,000","500,000","700,000","700,000","600,000","600,000","500,000","500,000","400,000","400,000","500,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,464,000",,,,,,,"0",,,"-2,637,000",,,,,,,,,,,,,,,"-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
