name,10/31/2021,04/30/2021,10/31/2020,04/30/2020,10/31/2019,04/30/2019,10/31/2018,04/30/2018
TotalAssets,"553,542,596","541,571,078","529,601,841","492,753,663","531,945,952","521,359,101","521,857,919","551,112,221"
TotalLiabilitiesNetMinorityInterest,"53,139,979","36,078,880","43,649,463","40,662,557","31,354,267","31,906,581","37,484,343","43,659,059"
TotalEquityGrossMinorityInterest,"500,402,617","505,492,198","485,952,378","452,091,106","500,591,685","489,452,520","484,373,576","507,453,162"
	StockholdersEquity,"500,402,617","505,492,198","485,952,378","452,091,106","500,591,685","489,452,520","484,373,576","507,453,162"
		CapitalStock,"468,041,458","467,584,163","467,508,537","470,298,617","472,457,654","472,456,793","480,857,947","495,419,428"
			PreferredStock,"99,350,000","99,350,000","99,350,000","99,350,000","99,350,000","99,350,000","99,350,000","99,350,000"
			CommonStock,"368,691,458","368,234,163","368,158,537","370,948,617","373,107,654","373,106,793","381,507,947","396,069,428"
		AdditionalPaidInCapital,,,,,"373,107,654","373,106,793","381,507,947","396,069,428"
		RetainedEarnings,"32,361,159","37,908,035","18,443,841","-18,207,511","28,134,031","16,995,727","3,515,629","-2,221,324"
PreferredStockEquity,"99,350,000","99,350,000","99,350,000","99,350,000","99,350,000","99,350,000","99,350,000","99,350,000"
CommonStockEquity,"401,052,617","406,142,198","386,602,378","352,741,106","401,241,685","390,102,520","385,023,576","408,103,162"
NetTangibleAssets,"500,402,617","505,492,198","485,952,378","452,091,106","500,591,685","489,452,520","484,373,576","507,453,162"
TangibleBookValue,"401,052,617","406,142,198","386,602,378","352,741,106","401,241,685","390,102,520","385,023,576","408,103,162"
ShareIssued,"48,944,250","48,889,269","48,880,001","48,880,001","49,204,185","49,204,185","50,407,625","52,424,580"
OrdinarySharesNumber,"48,944,250","48,889,269","48,880,001","48,880,001","49,204,185","49,204,185","50,407,625","52,424,580"
