name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"265,857,000","287,253,000","301,154,000","295,714,000","302,951,000","299,658,000","300,010,000","119,418,000","122,778,000","131,009,000"
	CurrentAssets,"208,364,000","230,570,000","245,912,000","255,524,000","265,778,000","265,569,000","271,456,000","90,375,000","98,250,000","105,347,000"
		CashCashEquivalentsAndShortTermInvestments,"164,674,000","178,096,000","197,001,000","215,077,000","230,165,000","233,408,000","237,233,000","59,170,000","70,306,000","81,033,000"
			CashAndCashEquivalents,"164,674,000","178,096,000","197,001,000","215,077,000","230,165,000","233,408,000","237,233,000","59,170,000","70,306,000","81,033,000"
		Receivables,"19,617,000","27,678,000","26,402,000","21,535,000","17,839,000","14,249,000","15,243,000","14,283,000","14,462,000","14,568,000"
			AccountsReceivable,"17,721,000","25,942,000","24,713,000","19,760,000","16,432,000","12,939,000","12,702,000","10,236,000","10,021,000","9,334,000"
			OtherReceivables,"1,896,000","1,736,000","1,689,000","1,775,000","1,407,000","1,310,000","2,541,000","4,047,000","4,441,000","5,234,000"
		Inventory,"15,665,000","14,547,000","13,210,000","12,572,000","10,941,000","11,047,000","12,839,000","11,908,000","10,678,000","7,181,000"
			RawMaterials,"8,861,000","8,296,000","8,378,000","6,335,000","6,184,000","6,675,000","7,393,000","6,050,000","4,438,000","3,392,000"
			FinishedGoods,"6,804,000","6,251,000","4,832,000","6,237,000","4,757,000","4,372,000","5,446,000","5,858,000","6,240,000","3,789,000"
		PrepaidAssets,"4,352,000","5,746,000","4,980,000","1,859,000","2,790,000","3,747,000","3,284,000","144,000","74,000","65,000"
		CurrentDeferredAssets,"512,000","561,000","487,000","490,000","357,000","292,000","253,000","2,239,000","446,000","554,000"
		OtherCurrentAssets,"3,544,000","3,942,000","3,832,000","3,991,000","3,686,000","2,826,000","2,604,000","2,631,000","2,284,000","1,946,000"
	TotalNonCurrentAssets,"57,493,000","56,683,000","55,242,000","40,190,000","37,173,000","34,089,000","28,554,000","29,043,000","24,528,000","25,662,000"
		NetPPE,"55,238,000","54,052,000","51,784,000","36,563,000","33,375,000","31,262,000","27,300,000","27,757,000","23,182,000","24,257,000"
			GrossPPE,"78,681,000","75,850,000","72,026,000","55,368,000","51,047,000","47,600,000","42,774,000","42,034,000","36,519,000","36,424,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"4,800,000","4,910,000","4,754,000","4,520,000","4,052,000","3,892,000","3,770,000","3,713,000","3,771,000","3,504,000"
				OtherProperties,"62,375,000","60,032,000","57,525,000","42,448,000","40,518,000","37,836,000","33,058,000","32,817,000","27,260,000","27,295,000"
				ConstructionInProgress,"756,000","4,803,000","4,091,000","2,765,000","874,000","275,000","629,000","200,000","184,000","342,000"
				Leases,"10,750,000","6,105,000","5,656,000","5,635,000","5,603,000","5,597,000","5,317,000","5,304,000","5,304,000","5,283,000"
			AccumulatedDepreciation,"-23,443,000","-21,798,000","-20,242,000","-18,805,000","-17,672,000","-16,338,000","-15,474,000","-14,277,000","-13,337,000","-12,167,000"
		OtherNonCurrentAssets,"2,255,000","2,631,000","3,458,000","3,627,000","3,798,000","2,827,000","1,254,000","1,286,000","1,346,000","1,405,000"
TotalLiabilitiesNetMinorityInterest,"72,656,000","79,037,000","80,969,000","63,875,000","60,585,000","54,877,000","49,427,000","53,373,000","46,098,000","47,226,000"
	CurrentLiabilities,"27,711,000","32,751,000","34,314,000","27,486,000","39,608,000","28,968,000","23,791,000","22,572,000","18,639,000","24,919,000"
		PayablesAndAccruedExpenses,"14,306,000","16,544,000","19,061,000","16,560,000","12,517,000","9,520,000","9,500,000","8,811,000","7,579,000","6,438,000"
			Payables,"8,015,000","8,198,000","12,822,000","8,727,000","6,934,000","3,491,000","4,178,000","4,270,000","4,366,000","3,239,000"
				AccountsPayable,"8,015,000","8,198,000","12,822,000","8,727,000","6,934,000","3,491,000","4,178,000","4,270,000","4,366,000","3,239,000"
			CurrentAccruedExpenses,"6,291,000","8,346,000","6,239,000","7,833,000","5,583,000","6,029,000","5,322,000","4,541,000","3,213,000","3,199,000"
		CurrentDebtAndCapitalLeaseObligation,"2,984,000","2,941,000","2,909,000","2,136,000","18,682,000","13,503,000","9,166,000","4,154,000","2,118,000","7,832,000"
			CurrentDebt,,,,,"16,592,000","11,594,000","6,595,000","1,596,000",,"5,765,000"
				OtherCurrentBorrowings,,,,,"16,592,000","11,594,000","6,595,000","1,596,000",,"5,765,000"
			CurrentCapitalLeaseObligation,"2,984,000","2,941,000","2,909,000","2,136,000","2,090,000","1,909,000","2,571,000","2,558,000","2,118,000","2,067,000"
		CurrentDeferredLiabilities,"9,780,000","12,128,000","11,282,000","8,258,000","7,929,000","5,482,000","4,704,000","8,607,000","7,745,000","9,686,000"
			CurrentDeferredRevenue,"9,780,000","12,128,000","11,282,000","8,258,000","7,929,000","5,482,000","4,704,000","8,607,000","7,745,000","9,686,000"
		OtherCurrentLiabilities,"641,000","1,138,000","1,062,000","532,000","480,000","463,000","421,000","1,000,000","1,197,000","963,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"44,945,000","46,286,000","46,655,000","36,389,000","20,977,000","25,909,000","25,636,000","30,801,000","27,459,000","22,307,000"
		LongTermDebtAndCapitalLeaseObligation,"43,345,000","44,099,000","44,836,000","34,514,000","18,676,000","24,200,000","24,468,000","29,703,000","26,083,000","20,846,000"
			LongTermDebt,"19,778,000","19,762,000","19,746,000","19,673,000","3,320,000","8,301,000","13,283,000","18,264,000","19,843,000","14,062,000"
			LongTermCapitalLeaseObligation,"23,567,000","24,337,000","25,090,000","14,841,000","15,356,000","15,899,000","11,185,000","11,439,000","6,240,000","6,784,000"
		NonCurrentDeferredLiabilities,"1,600,000","2,187,000","1,819,000","1,875,000","2,301,000","1,709,000","1,168,000","1,098,000","1,376,000","1,461,000"
			NonCurrentDeferredRevenue,"1,600,000","2,187,000","1,819,000","1,875,000","2,301,000","1,709,000","1,168,000","1,098,000","1,376,000","1,461,000"
TotalEquityGrossMinorityInterest,"193,201,000","208,216,000","220,185,000","231,839,000","242,366,000","244,781,000","250,583,000","66,045,000","76,680,000","83,783,000"
	StockholdersEquity,"193,201,000","208,216,000","220,185,000","231,839,000","242,366,000","244,781,000","250,583,000","66,045,000","76,680,000","83,783,000"
		CapitalStock,"4,000","4,000","4,000","4,000","4,000","3,000","3,000","224,769,000","3,000","224,769,000"
			PreferredStock,,"0","0","0","0","0","0","224,769,000","0","224,769,000"
			CommonStock,"4,000","4,000","4,000","4,000","4,000","3,000","3,000","0","3,000","0"
		AdditionalPaidInCapital,"478,231,000","471,820,000","466,057,000","457,308,000","449,681,000","436,662,000","430,336,000","12,431,000","235,402,000","9,314,000"
		RetainedEarnings,"-285,034,000","-263,608,000","-245,876,000","-225,473,000","-207,319,000","-191,884,000","-179,756,000","-171,155,000","-158,725,000","-150,300,000"
TotalCapitalization,"212,979,000","227,978,000","239,931,000","251,512,000","245,686,000","253,082,000","263,866,000","84,309,000","96,523,000","97,845,000"
PreferredStockEquity,,,,,,,,"224,769,000","224,769,000","224,769,000"
CommonStockEquity,"193,201,000","208,216,000","220,185,000","231,839,000","242,366,000","244,781,000","250,583,000","-158,724,000","76,680,000","-140,986,000"
CapitalLeaseObligations,"26,551,000","27,278,000","27,999,000","16,977,000","17,446,000","17,808,000","13,756,000","13,997,000","8,358,000","8,851,000"
NetTangibleAssets,"193,201,000","208,216,000","220,185,000","231,839,000","242,366,000","244,781,000","250,583,000","66,045,000","76,680,000","83,783,000"
WorkingCapital,"180,653,000","197,819,000","211,598,000","228,038,000","226,170,000","236,601,000","247,665,000","67,803,000","79,611,000","80,428,000"
InvestedCapital,"212,979,000","227,978,000","239,931,000","251,512,000","262,278,000","264,676,000","270,461,000","-138,864,000","96,523,000","-121,159,000"
TangibleBookValue,"193,201,000","208,216,000","220,185,000","231,839,000","242,366,000","244,781,000","250,583,000","-158,724,000","76,680,000","-140,986,000"
TotalDebt,"46,329,000","47,040,000","47,745,000","36,650,000","37,358,000","37,703,000","33,634,000","33,857,000","28,201,000","28,678,000"
ShareIssued,"67,820,115","67,595,535","67,456,239","67,043,537","66,384,736","64,486,246","64,358,751","60,943,919","64,358,751","60,943,919"
OrdinarySharesNumber,"67,820,115","67,595,535","67,456,239","67,043,537","66,384,736","64,486,246","64,358,751","60,943,919","64,358,751","60,943,919"
