name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
			WorkInProcess,"0","30,000",,"20,000","207,000","66,000",,,,"0","0",,"0","48,000","108,000","66,000","0","80,000","63,000","131,000","50,000","17,000",,,,"0","1,578,000","1,778,000","1,692,000","1,326,000","7,000","7,000","49,000",,,,,,,,,,,,,,,"0","0","0","439,607","1,272,240",,,,,,,,,,,,,,
			FinishedGoods,"1,290,000","995,000","902,000","1,035,000","1,154,000","1,214,000","1,322,000","1,384,000","1,320,000","1,140,000","1,019,000","1,057,000","1,112,000","946,000","779,000","1,127,000","1,011,000","760,000","858,000","611,000","766,000","762,000","865,000","927,000","938,000","1,294,000","1,963,000","2,646,000","3,069,000","3,394,000","796,000","941,000","0",,,,,,,,,,,,,,,"0","0","1,304,129","1,318,820","0",,,,,,,,,,,,,,
		PrepaidAssets,"25,305,000","11,996,000","13,442,000","12,014,000","10,227,000","10,089,000","11,631,000","15,041,000","17,828,000","14,500,000","14,382,000","10,694,000","11,204,000","11,998,000","12,082,000","11,838,000","9,276,000","0","25,000","598,000","1,207,000","1,761,000","11,036,000","9,430,000","6,502,000","5,532,000","9,701,000","6,637,000","2,179,000","2,930,000","3,603,000","3,932,000","3,033,000","2,575,000","2,402,000","2,563,000","3,044,000","3,634,000","3,323,000","3,423,000","2,564,000","2,999,000","1,873,000","2,192,000","1,619,000","1,843,000","1,901,682","1,519,894","1,677,484","2,092,581","2,632,783","1,129,194","1,118,672","1,287,400","2,803,233","2,030,329","514,696","717,929","2,228,169","2,129,522","574,907","924,025","1,827,513","2,086,608","2,471,317","2,217,960"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","100,000","530,000","530,000","430,000","430,000","430,000","430,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","128,000","410,000","292,000","252,000","252,000",,,,,,,,,,,"0","182,000","182,000","182,000","182,000","1,554,099","1,794,384","1,984,591",,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","182,000","182,000","182,000","182,000","1,554,099","1,794,384","1,984,591",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"8,003,000","10,713,000","15,127,000","11,032,000","10,027,000",,,,"210,000","275,000","319,000","324,000","154,000","182,000","234,000",,,,,,,,,,,,,,,,,,,,,,,"128,354",,"581,087","1,058,556","1,207,338","1,160,989","1,245,387","917,575",,,,
	TotalNonCurrentAssets,"111,290,000","115,491,000","117,959,000","120,993,000","121,967,000","124,311,000","126,371,000","125,770,000","127,779,000","129,612,000","194,439,000","56,681,000","44,668,000","32,998,000","33,130,000","33,824,000","34,880,000","35,568,000","35,987,000","36,062,000","36,158,000","36,199,000","38,035,000","41,662,000","44,291,000","46,503,000","46,667,000","49,320,000","51,473,000","29,974,000","14,337,000","14,952,000","15,465,000","7,735,000","8,020,000","8,599,000","9,027,000","9,480,000","9,955,000","10,849,000","11,250,000","29,117,000","31,019,000","11,913,000","12,082,000","12,528,000","11,344,569","11,800,548","12,257,861","12,763,597","13,235,413","13,719,320","2,065,546","2,188,341","2,466,005","5,159,015","8,176,457","9,905,406","6,017,502","2,350,796","5,410,304","2,439,934","2,458,500","2,510,560","2,598,533","2,380,806"
		NetPPE,"11,862,000","12,385,000","12,898,000","13,529,000","14,034,000","14,595,000","14,227,000","14,345,000","14,752,000","15,044,000","15,592,000","15,958,000","16,288,000","4,417,000","4,579,000","4,800,000","5,105,000","5,306,000","5,448,000","5,709,000","5,461,000","5,015,000","4,731,000","4,246,000","4,351,000","4,570,000","4,159,000","3,869,000","3,080,000","2,437,000","2,233,000","2,312,000","2,208,000","2,198,000","2,106,000","2,208,000","2,264,000","2,348,000","2,446,000","2,533,000","2,478,000","964,000","851,000","963,000","860,000","937,000","1,015,363","1,094,550","1,179,167","1,316,302","1,411,326","1,518,442","1,635,316","1,758,111","1,885,775","2,021,374","1,602,025","1,345,845","1,444,925","1,770,566","1,829,893","1,859,704","1,848,270","1,900,330","1,328,303","1,110,576"
			GrossPPE,"11,862,000","21,762,000","12,898,000","13,529,000","14,034,000","22,623,000","14,227,000","14,345,000","14,752,000","21,656,000","15,592,000","15,958,000","16,288,000","9,636,000",,,,"9,786,000",,,,"8,246,000",,,,"6,883,000",,,,"4,170,000",,,,"3,447,000",,,,"3,166,000","5,204,000","5,187,000","5,039,000","4,038,000","3,740,000","3,706,000","3,542,000","3,596,000","3,595,713","3,595,713","3,595,713","3,661,934","3,674,961","3,674,961","3,674,961","3,674,961","3,674,961","3,667,125","3,110,699","2,733,654","2,720,685","3,534,139","3,445,110","3,322,846","3,133,984","3,035,754","2,311,801","1,993,868"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"844,158","828,287","468,923","505,684","485,506","737,182","739,428","736,518","727,727","728,201","629,318","302,228"
				MachineryFurnitureEquipment,,"7,027,000",,,,"6,707,000",,,,"5,889,000",,,,"5,130,000",,,,"5,271,000",,,,"3,838,000",,,,"3,364,000",,,,"2,081,000",,,,"1,563,000",,,,"1,340,000","3,378,000","3,362,000","3,311,000","3,078,000","2,890,000","2,862,000","2,698,000","2,752,000","2,751,555","2,751,555","2,751,555","2,817,776","2,830,803","2,830,803","2,830,803","2,830,803","2,830,803","2,838,838","2,321,532","2,227,970","2,235,179","2,796,957","2,705,682","2,586,328","2,406,257","2,307,553","1,682,483","1,570,789"
				OtherProperties,"11,862,000","9,272,000","12,898,000","13,529,000","14,034,000","10,459,000","14,227,000","14,345,000","14,752,000","11,180,000","15,592,000","15,958,000","16,288,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,244",,,,,,,,,"120,851"
				Leases,,"5,463,000",,,,"5,457,000",,,,"4,587,000",,,,"4,506,000",,,,"4,515,000",,,,"4,408,000",,,,"3,519,000",,,,"2,089,000",,,,"1,884,000",,,,"1,826,000","1,826,000","1,825,000","1,728,000","960,000","850,000","844,000","844,000","844,000","844,158","844,158","844,158","844,158","844,158","844,158","844,158","844,158",,,,,,,,,,,,
			AccumulatedDepreciation,,"-9,377,000",,,,"-8,028,000",,,,"-6,612,000",,,,"-5,219,000",,,,"-4,480,000",,,,"-3,231,000",,,,"-2,313,000",,,,"-1,733,000",,,,"-1,249,000",,,,"-818,000","-2,758,000","-2,654,000","-2,561,000","-3,074,000","-2,889,000","-2,743,000","-2,682,000","-2,659,000","-2,580,350","-2,501,163","-2,416,546","-2,345,632","-2,263,635","-2,156,519","-2,039,645","-1,916,850","-1,789,186","-1,645,751","-1,508,674","-1,387,809","-1,275,760","-1,763,573","-1,615,217","-1,463,142","-1,285,714","-1,135,424","-983,498","-883,292"
		GoodwillAndOtherIntangibleAssets,"19,702,000","20,081,000","20,450,000","20,820,000","21,189,000","21,559,000","21,929,000","22,298,000","22,667,000","23,037,000","23,407,000","23,783,000","24,162,000","24,542,000","24,922,000","25,319,000","25,717,000","26,069,000","26,501,000","26,933,000","27,365,000","27,819,000","29,924,000","32,867,000","35,809,000","38,752,000","41,695,000","44,638,000","47,580,000","26,724,000","11,319,000","11,855,000","12,472,000","5,037,000","5,414,000","5,791,000","6,163,000","6,532,000","6,909,000","7,286,000","7,658,000","8,027,000","8,404,000","8,781,000","9,153,000","9,522,000","9,898,976","10,275,768","10,648,464","11,017,065","11,393,857","11,770,648",,,,,,,,,,,,,,
			OtherIntangibleAssets,"19,702,000","20,081,000","20,450,000","20,820,000","21,189,000","21,559,000","21,929,000","22,298,000","22,667,000","23,037,000","23,407,000","23,783,000","24,162,000","24,542,000","24,922,000","25,319,000","25,717,000","26,069,000","26,501,000","26,933,000","27,365,000","27,819,000","29,924,000","32,867,000","35,809,000","38,752,000","41,695,000","44,638,000","47,580,000","26,724,000","11,319,000","11,855,000","12,472,000","5,037,000","5,414,000","5,791,000","6,163,000","6,532,000","6,909,000","7,286,000","7,658,000","8,027,000","8,404,000","8,781,000","9,153,000","9,522,000","9,898,976","10,275,768","10,648,464","11,017,065","11,393,857","11,770,648",,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,"61,827,000","12,517,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","19,012,000","19,011,000",,,,,,,,,,,"0",,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,"61,827,000","12,517,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"19,012,000","19,011,000",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"70,798,000","74,878,000","76,105,000","78,641,000","80,355,000","81,516,000","83,858,000","85,558,000","86,641,000","87,680,000","89,072,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,639,000","1,639,000","1,639,000","1,639,000",,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"70,798,000","74,878,000","76,105,000","78,641,000","80,355,000","81,516,000","83,858,000","85,558,000","86,641,000","87,680,000","89,072,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,639,000","1,639,000","1,639,000","1,639,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"8,928,000","8,147,000","8,506,000","8,003,000","6,389,000","6,641,000","6,357,000","3,569,000","3,719,000","3,851,000","4,541,000","4,423,000","4,218,000","4,039,000","3,629,000","3,705,000","4,058,000","4,193,000","4,038,000","3,420,000","3,332,000","3,365,000","3,380,000","4,549,000","4,131,000","3,181,000","813,000","813,000","813,000","813,000","785,000","785,000","785,000","500,000","500,000","600,000","600,000","600,000","600,000","1,030,000","1,114,000","1,114,000","1,114,000","530,000","430,000","430,000","430,230","430,230","430,230","430,230","430,230","430,230","430,230","430,230","580,230","3,137,641","6,574,432","8,559,561","4,572,577","580,230","3,580,411","580,230","610,230","610,230","1,270,230","1,270,230"
