name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
OperatingCashFlow,"-129,983,000","-38,335,000","-32,676,000","-28,131,000","-30,841,000","-38,616,000","-25,840,000","-29,116,000","-19,166,000","-24,893,000","-15,192,000","-16,612,000"
	CashFlowFromContinuingOperatingActivities,"-129,983,000","-38,335,000","-32,676,000","-28,131,000","-30,841,000","-38,616,000","-25,840,000","-29,116,000","-19,166,000","-24,893,000","-15,192,000","-16,612,000"
		NetIncomeFromContinuingOperations,"-138,802,000","-36,892,000","-41,232,000","-30,470,000","-30,208,000","-30,025,000","-32,043,000","-42,294,000","-26,505,000","-20,650,000","-19,446,000","-15,402,000"
		OperatingGainsLosses,,,,,,,"230,000","1,135,000","631,000","-101,000","230,000","-3,520,000"
			GainLossOnSaleOfPPE,,,"76,000",,,,"230,000","5,000",,,"0","26,000"
			GainLossOnInvestmentSecurities,,,,,,,"0","-437,000","631,000","-101,000","230,000","-3,546,000"
		DepreciationAmortizationDepletion,"5,178,000","1,262,000","1,296,000","1,313,000","1,307,000","1,246,000","1,930,000","433,000","491,000","305,000","823,000","130,000"
			DepreciationAndAmortization,"5,178,000","1,262,000","1,296,000","1,313,000","1,307,000","1,246,000","1,930,000","433,000","491,000","305,000","823,000","130,000"
				Depreciation,,,"1,296,000",,,"1,246,000",,,"491,000","305,000",,
		AmortizationOfSecurities,"2,579,000","667,000","799,000","738,000","375,000","60,000","-10,000","-2,000","46,000","16,000","-43,000","-168,000"
		ProvisionandWriteOffofAssets,"1,409,000","496,000","257,000","441,000","210,000","120,000","74,000","125,000","246,000","101,000","-81,000","28,000"
		StockBasedCompensation,"16,599,000","5,006,000","4,792,000","2,864,000","3,937,000","5,852,000","6,268,000","13,908,000","683,000","580,000","247,000","236,000"
		OtherNonCashItems,"1,609,000","412,000","406,000","402,000","394,000","389,000","389,000","448,000","200,000","200,000","-135,000","539,000"
