name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"4,874,728,851","5,091,426,475","5,025,325,505","6,132,955,389"
EnterpriseValue,"5,183,966,851","5,400,664,475","5,334,563,505","6,442,193,389"
ForwardPeRatio,"140.845","149.254","135.135","140.845"
PsRatio,"12.038","13.288","13.775","17.162"
PbRatio,"3.768","3.941","3.864","9.958"
EnterprisesValueRevenueRatio,"12.803","44.199","51.929","69.709"
EnterprisesValueEBITDARatio,"-1,623.033","886.081","-5,779.592","-517.154"
