name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"2,529,900,000","680,200,000","646,900,000","616,200,000","586,600,000","550,100,000","536,600,000","477,500,000","387,000,000","452,600,000","454,700,000","464,700,000","456,700,000","459,800,000","478,400,000","488,500,000","1,022,500,000","964,100,000","1,068,700,000","904,300,000","941,100,000","861,800,000","950,000,000","890,500,000","921,600,000","823,800,000","735,000,000","597,300,000","675,100,000","534,800,000","273,560,000","196,782,000","189,132,000","183,726,000","0","189,992,000","182,132,000"
	OperatingRevenue,"2,529,900,000","680,200,000","646,900,000","616,200,000","586,600,000","550,100,000","536,600,000","477,500,000","387,000,000","452,600,000","454,700,000","464,700,000","456,700,000","459,800,000","478,400,000","488,500,000","1,022,500,000","964,100,000","1,068,700,000","904,300,000","941,100,000","861,800,000","950,000,000","890,500,000","921,600,000","823,800,000","735,000,000","597,300,000","675,100,000","534,800,000","273,560,000","196,782,000","189,132,000","183,726,000","0","189,992,000","182,132,000"
CostOfRevenue,"1,547,100,000","417,200,000","410,100,000","371,700,000","348,100,000","309,100,000","313,900,000","274,000,000","224,500,000","255,300,000","263,400,000","259,000,000","263,700,000","261,500,000","276,200,000","278,900,000","599,600,000","559,400,000","629,100,000","533,200,000","541,200,000","483,400,000","554,100,000","515,400,000","541,000,000","467,800,000","461,600,000","354,600,000","406,500,000","327,700,000","161,093,000","93,558,000","92,445,000","99,504,000","0","93,451,000","88,818,000"
GrossProfit,"982,800,000","263,000,000","236,800,000","244,500,000","238,500,000","241,000,000","222,700,000","203,500,000","162,500,000","197,300,000","191,300,000","205,700,000","193,000,000","198,300,000","202,200,000","209,600,000","422,900,000","404,700,000","439,600,000","371,100,000","399,900,000","378,400,000","395,900,000","375,100,000","380,600,000","356,000,000","273,400,000","242,700,000","268,600,000","207,100,000","112,467,000","103,224,000","96,687,000","84,222,000","0","96,541,000","93,314,000"
OperatingExpense,"687,300,000","167,500,000","176,300,000","176,000,000","167,500,000","141,100,000","142,700,000","144,900,000","123,000,000","142,700,000","109,700,000","138,800,000","137,500,000","153,200,000","131,400,000","150,000,000","305,900,000","300,500,000","331,500,000","287,600,000","309,500,000","279,100,000","322,900,000","295,200,000","285,700,000","303,900,000","279,300,000","211,400,000","224,600,000","203,300,000","133,899,000","79,294,000","90,677,000","80,230,000","4,773,000","59,863,000","61,932,000"
	SellingGeneralAndAdministration,"635,000,000","153,400,000","163,400,000","163,500,000","154,700,000","129,600,000","131,300,000","134,800,000","113,400,000","125,200,000","99,400,000","128,800,000","126,400,000","142,400,000","120,200,000","139,500,000","280,000,000","277,000,000","303,200,000","264,200,000","284,400,000","257,500,000","299,800,000","274,300,000","265,200,000","284,000,000","264,300,000","194,800,000","206,200,000","190,400,000","126,163,000","72,926,000","84,779,000","74,032,000","4,773,000","53,989,000","55,980,000"
	ResearchAndDevelopment,"52,300,000","14,100,000","12,900,000","12,500,000","12,800,000","11,500,000","11,400,000","10,100,000","9,600,000","17,500,000","10,300,000","10,000,000","11,100,000","10,800,000","11,200,000","10,500,000","25,900,000","23,500,000","28,300,000","23,400,000","25,100,000","21,600,000","23,100,000","20,900,000","20,500,000","19,900,000","15,000,000","16,600,000","18,400,000","12,900,000","7,736,000","6,368,000","5,898,000","6,198,000","0","5,874,000","5,952,000"
OperatingIncome,"295,500,000","95,500,000","60,500,000","68,500,000","71,000,000","99,900,000","80,000,000","58,600,000","39,500,000","54,600,000","81,600,000","66,900,000","55,500,000","45,100,000","70,800,000","59,600,000","117,000,000","104,200,000","108,100,000","83,500,000","90,400,000","99,300,000","73,000,000","79,900,000","94,900,000","52,100,000","-5,900,000","31,300,000","44,000,000","3,800,000","-21,432,000","23,930,000","6,010,000","3,992,000","-4,773,000","36,678,000","31,382,000"
NetNonOperatingInterestIncomeExpense,"-55,400,000","-14,100,000","-14,600,000","-13,800,000","-12,900,000","-12,900,000","-12,700,000","-17,100,000","-16,900,000","-16,700,000","-17,000,000","-17,400,000","-18,200,000","-38,100,000","-77,600,000","-77,900,000","-79,500,000","-78,200,000","-81,600,000","-85,600,000","-85,000,000","-89,400,000","-86,000,000","-98,500,000","-97,400,000","-93,800,000","-70,700,000","-52,700,000","-51,100,000","-39,400,000","-14,525,000","-7,971,000","-7,662,000","-7,742,000","63,000","-12,849,000","-11,718,000"
	InterestExpenseNonOperating,"55,400,000","14,100,000","14,600,000","13,800,000","12,900,000","12,900,000","12,700,000","17,100,000","16,900,000","16,700,000","17,000,000","17,400,000","18,200,000","38,100,000","77,600,000","77,900,000","79,500,000","78,200,000","81,600,000","85,600,000","85,000,000","89,400,000","86,000,000","98,500,000","97,400,000","93,800,000","70,700,000","52,700,000","51,100,000","39,400,000","14,525,000","7,971,000","7,662,000","7,742,000","-63,000","12,849,000","11,718,000"
